"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","natural","ele","wikidata"
"8494899670","node","https://osm.org/node/8494899670","54.14041","-4.697791","Cronk Fedjag","","","peak","",""
"492429162","node","https://osm.org/node/492429162","54.21237","-4.664558","Cronk Lheannag","","","peak","",""
"7762882770","node","https://osm.org/node/7762882770","54.060214","-4.780011","Cronk Mooar","","","peak","",""
"1200806942","node","https://osm.org/node/1200806942","54.075682","-4.7444","Cronk Skibbylt","","Cronk Skibbylt","peak","",""
"495102937","node","https://osm.org/node/495102937","54.317391","-4.473879","Cronk Sumark","","","peak","76","Q3003715"
"7771624950","node","https://osm.org/node/7771624950","54.066716","-4.763928","Cronk ny Arrey","","","peak","",""
"10135755273","node","https://osm.org/node/10135755273","54.371929","-4.37733","Cronk ny Arrey Laa","","Cronk ny Arrey Laa","peak","",""
"442107303","node","https://osm.org/node/442107303","54.136919","-4.718796","Cronk ny Arrey Laa","","Cronk ny Arrey Laa","peak","443","Q5187720"
"8379282776","node","https://osm.org/node/8379282776","54.191295","-4.548761","Cronk ny Moghlane","","","peak","",""
"8555436564","node","https://osm.org/node/8555436564","54.248378","-4.442721","Cronk y Vaare","","","peak","",""
"944529699","way","https://osm.org/way/944529699","","","Curragh-y-Cowle","","","wetland","",""
"283500533","node","https://osm.org/node/283500533","54.167","-4.696029","Dalby Mountain","","","peak","280",""
"10145032834","node","https://osm.org/node/10145032834","54.173138","-4.739433","Dalby Point","","","cape","","Q26715129"
"441984188","node","https://osm.org/node/441984188","54.076498","-4.611678","Derby Haven","Derby Haven","Camys y Ree","bay","",""
"441984185","node","https://osm.org/node/441984185","54.25034","-4.360548","Dhoon Bay","","","bay","",""
"8563980831","node","https://osm.org/node/8563980831","54.293265","-4.311666","Dhynane","","","bay","",""
"440623052","node","https://osm.org/node/440623052","54.157012","-4.460007","Douglas Bay","Douglas Bay","Baie Ghoolish","bay","","Q524356"
"186704447","way","https://osm.org/way/186704447","","","Douglas Beach","","","beach","",""
"1967671069","node","https://osm.org/node/1967671069","54.141298","-4.473987","Douglas Head","","","peak","",""
"1967660955","node","https://osm.org/node/1967660955","54.143217","-4.467937","Douglas Head","","","headland","",""
"38054024","way","https://osm.org/way/38054024","","","Douglas Inner Harbour Marina","Douglas Inner Harbour Marina","","water","",""
"4844268709","node","https://osm.org/node/4844268709","54.054491","-4.625437","Dreswick Point","","","cape","","Q5307097"
"25989683","way","https://osm.org/way/25989683","","","Eairy Dam","","","water","",""
"10145032831","node","https://osm.org/node/10145032831","54.164092","-4.741644","Elby Point","","","cape","","Q26715133"
"27173430","way","https://osm.org/way/27173430","","","Fenella Beach","","","beach","",""
"441984179","node","https://osm.org/node/441984179","54.108936","-4.752424","Fleshwick Bay","","","bay","",""
"104908004","way","https://osm.org/way/104908004","","","Fleshwick Beach","","","beach","",""
"40532693","way","https://osm.org/way/40532693","","","Fleshwick Plantation","","","wood","",""
"7762882757","node","https://osm.org/node/7762882757","54.059576","-4.800381","Fold Point","","","cape","",""
"440623048","node","https://osm.org/node/440623048","54.080708","-4.7252","Gansey Bay","","","bay","",""
"831791835","way","https://osm.org/way/831791835","","","Garey","","","heath","",""
"441984187","node","https://osm.org/node/441984187","54.207332","-4.39691","Garwick Bay","","","bay","",""
"10141570936","node","https://osm.org/node/10141570936","54.073382","-4.689126","Ghaw Cortagh","","Ghaw Cortagh","bay","",""
"11210666761","node","https://osm.org/node/11210666761","54.106929","-4.762429","Ghaw Doo","","Ghaw Doo","cave","",""
"7711865704","node","https://osm.org/node/7711865704","54.077925","-4.77878","Ghaw Jeeragh","","","bay","",""
"7762882767","node","https://osm.org/node/7762882767","54.053367","-4.801587","Ghaw Yiarn","","","cape","",""
"7762882772","node","https://osm.org/node/7762882772","54.064794","-4.793976","Ghaw ny Kirree","","","cape","",""
"7711865703","node","https://osm.org/node/7711865703","54.079654","-4.777411","Ghaw ny Mooarid","","","bay","",""
"7711865702","node","https://osm.org/node/7711865702","54.081013","-4.776738","Ghaw ny Ow","","","bay","",""
"7762882742","node","https://osm.org/node/7762882742","54.060313","-4.813309","Gibbdale Bay","","","bay","",""
