Planning Application No,Proposal,Property Address,Decision,Date decision issued
20/00986/B,"Conversion of first floor outbuilding to additional living accommodation (Retrospective), lowering of an existing window sill, installation of roof lights and removal of front porches.",Reayrt Ny Marrey Ballabooie Road Peel Isle Of Man IM5 2AH ,PER,05-Feb-21
20/00995/A,Approval in principle for the erection of an agricultural workers dwelling,Field 433139 Scarlett Castletown Isle Of Man IM9 1TB ,REF,18-Mar-21
20/00997/B,"Alterations, extension of existing dormer window, rendering works, formation of additional parking and widening of vehicular access",Conister Hillberry Road Onchan Isle Of Man IM3 3JP,REF,21-May-21
20/01010/B,"Alterations to existing business park estate road, creation of parkland and associated landscaping, external lighting and formation of accesses to two existing development plots",Ronaldsway Business Park  Ronaldsway Ballasalla Isle Of Man IM9 2SE ,PER,12-Jan-21
20/01038/B,"Variation of condition 1 of PA 16/00105/B, Alterations and extension to building and creation of additional car parking, to extend period of permission for a further four years",Broadcasting House Douglas Head Douglas Isle Of Man IM1 5BW ,WDN,30-Apr-21
20/01049/B,Removal of part render and application of a lime mortar and repointing works to exposed areas,The Old Chapel (former Minorca Chapel) Minorca Hill Laxey Isle Of Man IM4 7DP ,REF,05-Jan-21
20/01051/B,Creation of off road parking with associated vehicular access,111 Ballanorris Crescent Ballabeg Castletown Isle Of Man IM9 4EU,PER,22-Jan-21
20/01057/B,Conversion of garage to a physiotherapy treatment room,The Gatehouse The Colony Port Lewaigue Ramsey Isle Of Man IM7 1AL,PER,05-Feb-21
20/01067/REM,Reserved Matters application in association with PA17/01308/A concerning access matters to the proposed site,Warehouse & Premises Millmount Douglas Isle Of Man IM2 1HD,REF,12-Jan-21
20/01077/B,"Erection of detached dwelling with triple garage and ancillary accommodation above with associated landscaping, driveway and new vehicular access",Grenaby House (formerly Thie Vane) Junction At Foxdale And Grenaby Roads Ballasalla Isle Of Man IM9 3DR ,PER,04-Mar-21
20/01081/B,Erection of two dwellings with associated parking and access,Plot Between 18 And 22 Victoria Terrace Douglas Isle Of Man  ,PER,04-Mar-21
20/01089/B,Installation of a heat pump,Seabourne Mount Morrison Peel Isle Of Man IM5 1PN,PER,08-Jan-21
20/01090/B,Erection of an extension to existing garage,Pomeroy Richmond Road Ramsey Isle Of Man IM8 3PB,PER,12-Jan-21
20/01102/B,"Alterations, installation of a replacement footbridge, resurfacing of car park and relocation of play area",Glen Gardens New Road Laxey Isle Of Man  ,DAPP,07-Jun-21
20/01103/B,Erection of an agricultural building,Field 124817 Ballacallum Red Gates The Lhen Andreas Isle Of Man  ,REF,21-Jan-21
20/01116/B,"Erection of a replacement detached dwelling with associated access, increase of residential curtilage within adjacent field to provide a parking area and erection of a barn",Fern Villa & Part Fields 410213 & 410216 Ballakillowey Road Colby Isle Of Man IM9 4BW,PER,17-Feb-21
20/01136/B,Erection of a replacement storage building,White Gates Lhen Bridge The Lhen Ramsey Isle Of Man IM7 3EP,PER,08-Jul-21
20/01137/B,Alterations and extension to dwelling and erection of replacement detached garage,27 Church Road Onchan Isle Of Man IM3 1BF,REF,27-Jan-21
20/01139/B,Erection of two storey extension and front porch,11 Ballatessan Meadow Peel Isle Of Man IM5 1DU ,PER,28-Jan-21
20/01145/C,Temporary use of site to be used as car park (retrospective),Former Isle Of Man Holiday Camp Victoria Road Douglas Isle Of Man  ,REF,17-Feb-21
20/01156/B,Alteration and erection of an extension to dwelling,Chapel Bay House The Promenade Port St. Mary Isle Of Man IM9 5DG,PER,07-Jan-21
20/01160/B,Alterations and erection of single storey extensions,Thie Hollyn Ballamodha Straight Ballamodha Ballasalla Isle Of Man IM9 3AY ,PER,07-Jan-21
20/01167/B,Alterations and erection of extension to side of elevation and alterations to vehicle access,14 Cronk Cardle Corony Ramsey Isle Of Man IM7 1ET,PER,17-Feb-21
20/01174/B,"External modifications to previously approved Unit 3, including the relocation of parking bays and the change in proposed use from Retail/Commercial to Food and Drink (Class 3)",Garage Showroom Workshop & Premises (Former Eurocars Site) Peel Road Douglas Isle Of Man IM1 5ED ,PER,07-Jan-21
20/01178/B,Alterations and extensions to existing property including demolition works at rear of property,16 Selborne Road Douglas Isle Of Man IM1 4BU,PER,16-Mar-21
20/01179/CON,Registered Building Consent for the demolitions elements within PA 20/01178/B,16 Selborne Road Douglas Isle Of Man IM1 4BU,PER,16-Mar-21
20/01180/GB,"Structural repair to front elevation - remove render, replace lintels, reinstate render, reinstate internal plaster finish which is currently in a state of disrepair due to water ingress",9 Harris Terrace Douglas Isle Of Man IM1 3LZ,PER,13-May-21
20/01185/A,Approval in Principle for area of residential development,Millmount Douglas Isle Of Man  ,PER,16-Aug-21
20/01202/B,Erection of temporary gazebo through winter months to provide weather protection,New Post Office Douglas Street Peel Isle Of Man IM5 1BB ,DMWDN,09-Feb-21
20/01204/B,Erection of detached Dwelling with driveway and alterations to vehicular access,Plot North Of Turnberry Alberta Drive Onchan Isle Of Man IM3 1LT ,PER,12-Mar-21
20/01207/B,"Alterations, erection of extension to front and rear elevations and alterations to driveway and vehicular access",Blossom Hill Main Road Union Mills Isle Of Man IM4 4ND ,PER,08-Jan-21
20/01209/B,Alterations and erection of first floor extension,Cooyrt Bane Ballafayle Ramsey Isle Of Man IM7 1ED ,PER,05-Feb-21
20/01211/B,Conversion of workers cottage to a dwelling house including erection of an extension and vehicle access,Former Groundsman's Cottage Douglas Cemetery Glencrutchery Road Douglas Isle Of Man IM2 6DB,REF,09-Feb-21
20/01215/B,Creation of new vehicular access,Field 435406 Braaid Road St Marks Ballasalla Isle Of Man  ,PER,01-Jun-21
20/01220/B,Erection of 48 apartments with associated parking,"Former Police Station, Apartments, And Methodist Church   Snaefell Road Douglas Isle Of Man",PER,07-Jan-21
20/01229/B,Erection of extension to provide garage and living accommodation,Cooil Shellagh Douglas Road Kirk Michael Isle Of Man IM6 1AU,PER,05-Feb-21
20/01233/B,Erection of detached building and patio area,10 Sprucewood Close Foxdale Isle Of Man IM4 3JT ,PER,11-Jan-21
20/01238/B,"Installation of hanger/garage door, creation of a new external fire exit and reconfiguration of existing external fire escape staircase",Manx Museum Kingswood Grove Douglas Isle Of Man IM1 3LY ,PER,01-Feb-21
20/01244/B,Installation of a replacement roof and rear wall to storage barn,Ballakewin Old Farm Foxdale Road Ballasalla Isle Of Man IM9 3ET,PER,08-Jan-21
20/01245/B,Conversion of single dwelling into two dwellings,Glen View Cottage Main Road Foxdale Isle Of Man IM4 3EF,PER,05-Feb-21
20/01246/B,Erection of a dwelling,Land Between Glas Choille And Winston Glen Auldyn Ramsey Isle Of Man  ,PER,23-Apr-21
20/01247/B,Erection of a single storey extension to the rear elevation and installation of a flue,18 Aspen Drive Ballawattleworth Peel Isle Of Man IM5 1WT ,PER,30-Apr-21
20/01248/A,"Approval in principle for the erection of a dwelling, including siting of dwelling.",Heather View Vicarage Road Douglas Isle Of Man IM2 2QF,REF,03-Mar-21
20/01249/B,Erection of sunroom extension to rear elevation and front porch extension,11 Pinehurst Glen Douglas Isle Of Man IM2 1PP ,PER,05-Jan-21
20/01250/B,Single storey rear extension and widening of existing driveway,Kylestrome Garth Avenue Surby Port Erin Isle Of Man IM9 6QZ,PER,15-Jan-21
20/01251/B,Side extension to provide additional dance area space,The Studio Former Christian Bretheren Church Switzerland Road Douglas Isle Of Man IM2 4NG ,PER,17-Mar-21
20/01252/B,Installation of an electric vehicle charging point,Sea Terminal Victoria Pier Douglas Isle Of Man IM1 2BX ,PER,05-Jan-21
20/01254/B,Installation of air source heat pump,3 Spring Gardens Douglas Isle Of Man IM1 3JN,PER,12-Feb-21
20/01256/B,Erection of booking office and souvenir shop,Lhen Coan Station Groudle Glen Railway King Edward Road Onchan Isle Of Man IM3 2JY,PER,10-Aug-21
20/01257/B,Erection of garage to the rear of the property,19 Waterloo Road Ramsey Isle Of Man IM8 1DT,REF,12-Jan-21
20/01258/B,Installation of 36no. ground level solar panels and 4no. air source heat pumps,Ballanoa Andreas Road Dhoor Ramsey Isle Of Man IM7 4EE,PER,17-Feb-21
20/01263/MCH,Minor Changes application to PA 18/00144B involving the installation of air source heat pumps,Summerhill Views Care Home Victoria Road Douglas Isle Of Man IM2 4AF ,WDN,09-Sep-21
20/01264/B,"Installation of gas meter on front elevation, and patio doors and new window to rear.",23 Queen Street Castletown Isle Of Man IM9 1PB,PER,13-Jan-21
20/01266/B,Erection of rear extension and installation of a replacement rear dormer,19 Kissack Road Castletown Isle Of Man IM9 1NW,PER,18-Jan-21
20/01268/B,Replacement windows to Kensington Road Elevation,Youth Centre Kensington Road Douglas Isle Of Man IM1 3EG ,PER,13-Jan-21
20/01270/B,Installation of multiple ground solar panels,Field 514066 Mill House Old Castletown Road Santon Isle Of Man  ,PER,05-Feb-21
20/01271/B,Erection of a rear extension,9 Manor View Douglas Isle Of Man IM2 2PB,PER,13-Jan-21
20/01272/B,Installation of a replacement front door,20 Westminster Terrace Douglas Isle Of Man IM1 4EE,PER,07-Jan-21
20/01274/B,Erection of two Polytunnels,Field 420959 Ronague Road Ronague Castletown Isle Of Man IM9 4HG ,PER,31-Mar-21
20/01276/CON,Registered Building Consent for removal of a mast (retrospective),Municipal Gardens Derby Square Douglas Isle Of Man IM1 3LS,PER,16-Feb-21
20/01280/B,"Alterations to external walls, doors, windows and roof",Toilet Block Main Road Ballaugh Isle Of Man IM7 5EY ,PER,08-Jan-21
20/01281/B,Installation of replacement windows and doors,6 Albert Street Douglas Isle Of Man IM1 2QA,PER,08-Jan-21
20/01282/B,Erection of front porch canopy and alterations to existing windows,Baldromma House Maughold Isle Of Man IM7 1AT ,PER,12-Jan-21
20/01283/C,Additional use of two rooms for guest / tourist use,Glenduff House Glen Duff Ramsey Isle Of Man IM7 2AT ,PER,08-Jan-21
20/01285/B,Installation of replacement doors and French doors,Bayr Dowin Cottage Baltic Road Kirk Michael Isle Of Man IM6 1EF,PER,11-Jan-21
20/01288/B,Erection of summer house for use as hair salon,17 Broogh Wyllin Kirk Michael Isle Of Man IM6 1HU ,PER,17-Feb-21
20/01289/B,Alteration and extension to dwelling,Ballacomish Cottage Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF,PER,09-Feb-21
20/01290/B,"Erection of detached garage & store, alterations to improve vehicular access and partial expansion of residential curtilage into field no 421122",Ballacomish Cottage & Part Field 421122 Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF,PER,09-Feb-21
20/01292/C,Change of use from retail (class 1.1) to an estate agents (class 1.2),60 Parliament Street Ramsey Isle Of Man IM8 1AJ,PER,12-Jan-21
20/01293/D,Installation of both illuminated and non-illuminated signage,60 Parliament Street Ramsey Isle Of Man IM8 1AJ,PER,12-Jan-21
20/01294/B,"Variation of conditions 2 and 3 of PA 20/01024/C, Change of use from retail (class 1.1) to a combined use as food and drink (class 1.3) with related hot food takeaway (class 1.4)",Small Retail Unit Crosby Meadow Estate Peel Road Crosby Isle Of Man  ,PER,10-Feb-21
20/01295/B,Erection of a single storey extension and replacement of existing windows,36 Westbourne Drive Douglas Isle Of Man IM1 4BA,PER,11-Jan-21
20/01298/B,Enclosure of balcony (retrospective),206 Kings Court Ramsey Isle Of Man IM8 1LL ,PER,14-Jan-21
20/01300/B,Alterations and erection of a single storey extension,16 Copse Hill Douglas Isle Of Man IM2 1ND,PER,11-Jan-21
20/01301/C, Change of use from light industrial to an art/pottery studio,Unit 1 Old Gas Works Mill Road Peel Isle Of Man  ,PER,07-Jan-21
20/01302/B,Alteration and first floor extension,Costa Coffee  Small Retail Unit Adjacent To Main Retail Unit Crosby Meadows Estate Peel Road Crosby Isle Of Man  ,PER,27-Apr-21
20/01303/B,Enclosure of the covered front entrance door to create an Entrance Porch.,8 Robert Cubbon Close Reayrt Y Sheear Douglas Isle Of Man IM2 6PT ,PER,01-Feb-21
20/01304/B,Erection of a single storey rear extension to replace existing conservatory,22 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HX,PER,27-Jan-21
20/01306/B,"Alterations including replacement windows and doors, installation of dormers, and erection of ground floor extensions",Ballaharry Bluebell Lane Crosby Isle Of Man IM4 4BX,PER,27-Jan-21
20/01307/B,Construction of nine new garages and four bike stores,Land At Corner Of Lhon Vane Close And Lhon Dhoo Close Onchan Isle Of Man IM3 3BD ,PER,17-Feb-21
20/01308/B,Installation of 2 no. rooflights,7 Cassa Field Onchan Isle Of Man IM3 1BU ,PER,03-Feb-21
20/01309/B,"Erection of rear extension, extension of first floor dormer, and window alterations with creation of a Juliet balcony",Trie Cassyn Main Road Kirk Michael Isle Of Man IM6 1AH,PER,19-Feb-21
20/01310/D,Installation of illuminated signage,20 West Quay Ramsey Isle Of Man IM8 1DL,PER,22-Jan-21
20/01311/C,Additional use of office/storage as tourist accommodation during the TT and Grand Prix periods,Allandale Farm Ballamanagh Road Sulby Isle Of Man IM7 2HB ,REF,13-Jan-21
20/01313/B,Installation of a flue,8 Creggan Ashen Glen Maye Park Glen Maye Isle Of Man IM5 3DA ,PER,01-Feb-21
20/01314/D,"Installation of signage on 12 external windows at the front and side of the property, and one JTC Logo on the external wall to the right of the entrance",Quay West Bridge Road Douglas Isle Of Man IM1 5NA ,PER,04-Mar-21
20/01316/B,Conversion of rear extension from residential use (class 3.3) to tourist accommodation (class 3.6),Elgin Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW,REF,01-Feb-21
20/01317/B,Erection of a detached dwelling with associated parking and vehicular access,Plot South Of 1-6 Oakhill Court Stevenson Way Douglas Isle Of Man  ,PER,30-Mar-21
20/01318/B,"Erection of extension to existing garage and alterations including installation of dormers, rooflights, roof works, rendering works and vehicle access",Sherwood Crescent Road Ramsey Isle Of Man IM8 2JR,PER,22-Jan-21
20/01320/B,Resurfacing and alteration to both carriageway and footway and installation of a flood defence wall from Station Place to Peel Harbour Bridge,"East Quay, Station Place, And Part Station Road Peel Isle Of Man  ",PER,17-Mar-21
20/01321/B,Erection of a detached dwelling with an integral garage,Plot Adj To 14 Romney Wynd Clifton Drive Ramsey Isle Of Man  ,PER,13-May-21
20/01322/B,"Variation of condition 2 to PA 20/00909/C Additional use of residence as brewery business and distributor to public houses, to increase the number of staff",Lough Ned Oak Hill Port Soderick Isle Of Man IM4 1AN,PER,05-Feb-21
20/01324/B,Erection of a dwelling,Saoirse Station Road Port St. Mary Isle Of Man IM9 5LF ,REF,14-Jan-21
20/01325/LAW,Certificate of Lawful Development for the installation of replacement windows and doors and the installation of a replacement fire escape,43 Woodbourne Road Douglas Isle Of Man IM2 3AD,CLAWA,15-Jan-21
