Planning Application No,Proposal,Property Address,Decision,Date decision issued
20/01556/B,Conversion of existing agricultural barn to tourist accommodation,West Craige Cottage St Judes Road West Craig Ramsey Isle Of Man IM7 3BY,PER,12-Feb-21
20/01557/B,Erection of an extension to rear elevation,Erinville 18 Woodlea Villas Main Road Crosby Isle Of Man IM4 4BJ ,PER,27-May-21
21/00001/MCH,Minor Change application to PA 19/00973/B involving alterations to approved conservatory extension,Casa Cascada (formerly Shady Moar) Shore Road Glen Maye Isle Of Man IM5 3BG ,PER,10-Feb-21
21/00002/B,Proposed alterations and erection of extension,53 Brunswick Road Douglas Isle Of Man IM2 3NW,PER,30-Apr-21
21/00003/B,Mono pitch extension to garage.,9 The Promenade Raglan House Castletown Isle Of Man IM9 1BJ,PER,18-Feb-21
21/00004/B,Alterations and erection of an extension to rear elevation,Fairhaven Mount Rule Douglas Isle Of Man IM4 4HR ,PER,18-Mar-21
21/00006/B,"Door / window alterations, roofing works and installation of a roof lantern to rear annexe",Beacon Croft Beacon Croft Lane Port Erin Isle Of Man IM9 6JW ,PER,15-Mar-21
21/00007/B,Alterations and replacement of existing garage doors with new double garage door,7 Pinehurst Glen Douglas Isle Of Man IM2 1PP ,PER,19-Mar-21
21/00008/C,Change of use of industrial unit to gym facilities,14 Hills Meadow Industrial Estate Douglas Isle Of Man IM1 5EA ,PER,29-Apr-21
21/00009/MCH,Minor changes application to PA 20/01025/B involving alterations to the external detail and internal layout of the Maple house type on 5 plots,"Residential Curtilage Of Knock-E-Tholt And Parts Of Gardens Of Adjacent Dwellings Court Hey, Ty Hesq & Westlands Douglas Road Kirk Michael Isle Of Man",PER,30-Apr-21
21/00010/B,Alterations and erection of a single storey extension to front elevation,Baltic House Baltic Road Kirk Michael Isle Of Man IM6 1EF,PER,05-Mar-21
21/00011/B,Alterations within rear garden & erection of detached garden room with chimney,13 Reayrt Ny Crink Crosby Isle Of Man IM4 2EA ,PER,18-Mar-21
21/00012/D,Installation of signage and window vinyls,Diamond House  Westmoreland Road Douglas IM1 4AQ,PER,16-Mar-21
21/00013/B,Alterations to existing roof dormer removal of chimney stack and re-roofing works,77 Derby Road Douglas Isle Of Man IM2 3EA ,REF,06-Apr-21
21/00014/B,Installation of 4 external chiller units,Diamond House  Westmoreland Road Douglas IM1 4AQ,PER,16-Mar-21
21/00015/CON,Registered Building consent for demolition elements to PA 21/00013/B,77 Derby Road Douglas Isle Of Man IM2 3EA ,REF,06-Apr-21
21/00016/B,Erection of replacement bridge,Pulrose Bridge Pulrose Road Douglas Isle Of Man  ,PER,02-Mar-21
21/00018/CON,"Registered Building consent for repair works to roof slates, chimney stacks and gable coping slabs. Registered Building Nos. 268",Glen Mooar House Glen Mooar Road St Johns Isle Of Man IM4 3AQ ,PER,16-Mar-21
21/00019/C,Additional use of dwelling as massage therapy business,37 Woodbourne Road Douglas Isle Of Man IM2 3AD,PER,01-Apr-21
21/00023/MCH,Minor Change application to PA 20/00603/B involving alterations to window size and design and external finish,Ballacree Farm Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF ,PER,16-Feb-21
21/00024/B,Erection of 15 detached dwellings (amendment to PA 19/01155/B),"No.s 6, 10, 12, 14, 15, 16, 18, 20,  22, 23, 25, 27, 33, 35 Raad Roagan And 2 Close Skeddan, Glenfaba Rise Peel IM5 1DZ",PER,12-Apr-21
21/00025/B,Alterations and erection of a 2 storey extension to side elevation and single storey double garage with terrace to rear elevation,Ballasaige House Dreemskerry Ramsey Isle Of Man IM7 1BF ,PER,25-May-21
21/00026/B,Construction of Steel Truss Pedestrian Bridges,"St Johns To Kirk Michael Heritage Trail Glen Wyllin Bridge, Glen Mooar Bridge, And A1 Peel Road Bridge  Isle Of Man",DAPP,24-Aug-21
21/00027/B,Erection of a shed (retrospective),Struan Cottage Saint Marys Road Port Erin Isle Of Man IM9 6JG,REF,18-Feb-21
21/00028/B,"Alterations, replace garage door with a window and widening of existing driveway and vehicular access",22 Claughbane Drive Ramsey Isle Of Man IM8 2AY,PER,18-Feb-21
21/00029/B,Erection of rear extension to replace existing conservatory,9 Turnberry Avenue Onchan Isle Of Man IM3 2JS,PER,18-Feb-21
21/00030/B,Erection of an extension to rear elevation,29 Cronk Drean Douglas Isle Of Man IM2 6AU,PER,18-Mar-21
21/00032/B,"Additional use of site for sale of food (30sq.m), sale of outdoor activity and country clothing (75sq.m) and sale of conservatory furniture (50sq.m)",Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man IM4 2AF ,REF,18-Mar-21
21/00033/B,"Window and door alteration, access reconfiguration and installation of a wheelchair platform lift",Heritage Court 41 Athol Street Douglas Isle Of Man IM1 1LA ,PER,22-Apr-21
21/00034/B,Erection of a replacement detached dwelling with integral garage and associated parking,The Haven Arbory Road Castletown Isle Of Man IM9 1ND,PER,25-Feb-21
21/00035/B,Erection of an agricultural building for equestrian storage and storage of field maintenance machinery,Field 121172 Upper Cronk Farm Bride Road Andreas Isle Of Man  ,PER,08-Apr-21
21/00037/B,Proposed replacement porch structure to front elevation and alteration of window / door openings to outrigger,4 Sartfell Road Douglas Isle Of Man IM2 3LZ,PER,15-Mar-21
21/00038/CON,Registered Building consent for the demolition elements relating the application 21/00037/B,4 Sartfell Road Douglas Isle Of Man IM2 3LZ,PER,15-Mar-21
21/00039/B,Erection of 2 field shelters for livestock and horses,"Field 434509 Swallows Rest,   Bayrauyr Road St. Marks IM9 3AT ",PER,15-Mar-21
21/00040/B,Erection of a replacement garage/ landscaping store and porch,Close E Kelly Ballamona Straight Jurby Isle Of Man IM7 3AP,PER,01-Apr-21
21/00041/B,Erection of proposed detached dwelling and garage,Plot Adj To Instow & Dreeymlang Ballagorry Drive Glen Mona Ramsey Isle Of Man  ,PER,01-Apr-21
21/00043/C,Change of use to a dental practice,Shop 7 Clinches Court Douglas Isle Of Man IM1 4LH,PER,15-Mar-21
21/00044/B,Installation of decking and creation of additional parking spaces,Shore Hotel Old Laxey Hill Laxey Isle Of Man IM4 7DA,WDN,19-Feb-21
21/00045/B,Erection of detached garages to rear of dwellings,12 & 14 St Catherines Close Douglas Isle Of Man IM1 4HY ,PER,18-Jun-21
21/00046/B,Alterations and erection of garden room extension to replace existing conservatory on rear elevation of dwelling.,Croftbank 5 Clifton Drive Ramsey Isle Of Man IM8 3ND,PER,18-Mar-21
21/00048/B,Removing of the ramp and staircase in front of the shopfront,1886 Bar And Grill 6 Regent Street Douglas Isle Of Man IM1 2EA ,PER,26-Apr-21
21/00049/B,"Extension of the residential curtilage, erection of new garage and extension to the rear of the existing dwelling, creation of new site entrance, driveway and turning area",Rose Cottage Ballafreer Lane Union Mills Isle Of Man IM4 4AS ,PER,27-Apr-21
21/00052/B,"Erection of first floor extension to replace existing conservatory, creation of three additional windows and installation of replacement windows and front door",Parkgate House 9 Victoria Road Castletown Isle Of Man IM9 1EN ,PER,16-Mar-21
21/00053/B,Alterations and erection of extension,Sea Bank Marine Terrace Port St. Mary Isle Of Man IM9 5EN ,PER,16-Mar-21
21/00055/B,Removal of rear chimney stack,Weston 74 Main Road Onchan Isle Of Man IM3 1AL,PER,18-Mar-21
21/00056/B,Variation of condition 2 to PA 19/01284/C to extend opening hours of restaurant,Athol Park Guest House Athol Park Port Erin Isle Of Man IM9 6EX ,WDN,12-Mar-21
21/00057/B,Installation of replacement roofing to 39 dwellings,1-39 Strang Close Strang Douglas Isle Of Man IM4 4QU,PER,19-Mar-21
21/00058/REM,Reserved Matters application to PA 19/00686/A for the erection of a detached dwelling and garage,Land Adjacent To Laurieston House Booilushag Ballajora Ramsey Isle Of Man IM7 1BB,PER,26-Apr-21
21/00059/B,Conversion and extension of existing stone storage building for both tourist and residential use,Ballig Handleys Corner Kirk Michael Isle Of Man IM6 1AY,PER,12-May-21
21/00060/B,Installation of a flat roof dormer to the rear elevation,8 Ballaglonney Close Crosby Isle Of Man IM4 2DH,REF,24-Mar-21
21/00061/B,Alterations and erection of an extension with integral garage,Borodaill Peel Road Glen Mooar Kirk Michael Isle Of Man IM6 1HL ,PER,01-Apr-21
21/00062/B,Installation of replacement windows,14 Cronkbourne Road Douglas Isle Of Man IM2 3LB,PER,16-Mar-21
21/00063/LAW,Certificate of Lawful Use for conversion of dwelling into flats,Ar-Tigh Westmoreland Road Douglas Isle Of Man IM1 4AW,CLAWR,16-Jun-21
21/00065/B,"Replace garage door with bi folding door, window alterations and creation of rear doorway",Thie Noa Grove Mount Ramsey Isle Of Man IM8 3HE ,PER,25-Feb-21
21/00066/B,Widening of existing driveway,9 Devonshire Road Douglas Isle Of Man IM2 3QY,PER,15-Mar-21
21/00067/B,Re-location of existing gate access to improve visibility and erection of proposed agricultural storage building in west corner of Field No 211069,Field 211069 Jurby Road Sandygate Ramsey Isle Of Man  ,REF,24-Mar-21
21/00068/B,Installation of replacement windows (retrospective),Marlor House 130 Woodbourne Road Douglas Isle Of Man IM2 3BA ,PER,15-Mar-21
21/00070/B,Creation of traffic calming measures,Section Of Road Near Roundabout Victoria Road Castletown Isle Of Man,PER,29-Mar-21
21/00071/B,Erection of rear single storey extension and installation of replacement windows,25 Douglas Street Peel Isle Of Man IM5 1BA,PER,24-Mar-21
21/00072/CON,Registered Building consent for the demolition elements relating the application 21/00071/B,25 Douglas Street Peel Isle Of Man IM5 1BA,PER,24-Mar-21
21/00073/A,Approval in Principle to erect a single dwelling,Land East Of Thie Corneil Clay Head Road Baldrine Isle Of Man IM4 6DN ,REF,07-May-21
21/00074/B,Variation of Condition 1 of PA 19/00163/B for an extension of time for a further 2 years,Builders Yard  Corner Of Marine Rd & Maine Port Erin IM9 6LG,PER,16-Mar-21
21/00075/GB,"Alterations, installation of replacement windows to front elevation and window / door alteration to rear (in association with 21/00077/CON)",Former Lloyds Tsb Bank Market Square The Parade Castletown Isle Of Man IM9 1LQ,PER,15-Mar-21
21/00076/B,Installation of a replacement front door,13 Berkeley Street Douglas Isle Of Man IM2 3QB,REF,12-Apr-21
21/00077/CON,"Registered Building consent for alterations, installation of replacement windows to front elevation and window / door alteration to rear (in association with 21/00075/GB) Registered  Building Nos. 40",Former Lloyds Tsb Bank Market Square The Parade Castletown Isle Of Man IM9 1LQ,PER,15-Mar-21
21/00078/A,Approval in principle for the erection of a dwelling to determine siting and access,Field 210313  Land Adjacent To Ballakeenan Beg Jurby West Crossroads Jurby West Isle Of Man  ,REF,23-Mar-21
21/00079/B,Proposed external air conditioning condenser and edge protection rails on the flat roof to the rear of the property,Lloyds Bank 71 Parliament Street Ramsey Isle Of Man IM8 1AN ,PER,19-Mar-21
21/00080/B,Installation of solar panels and creation of a borehole,Rnli New Norbury Lifeboat House Queens Promenade Ramsey Isle Of Man IM8 1BH,PER,25-Feb-21
21/00082/B,Extension of existing rear first floor balcony,66 Groudle Road Onchan Isle Of Man IM3 2EZ ,PER,19-Mar-21
21/00083/MCH,Minor Change application to PA 18/00637/GB involving the reduction of apartment numbers from 17 to 11 and amendments to elevations and finishes to approved rear apartment block building,Bayqueen Hotel The Promenade Port St. Mary Isle Of Man IM9 5DG ,PER,03-Mar-21
21/00084/B,Removal of Condition 14 to PA 18/00977/B concerning the flood alleviation storage tank,"Former Eurocars Site,  Peel Road Douglas IM10 1MM",PER,12-Apr-21
21/00085/GB,"Demolition of registered building and substation and construction of building to provide 23 apartments and cafe/spa/wellness/gym with associated car parking, landscaping and substation (amendments to previously approved PA18/00637/GB and in association wi",Former Bayqueen Hotel The Promenade Port St. Mary Isle Of Man IM9 5DG ,PER,22-Apr-21
21/00086/B,Erection of a detached building to provide a games room / garden store,25 Farmhill Park Douglas Isle Of Man IM2 2EE,PER,26-May-21
21/00087/B,Construction of a detached home office cabin,Ballaglea Cottage Ballamodha Straight Ballamodha Ballasalla Isle Of Man IM9 3AZ,PER,18-Mar-21
21/00088/B,Re-positioning of 2 parking spaces and re-routing of approved footpath through public open space (amendment to PA 19/00137/B),8 Kennaugh Close And Public Open Space East Of 8 Kennaugh Close Kennaugh Close Reayrt Mie Ballasalla Isle Of Man IM9 2BE ,PER,26-Mar-21
21/00089/B,Alterations and erection of two storey extension to rear of dwelling and front porch extension,Ballamoar Cottage Earystane Colby Isle Of Man IM9 4HN ,PER,27-Apr-21
21/00090/B,"Erection of extension, replace garage door with a window and widening of driveway and vehicular access",6 Highfield Crescent Onchan Isle Of Man IM3 3BH,PER,24-Mar-21
21/00091/C,Change of use of agricultural land to residential use,Part Field 624032 Rear Of 1 And 2 Mount Sayle Port E Vullen Maughold Isle Of Man IM7 1AP ,PER,26-May-21
21/00092/B,Variation of condition 1 to PA 16/01076/B (Erection of two detached dwellings) for an extension of time for a further 4 years,Site Adjacent To Drumain Farm Ballaragh Laxey Isle Of Man IM4 7PN ,PER,27-Apr-21
21/00093/B,"Alterations, erection of ground and first floor extensions and installation of a flue",Coach House Ballaterson Beg Ballaugh Isle Of Man IM7 5BN,PER,24-Mar-21
21/00094/B,"Alterations, replacement of garage door with a window, erection of a first floor extension and side single extension to provide replacement garage and utility",2 Sprucewood View Foxdale Isle Of Man IM4 3HA ,REF,17-Jun-21
21/00095/B,Installation of bi folding doors to rear elevation,15 Fairway Drive Ramsey Isle Of Man IM8 2BB,PER,24-Mar-21
21/00096/B,Alterations and erection of an extension,44 High View Road Douglas Isle Of Man IM2 5BJ,PER,25-Mar-21
21/00097/B, Single storey extension to existing property to form Swimming Pool and erection of replacement Kitchen / Conservatory,Ballagick Farm Moaney Road Santon Isle Of Man IM4 1HY ,PER,25-Mar-21
21/00098/B,Alterations and installation of two doorways and three roller shutter doors and alteration to building to form four units for existing Research & Development and Light Industrial (Class 2.2) and / or Storage & Distribution (Class 2.4),Media House Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4RA ,PER,19-Mar-21
21/00099/B,"Erection of side and rear extensions to provide garage, living space and ancillary living accommodation and creation of additional driveway and vehicular access",3 Ballastrooan Colby Isle Of Man IM9 4NR,PER,25-Mar-21
21/00100/B,Reduction in size of window on front elevation,19 Fairfield Avenue Onchan Isle Of Man IM3 4BG,PER,21-Apr-21
21/00101/D,Installation of illuminated signage,Court Row Chambers Court Row Ramsey Isle Of Man IM8 1AA,PER,30-Apr-21
21/00102/C,Change of use from delicatessen shop (class 1.1) (part of existing restaurant) to restaurant (class 1.3),Ground Floor  Court Row Chambers Court Row Ramsey Isle Of Man IM8 1AA ,PER,07-Apr-21
21/00103/LAW,Certificate of Lawful Use for removal of an agricultural occupancy condition,New Bungalow   Cooil Roi Farm Barroose Road Baldrine Isle Of Man IM4 6AP,CLAWA,26-Feb-21
21/00104/MCH,Removal of first floor extension above Garage / Utility & removal of First Floor En-suite Alterations. New Canopy structure above Utility door.,Corlea 22 Keeill Pharick Glen Vine Isle Of Man IM4 4EW ,PER,16-Mar-21
21/00105/B,"Removal of existing conservatory, erection of a two storey extension to side elevation, conversion of existing garage and creation of additional hardstanding",11 Whitebridge Road Onchan Isle Of Man IM3 4HQ,PER,27-May-21
21/00107/B,Alterations and replacement of existing shop front windows and door with UPVC windows door,Tower Building Strand Road Port Erin Isle Of Man IM9 6HE,REF,07-Apr-21
21/00108/B,"External alterations including replacing & upgrading cladding, replacement of windows and rendering of facades of three industrial Units","Units 42, 44 & 46 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QS",PER,19-Mar-21
21/00109/CON,"Registered Building consent for repair works, roofing works, replacement windows and doors, installation of a new window (in association with PA 21/00136/GB) Registered Building Number 164",Ivy Bank Falcon Cliff Terrace Douglas Isle Of Man IM2 4AY,PER,04-Jun-21
21/00110/B,Installation of patio doors,39 Selborne Drive Douglas Isle Of Man IM2 3NJ,PER,06-May-21
21/00111/B,Erection of a single storey extension and raised decking to the rear of dwelling,12 Upper Dukes Road Douglas Isle Of Man IM2 4BA,PER,13-Apr-21
21/00112/B,"Alterations to existing conservatory including new glazing, roof, covered patio area, external fireplace and raised decking",Newlands Cronk Lane Union Mills Isle Of Man IM4 4JY ,PER,03-Jun-21
21/00113/LAW,Certificate of Lawful Development for the installation of replacement windows,5 West View Peel Isle Of Man IM5 1BN,CLAWA,21-May-21
21/00114/B,Alterations and erection of a two storey extension to side elevations and widening of vehicle access,79 Cronk Grianagh Estate Douglas Isle Of Man IM4 4RR ,PER,06-Apr-21
21/00115/B,Erection of rear extension to replace existing conservatory,14 St Marys Glebe Port St. Mary Isle Of Man IM9 5PF,PER,19-Mar-21
21/00116/C,Additional use of existing parking spaces for the parking of two minibuses,Castle Rushen High School Arbory Road Castletown Isle Of Man IM9 1RE,PER,01-Apr-21
21/00117/B,Replacement of existing conservatory with single storey extension,18 Hilltop Rise Douglas Isle Of Man IM2 2LE,PER,26-May-21
21/00118/C,Additional use of existing parking spaces for the parking of five minibuses,Bunscoill Rhumsaa Lezayre Road Ramsey Isle Of Man IM8 2PA ,PER,01-Apr-21
21/00119/C,Additional use of existing parking spaces for the parking of two minibuses,Sulby Primary School Main Road Sulby Isle Of Man IM7 2HP ,PER,01-Apr-21
21/00120/B,Erection of a two storey side extension and installation of dormer windows,171 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JG ,REF,13-May-21
21/00121/B,"Replacement of two timber framed sliding sash windows, with installation of 2 uPVC sliding sash windows",Flat 8  Keighley House 59 Loch Promenade Douglas Isle Of Man IM1 2NA,PER,03-Jun-21
21/00122/B,Erection of field shelter and associated food store,Field 424947 Oakhill Mansion  Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF ,PER,06-Apr-21
21/00123/B,Erection of a single storey extension on to the side of existing garage,Balliargey Abbeylands Isle Of Man IM4 5EE ,PER,29-Apr-21
21/00124/B,Erection of an agricultural building,Ballamaddrell Farm Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD ,PER,06-May-21
21/00125/B,Erection of a detached dwelling with integral garage with associated parking and access,Plot 1 Port E Chee Lheaney Road Ramsey Isle Of Man IM8 2JF,REF,24-Mar-21
21/00126/B,Erection of a detached dwelling with integral garage with associated parking and access,Plot 2 Port E Chee Lheaney Road Ramsey Isle Of Man IM8 2JF,REF,24-Mar-21
21/00127/B,Erection of a detached dwelling with integral garage with associated parking and access,Plot 3 Port E Chee Lheaney Road Ramsey Isle Of Man IM8 2JF,REF,24-Mar-21
21/00128/LAW,Certificate of Lawful Development for disability lift and access,Cooilbane House Main Road Sulby Isle Of Man IM7 2HR,CLAWA,08-Apr-21
21/00129/B,"Erection of a two storey extension, door / window alterations and installation of a flue",14 Aspen Drive Ballawattleworth Peel Isle Of Man IM5 1WT ,PER,27-May-21
21/00130/B,Erection of an agricultural building,Field 414754 Ballakilpheric Farm Ballakilpheric Colby Isle Of Man IM9 4BT ,PER,13-May-21
21/00131/B,"Conversion of former laundrette and tattoo parlour into 3 apartments and adjacent live in workshop, creation of two pavement terraces and alterations to entrances",22 & 24 Broadway Douglas Isle Of Man IM2 4EL,PER,26-Aug-21
21/00132/B,Alterations and erection of an extension to side elevation,Sycamore House Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW ,PER,27-Apr-21
21/00133/B,Erection of two semi-detached dwellings and creation of new vehicle entrance,Land To Rear Of Glenlea Highfield Drive Baldrine Isle Of Man IM4 6ED ,REF,29-Apr-21
21/00134/B,"Replacement of existing windows and doors, cladding to front and side elevations, rendering works to rear and side elevations",Elm Tree House Main Road Onchan Isle Of Man IM3 1AH,PER,08-Apr-21
21/00135/C,Additional use of residential dwelling as tourist accommodation,The Studio The Terrace Derbyhaven Isle Of Man IM9 1TY,PER,07-Apr-21
21/00136/GB,Installation of replacement windows and doors and creation of a new window (in association with PA 21/00109/CON) Registered Building Number 164,Ivy Bank Falcon Cliff Terrace Douglas Isle Of Man IM2 4AY,PER,04-Jun-21
21/00137/B,"Replacement of existing garage / store, erection of replacement building to create ancillary living accommodation and the additional use for tourist accommodation",Tremesare Lodge Blackberry Lane Douglas Isle Of Man IM2 4PD,PER,13-Oct-21
21/00138/B,Conversion of existing outbuilding / ancillary living accommodation to a dwelling (class 3.3) and relocation of existing stable block,Norfolk Place Main Road Greeba Isle Of Man IM4 3LG,PER,14-May-21
21/00139/B,Erection of a replacement timber fencing and the installation of a flue,Westfield 21 Arbory Road Castletown Isle Of Man IM9 1ND,PER,12-Apr-21
21/00140/B,Additional use of dwelling (class 3.3) as tourist accommodation (class 3.6) and installation of a replacement front door,4 Douglas Street Castletown Isle Of Man IM9 1AY,PER,06-Apr-21
21/00143/B,Installation of replacement windows,14 Thorny Road Douglas Isle Of Man IM2 5ED,PER,19-Mar-21
21/00144/B,"Variation of condition 2 of PA 17/00870/B, Erection of two 6 storey apartment buildings containing 23 apartments in total and associated parking, to amend the car parking provision",Land At Corner Of Premier Road And Mooragh Promenade Premier Road Ramsey Isle Of Man  ,WDN,12-Mar-21
21/00145/B,Erection of a replacement detached garage with games room above,Ard Biljyn Quines Hill Port Soderick Isle Of Man IM4 1AU ,PER,18-Oct-21
21/00146/B,Installation of timber cladding to replace render,5 Ballabeg Grove Glen Vine Isle Of Man IM4 4HZ ,PER,15-Apr-21
21/00147/B,Increase the height of a section of existing fencing,2 St Marys Glebe Port St. Mary Isle Of Man IM9 5PF,REF,25-Mar-21
21/00148/B,Erection of a rear extension,12 Ballaquane Park Peel Isle Of Man IM5 1PT,PER,06-Apr-21
21/00149/B," Alterations and erection of single storey extension, creation of decking, and rendering works",49 Sea Cliff Road Onchan Isle Of Man IM3 2JD,PER,25-Mar-21
21/00150/LAW,Certificate of Lawful Development for the installation of a rear shutter door,9 Mount Bradda Douglas Isle Of Man IM1 4AR,CLAWA,24-Mar-21
21/00151/B,Installation of stone cladding to dwarf walls of porch and stone cladding to south elevation of Cottage 2 and garage doors replaced with French doors to Cottage 3 (retrospective),Glen Moar Tea Room Cottages 2 & 3 Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN ,PER,16-Apr-21
21/00152/B,Creation of a wildlife pond with associated platform,Ballachurry Nature Reserve Old School Road Port St. Mary Isle Of Man IM9 5LR ,PER,09-Apr-21
21/00153/B,Alterations and erection of extensions,1 Ballacaine Cottages Ballamona Straight Jurby Isle Of Man IM7 3AP,PER,07-May-21
21/00154/B,Replacement of part of wall and re-surfacing of footpath (in association with PA 21/00155/CON),Villa Marina Complex Villa Marina Colonade Douglas Isle Of Man IM1 2HH ,PER,28-May-21
21/00155/CON,Registered Building consent for demolition aspect of PA 21/00154/B,Villa Marina Complex Villa Marina Colonade Douglas Isle Of Man IM1 2HH ,PER,26-May-21
21/00156/B,Alterations and erection of extension and porch,30 Bellevue Park Peel Isle Of Man IM5 1UE,PER,25-Mar-21
21/00157/LAW,Certificate of Lawful Development for the creation of a tree house,Kerrowgarrow House Kerrowgarrow Road Greeba Isle Of Man IM4 3LQ,CLAWR,11-Nov-21
21/00158/LAW,Certificate of Lawful development for the removal of a boundary wall,73 Woodbourne Road Douglas Isle Of Man IM2 3AQ,CLAWR,21-May-21
21/00159/MCH,Minor Change application to PA 20/00610/B involving alterations to garage doorway and above internal storage,Lavender Cottage Tosaby Road Eairy Isle Of Man IM4 3HW,PER,24-Mar-21
21/00160/B,Erection of ancillary living accommodation,Blencathra 71 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EW ,PER,13-Apr-21
21/00161/B,"Erection of 3no dwellings with integral garage and associated landscape, drainage and driveways on previously approved site (incorporating amendments to PA20/00931/B)",Field 321270 Park Close Glen Vine Isle Of Man  ,PER,15-Apr-21
21/00162/B,Erection of a detached garage,South View Ballamodha Straight Ballasalla Isle Of Man IM9 3EN,PER,21-Apr-21
21/00164/MCH,Minor Changes application to PA 19/01130/B involving alterations to the service yard and overflow carpark,Tesco Superstore Lake Road Douglas Isle Of Man IM1 5AF,PER,13-May-21
21/00165/B,Installation of a replacement front door,12 Brighton Terrace Douglas Isle Of Man IM1 4AP,PER,12-Apr-21
21/00166/B,Erection of a first floor extension over the existing garage and installation of replacement garage doors,57 All Saints Park Lonan Laxey Isle Of Man IM4 7LD ,PER,10-Jun-21
21/00167/CON,Registered building consent for alterations and internal works RB. 133,Woodland Towers Ashley Road Onchan Isle Of Man IM4 5BB,REF,25-Nov-21
21/00168/C,Temporary use of car park for a period of 5 years,37-41 Circular Road Circular Road Douglas Isle Of Man  ,PER,29-Apr-21
21/00169/B,Installation of replacement windows,Woodbourne Hotel Alexander Drive Douglas Isle Of Man IM2 3QF,PER,07-Apr-21
21/00170/B,Erection of a single storey rear extension and two storey side extension,Woodlands Glen Vine Drive Glen Vine Isle Of Man IM4 4EX,PER,21-Apr-21
21/00171/B,Replacement of existing detached garage at rear with new enlarged garage,2 The Promenade Castletown Isle Of Man IM9 1BJ,PER,17-May-21
21/00173/REM,"Reserved matters application for the erection of a farm workers dwelling addressing siting, internal layout, drainage, design, means of access, landscaping, and external appearance (relating to PA 20/00056/A)",Field 324731 Ballavitchel Road Crosby Isle Of Man  ,PER,01-Jul-21
21/00174/B,Erection of two agricultural buildings and creation of new field access,Field 324368 Top Road Crosby Isle Of Man  ,PER,19-Jul-21
21/00175/MCH,"Minor changes application to PA 17/00852/B involving alterations to retail unit, car parking, cladding, and retaining walls",Crosby Meadows Estate  Ballaglonney Main Road Crosby IM4 2EE,SPLIT,06-Apr-21
21/00176/B,Alterations and erection of a two storey extension,Norfolk Place Main Road Greeba Isle Of Man IM4 3LG,PER,28-Apr-21
21/00177/B,Alterations and erection of an extension,8 Raad Ny Gabbil Castletown Isle Of Man IM9 1HH,PER,30-Apr-21
21/00178/B,Alterations and erection of rear extension,2 Cambridge Terrace Douglas Isle Of Man IM1 3LL,PER,30-Jun-21
21/00179/CON,Registered Building consent for demolition aspect to PA 21/00178/B,2 Cambridge Terrace Douglas Isle Of Man IM1 3LL,PER,23-Jun-21
21/00180/B,Creation of new vehicle access and associated hardstanding,51 Slieau Dhoo Douglas Isle Of Man IM2 5LG,PER,23-Apr-21
21/00181/B,Installation of replacement windows and doors,33 York Road Douglas Isle Of Man IM2 3AY,PER,07-Apr-21
21/00182/B,Creation of all weather outdoor riding area,Ellan Farm Jurby East Isle Of Man IM7 3HA ,PER,28-May-21
21/00183/B,Variation of condition 1 of PA 16/00778/B for an extension of time for a further 4 years,Former Methodist Chapel The Cronk Ballaugh Isle Of Man  ,PER,08-Apr-21
21/00185/B,Conversion of existing barn to residential use and alterations and erection of an extension to dwelling,The Driney Laurel Bank St Johns Isle Of Man IM4 3NL ,PER,23-Sep-21
21/00186/B,Erection of proposed detached dwelling with integral garage on vacant plot.,Plot North Of Ballagorry Heights And Adjacent To Instow Ballagorry Drive Glen Mona Ramsey Isle Of Man  ,PER,30-Apr-21
21/00187/B,"Refurbishment of existing building including cladding works, rooflights, solar panels, replacement of existing windows and doors and creation of additional access door",Castle Industries Building Ronaldsway Industrial Estate Ronaldsway Ballasalla Isle Of Man IM9 2RY,PER,23-Apr-21
21/00188/D,Installation of signage canopies and awnings,1886 Bar And Grill 6 Regent Street Douglas Isle Of Man IM1 2EA,PER,27-May-21
21/00189/B,Construction of First floor extension over garage and erection of garden shed,Greenbank Tynwald Road Peel Isle Of Man IM5 1JZ,PER,30-Apr-21
21/00190/B,Alterations and erection of rear extension,Kerrowdhoo Glen Duff Ramsey Isle Of Man IM7 2AT ,PER,26-May-21
21/00191/B,Alterations and erection of a replacement sun room,2 School Road Onchan Isle Of Man IM3 4LA,REF,28-May-21
21/00192/B,Internal and external alterations to existing dwelling.,Glen Villas Ballamanagh Road Sulby Isle Of Man IM7 2HB,PER,30-Apr-21
21/00193/MCH,Minor Change application to PA 20/00648/B involving relocation of approved garage (retrospective),Ballakinnag House Shore Road Ballaugh Isle Of Man IM7 5AZ ,PER,06-Apr-21
21/00194/B,Installation of two replacement windows to rear elevation,41 Stanley Terrace Christian Street Peel Isle Of Man IM5 1NP ,PER,15-Apr-21
