,Proposal,Property Address,Decision,Date decision issued
22/00412/B,"Removal of front garden wall and formation of hardstanding for car parking facility, lowering of kerb for access. Erection of rear decking and replacement of doors and windows to detached outbuilding with associated works",20 Seaview Road Onchan Isle Of Man IM3 4AQ,REF,26-May-22
22/00414/B,Single storey extension to front elevation,Grianagh Surby Port Erin Isle Of Man IM9 6TA ,PER,20-Jun-22
22/00415/B,Alteration of existing window openings to form new door openings to front and rear elevations,96 Cronk Liauyr Douglas Isle Of Man IM2 5LR,PER,31-May-22
22/00417/B,Proposed relocation of existing vehicular access into domestic property.,North Star House West Baldwin Isle Of Man IM4 5EZ ,PER,24-Jun-22
22/00418/B,"Removal of attached garage and replace with two storey extension and the removal of conservatory and replace with single storey extension and replacement of and extension into roof and front and rear extensions with rear balcony  ",The Croft Glen Auldyn Ramsey Isle Of Man IM7 2AE ,PER,24-Nov-22
22/00419/B,Installation of 14 ground mounted solar PV panels,Gollane House Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF,PER,08-Jul-22
22/00421/B,Alterations to roof-top mechanical and electrical plant,Eagle Court 25 - 27 Circular Road Douglas Isle Of Man IM1 1AD ,PER,22-Jul-22
22/00422/B,Creation of a wildlife pond,QEII High School Nature Area Douglas Road Peel Isle Of Man IM5 1RD ,PER,06-Jun-22
22/00423/B,Widening of existing driveway to accommodate additional vehicles.,2 Cooil Veg Andreas Isle Of Man IM7 4EU,PER,19-Aug-22
22/00425/B,"Variation of condition 4 of PA 21/01503/C to allow two weddings, 24th June 2023 and 8th July 2023, in addition to what has been approved",Kielthusthag Lodge Smeale Ramsey Isle Of Man IM7 3EB ,PER,04-May-22
22/00426/B,Removal of existing porch and reciting of replacement porch to front elevation,Lhoobs Cottage Lhoobs Road Eairy Isle Of Man IM4 3JA,PER,06-Jun-22
22/00427/B,Erection of first floor extension over existing detached swimming pool,Sea Mount Scarlett Castletown Isle Of Man IM9 1TB ,PER,06-Sep-22
22/00428/B,"Conversion of two apartments into one residential property including alteration to window openings on front elevation, alteration to door opening on rear elevation and new windows throughout. Installation of roof mounted solar panels on front elevation In",10 And 10A Castle Street Peel Isle Of Man IM5 1AN,REF,15-Jul-22
22/00429/B,Demolition of existing building and erection of dwelling with integral garage,Port E Chee  Plot 1 Lheaney Road Ramsey Isle Of Man IM8 2JF,PER,28-Jul-22
22/00430/B,Demolition of existing dwelling and erection of a dwelling with integral garage,Port E Chee Plot 2 Lheaney Road Ramsey Isle Of Man IM8 2JF,PER,28-Jul-22
22/00431/MCH,Minor change application to PA 21/01542/B to alter hipped end of extension to gable end to accommodate one additional roof window,9 Knock Rushen Scarlett Castletown Isle Of Man IM9 1TQ ,PER,28-Apr-22
22/00432/B,Erection of a single story garage and living accommodation extension to replace existing garage/workshop,Greenbanks Mount Auldyn Ramsey Isle Of Man IM8 3PJ,PER,20-Jul-22
22/00433/A,Approval in principal for the erection of a detached single storey dwelling.,Plot 18  West Of Watersmeet Riverbank Road Ramsey Isle Of Man IM8 3PR ,PER,20-Jul-22
22/00434/C,Change of use of side extension from residential to tourist accommodation,Elgin Stables Elgin Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW ,PER,19-May-22
22/00435/B, Alterations and extensions to dwelling formed by earlier approval to reinstate (and extend) Tholtan,Field 425114 Nancy's Ballaglonney Farm Ronague Road Ronague Castletown Isle Of Man  ,REF,07-Oct-22
22/00436/B,Removal of existing rear extensions and erection of replacement single storey extension,47 Sunningdale Drive Onchan Isle Of Man IM3 1EL,PER,01-Jul-22
22/00437/B,Removal of a conservatory,The Old Farmhouse Queens Road Port St. Mary Isle Of Man IM9 5EZ,PER,06-Jun-22
22/00438/C,Change of use of ground floor office space into fitness gym,Ground Office  Samuel Harris House 5 - 11 St Georges Street Douglas Isle Of Man IM1 1AJ ,WDN,30-Sep-22
22/00440/B,Replacement of fossil fuel oil boiler with installation of Air Source Heat Pump,41 Selborne Drive Douglas Isle Of Man IM2 3NJ ,PER,13-Jun-22
22/00441/B,Erection of single storey extension to rear elevation,9 Hollydene Avenue Onchan Isle Of Man IM3 3HB,PER,30-Sep-22
22/00442/B,Extensions and alterations to existing dwelling to include replacement windows and doors and associated works,Ballacreg Dreemskerry Hill Dreemskerry Ramsey Isle Of Man IM7 1BE,PER,02-Dec-22
22/00444/B,Erection of 2 detached dwellings with integral garages,Land Adjacent To St Olave's Jurby Road Ramsey Isle Of Man  ,PER,05-Aug-22
22/00445/B,Conversion of existing offices into 4 self contained 1 bedroom apartments and 1 studio apartment,Newcourt Chambers Offices 39 Bucks Road Douglas Isle Of Man IM1 3DE ,REF,04-Aug-22
22/00446/GB,"Removal of external staircase on west elevation, structural works to wash house gable and various repairs to external walls (in association with PA 22/00328/CON)",Bishopscourt Mansion House Bishopscourt Kirk Michael Isle Of Man IM6 2EZ ,PER,13-Jun-22
22/00448/B,Demolition of existing stables and store and erection of replacement equestrian single storey building,Kiondhooag East Foxdale Road Foxdale Isle Of Man IM4 3HQ,PER,24-Aug-22
22/00451/GB,"Alterations, erection of ground floor extension and installation of replacement windows (in association with 22/00452/CON)",5 Victoria Terrace Douglas Isle Of Man IM2 4EU,PER,26-May-22
22/00452/CON,"Registered building consent for internal alterations to first floor including moving bathroom and making access from landing, ground floor extensions to kitchen and side and replacement windows (in association with 22/00451/GB) Registered Building Nos. 18",5 Victoria Terrace Douglas Isle Of Man IM2 4EU,PER,26-May-22
22/00453/B,Proposed replacement of existing bay window and porch with new entrance extension,Millbrook Beach Road Port St Mary Isle Of Man IM9 5NE ,PER,27-Jul-22
22/00454/LAW,Replacement windows to front elevation,Southlands 34 Albany Road Douglas Isle Of Man IM2 3ND ,CLAWA,31-May-22
22/00455/B,Conversion from shop (Class 1.1) to food and drink (Class 1.3) involving the installation of a rear flue and reinstatement of rear double doors,10 St Pauls Square Ramsey Isle Of Man IM8 1LE ,PER,08-Jul-22
22/00456/B,Removal of existing balcony and raising of the canopy over the front porch and the erection of entrance gates and posts,8 Hillberry Green Douglas Isle Of Man IM2 6DE,PER,19-May-22
22/00457/C,Additional use of a Residential apartment to provide self-catering tourist accommodation,Apartment 2 First Floor  Formerly Known As Rosslare 7 Mount Morrison Peel Isle Of Man IM5 1PN ,PER,04-Aug-22
22/00459/B,"Alterations to side extension including change of roof pitch, installation of a flue, installation of door to front elevation, and increase in size of window on rear elevation (retrospective)",48 Groudle Road Onchan Isle Of Man IM3 2EE ,PER,22-Jul-22
22/00460/B,"Alterations, extension of extension, roofing works, window / door alterations and installation of a flue",Cronk Breck Grenaby Ballasalla Isle Of Man IM9 3BD ,PER,27-Jul-22
22/00461/B,Re-render the existing front rendered wall and render existing brick side elevation,Savoy 6 Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU ,PER,24-Jun-22
22/00462/B,Erection of extension to replace existing conservatory,Dreemskerry Dreemskerry Hill Dreemskerry Ramsey Isle Of Man IM7 1BE,PER,26-May-22
22/00463/B,Erection of a rear Sun Room,2 Church View Court Ballakilley Port Erin Isle Of Man IM9 6DZ ,PER,05-Aug-22
22/00464/B,Erection of a building to provide a Veterinary Practice,Kennaa Farm Stables Kennaa Equestrian Centre  Kennaa Road St Johns Isle Of Man IM4 3LW,PER,03-Oct-22
22/00466/B,Installation of replacement windows and doors to front and rear elevations,Many Tides 2 Minorca Cottages Minorca Hill Laxey Isle Of Man IM4 7DN,REF,22-Jul-22
22/00467/D,Installation of replacement illuminated signage,Shore Hotel Old Laxey Hill Laxey Isle Of Man IM4 7DA,PER,16-Jun-22
22/00468/B,Installation of replacement windows and entrance doors to existing building,Shore Hotel Old Laxey Hill Laxey Isle Of Man IM4 7DA,PER,15-Jun-22
22/00469/GB,Alterations to facilitate a change of use of property to a single residential dwelling (in association with PA 22/00472/CON),The Court House Main Road Kirk Michael Isle Of Man IM6 1AJ ,PER,20-Jun-22
22/00470/B,Erection of single storey triple garage with glazed link to dwelling.,Silverburn Farm Ballamodha Straight Ballasalla Isle Of Man IM9 3ES,PER,29-Jul-22
22/00471/B,"Alterations, erection of extension to replace rear conservatory, replacement roof tiles and installation of a flue",2 King Orry Road Glen Vine Isle Of Man IM4 4EL,PER,05-Aug-22
22/00472/CON,Registered Building consent for internal and external alterations to facilitate a change of use of property to a single residential dwelling (in association with 22/00469/GB) Registered Building Nos. 136,The Court House Main Road Kirk Michael Isle Of Man IM6 1AJ ,PER,15-Jun-22
22/00473/B,"Reinstatement to dwelling, erection of two storey rear extension and rear pitch roof dormer, and alterations (including roof lights, re-rendering, re-roofing, chimney repair, and new window and door installations)",Ballamaddrell Cottage Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD,PER,05-Dec-22
22/00474/B,"Conversion of existing roof space into additional living accommodation, including rear dormer and erection of front Porch.",Halcyon 5 Cooil Avenue Kirk Michael Isle Of Man IM6 1HD ,PER,20-Jul-22
22/00476/B,Additional use of part of field 430720 for the erection of three polytunnels,Field 430720 Bayrauyr Road St Marks Ballasalla Isle Of Man  ,PER,09-Aug-22
22/00477/C,Additional use for storage and distribution to existing light industrial unit,Unit 9 The Paddocks Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,PER,28-Jul-22
22/00478/B,A single storey rear extension to replace the existing conservatory,73 Silverburn Crescent Ballasalla Isle Of Man IM9 2DY,PER,15-Jun-22
22/00479/B,"Replace full height window from Master Bedroom to a pair of glazed doors and creation of terrace on the flat roof of a single storey extension, with associated frameless glass balustrade.",Westwood House Dalby Isle Of Man IM5 3BT ,PER,22-Jul-22
22/00480/B,Replacement roof (Retrospective),11 Shirragh Way Port Erin Isle Of Man IM9 6FB,PER,21-Jun-22
22/00481/B,Removal of chimney stack,Hi-Lo House Croit E Quill Road Laxey Isle Of Man IM4 7JD,PER,01-Jul-22
22/00484/B,Replacement windows,32 Derby Road Douglas Isle Of Man IM2 3ET,PER,27-Jun-22
22/00485/B,Temporary erection of a stage and associated structures for four weeks over the TT period,Villiers Square Fort Street Douglas Isle Of Man IM1 2AX ,PER,07-May-22
22/00486/B,Extension to residential curtilage and the installation of a new vehicular access and driveway and the blocking up of two existing accesses,Heatherlea Ballakillowey Road Colby Isle Of Man IM9 4BW,PER,06-Sep-22
22/00487/GB,Replacement of existing roof light with velux conservation style roof light (in association with Registered Building application 22/00384/CON),Ivy Bank Falcon Cliff Terrace Douglas Isle Of Man IM2 4AY,PER,30-May-22
22/00488/B,Raise the level of existing roof over garage to create new first floor living accommodation,16 Manor Park Onchan Isle Of Man IM3 2EP ,PER,29-Jul-22
22/00489/MCH,Minor Change application to PA 16/00925/B involving the application of render to both front and rear elevations,45 Harcroft Meadow Douglas Isle Of Man IM2 1JT ,PER,23-May-22
22/00490/B,Erection of replacement detached workshop and storage of motor vehicles.,Ellan Shilley Barrule Road Foxdale Isle Of Man IM4 3ES,PER,02-Aug-22
22/00492/B,Engineering works to existing bridge and provision of a new pedestrian footpath on the west side of the bridge,Santon Bridge Main Road Santon Isle Of Man IM4 1EN ,REF,04-Oct-22
22/00494/B,Erection of a sunroom extension to replace existing conservatory,18A Hilltop Rise Douglas Isle Of Man IM2 2LE ,PER,19-May-22
22/00495/B,"Alterations, erection of a 2nd floor extension, re-roofing works, installation of four dormer windows, replacement windows and an electric vehicle charge point and provision of split level apartment and kitchen to upper floors for employee use",Westmoreland House 32 Circular Road Douglas Isle Of Man IM1 1AE ,PER,29-Jul-22
22/00496/B,Installation of replacement windows to front elevation,32 Selborne Drive Douglas Isle Of Man IM2 3NH,PER,19-May-22
22/00497/B,Single storey Flat Roof Extension to the rear elevation,8 Sandringham Drive Onchan Isle Of Man IM3 4HH,REF,05-Aug-22
22/00498/B,Replacement roof,2 Belmont Villas Jurby Road Ramsey Isle Of Man IM8 3PF ,PER,01-Jul-22
22/00500/B,Alterations and erection of rear extension,1 Belgravia Douglas Isle Of Man IM2 7DL,PER,15-Jul-22
22/00504/B,Erection of a quadruple garage and storage building,Lower Milntown Farm Lezayre Road Ramsey Isle Of Man IM8 2TH,PER,01-Jul-22
22/00505/B,"Conversion of dwelling into two flats. Removal of second floor dormers and installation of replacement single dormer and roof terrace. Removal of rear chimney stack, external staircase and walls. Installation of rear doors and window to ground floor with ",Devonshire House 4 Victoria Terrace Peel Isle Of Man IM5 1PG ,PER,01-Nov-22
22/00506/B,Erection of a Multi-Purposes Agricultural Shed,Close Yn Ellan St Judes Road Sulby Isle Of Man IM7 2ES,PER,24-Nov-22
22/00507/B,Replacement door at main entrance to property,10 Water Street Ramsey Isle Of Man IM8 1JP ,PER,22-Jul-22
22/00508/B,Demolition of utility room to the rear elevation. Erection of replacement utility room to the rear elevation,Ballagawne Farm Ballagawne Road Ballabeg Castletown Isle Of Man IM9 4PD,PER,05-Aug-22
22/00509/B,Removal of a fossil fuel boiler and the installation of an Air Source Heat Pump.,22 Erin Way Port Erin Isle Of Man IM9 6EF ,PER,22-Jun-22
22/00510/B,Installation of replacement windows to front and rear elevations,46 Woodbourne Road Douglas Isle Of Man IM1 3AN,PER,31-May-22
22/00511/B,Erection of a replacement sun room and installation of a flue,Ballafletcher Cottage Peel Road Braddan Douglas Isle Of Man IM4 4LD,PER,13-Jul-22
22/00513/B,Two storey extension with roof terrace and creation of replacement porch entrance,Waterfall Barn Shore Road Glen Maye Isle Of Man IM5 3BG ,PER,07-Oct-22
22/00514/B,"Conversion of attached garage into bedroom, removal of garage door and installation of replacement window",31 Ballellis Ballawattleworth Estate Peel Isle Of Man IM5 1WZ ,PER,15-Jul-22
22/00515/B,Replacement of garage door with a window and doorway and formation of French doors to side elevation and bi folding door to rear elevation,4 Stowell Place Castletown Isle Of Man IM9 1HF,PER,13-Jul-22
22/00516/B,Erection of a detached summer house with storage,Chequers Garey Ramsey Isle Of Man IM7 2EQ ,PER,22-Jul-22
22/00517/B,2 storey extension to front elevation with internal alterations and minor landscaping works,Braywood 51 Howe Road Onchan Isle Of Man IM3 2AZ,PER,09-Dec-22
22/00518/B,Erection of a detached dwelling with integral garage,Land Adjacent To Peacehaven Minorca Hill Laxey Isle Of Man IM4 7DN,REF,28-Jul-22
22/00519/C,Change of use of first floor to a gaming lounge,Unit 2 Concorde House Westbourne Road Ramsey Isle Of Man IM8 2ER ,PER,05-Sep-22
22/00520/B,Proposed erection of dwelling,Land To The West Of 17 Royal Park Royal Park Ramsey Isle Of Man  ,PER,03-Oct-22
22/00521/B,Erection of a rear conservatory,26 Claughbane Drive Ramsey Isle Of Man IM8 2AY,PER,01-Jul-22
22/00522/B,"Erection of rear and side extension, installation of replacement roof tiles and creation of additional off road parking",86 Birch Hill Crescent Onchan Isle Of Man IM3 3DA,PER,31-May-22
22/00523/B,Creation of driveway and vehicular access,3A Coburg Road Ramsey Isle Of Man IM8 3EH,PER,29-Jul-22
22/00525/B,Alteration and erection of extension to first floor over existing garage,2 River Vale Braddan Douglas Isle Of Man IM4 4TH,PER,12-Jul-22
22/00526/B,Single storey extension to rear and side elevations,28 St Catherines Close Douglas Isle Of Man IM1 4JA ,PER,05-Aug-22
22/00527/B,Single storey extension to the rear of the house and re-roofing to main house and bay window,9 Bay View Road Onchan Isle Of Man IM3 1HX,PER,22-Jun-22
22/00529/B,Installation of a rooflight (retrospective),2 Marguerite Cottage Glen Road Laxey Isle Of Man IM4 7AN,PER,13-Oct-22
22/00530/B,Demolition of kitchen and conservatory and erection of replacement kitchen and sunroom with pitched roof also covering garage and workshop,Carraghyn Glenlough Circle Glen Vine Isle Of Man IM4 4AX,PER,22-Sep-22
22/00531/B,Creation of a patio door to front elevation,Flat 1 5 The Esplanade Central Promenade Douglas Isle Of Man IM2 4LR ,REF,31-May-22
22/00532/B,Erection of agricultural building,Field 624395 Ballavelt Farm  Cornaa Ramsey Isle Of Man  ,REF,07-Oct-22
22/00533/CON,Registered Building consent for the replacement of ground floor windows and door (in association with PA 22/00534/GB) Registered Building Nos. 31,Lloyd's Pharmacy  1 Malew Street Castletown Isle Of Man IM9 1LG,PER,06-Jun-22
22/00534/GB,Replacement of existing ground floor windows and door (in association with PA 22/00533/CON),Lloyd's Pharmacy  1 Malew Street Castletown Isle Of Man IM9 1LG,PER,06-Jun-22
22/00536/B,Alteration and erection of a two storey extension to provide ancillary living accommodation,Ballacoraige House Cronk Road Ballaugh Isle Of Man IM7 5AT,PER,10-Aug-22
22/00537/B,Siting of a cold storage container and change of use of unit from industrial to food distribution (retrospective),Unit 9 Kirby Farm Industrial Estate Vicarage Road Douglas Isle Of Man IM4 4LA ,PER,02-Sep-22
22/00538/B,Creation of 4 vehicle parking spaces,Tromode House Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4QE,PER,22-Jun-22
22/00539/B,Installation of fixed glazed panel / doors to rear elevation,2 Banks Howe Onchan Isle Of Man IM3 2ET ,PER,22-Jun-22
22/00540/B,Installation of panelling and rendering,Former Shelter Shore Road Port Erin Isle Of Man IM9 6HL ,PER,01-Jul-22
22/00541/B,Removal of existing artificial chimney stack and make roof good and single storey rear extension and attic conversion with front and rear dormers.,10 Imman Stronnag Reayrt Ny Cronk Peel Isle Of Man IM5 1GP ,REF,21-Jul-22
22/00542/B,Erection of replacement single storey detached double garage,Eairy Kennels Tosaby Road Eairy Isle Of Man IM4 3HP ,PER,22-Sep-22
22/00544/B,Rendering of property (Retrospective),Reaghbel 1 Birchleigh Close Onchan Isle Of Man IM3 4EX ,PER,23-Jun-22
22/00545/B,To erect a cycle shelter at the rear of the Town Hall,Town Hall Parliament Square Ramsey Isle Of Man IM8 1RT ,PER,15-Jul-22
22/00546/B,To erect a cycle shelter,Car Park Supermarket Station / Bowring Road Ramsey Isle Of Man IM8 2LL ,PER,13-Jul-22
22/00547/B,Re-configuration of layout of houses and two no. accessible bungalows,Westhill Avenue Castletown Isle Of Man IM9 1HX,WDN,29-Jul-22
22/00548/B,Erection of single storey extension to Dog Kennels to provide indoor exercise area,Dog Kennels Knock E Nean Smeale Road Andreas Isle Of Man IM7 4JA,PER,19-Jul-22
22/00549/B,"Creation of a parkland campus facility comprising of a head-quarters office building with restaurant, caf‚, collaborative working areas and 66 associated staff accommodation units with associated landscaping",Former Isle Of Man Holiday Camp Switzerland Road Douglas Isle Of Man  ,PER,22-Nov-22
22/00550/B,Side and single storey extension to detached garage,Yn Rheash Corlea Road Ballasalla Isle Of Man IM9 3BA,REF,21-Oct-22
22/00551/B,"Change of use to a residential property. Removal of existing garage roof and replace with 2 storey extension, including balcony to front elevation with associated works.",The Garage Esplanade Lane Central Promenade Douglas Isle Of Man IM2 4LP ,REF,21-Oct-22
22/00553/B,"Conversion of existing garage into living space, internal alterations and installation of raised deck over existing rear patio",Renshent 18 Manor Park Onchan Isle Of Man IM3 2EP,PER,12-Jul-22
22/00554/C,Additional use of residence as tourist accommodation,33 Hope Street Castletown Isle Of Man IM9 1AP,PER,12-Sep-22
22/00556/B,Demolish rear conservatory and erection of replacement two storey rear extension and erection of front porch,9 Cronk Y Berry Mooar Douglas Isle Of Man IM2 6HJ,PER,26-Aug-22
22/00557/B,"Erection of detached single storey storage shed and the erection of a detached single storey leisure building with bi-folding doors to side elevation, erection of replacement front porch and installation of a window in existing rear glazed double door to ",9 Cronk Drean Douglas Isle Of Man IM2 6AX,PER,30-Sep-22
22/00558/B,Replacement of an existing window with French doors,Ballacubbon Farmhouse Main Road Colby Isle Of Man IM9 4NF ,PER,22-Jun-22
22/00559/B,Installation of replacement windows,The Coach House Arbory Street Castletown Isle Of Man IM9 1LN ,PER,22-Jun-22
22/00560/B,Convert existing guesthouse into 7no. one bedroom apartments with associated works,8 Clifton Terrace Douglas Isle Of Man IM2 3HX,PER,20-Jul-22
22/00561/B,Extension to existing burial ground,Part Field 434062 Malew And Castletown Burial Ground  Great Meadow Castletown Isle Of Man  ,PER,09-Aug-22
22/00562/C,Additional use of agricultural shed for the parking of a HGV vehicle,Upper Ballachrink Farm St Marks Road Ballasalla Isle Of Man IM9 3AG,PER,06-Sep-22
22/00563/B,Demolish existing rear sun lounge and erection of replacement single storey extension.,Eaynin Dress 14 The Meadows Kirk Michael Isle Of Man IM6 1EX,PER,06-Jul-22
22/00564/MCH,Minor change application to reduce the floor area of one unit in Block D and corresponding changes to the elevations,Former Parkinsons Yard Peel Road Braddan Douglas Isle Of Man IM4 4LE ,PER,07-Jun-22
22/00565/B,Demolish rear conservatory and erection of replacement single storey extension,Thie Ain Ballagawne Road Baldrine Isle Of Man IM4 6EL,PER,13-Jul-22
22/00567/B,Installation of larger junction and pedestrian crossings and the creation of a highway and footpath with associated works.,Balthane Junction Douglas Road Ballasalla Isle Of Man IM9 2DJ,PER,28-Sep-22
22/00568/GB,Alterations to part of an existing outbuilding in connection with the change of use to a refreshments kiosk (in association with PA 22/00569/CON),Point Of Ayre Lighthouse Cranstal Bride Isle Of Man IM7 4BS ,PER,06-Jul-22
22/00569/CON,Registered Building consent for the replacement of two windows and the installation of lighting on an existing outbuilding (in association with PA 22/00568/GB) Registered Building Nos. 147,Point Of Ayre Lighthouse Cranstal Bride Isle Of Man IM7 4BS ,PER,06-Jul-22
22/00570/B,Proposed demolition of existing garage/store and construction of replacement garage/store building,25 Market Street Douglas Isle Of Man IM1 2PA ,PER,15-Jul-22
22/00572/B,Installation of replacement windows and door,10 Auckland Terrace Parliament Street Ramsey Isle Of Man IM8 1AF ,REF,15-Jul-22
22/00573/B,Erection of proposed detached general storage building to rear of dwelling.,Prospect Villa Andreas Road Aust Ramsey Isle Of Man IM7 4EF ,REF,02-Aug-22
22/00575/B,"Rebuilding of outbuilding including new roof, door and window and installation of three replacement rear windows and rear door (retrospective)",Overdale 5 Albany Road Douglas Isle Of Man IM2 3NP,PER,15-Sep-22
22/00576/B,Erection of a storage unit for the duration of 5 years,Unit 2 Ballapaddag Industrial Estate Douglas Isle Of Man IM4 2AF ,PER,27-Jun-22
22/00577/B,Alterations and extension to provide ancillary living accommodation to dwelling and creation new vehicle parking and access,15 Fairway Drive Ramsey Isle Of Man IM8 2BB,PER,30-Sep-22
22/00578/B,"Alterations including the creation of infill extension, installation of flue, windows, patio door, disability access ramp, re-roofing and demolition of chimney stack",23 Alberta Drive Onchan Isle Of Man IM3 1LT,PER,24-Nov-22
22/00579/B,Erection of proposed front canopy porch extension and external alterations to existing Bedroom to provide five roof lights,3 Parsonage Glebe St Johns Isle Of Man IM4 3LT ,PER,19-Aug-22
22/00580/B,"Alterations and erection of a two storey extension to existing public house to provide restaurant, hotel accommodation and staff manager accommodation with associated alterations to existing car park comprising amendments to PA 21/00336/B",Shore Hotel Old Laxey Hill Laxey Isle Of Man IM4 7DA,PER,20-Oct-22
22/00581/LAW,Certificate of lawful development for replacement garage roof and replacement roof tiles to dwelling,44 Alexander Drive  (11 Woodbourne Villas) Douglas Isle Of Man IM2 3QG ,CLAWA,21-Sep-22
22/00582/B,Creation of single storey extension and masonry porch to front door,45 Knock Rushen Scarlett Castletown Isle Of Man IM9 1TQ ,PER,06-Jul-22
22/00583/B,Conversion of building into a single dwelling with integral garage,Former Bakery Christian Street Ramsey Isle Of Man  ,PER,12-Sep-22
22/00585/B,"Alteration and erection of extension to provide living accommodation, ancillary living accommodation and garage",Kiondhooag East Foxdale Road Foxdale Isle Of Man IM4 3HQ,PER,26-Oct-22
22/00586/B,Replacement roof and velux windows with associated works,54 Derwent Drive Onchan Isle Of Man IM3 2DA,PER,15-Jul-22
22/00587/B,Alterations and repairs to existing outbuilding to change layout and cladding,The Warren Clannagh Road Santon Isle Of Man IM4 2HP ,PER,01-Aug-22
22/00588/B,Replacement shop front to ground floor windows,9 Atholl Place Peel Isle Of Man IM5 1HE,PER,22-Jun-22
22/00589/B,Installation of replacement windows to front elevation to sliding sash double glazed windows in white uPVC frames,37 Woodburn Square Douglas Isle Of Man IM1 4DD ,PER,13-Jun-22
22/00590/B,Installation of an heat pump,11 Abbots Drive Abbotswood Ballasalla Isle Of Man IM9 3EB ,PER,24-Jun-22
22/00591/B,Alterations including ground floor extension at rear of property to provide additional living accommodation,16 The Crofts Castletown Isle Of Man IM9 1LY,PER,08-Jul-22
22/00592/CON,Registered Building consent for demolition elements to PA 22/00591/B,16 The Crofts Castletown Isle Of Man IM9 1LY,PER,08-Jul-22
22/00593/B,"Erection of rear porch. Removal of window apertures and installation of replacement front door and windows with associated works and re-rendering of the property.",7 Ballaquane Park Peel Isle Of Man IM5 1PT,PER,29-Jul-22
22/00594/B,Cladding of existing southern elevation following remedial structural repair work,Victory House Prospect Hill Douglas Isle Of Man IM1 1EQ ,PER,27-Jun-22
22/00597/B,"Proposed landscaping works - Erection of ornamental marble columns with capping over, together with tree planting / screening",Ballaman Ballnahowe Port Erin Isle Of Man IM9 6JF ,PER,15-Jul-22
22/00598/B,Extension to rear of the property,Wayside Saint Marys Road Port Erin Isle Of Man IM9 6JL,PER,14-Jul-22
22/00600/B,Conversion of existing attic room into bedrooms with the installation of front and rear roof dormers,Greenbow Saint Marys Road Port Erin Isle Of Man IM9 6JP ,PER,26-Oct-22
22/00601/B,Installation of a flue,22 Crovens Close Douglas Isle Of Man IM2 7AH,PER,15-Jul-22
22/00602/B,"Alterations to existing dwelling including roofing works, alterations to windows and doors, installation of new windows, rebuilding of smaller side extension, replacement front porch and partial re-rendering and installation of cladding",Grenaby Bridge House Grenaby Ballasalla Isle Of Man IM9 3BD ,PER,29-Dec-22
22/00603/B,Replacement of existing conservatory with single storey extension,7 Pinehurst Glen Douglas Isle Of Man IM2 1PP ,PER,20-Jul-22
22/00604/B,Installation of a flue,14 Royal Park Ramsey Isle Of Man IM8 3UF ,PER,15-Jul-22
22/00605/C,Change of use from Office (class 2.1) to Residential (class 3.3),10 Peel Road Douglas Isle Of Man IM1 4LR,PER,05-Aug-22
22/00607/B,Refurbishment of derelict house and barns plus construction of linking extension to form a new dwelling; construction of detached garage / store and creation of new vehicle access using adjacent field,Rollage Ny Twoaie Sloc Road Earystane Colby Isle Of Man IM9 4BW ,PER,10-Aug-22
22/00608/B,Replacement roof and associated works,14 Sunnybank Avenue Onchan Isle Of Man IM3 3BW,PER,22-Jul-22
22/00611/B,Replace rear bay window with a door and window combination,1 Central Drive Onchan Isle Of Man IM3 1ET,PER,19-Aug-22
22/00612/B,Rear single storey extension with bi-folding door,33 Ballachurry Avenue Onchan Isle Of Man IM3 4BA,PER,19-Jul-22
22/00613/B,Replacement of existing rear conservatory with sun room. and first floor extension over Garage.,Hollin Bank 39 Hollin Bank Braddan Douglas Isle Of Man IM4 4TT ,PER,29-Jul-22
22/00614/B,Installation of replacement windows (Retrospective),Harbour Bistro  Shipdesign House East Quay Ramsey Isle Of Man IM8 1BA,PER,13-Jul-22
22/00615/B,Extension to the rear and side and roof height increased for creation of rooms in the loft and installation of 2 dormers to the rear,5 Kirkway Onchan Isle Of Man IM3 1BH ,PER,02-Sep-22
22/00616/B,Installation of flue (Retrospective),30 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT ,PER,08-Jul-22
22/00617/B,Erection of detached single storey summer house to replace existing shed at the rear,Highcroft Upper Cronk Orry / Ramsey Road   Laxey Isle Of Man IM4 7PR,PER,26-Oct-22
22/00618/A,Approval in principle to build a replacement three bedroom two story house with a separate garage and workshop,Thie Dhorlish Rhenab Road Cornaa Ramsey Isle Of Man IM7 1EL ,REF,12-Aug-22
22/00619/B,Erection of a detached garage,Stoneleigh Glen Road Ballaugh Isle Of Man IM7 5JE,PER,02-Nov-22
22/00620/B,Conversion of attached garage into living space with first floor extension above with 2 dormer windows to the front and rear and installation of replacement door and windows to garage door. Erection of replacement front porch and installation of a French ,Hampton Croft Clannagh Road Santon Isle Of Man IM4 2HP ,PER,14-Nov-22
22/00621/B,Conversion of attic to bedroom with installation of a rear dormer and the removal of rear chimney stack with associated works,14 Inner Circle Douglas Isle Of Man IM2 5BE,REF,12-Sep-22
