,Proposal,Property Address,Decision,Date decision issued
21/01488/B,Creation of a new window to rear elevation,Ballastray Glen Maye Park Glen Maye Isle Of Man IM5 3AX,PER,31-Jan-22
21/01489/B,Installation of two Air source heat pump,Lakeside Patrick Road St Johns Isle Of Man IM4 3BP ,PER,02-Mar-22
21/01490/B,Infill extension to rear of house together with new patio area,18 Manor Park Onchan Isle Of Man IM3 2EP,PER,31-Jan-22
21/01491/B,Erection of new timber/steel frame constructed single storey extension to the North East Elevation with terrace over.,Clubhouse Lime Street Port St. Mary Isle Of Man IM9 5ED,PER,26-Apr-22
21/01493/B,Erection of extensions to replace existing conservatory's,Springwaters Ballamodha Straight Ballamodha Ballasalla Isle Of Man IM9 3AZ,PER,31-Jan-22
21/01494/B,Single storey extension to rear elevation.,8 Second Avenue Douglas Isle Of Man IM2 6AW,PER,28-Feb-22
21/01495/B,Ground floor extension to the rear.,44 Malew Street Castletown Isle Of Man IM9 1AF,PER,15-Feb-22
21/01496/CON,Registered Building Consent for demolition elements to PA 21/01495/B,44 Malew Street Castletown Isle Of Man IM9 1AF,PER,15-Feb-22
21/01497/B,Installation of roof mounted solar panels,Croit-Ny-Kiyt Crossag Road Ballasalla Isle Of Man IM9 3EF,PER,04-Feb-22
21/01498/CON,Removal of chimney stack (in association with PA21/00013/B),77 Derby Road Douglas Isle Of Man IM2 3EA ,PER,31-Jan-22
21/01499/B,Alterations and erection of a 2 storey side extension.,16 Corran Pirragh Reayrt Ny Cronk Peel Isle Of Man IM5 1GN ,PER,31-Jan-22
21/01500/B,Installation of replacement window to rear elevation,Flat 2 Oakwood Mount Bradda Douglas Isle Of Man IM1 4AS ,PER,31-Jan-22
21/01503/C,Additional use of gardens as a wedding venue,Kielthusthag Lodge Smeale Ramsey Isle Of Man IM7 3EB ,PER,25-Feb-22
21/01504/B,Erection of a dwelling with associated parking,Leyton Victoria Road Douglas Isle Of Man IM2 6AQ,REF,29-Sep-22
21/01505/B,Creation of 1st floor extension above existing garage and creation of single storey rear extension and extension of driveway and access,12 Auldyn Walk Ramsey Isle Of Man IM8 2TN ,PER,28-Mar-22
21/01506/B,Installation of replacement white framed UPVC windows at third floor level,Apartment 21 Piccadilly Court Queens Promenade Douglas Isle Of Man IM2 4NS ,PER,25-Jan-22
21/01507/B,Erection of a two storey extension to side elevation,25 Oak Road Ballawattleworth Peel Isle Of Man IM5 1WB ,PER,04-Feb-22
21/01508/B,Re siting of two bungalows,School Hill - Westhill  Castletown IM91HS,WDN,02-Aug-22
21/01511/B,"Alterations, erection of rear extension and installation of a rear roof dormer",2 Ballaquane Park Peel Isle Of Man IM5 1PT,PER,18-May-22
21/01512/LAW,"Certificate of lawful development for the erection of a greenhouse, detached garage, shed, and garden walls",Cloughwilley Tosaby Road St Marks Ballasalla Isle Of Man IM9 3AN ,CLAWA,02-Mar-22
21/01513/CON,Repairs to existing window and internal repairs to ceiling and roof space RB.136,The Court House Main Road Kirk Michael Isle Of Man IM6 1AJ ,PER,18-Jan-22
21/01514/B,Creation of off road parking and vehicular access.,4 Western Avenue Douglas Isle Of Man IM1 4ER,PER,04-Feb-22
21/01515/B,Erection of 2 detached dwellings with associated parking,Land Between Glas Choille And Winston Glen Auldyn Ramsey Isle Of Man  ,WDN,20-Jan-22
21/01516/B,Installation of cladding to dwelling,Ginza Mill Road Surby Port Erin Isle Of Man IM9 6QP ,PER,24-Jun-22
21/01517/B,Retrospective application for the installation of a sprinkler system tank and pump with housing,Waste Management Facility Richmond Hill Douglas Isle Of Man IM4 1JL ,PER,24-Feb-22
21/01518/C,Change of use from offices to dwelling houses with additional tourist use.,8 - 9 Myrtle Street Douglas Isle Of Man IM1 1ED ,PER,10-Feb-22
21/01519/B,Installation of replacement windows and doors,66 -70 Malew St & 11A - 17 Mill St.  Castletown Isle Of Man,PER,15-Feb-22
21/01520/B,Erection of a first floor extension above garage,Skerries 3 First Avenue Douglas Isle Of Man IM2 6BA,PER,25-Apr-22
21/01521/B,"Alterations, erection of side and rear extension and creation of roof terrace with associated stairs",Orry Cottage Ramsey Road Peel Isle Of Man IM5 2AF,PER,30-May-22
21/01522/B,Erection of a single storey extension to rear elevation,72 Royal Avenue Onchan Isle Of Man IM3 1LB,PER,08-Feb-22
21/01523/B,Installation of replacement conservatory roof and rooflights,12 Milner Terrace Castletown Isle Of Man IM9 1AJ,PER,15-Feb-22
21/01524/B,Installation of new sliding doors to existing first floor balcony,Marigold House 27 Majestic Drive Onchan Isle Of Man IM3 2JL,PER,08-Feb-22
21/01525/B,Alterations and erection of an extension to existing dwelling,Moon Cottage 1 Port Jack Onchan Isle Of Man IM3 1ED ,PER,08-Feb-22
21/01526/B,Erection of a dwelling,Plot 52 17 River Meadows Castletown Isle Of Man IM9 1DU ,PER,15-Feb-22
21/01527/B,Variation of Condition 1 of PA 17/00976/B for an extension of time for a further 4 years - VARIED TO 2 YEARS by Planning Committee,Bay View Hotel Primrose Terrace Port St. Mary Isle Of Man IM9 5AP,PER,12-May-22
21/01528/B,Alterations and installation of a new vehicle and pedestrian entrance gate,Car Park Lord Street Douglas Isle Of Man IM1 1LE,PER,23-Feb-22
21/01529/B,Installation of replacement shopfront,19 Strand Street Douglas Isle Of Man IM1 2ED,PER,04-Feb-22
21/01530/B,Erection of raised decking to rear elevation (retrospective),73 Port E Chee Avenue Douglas Isle Of Man IM2 5EZ,PER,23-Feb-22
21/01531/B,Alterations and erection of an extension to side elevation,Moaney Moar Farm Ballabooie Road Cronk Y Voddy Kirk Michael Isle Of Man IM6 1HR ,PER,12-Apr-22
21/01532/B,Erection of a sun lounge to rear of property,Sunny Bank Peveril Road Peel Isle Of Man IM5 1PF,PER,21-Feb-22
21/01533/B,Removal of existing redundant chimney stack,14 - 16 St Georges Street Douglas Isle Of Man IM1 1AH,PER,08-Feb-22
21/01534/B,Replacement front door,Granary Cottage Charles Street Close Peel Isle Of Man IM5 1DT ,PER,08-Feb-22
21/01535/B,Installation of additional telecommunication equipment - creation of site access track & erection of compound fencing,Carnane Transmitter Site Old Castletown Road Douglas Isle Of Man IM4 1AF ,PER,07-Jun-22
21/01536/B,Erection of a single storey extension to front elevation,6 Links Close Peel Isle Of Man IM5 1DG,PER,04-Apr-22
21/01537/B,Erection of tourist accommodation and marquee for the period 1st May to 30th September 2022,Former Swimming Pool Site  Marine Parade Peel IM5 1PN ,DMWDN,17-Aug-22
21/01538/D,Installation of illuminated signage,27 Athol Street Douglas Isle Of Man IM1 1LB,PER,02-Mar-22
21/01539/B,Alterations and erection of a two storey extension,Ballacallin House Niarbyl Road Dalby Isle Of Man IM5 3BS,PER,08-Apr-22
21/01540/B,Erection of 6 residential dwellings with associated infrastructure and landscaping,Bix House And Land To Rear Farmhill Lane Douglas Isle Of Man IM2 2EB,PER,01-Sep-22
21/01541/B,Demolition of existing garage & erection of single storey rear extension,8 Primrose Avenue Douglas Isle Of Man IM1 4EB,REF,26-Aug-22
21/01542/B,Erection of rear extension,9 Knock Rushen Scarlett Castletown Isle Of Man IM9 1TQ ,PER,14-Feb-22
21/01543/C,Change of use from office to a residential dwelling,35 Hope Street Douglas Isle Of Man IM1 1AR,PER,08-Feb-22
21/01544/CON,Demolition of garage / store & rear boundary wall,8 Primrose Avenue Douglas Isle Of Man IM1 4EB,PER,15-Feb-22
21/01545/B,Extension to side and rear of dwelling,Casseyder 1 Church View Court Ballakilley Port Erin Isle Of Man IM9 6DZ ,PER,30-Mar-22
21/01546/B,Raising of patio at rear of property,Lytchett Mount Auldyn Ramsey Isle Of Man IM8 3PJ,PER,08-Feb-22
21/01547/B, Erection of a single storey extension to the rear elevation and installation of flue,17 Kissack Road Castletown Isle Of Man IM9 1NP,PER,30-Mar-22
21/01548/B,Installation of an air source heat pump,Birch Holme 14 Droghadfayle Road Port Erin Isle Of Man IM9 6EL ,PER,23-Feb-22
21/01549/B,Alterations and erection of extensions to provide Car Port and additional living accommodation to dwelling,Cooil Ny Cronk Ballure Ramsey Isle Of Man IM7 1AD ,PER,04-Feb-22
21/01551/B,"Installation of 3 tanks for the storage of chemical, Yara Nutriox.",Meary Veg Sewage Treatment Works Balnahowe Santon Isle Of Man IM4 1HL ,PER,24-May-22
21/01552/B,Replacement of existing garage with two storey extension to rear/side of house. Internal remodelling of the existing house including replacement windows and associated works,Sabie Ballanard Road Douglas Isle Of Man IM2 5PT,REF,02-Sep-22
21/01553/B,"Rear/side single storey extension to create utility room, associated internal and external works.",Cushag 10 Shore Road Laxey Isle Of Man IM4 7DE,PER,08-Feb-22
21/01554/B,Erection of a single storey extension to rear of dwelling,64 High View Road Douglas Isle Of Man IM2 5BR,PER,12-Apr-22
21/01555/MCH,Minor Change application to PA 20/00053/B involving alterations to approved windows,Highfield Howe Road Port St. Mary Isle Of Man IM9 5LB,PER,01-Mar-22
21/01556/B,Installation of composting toilet on Golf course.,Douglas Golf Course Pulrose Road Douglas Isle Of Man IM2 1AE ,PER,02-Mar-22
21/01557/B,Alterations and erection of an extension to the front elevation,25 Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QJ,PER,30-Mar-22
21/01558/B,Installation of replacement windows,22 Bridge Street Peel Isle Of Man IM5 1NF,PER,04-Apr-22
21/01559/B,Erection of a detached garage,Carefree Cottage Mount Rule Douglas Isle Of Man IM4 4HT ,PER,04-Mar-22
21/01560/B,Alterations including roofing works and erection of an extension to rear elevation,Farrants Fort St Judes Isle Of Man IM7 2EN ,PER,08-Feb-22
21/01561/B,Installation of disabled ramp access and new shop front,1 Dale Street And 2 Market Place Ramsey Isle Of Man IM8 1BJ ,PER,22-Mar-22
21/01562/B,Installation of replacement windows,44 Selborne Drive Douglas Isle Of Man IM2 3NH,PER,15-Feb-22
21/01563/B,Installation of replacement front door,38 Malew Street Castletown Isle Of Man IM9 1AF,PER,15-Feb-22
21/01564/B,Conversion of office to living accommodation including the creation of a rear terrace,1st Floor Office   31B Derby Road Douglas Isle Of Man IM2 3ES,PER,10-Feb-22
21/01565/B,Conversion of offices to create a fitness and wellbeing centre,Former B C S House Peel Road Braddan Douglas Isle Of Man IM4 4LE ,PER,16-Mar-22
21/01567/B,"Replacement of existing dwelling with the erection of 7 detached dwellings with integral garages and associated access, drainage and landscaping",Netherby Douglas Road Castletown Isle Of Man IM9 1TN,PER,24-Jun-22
21/01568/D,Installation of illuminated signage,B C S House Peel Road Braddan Douglas Isle Of Man IM4 4LE ,PER,18-Mar-22
