"addr:city","addr:housename","addr:place","addr:postcode","amenity","contact:facebook","name","id","lon","lat","addr:country","addr:street","healthcare","website","addr:housenumber","fee","name:gv","operator","tourism","alt_name","wikidata","wikimedia_commons","place","source","source:addr:postcode","guest_house","source:addr","source:alt_name","old_name","currency:GBP","currency:XBT","description","email","name:en","payment:lightning","payment:lightning_contactless","payment:onchain","phone","survey:date","building","addr:locality","craft","shop","contact:phone","brand","brand:wikidata","trade","internet_access","internet_access:fee","addr:substreet","cuisine","female","takeaway","atm","brand:wikipedia","charity","opening_hours","operator:type","leisure","fixme","was:leisure","wheelchair","rooms","contact:website","office","contact:instagram","children","smoking","addr:unit","building:use","emergency","museum","entrance","healthcare:speciality","level","outdoor_seating","toilets:wheelchair","wheelchair:description","delivery","was:amenity","seasonal","note","contact:email","club","sport","historic","listed_status","material","memorial","ref:registered_building","url","url:registered_building","addr:plot","veterinary:for","operator:wikidata","addr:floor","addr:suite","animal","cafe","theme","contact:twitter","was:shop","postal_code","mapillary","source:addr:housenumber","source:addr:substreet","social_facility","social_facility:for","source:addr:housename","barrier","animal_boarding","ref:charity","dispensing","man_made","landuse","entrance:colour","name:entrance","provided_for:woman","aerospace:product","company","computer:data","lunar:product","massage","motorcycle:repair","strapline","abutters","highway","surface","aeroway","access","castle_type","name:fa","name:fr","name:ru","ref:GB:imher","url:imher","wikipedia","denomination","religion","golf:course","layer","zoo","golf:par","building:levels","building:material","roof:levels","start_date","building:colour","roof:material","studio","roof:orientation","roof:shape","source:outline","business","telecom","food","real_ale","operator:short","operator:wikipedia","seamark:name","seamark:rescue_station:category","seamark:type","name:es","name:nl","ruins","not:addr:postcode","public_transport","railway","heritage:website","note:registered_building","beer_garden","brewery","golf","architect","source:name","not:brand:wikidata","car_repair","short_name","wheelchair:url","disused:brand","disused:brand:wikidata","disused:brand:wikipedia","disused:operator","indoor","mill","source:geometry","source:address","historic:tourism","name:lt","name:uk","drive_through","building:part","addr:suburb","contact:mobile","addr:lot","award:AA","award:visit_isle_of_man","utility","architect:wikidata","architect:wikipedia","source:addr:street","internet_access:operator","internet_access:ssid","addr:flats","contact:fax","government","tickets","waiting_area","operator:website","not:addr:housenumber","male","scuba_diving:filling","scuba_diving:rental","scuba_diving:repair","boat:rental","boat:type","paddleboard_rental","standup_paddleboard_rental","image","was:healthcare","clothes:repair","height","opening_hours:covid19","opening_hours:url","name:registered_building","generator:method","generator:source","generator:type","power","diocese","ref:dove","was:tourism","was:railway","unisex","animal_shelter","demolished:building","park_ride","parking","supervised","area","was:barrier","second_hand","note:addr:postcode","building:start_date","payment:contactless","payment:debit_cards","phone:out_of_hours","disused:shop","phone:helpline","dog","check_date","drink:cocktail","drink:coffee","branch","isced:level","official_name","clothes","covered","capacity","start_date:charity","recycling_type","country","caravans","glamping_pods","pets_allowed","static_caravans","tents","source:addr:name","addr:block","source:postal_code","was:building","changing_table","changing_table:fee","toilets","toilets:access","residential","personal_trainer","sauna","swimming_pool","disused:amenity","disused:name","self_service","product","was:man_made","house","construction","community_centre","shooting","boat","was:addr:housenumber","addr:housename:en","addr:housename:gv"
"Andreas","","","IM7 3EG","","","Ballawhane","475393011","-4.468514","54.381728","IM","Leodest Road","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","","","Isle of Man Government Land Registry Land Transactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"German","Knocksharry Farm","","IM5 2AF","","","Knocksharry","475393129","-4.647594","54.239594","IM","Coast Road","","","","","","","","","","","locality","Isle of Man Government 1:25000 map (2007)","","","Isle of Man Government Land Registry Land Transactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lezayre","Lower Glentramman","","IM7 2AP","","","Lower Glentramman Farm","475393209","-4.436481","54.320188","IM","Garey Road","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","Isle of Man Government Land Registry Land Transactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Cronk-y-Voddy","IM5 2AS","","","Ballakaighen Farm","475393234","-4.618144","54.242773","IM","Staarvey Road","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","","","Isle of Man Government Planning Applications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ramsey","Balladoole Beg","","IM7 4AB","","","Balladoole Beg","475393335","-4.386681","54.35038","IM","Bride Road","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","Isle of Man Government Land Registry Land Transactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Santon","Glentraugh Farm","Port Grenaugh","IM4 1HF","","","Glentraugh","475393430","-4.578023","54.106707","IM","","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","Isle of Man Government Land Registry Land Transactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rushen","Lamode","","IM9 4BP","","","Lamode","475393492","-4.720931","54.119394","IM","Sloc Road","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","","","Isle of Man Government Land Registry Land Transactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","","","IM4 1AQ","","","Walberry","475393519","-4.504062","54.136884","IM","Old Castletown Road","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","","","Isle of Man Government Planning Applications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","IM9 3BA","","","Glen Cam","475393550","-4.661637","54.138451","","Corlea Road","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bride","Seafield","","IM7 4AD","","","Seafield","475393564","-4.38325","54.353494","IM","Bride Road","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","Isle of Man Government Land Registry Land Transactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maughold","","Corrany","IM7 1ES","","","Ballaglass","475393580","-4.364804","54.284424","IM","Ramsey Road","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","","","Isle of Man Government Land Registry Land Transactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bride","","","IM7 4BR","","","Kerrowdhoo","475393624","-4.367638","54.396014","","Cranstal Road","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","","","Isle of Man Government Land Registry Land Transactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kirk Michael","Lower Skerrisdale Farm","","IM6 1HP","","","Lower Skerrisdale","475393653","-4.611893","54.257919","IM","Stockfield Road","","","","","","","","Skerrisdale Beg","","","farm","Isle of Man Government 1:25000 map (2007)","","","Isle of Man Government Land Registry Land Transactions","NLS OS 1:10,560 1949-1968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crosby","","","IM4 4HN","","","Lower Ballakelly","475393675","-4.541123","54.182939","IM","Top Road","","","","","","","","","","","farm","Isle of Man Government 1:25000 map (2007)","Isle of Man Government Planning Applications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ballaloaghtan","","IM9 3BB","","","","475393868","-4.667902","54.128591","IM","Kerrowkeil Road","","","","","","","","","","","","Isle of Man Government 1:25000 map (2007)","Isle of Man Government Planning Applications","","","","Ballarobin Farm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
