Planning Appeal/Dept decisions made between 1/1/17 - 31/12/17,,,,,,,,
PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
Installation of an awning,Refused,10-Nov-16,Senior Planning Officer - South (SC),01-Dec-16,03-May-17,16/00570/B,14 Strathallan Crescent Douglas Isle Of Man IM2 4NR,Refused at appeal
Replacement of existing rear annex with two storey extension.,Refused,25-Nov-16,Senior Planning Officer - South (SC),28-Nov-16,18-May-17,16/01089/B,Ash House Main Road Kirk Michael Isle Of Man IM6 1ED,Refused at appeal
New farm entrance track,Refused,31-Mar-17,Senior Planning Officer - South (SC),18-Apr-17,26-Jun-17,17/00109/B,Raby Farm Main Road Glen Maye Isle Of Man IM5 3AU,Approved at Appeal
"Erection of a stable block, parking area and fencing",Permitted,28-Mar-17,Senior Planning Officer - South (SC),11-Apr-17,26-Jun-17,15/01304/B,Part Of Field 124005 Loop Road West Craig Ramsey Isle Of Man  ,Refused at appeal
Demolition of existing garage and other external alterations to rear (retrospective),Permitted,23-Jun-17,Senior Planning Officer - South (SC),12-Jul-17,16-Oct-17,17/00351/B,27 Upper Dukes Road Douglas Isle Of Man IM2 4AZ,Approved at Appeal
Creation of field accesses,Permitted,09-Nov-16,Senior Planning Officer - South (SC),23-Nov-16,09-Feb-17,16/00966/B,Field 124385 & Field 124388 Smeale Road Andreas Isle Of Man  ,Approved at Appeal
Erection of a single storey conservatory on the south east facing balcony,Refused,21-Jun-17,Senior Planning Officer - South (SC),07-Jul-17,16-Oct-17,17/00404/B,Bridge Cottage Bridge Street Castletown Isle Of Man IM9 1AX ,Refused at appeal
Installation of replacement first floor windows to front elevation,Refused,01-Jun-17,Senior Planning Officer - South (SC),22-Jun-17,16-Oct-17,17/00350/B,6 Mona Street Ramsey Isle Of Man IM8 1BD,Refused at appeal
Erection of rear extension,Permitted,18-May-17,Senior Planning Officer - South (SC),05-Jun-17,21-Aug-17,17/00279/B,19 Howe Road Onchan Isle Of Man IM3 2BB,Approved at Appeal
Widening of existing vehicular access and creation of a pedestrian entrance,Permitted,23-Aug-17,Senior Planning Officer - South (SC),06-Sep-17,20-Dec-17,17/00182/B,Brunswick Gardens Albany Road Douglas Isle Of Man IM2 3NP,Approved at Appeal
Erection of extension,Refused,15-Feb-17,Senior Planning Officer - South (SC),08-Mar-17,26-Jun-17,17/00007/B,The Anchorage Port E Vullen Ramsey Isle Of Man IM7 1AP ,Refused at appeal
Erection of an agricultural storage shed (retrospective),Refused,03-Nov-16,Senior Planning Officer - South (SC),15-Nov-16,09-Feb-17,16/00749/B,Field 130578 St Judes Road Sulby Isle Of Man  ,Refused at appeal
Erection of an agricultural storage shed (retrospective),Refused,02-Nov-16,Senior Planning Officer - South (SC),10-Nov-16,09-Feb-17,16/00899/B,Field 130688 Kella Road Sulby Isle Of Man  ,Approved at Appeal
Conversion of stores and office building into a residential dwelling (retrospective),Refused,14-Oct-16,Senior Planning Officer - South (SC),24-Oct-16,02-Feb-17,16/00796/B,Detached Building Squeen Farm Ballacrye Road Ballaugh Isle Of Man  ,Refused at appeal
"Erection of replacement shed for use as stores, office in association with repair of agricultural vehicles and machinery and agriculture (retrospective)",Refused,14-Oct-16,Senior Planning Officer - South (SC),24-Oct-16,02-Feb-17,16/00795/B,Detached Structure Squeen Farm Ballacrye Road Ballaugh Isle Of Man  ,Approved at Appeal
Reinstatement of a weir mechanism,Permitted,10-Apr-17,Department Application,16-Nov-16,10-Apr-17,16/01278/B,Weir And Millrace Glen Wyllin Campsite Glen Wyllin Kirk Michael Isle Of Man  ,Approved by Council of Ministers
Installation of three containers to provide kitchen and classroom / office (retrospective) and toilets,Permitted,26-May-17,Department Application,10-Feb-17,26-May-17,17/00149/B,The Coffee Cottage (Laser-Mayhem) Watertrough Cottage Shoulder Road Foxdale Isle Of Man  ,Approved by Council of Ministers
Creation of additional children's play provision and creation of/amendments to existing paths and access,Permitted,04-Jan-18,Department Application,22-Aug-17,21-Dec-17,17/00894/B,Claughbane Plantation Field 624002 Mountain Road Ramsey Isle Of Man  ,Department Application Approved
Conversion of existing store / retail / craft areas to provide tourist living accommodation,Permitted,25-Jul-17,Department Application,07-Apr-17,25-Jul-17,17/00405/B,Silverdale Mill Complex Silverdale Glen Silverdale Road Ballasalla Isle Of Man IM9 3DS,Approved by Council of Ministers
"Installation of two wash jet units, dryer facility and associated silt traps",Permitted,09-Feb-17,Planning Committee,24-Feb-17,05-Sep-17,16/00980/B,Corkills Garage Main Road Onchan Isle Of Man  ,Refused at appeal
Operation of a temporary car park with controlled access (retrospective),Refused,07-Feb-17,Planning Committee,23-Feb-17,22-Jun-17,16/01298/C,Vacant Land Woodbourne Lane Douglas Isle Of Man  ,Refused at appeal
Installation of window (retrospective) and construction of decking with perimeter rail,Refused,25-May-17,Planning Committee,15-Jun-17,16-Nov-17,17/00056/B,4 Market Place East Ramsey Isle Of Man IM8 1JY,Decision Split at Appeal
Erection of an agricultural workers dwelling,Refused,01-Nov-16,Planning Committee,18-Nov-16,09-Feb-17,16/00664/B,Part Field 510408 Ballakissack Farm School Lane Santon Isle Of Man  ,Approved at Appeal
Erection of five dwellings,Refused,03-Nov-16,Planning Committee,11-Nov-16,17-Jul-17,16/00602/B,28 - 30 Derby Square Douglas Isle Of Man IM1 3LN,Refused at appeal
Erection of an agricultural building with associated storage facilities,Permitted,07-Feb-17,Planning Committee,21-Feb-17,30-May-17,16/01039/B,Part Field 231019 Off Ballaleigh Road Kirk Michael Isle Of Man  ,Approved at Appeal
Change of use of part of field to campsite including installation of 10 'Glamping' pods and a welcome centre including the creation of a new pedestrian access from Spaldrick Promenade,Refused,25-May-17,Planning Committee,05-Jun-17,21-Aug-17,17/00254/B,Field 411194 Rowany Golf Club Rowany Drive Port Erin Isle Of Man  ,Refused at appeal
Replacement of an existing lamp post with an antenna topped lamp post with associated equipment cabinets,Permitted,07-Feb-17,Planning Committee,14-Feb-17,22-Jun-17,16/01291/B,"Sure Site, Near Junction With Lakeside Road Hailwood Avenue Douglas Isle Of Man  ",Approved at Appeal
Creation of an access point for sub station.,Refused,10-Feb-17,Planning Committee,27-Feb-17,22-Jun-17,16/01087/B,Access To RL360 House Cooil Road Douglas Isle Of Man  ,Approved at Appeal
 Erection of a double garage and creation of a new vehicular access with associated landscaping,Permitted,15-Nov-16,Planning Committee,05-Dec-16,03-May-17,16/00888/B,Arbory House Glen Road Colby Isle Of Man IM9 4HW,Approved at Appeal
Erection of fencing and gate access and use of the land for educational purposes,Permitted,09-Aug-17,Planning Committee,23-Aug-17,27-Nov-17,16/00859/B,Land Adjacent To Onchan School School Road Onchan Isle Of Man  ,Approved at Appeal
Alterations and conversion of building to form a dwelling with integral garage,Permitted,01-Mar-16,Planning Committee,14-Mar-16,15-Mar-17,16/00051/B,Alpine Mews Strathallan Lane Onchan Isle Of Man IM3 1NJ,Refused at appeal
Change of use of part of practice ground as campsite for 2017 TT and Festival of Motoring periods.,Permitted,09-Mar-17,Planning Committee,22-Mar-17,10-May-17,16/01325/C,Field 314539 Rheast Lane Peel Isle Of Man  ,Refused at appeal
Creation of a five storey building to provide retail space and six residential apartments,Permitted,08-Aug-17,Planning Committee,22-Aug-17,06-Dec-17,16/00839/B,Showroom East Quay Peel Isle Of Man IM5 1AR,Approved at Appeal
"Alterations and additions to form restaurant, commercial units and four apartments and erection of flue",Permitted,05-Apr-17,Planning Committee,25-Apr-17,17-Jul-17,16/01372/B,Isle Of Man Bank 26 Main Road Onchan Isle Of Man IM3 1AP,Approved at Appeal
"Erection of twenty affordable homes with associated road access, drainage, street lighting and landscaping",Permitted,04-Jul-17,Planning Committee,19-Jul-17,27-Nov-17,17/00414/B,Land At Ballacubbon Adjacent To Cooyrt Balley Cubbon & Dreem Balley Cubbon Colby Isle Of Man  ,Approved at Appeal
Erection of a replacement dwelling (amendment to PA 15/00857/B),Permitted,18-Oct-16,Planning Committee,07-Nov-16,15-May-17,16/00797/B,Berberis Cottage Pinfold Hill Laxey Isle Of Man IM4 7HJ,Approved at Appeal
Creation of three new dwellings with associated golf club car park and access alterations/improvements.,Permitted,20-Jul-17,Planning Committee,09-Aug-17,25-Oct-17,16/01173/B,Golf Links Brookfield Avenue Ramsey Isle Of Man IM8 2AH,Approved at Appeal
Erection of stables with associated store and tack rooms,Permitted,10-Oct-16,Planning Committee,31-Oct-16,10-Jan-17,16/00444/B,Field 314666 Mill Road Greeba Isle Of Man  ,Approved at Appeal
Approval in principle for the residential development of thirty six dwellings addressing siting and means of access,Refused,01-Dec-16,Planning Committee,16-Dec-16,02-May-17,15/01156/A,"Part Of Grounds Associated With Close Jairg Beg And Field's 324318, 320912 & 324316 Old Church Road Crosby Isle Of Man  ",Refused at appeal
"Erection of a marquee adjacent to overflow car park to be used for promotional events, charity functions, exhibitions, children's activities, and leisure activities including ice rink and roller skating (retrospective)",Refused,18-Oct-16,Planning Committee,21-Oct-16,03-May-17,15/01276/B,Car Park Tynwald Mills Road St Johns Isle Of Man  ,Refused at Appeal
Erection of replacement dwelling,Permitted,25-May-17,Planning Committee,05-Jun-17,21-Aug-17,16/01404/B,31 Scarlett Road Castletown Isle Of Man IM9 1NS ,Approved at Appeal
Additional use and conversion of retail units to form two residential units for permanent and tourist use,Refused,09-Jan-17,Planning Committee,16-Jan-17,07-Feb-17,16/01317/B,17 & 19 Malew Street Castletown Isle Of Man IM9 1AB ,Appeal Withdrawn
Conversion of 2 properties into 1 plus other works.,Refused,03-Nov-16,Planning Committee,11-Nov-16,09-Feb-17,16/01075/B,2 Castle Quay Castletown Isle Of Man IM9 1AU,Approved at Appeal
Demolition of existing redundant workshop and erection of a dwelling,Permitted,01-Nov-16,Planning Committee,21-Nov-16,06-Mar-17,16/00729/B,40 Douglas Street Peel Isle Of Man  ,Refused at appeal
Proposed apartment building on vacant site and associated highway alterations,Permitted,12-Dec-16,Planning Committee,22-Dec-16,26-Jul-17,16/00228/B,Site Adjacent To Hanley Court North Shore Road Ramsey Isle Of Man  ,Refused at appeal
Creation of a fenced play area with path to roadway,Permitted,07-Mar-17,Planning Committee,27-Mar-17,26-Jun-17,16/00806/C,Field 320936 Ballawilleykilley Farm Glen Vine Road Glen Vine Isle Of Man  ,Approved at Appeal
"Approval in principle for demolition of existing church hall and erection of three dwellings, addressing means of access",Permitted,20-Oct-16,Planning Committee,08-Nov-16,15-Mar-17,15/00145/A,Andreas Church Hall Andreas Village Isle Of Man IM7 4EZ ,Refused at appeal
Erection of a building containing three staff apartments to ground floor and office accommodation to first floor with associated landscaping and parking,Refused,20-Sep-16,Planning Committee,04-Oct-16,09-Feb-17,16/00258/B,Land At Arragon House Arragon Santon Isle Of Man IM4 1HH  ,Refused at appeal
Restoration and remodelling of property including removal of lean-to extension and replacement with extension to north-east elevation,Permitted,04-Jul-17,Planning Committee,25-Jul-17,25-Oct-17,17/00489/B,21 Lime Street Port St. Mary Isle Of Man IM9 5EF,Approved at Appeal
Alterations and erection of extension to dwelling,Permitted,08-May-17,Planning Committee,10-May-17,10-Aug-17,16/01400/B,Reayrt Ny Marrey Ballakaighen Ballabooie Road Peel Isle Of Man IM5 2AH ,Refused at appeal
Erection of one wind turbine (shown as number 1 on the plans) and associated underground cabling,Refused,14-Dec-16,Planning Committee,03-Jan-17,02-May-17,16/00902/B,"Field No.s  334815, 330290, 334814 & 334835 Ballacallin Farm Gordon Peel Isle Of Man  ",Refused at appeal
"Erection of a stable block, including garage and store, extension of access lane and creation of a ménage",Refused,20-Jul-17,Planning Committee,21-Jul-17,25-Oct-17,17/00592/B,Cronk House Ballavagher Road St Johns Isle Of Man IM4 3JF,Approved at Appeal
Approval in principle for the erection of residential accommodation for older people for up to 25 units addressing means of access,Refused,25-Apr-17,Planning Committee,15-May-17,21-Aug-17,16/01402/A,B C S House And Builders Yard Peel Road Braddan Douglas Isle Of Man IM4 4LE ,Refused at appeal
