"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"Inca Investments Limited","019616C","11 Mar 1982","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=eJn6Ediom1GAK5plHk0EBA%3d%3d","2024-04-28"
"WARREGO CORPORATION INC.","015860V","12 Apr 1982","Dissolved","2006 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ncf6S2nIZSLWiVEhf6N3lQ%3d%3d","2024-04-28"
"Everyman Inclusive Holidays","005462B","1 Sep 1982","Ceased","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fcVO2W5RN66Qot5vUA5WGQ%3d%3d","2024-04-28"
"Everymann Inclusive Holidays","005463B","1 Sep 1982","Ceased","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=W7EAjRb4MkfEXHq1%2bsV3UA%3d%3d","2024-04-28"
"Jamie Investments Inc.","000392F","7 Jan 1983","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=TWYGl8dZnmlw%2bzHKzJIyng%3d%3d","2024-04-28"
"Greater Manchester Transport Executive Travel Companions Club Isle of Man Inclusive Holidays","005717B","7 Apr 1983","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=OqBvS%2b1%2bHMNI7qWG9trviw%3d%3d","2024-04-28"
"DATA BASE HOLDINGS INC LIMITED","006210F","12 May 1983","Live","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=91KFZlNSzb%2fUBTQzHaaJFw%3d%3d","2024-04-28"
"Incolvest Limited","022762C","13 Oct 1983","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Rwe3POf7UvPs4ALtk54LfQ%3d%3d","2024-04-28"
"Tyndall High Income Guilt Fund Managers Limited","022970C","17 Nov 1983","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=rekofeb3lbaqsWA2Nfo61w%3d%3d","2024-04-28"
"Incentive Trading Limited","025809C","29 Jan 1985","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=VbnGv0khCz2VgEmJHKxSew%3d%3d","2024-04-28"
"Tyndall High Income Gilt & Bulldog Accumulation Fund Limited","025977C","27 Feb 1985","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=qsa2AERbe0IQ1GfQBzrOAw%3d%3d","2024-04-28"
"INCOMARE HOLDINGS LIMITED","007002V","29 Mar 1985","Live","2006 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=QF%2beOsgTr16Bm6NOyz%2b%2b0Q%3d%3d","2024-04-28"
"UPI United Producers International Inc.","000441F","30 Apr 1985","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=zIj3206LCeucQkiSWPFQ8A%3d%3d","2024-04-28"
"Incom Limited","027677C","9 Sep 1985","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=D7CY8DQquXjvj9l%2fEL5Q8w%3d%3d","2024-04-28"
"Inco Limited","028396C","22 Nov 1985","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=jlkf8bN4UyK%2fXBz%2fdkk3rQ%3d%3d","2024-04-28"
"Incaman Limited","028997C","5 Feb 1986","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=BkkRFov%2fi01CcxGf8og4HQ%3d%3d","2024-04-28"
"Incotrade Limited","029700C","10 Apr 1986","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2ffjDj2JMSIPe3aUXN5ob%2fA%3d%3d","2024-04-28"
"Incasa Limited","030364C","4 Jun 1986","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=DbTkdQbeM8KERuTsocCf%2fw%3d%3d","2024-04-28"
"Arrow Speed Remover's & Storers Inc. Express Removals","007177B","1 Oct 1986","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=iNohPtxzVDfTkHWo6QL0Kw%3d%3d","2024-04-28"
"Paint Protection Systems Inc. Limited","031965C","24 Oct 1986","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fG2xOrvA%2fEejEWNjAKwNSg%3d%3d","2024-04-28"
"UPBEAT INTERNATIONAL INC","005577F","30 Oct 1986","Ceased","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=RVuLkOB0YRQXIR9jv387gg%3d%3d","2024-04-28"
"Inchman Properties Limited","032289C","26 Nov 1986","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=0cBeBj39sN7NJ%2biw6%2bNCww%3d%3d","2024-04-28"
"Inconsult Limited","032976C","5 Feb 1987","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=9SJKstTII3CK0zbTXxDlRQ%3d%3d","2024-04-28"
"Inca Trading Limited","033863C","3 Apr 1987","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=8bOcSjuRXjZd1WtET6tLrw%3d%3d","2024-04-28"
"Incorserv","007433B","6 May 1987","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=MxawgSQVDT3P2b%2fGarn9wg%3d%3d","2024-04-28"
"Lithographic Universal INC. Limited","034326C","29 May 1987","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fqzOJV9yA8AgdXjdW5OxWw%3d%3d","2024-04-28"
"MOLAKI INC.","006314F","30 Jun 1987","Live","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=rOHlTMhFkMkDm%2bhXdaK9eA%3d%3d","2024-04-28"
"Dominion International Services Inc.","000515F","4 Aug 1987","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=IYR0Vx8H%2fhNHDeYBGcKaYA%3d%3d","2024-04-28"
"Dominion International Services Inc.","000515F","4 Aug 1987","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=IYR0Vx8H%2fhNHDeYBGcKaYA%3d%3d","2024-04-28"
"Capco International Services Inc.","000515F","4 Aug 1987","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=IYR0Vx8H%2fhNHDeYBGcKaYA%3d%3d","2024-04-28"
"Incoserv","007562B","24 Aug 1987","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=uwjrcZlmi2mSs1o%2fnx24rQ%3d%3d","2024-04-28"
"GAM Global Inc.","000524F","4 Sep 1987","Struck Off","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=KhkzhhqzsK%2fL2SeblTfICw%3d%3d","2024-04-28"
