"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"Caledonian Drilling Co (Overseas) Limited","017688C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=PcC6%2fP7qsU1unDYvyDo0NQ%3d%3d","2024-04-29"
"O.P.S. (Time Share) Limited","017962C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=oSAc%2bmonyMPUUQPJS0tBng%3d%3d","2024-04-29"
"Offshore Oil & Gas Personel Limited","019215C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=g28KmVeiiTUHM%2fEhLJe%2fKA%3d%3d","2024-04-29"
"Offshore Trade & Investment Company Limited","024061C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=WAi472uRQNcl5Mg0W53Z9A%3d%3d","2024-04-29"
"Ohio Lead Mining Company Limited","000009C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2bYm2cnfPR3S%2fg7YOUOxSkg%3d%3d","2024-04-29"
"Isle of Man Coal Company Limited","000010C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=B1fRwEPP%2bALSnpfxTxr1DQ%3d%3d","2024-04-29"
"Isle of Man Brick and Tile Company Limited","000013C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=clfgkogBNC8KTYa9o9ZaCw%3d%3d","2024-04-29"
"Ohio Crown Lead and Silver Mining Company Limited","000014C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2bS9gVKPf%2bOHcWteVG1SL2w%3d%3d","2024-04-29"
"Isle of Man Patent Preserved Potatoe Company Limited","000016C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=mt1xYJGdW8rodiaCFDSCvQ%3d%3d","2024-04-29"
"Douglas Co-operative Society Limited","000023C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2bmVPXz9YlW1yoj2qgdSs9w%3d%3d","2024-04-29"
"Isle of Man Railway Company Limited","000026C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=q7GNrK4R6T%2b7fmtLrb43jA%3d%3d","2024-04-29"
"The Old Laxey Equitable Cooperative Society Limited","000030C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=WrhyWLxbR%2f%2fg6fHP7%2fD5DA%3d%3d","2024-04-29"
"Isle of Man Black Marble Works Company Limited","000043C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=2zrtXpXa7WEQVTVg6iSZog%3d%3d","2024-04-29"
"The Glenmaye Co-operative Society Limited","000047C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=D8K47gIjtVPTOOK5fvDHvQ%3d%3d","2024-04-29"
"The Isle of Man Tramways Limited","000052C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=rG0zT2PBmKGDV94rDFZe9g%3d%3d","2024-04-29"
"The Isle of Man Insurance Company Limited","000055C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=c1J3eMbBATykUTFZagA70w%3d%3d","2024-04-29"
"The Isle of Man Chemical Works Company Limited","000060C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=uzPUAKkBnmeBm%2fpLz5xXbw%3d%3d","2024-04-29"
"The Prince Of Wales Hotel Ramsey Limited","000064C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=YKOaawJN0ywlf6lG4hnkDA%3d%3d","2024-04-29"
"The Douglas and Isle of Man Building Company Limited","000066C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=20%2fEJ5OSbQn7HLJeoULgCQ%3d%3d","2024-04-29"
"The Isle of Man Friendly Society Limited","000067C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=89Oi9ZluHSvejQpGW9MmtA%3d%3d","2024-04-29"
"THe Isle of Man Auctioneering Company Limited","000068C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=FcbiIqE3khFdeHh61kZiuQ%3d%3d","2024-04-29"
"The Peel Isle of Man Land Building & Investment Company Limited","000069C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=T0c%2bIp3KgRZBUTF8Sn8PMQ%3d%3d","2024-04-29"
"The Ocean Accident and Guarantee Corporation Limited","000071F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=wWD0ZzvyIK58RMK6Pk4QZg%3d%3d","2024-04-29"
"Isle of Man Omnibus and Cab Company Limited","000086C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=wg50xRPV%2f217qJB9enyGdA%3d%3d","2024-04-29"
"Isle of Man Bill Posting Company Limited","000091C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Jz6o3bm2cc%2f%2bHwfReaCbEg%3d%3d","2024-04-29"
"Dodd & Oulton Limited","000099F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2fNEvrB01rX8QmDva%2bKJGkA%3d%3d","2024-04-29"
"Isle of Man Laundry and Dye Works","000104C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=0hVet6IEYFOF0d26MFa9ow%3d%3d","2024-04-29"
"Peel and North of Ireland Steamship Company","000109C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=w8GkdnoZmQZ5IIEdRq%2bgjA%3d%3d","2024-04-29"
"Isle of Man Mutual Glass Insurance Company","000110C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=l%2f1VTWZ2Cabhg5rGIyr8yw%3d%3d","2024-04-29"
"Manx Mercantile Offices","000118B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=q3oONc9rvgQiukyGtBUQtg%3d%3d","2024-04-29"
"Eiffel Tower Line of Steamers Limited","000120C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=iGRMKFHnfakA41LjKNBqtg%3d%3d","2024-04-29"
