"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"Air Ulster International Limited","002919C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=upS57bZIUWYUJSq8zI2JfQ%3d%3d","2024-04-29"
"Universal Export & Import Limited","003013C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ZzF619Vbl11UESaIMlssfw%3d%3d","2024-04-29"
"Union Mills Light Clothing Limited","003235C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=WLdkuzdLD2c0XYSvekvMpg%3d%3d","2024-04-29"
"Unit 2","003266B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=jTSqLrXdVM52S3IJcJZDIQ%3d%3d","2024-04-29"
"Universal Investors Services Limited","003317C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hrddEWY2mLmQpLv2sq9gSA%3d%3d","2024-04-29"
"Trans - Mann - U.K.","003376B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=jRoM6tiFpZeT%2b7uIzRhQXw%3d%3d","2024-04-29"
"Utah Holdings Limited","003410C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Fa5AJjl0RLBECm%2b3jccvTw%3d%3d","2024-04-29"
"Unit Furniture Limited","003426C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=bFcYr3%2b2jkG%2b%2fxQvmOKWew%3d%3d","2024-04-29"
"Ullapool Limited","003779C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=PT50Ekzxq5bWAhKRho9ZoQ%3d%3d","2024-04-29"
"Urgha Limited","003780C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=vNN8GUD3%2fJk3V1m%2bCtLZ5g%3d%3d","2024-04-29"
"Unston Limited","003860C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ej65WHY1lm60RTv46Z0KJw%3d%3d","2024-04-29"
"Uni-Pac","004011B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=D1s1v1yge%2buWDFL9YKPXHQ%3d%3d","2024-04-29"
"Urman Limited","004491C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=UU7n6s6bHbdgJTdgFiSC2Q%3d%3d","2024-04-29"
"Uncle Bens","004531B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=UAjcFAXa32AfhH%2bX5U%2bQFA%3d%3d","2024-04-29"
"Universal Holdings Limited","004660C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=mnbZ%2bMVt1nvq0kl8avjimg%3d%3d","2024-04-29"
"U.K. Coach Lines","004801B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=3rNwKQRA6Wkoexs%2fa%2fX34w%3d%3d","2024-04-29"
"Unity Limited","004813C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=zfTE%2btBPyghlteLYnQUqKw%3d%3d","2024-04-29"
"Up-Stage Designer Boutique","005948B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Qwcgy%2f5jD2rOerpH31jVzw%3d%3d","2024-04-29"
"Pleiad Universal Limited","006139C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=b86%2b1yYteGAxazeaF89zmw%3d%3d","2024-04-29"
"UP Stage","006214B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=avpGmMraYiASsKXIk7KVmw%3d%3d","2024-04-29"
"Underbarrow Limited","006261C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hWVh3AFvVv5fB%2bGs5A1FrQ%3d%3d","2024-04-29"
"4 All Ov U.","006545B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=q18uk3j4uXOWk7Ee3R4MdA%3d%3d","2024-04-29"
"Ulathorns Company","006642C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ybq1Bnw096dQIrz6cE77bA%3d%3d","2024-04-29"
"Underknotts Company","006643C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=BngQUQqN9qDzKboFzDQk6A%3d%3d","2024-04-29"
"Ultimarke Limited","006701C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=q9ApIduMehz9yeggMjEhiw%3d%3d","2024-04-29"
"Universal Petroleum Sales","007116B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ToLlR7ZWFJ4illuP2eralw%3d%3d","2024-04-29"
"Uphill Limited","007137C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=XCoHt7LH1Q6y2QmjDA3T6Q%3d%3d","2024-04-29"
"Universal Petroleum Sales","007150B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=JnFCSda56p5yrKNlwjxlXw%3d%3d","2024-04-29"
"Uppindon Limited","007209C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=JltrXW1fdbzyoeRm8AjB9A%3d%3d","2024-04-29"
"Unanda Limited","007887C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=oVDbVRxI3OYsXwCa4svwVw%3d%3d","2024-04-29"
"Upland Limited","007988C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ouPfwH6wvud7IKfCiPXR%2fQ%3d%3d","2024-04-29"
"Pipe Units Limited","008029C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=XTMWzc2J9k4m49v0bnHsxw%3d%3d","2024-04-29"
"Umvemve Investments Limited","008158C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=pgVnbnlarhcNmpcRuIFngw%3d%3d","2024-04-29"
"Uttley Company","008347C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=TI%2fn4XbMJ%2bNl%2bPlQyGu23g%3d%3d","2024-04-29"
"Unit Export Guarantee Company Limited","008389C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=sIfDVXW60Ubb8FKpVY1hgg%3d%3d","2024-04-29"
"Uptime Limited","009038C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2fF8%2ffQBaI7W9mOR%2bNOFN0g%3d%3d","2024-04-29"
"U.R.E.P. Shipping Limited","009761C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=TXtVsZnWfJzMWksQrzCVEA%3d%3d","2024-04-29"
"United Investment Overseas Limited","009809C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=H7%2fcVlsSKSSWF8xIwdNytQ%3d%3d","2024-04-29"
"Utrecht Properties Limited","010001C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=OInTW%2fMaHhUSUDsm%2bN%2fYyA%3d%3d","2024-04-29"
"Overseas Representation & Back-up Services Limited","010054C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=mzW8GJMLvV9o5LYhkYAfVQ%3d%3d","2024-04-29"
"Union Investments Limited","010344C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=bd7jX7zvI%2fk4uFLgiM3B6Q%3d%3d","2024-04-29"
"Underley Company Limited","010783C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=vKhORDII%2f4ZHmcCqBfd5OQ%3d%3d","2024-04-29"
"Udun Limited","010923C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Kk%2faa18oBf9juckaQwRJVQ%3d%3d","2024-04-29"
"Unit 2 Limited","011532C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=9qkmZ1P09cCo%2bRekYZbiNQ%3d%3d","2024-04-29"
"Ultra Securities Limited","011653C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=WeohHieV4SAkPTHteu2RJg%3d%3d","2024-04-29"
"British Uralite Overseas Limited","011699C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hV3VhJ1g0ag4ZIOuSmkR0g%3d%3d","2024-04-29"
"Ultimate Investments Limited","011975C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hoXh6Q1k4shi8PFzUaFQDQ%3d%3d","2024-04-29"
"United Investments Limited","011977C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=JUVtfL3EL%2f7vQYKrYjI%2bcA%3d%3d","2024-04-29"
"Uphampton Company","012273C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=va7uozpos9X2w8PGVdQt8g%3d%3d","2024-04-29"
"Ugan Limited","012594C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=G0JnsHsnMNTkcObZkQPyuw%3d%3d","2024-04-29"
"Ullan Holdings Limited","012626C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=y7WfUxn4M4%2biBLAepkseXw%3d%3d","2024-04-29"
"Urton Investments Limited","012645C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=aETF6YYLF36iF2zucT9Ebw%3d%3d","2024-04-29"
"Union Estate Company Limited","012658C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=S9ev3MWRq8hosEaA2J7bTQ%3d%3d","2024-04-29"
"Ulst Holdings Limited","012687C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ryIlIXq0%2ftSWj9tyXWv7hw%3d%3d","2024-04-29"
"Uman Investments Limited","012707C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=iLi00%2b3PQJ0DCnqIEpA%2bKA%3d%3d","2024-04-29"
"Undine Investments Limited","012708C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2f61iJ03PGCKjXi11NUZ9xA%3d%3d","2024-04-29"
"Unit Build Limited","012731C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=y9%2b13i6XCBdU%2bc01oPfLMA%3d%3d","2024-04-29"
"Urling Holdings Limited","012758C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=2z2aot9RPPOJcqch%2f8YfHg%3d%3d","2024-04-29"
"Urven Holdings Limited","012761C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HG2aaiUVcwDEFJfhSShHtw%3d%3d","2024-04-29"
"Uwent Holdings Limited","012762C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ulRFKF82d49QnLrwgq9Ecw%3d%3d","2024-04-29"
"United Medical Services Limited","012976C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=EIYpUEI553ld5FpBDKveuA%3d%3d","2024-04-29"
"Urburn Developments Limited","013994C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=w7tyh7AoShK2%2fhSHAV3uAA%3d%3d","2024-04-29"
"Klondike Unit Limited","014401C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2bzXZb%2bAGvG0Lze%2fBcxcy%2bA%3d%3d","2024-04-29"
"Union Credit Limited","015539C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=clJqthxiwToHXaqgGm%2bEaA%3d%3d","2024-04-29"
"Unique Investments Limited","016273C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=xW8XI8rfjoUH5pyJWw%2f9tw%3d%3d","2024-04-29"
"Unit Trading Limited","016676C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fuiyYVoEuQeATTZqFWL%2bog%3d%3d","2024-04-29"
"Usher Holdings Limited","016902C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=LfU4mcl2OPxYSxn%2fIdn3jA%3d%3d","2024-04-29"
"Unifreight Limited","017105C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=N%2fkonQeqH8KibP44i3tMZg%3d%3d","2024-04-29"
"U.S.B. Services Limited","018726C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=WBHdrqKJntwgfVoOq8xB%2fA%3d%3d","2024-04-29"
"Uplord Machinery Limited","019053C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ukB3XnGOgXKBaikoDzRYug%3d%3d","2024-04-29"
"Island Underwriting Agency Limited","019237C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HfufVIegNiNtYIsN12BVYA%3d%3d","2024-04-29"
