SubUnit_Name,House_Number,House_Name,Street_Name,Locality,Town,Postcode,Parish_,Market_Value,Consideration,Acquisition_Date,CompletionDate
,,St Michaels Hall,Main Road,,Kirk Michael,IM6 2HS,Michael,"120,000.00","60,000.00",27/09/2024,29/10/2024
,,Balleira Farm,Bayr Ny Balleira,,Kirk Michael,IM6 1EE,Michael,"625,000.00",0.00,28/02/2019,13/12/2019
,,Mona Cottage,Main Road,,Kirk Michael,IM6 1AB,Michael,"219,950.00","219,950.00",14/05/2019,16/12/2019
,,Glebe Farm,Main Road ,,Kirk Michael,IM6 2HD,Michael,"685,000.00","685,000.00",31/05/2019,27/02/2020
,,Weavers Cottage,Glen Mooar,,Kirk Michael,IM6 1HL,Michael,"350,000.00","350,000.00",31/07/2019,23/09/2019
,,Weavers Cottage,Glen Mooar,,Kirk Michael,IM6 1HL,Michael,"350,000.00",0.00,19/12/2020,19/12/2020
,,Land At ,Glen Mooar,,Michael,,Michael,"60,000.00","60,000.00",18/07/2019,12/09/2019
,,Tamarisk,Main Road,,Kirk Michael,IM6 1AJ,Michael,"575,000.00","575,000.00",25/09/2019,21/10/2019
,,Kionedroghad Cottage,Orrisdale,,Kirk Michael,IM6 2HL,Michael,"447,000.00","447,000.00",31/10/2008,26/02/2020
,,Kionedroghad Cottage,Orrisdale,,Kirk Michael,IM6 2HL,Michael,"447,000.00","447,000.00",07/12/2013,26/02/2020
,,Kionedroghad Cottage,Orrisdale,,Kirk Michael,IM6 2HL,Michael,"445,000.00","160,000.00",20/02/2020,26/02/2020
,,Ballyre House,Balleira Road,,Kirk Michael,IM6 1EE,Michael,"499,950.00","499,950.00",24/06/2019,13/03/2020
, 16,,Faaie Ny Cabbal,,Kirk Michael,IM6 2HW,Michael,"275,000.00","275,000.00",20/12/2019,21/07/2020
, 16,,Faaie Ny Cabbal,,Kirk Michael,IM6 2HW,Michael,"290,000.00","290,000.00",27/10/2020,25/01/2021
,,Briar Cottage,Main Road,,Kirk Michael,IM6 1ED,Michael,"130,000.00","130,000.00",31/10/2019,21/07/2020
Ballabella,,,Ballaleigh Road,,Kirk Michael,IM6 1HJ,Michael,"22,000.00","22,000.00",27/09/2019,04/06/2020
,,27,Slieau Curn Park,,Kirk Michael,IM6 1EP,Michael,"163,000.00","163,000.00",11/11/2019,02/07/2020
, 27,,Slieau Curn Park,,Kirk Michael,IM6 1EP,Michael,"249,950.00","249,950.00",10/05/2024,05/06/2024
, 15,,The Meadows,,Kirk Michael,IM6 1EX,Michael,"300,000.00","300,000.00",05/08/2019,20/05/2020
, 15,,The Meadows,,Kirk Michael,IM6 1EX,Michael,"439,000.00","439,000.00",26/05/2022,28/06/2022
,,Highcroft,Douglas Road,,Kirk Michael,IM6 1AR,Michael,"320,000.00","320,000.00",25/11/2019,20/05/2020
,,Highcroft,Douglas Road,,Kirk Michael,IM6 1AR,Michael,"394,000.00","394,000.00",30/06/2021,21/09/2021
,,Highcroft,Douglas Road,,Kirk Michael,IM6 1AR,Michael,"435,000.00","435,000.00",29/09/2023,20/11/2023
, 15,,Slieau Curn Park,,Kirk Michael,IM6 1EH,Michael,"200,500.00","200,500.00",05/03/2020,13/11/2020
,,Cushag,Cooil Avenue,,Kirk Michael,IM6 1HD,Michael,"200,000.00",0.25,14/08/2019,24/09/2020
,,The Barn,Lower Skerrisdale,Stockfield Road,Kirk Michael,,Michael,"224,950.00","224,950.00",03/02/2020,22/07/2020
,,Escholonia House,Main Road,,Kirk Michael,IM6 1AB,Michael,"367,000.00","367,000.00",25/02/2020,24/07/2020
,,Skerries,Main Road,,Kirk Michael,IM6 1ED,Michael,"180,000.00","180,000.00",09/04/2020,22/07/2020
Plot of Land,,,Part Of Lough Ne Margher Estate,,Kirk Michael,IM6 1HD,Michael,"4,000.00",0.25,14/08/2019,23/09/2020
,,Ballaleigh Cottage,Ballaleigh Road,,Kirk Michael,IM6 1HJ,Michael,"227,500.00","113,750.00",31/03/2020,28/07/2020
,,Court Hey,Douglas Road,,Kirk Michael,IM6 1AR,Michael,"275,000.00","275,000.00",03/07/2020,17/07/2020
, 5,The Leymonds,Shore Road,,Kirk Michael,IM6 1HA,Michael,"300,000.00","80,000.00",03/07/2020,22/07/2020
, 4,,Kerrocruin,,Kirk Michael,IM6 1AF,Michael,"230,000.00","115,000.00",01/10/2019,04/09/2020
,,Pennybridge,Part Of Glebe Lands,,Michael,,Michael,"200,000.00","200,000.00",10/06/2019,06/10/2020
Land formerly part of Front Garden,,Greystones,Douglas Road,,Kirk Michael,,Michael,"1,000.00","1,000.00",07/08/2020,10/10/2020
,,Plot Of Land ,Part Of Lough Ne Margher Estate,,Kirk Michael,IM6 1HD,Michael,"4,000.00",0.25,14/08/2019,29/09/2020
, 77,,Slieau Curn Park,,Kirk Michael,,Michael,"215,000.00","215,000.00",20/12/2019,06/10/2020
, 77,,Slieau Curn Park,,Kirk Michael,IM6 1EW,Michael,"279,950.00","279,950.00",02/08/2024,21/08/2024
Land formerly part of the rear Garden,,Ty-Hesq,Douglas Road,,Kirk Michael,,Michael,"32,000.00","32,000.00",07/08/2020,31/10/2020
, 6,,Aalin Lea,,Kirk Michael,IM6 1HZ,Michael,"182,000.00","182,000.00",14/03/2024,25/04/2024
,,Ivie Cottage,Douglas Road,,Kirk Michael,IM6 1AU,Michael,"850,000.00","16,000.00",01/02/1971,14/11/2020
, 78,,Slieau Curn Park,,Kirk Michael,,Michael,"215,000.00","215,000.00",20/12/2019,30/11/2020
,,Cronk-E-Fessage,Little London,,Kirk Michael,IM6 1BD,Michael,"472,500.00","472,500.00",12/08/2020,23/12/2020
, 13,,The Meadows,,Kirk Michael,IM6 1EU,Michael,"365,000.00","365,000.00",26/08/2020,18/12/2020
,,Fern Lea,Main Road,,Kirk Michael,IM6 1ER,Michael,"245,000.00","245,000.00",03/09/2020,22/12/2020
, 20,,Kerrocruin,,Kirk Michael,IM6 1AG,Michael,"240,000.00","240,000.00",08/09/2020,11/01/2021
,,,Land At Glebe Farm,,Kirk Michael,IM6 2HD,Michael,"150,000.00","150,000.00",30/10/2020,22/09/2021
,,Suncot,Main Road,,Kirk Michael,IM6 2HG,Michael,"205,000.00","205,000.00",29/10/2020,15/01/2021
,,Cronk-E-Fessage,Little London,,Kirk Michael,IM6 1BD,Michael,"250,000.00","250,000.00",18/09/2020,15/02/2021
, 19,,Kerrocruin,,Kirk Michael,IM6 1AG,Michael,"295,000.00","295,000.00",29/10/2020,19/01/2021
,,Ballalheigh Farm,Ballaleigh Road,,Kirk Michael,IM6 1HJ,Michael,"750,000.00","750,000.00",13/11/2020,25/03/2021
,,,Land Part Of Cronk-E-Fessag,,Michael,,Michael,"29,120.00","29,120.00",16/02/2021,12/03/2021
Land at Broogh Wyllin Estate,,,Shore Road,,Kirk Michael,,Michael,1.00,1.00,01/03/2021,24/03/2021
,,Lower Skerrisdale Farm,Stockfield Road,,Kirk Michael,IM6 1HP,Michael,"535,000.00","535,000.00",14/01/2021,28/04/2021
, 16 ,,Cleiy Rhennee,,Kirk Michael,IM6 1HT,Michael,"330,000.00","330,000.00",31/03/2021,25/08/2021
, 16 ,,Cleiy Rhennee,,Kirk Michael,IM6 1HT,Michael,"370,000.00","370,000.00",24/11/2023,12/01/2024
,,Rheynn Cullyn Cottage,Rhencullen,,Kirk Michael,IM6 2HA,Michael,"315,000.00","315,000.00",16/04/2021,09/11/2021
,,Dovecote Tearooms,Main Road,,Kirk Michael,IM6 1AB,Michael,"280,000.00","280,000.00",28/05/2021,08/09/2021
,,Cooil Beg,Douglas Road,,Kirk Michael,IM6 1AR,Michael,"250,000.00","71,000.00",24/10/1996,15/10/2021
,,Garage Forecourt,Main Road,,Kirk Michael,IM6 1AD,Michael,"195,000.00","195,000.00",05/03/2009,21/10/2021
,,,Windmill Cottage,,Kirk Michael,IM6 1ES,Michael,"225,000.00","225,000.00",01/09/2021,26/10/2021
Office Premises,,,Main Road,,Kirk Michael,IM6 2HD,Michael,"305,000.00","305,000.00",14/09/2021,07/01/2022
,,Holly Lodge,Bishops Court,,Kirk Michael,IM6 2EZ,Michael,"550,000.00","550,000.00",18/12/2020,31/01/2022
,,Hollybrook Cottage,Rhencullen,,Kirk Michael,IM6 2HA,Michael,"300,000.00","300,000.00",27/10/2021,04/02/2022
,,Maxwells Cottage,Main Road,,Kirk Michael,IM6 1ER,Michael,"100,000.00","100,000.00",02/12/2021,15/02/2022
Land at Glebe Farm,,,Main Road,,Michael,IM6 2HD,Michael,"50,000.00","50,000.00",16/02/2022,31/03/2022
,,Ballagawne Barn And Cottages,Peel Road,,Kirk Michael,IM6 1HL,Michael,"1,950,000.00","1,950,000.00",12/04/2022,12/05/2022
,,Maynrys,Main Road,,Kirk Michael,IM6 1AB,Michael,"325,000.00","325,000.00",15/02/2022,26/05/2022
, 14,,Slieau Curn Park,,Kirk Michael,IM6 1EH,Michael,"231,500.00","231,500.00",17/01/2022,08/07/2022
,,Hazeldene,Orrisdale Loop Road,,Kirk Michael,IM6 2HL,Michael,"480,000.00","480,000.00",29/03/2022,27/07/2022
,,Fox Cottage,Bishops Court,,Kirk Michael,IM6 2EZ,Michael,"285,000.00","285,000.00",08/11/2021,26/07/2022
, 16,,Kerrocruin,,Kirk Michael,IM6 1AG,Michael,"420,000.00","420,000.00",29/04/2022,13/07/2022
, 16,,Slieau Curn Park,,Kirk Michael,IM6 1EH,Michael,"240,000.00","240,000.00",07/07/2022,15/08/2022
, 52,,Slieau Curn Park,,Kirk Michael,IM6 1EL,Michael,"251,000.00","251,000.00",28/07/2022,25/08/2022
, 52,,Slieau Curn Park,,Kirk Michael,IM6 1EL,Michael,"264,000.00","264,000.00",04/09/2024,02/10/2024
, 35,Friedland,Cannan Avenue,,Kirk Michael,IM6 1HG,Michael,"225,000.00","225,000.00",14/01/2020,21/09/2022
, 35,Friedland,Cannan Avenue,,Kirk Michael,IM6 1HG,Michael,"435,000.00","435,000.00",12/09/2024,15/10/2024
, 30,,Slieau Curn Park,,Kirk Michael,IM6 1EP,Michael,"199,950.00","199,950.00",22/04/2022,21/10/2022
, 40,,Faaie-Ny-Cabbal,,Kirk Michael,IM6 2HU,Michael,"320,000.00","320,000.00",30/08/2022,11/11/2022
, 37,,Cannan Avenue,,Kirk Michael,IM6 1HG,Michael,"290,000.00","290,000.00",07/04/2017,29/11/2022
, 4,Dunchuffin,Cleiy Rhennee,Shore Road,Kirk Michael,IM6 1HT,Michael,"630,500.00","630,500.00",17/10/2022,03/02/2023
, 1,Rose Cottage,Whitehouse Cottages,Main Road,Kirk Michael,IM6 2HE,Michael,"309,500.00","309,500.00",15/12/2022,01/03/2023
Land part of Field 230170,,,Kiondroughad,Orrisdale,Michael,,Michael,500.00,500.00,20/01/2023,08/03/2023
,,Kerroocoar,Main Road,,Kirk Michael,IM6 1ER,Michael,"545,000.00","545,000.00",07/12/2022,13/03/2023
, 26,,The Meadows,,Kirk Michael,IM6 1EU,Michael,"325,000.00","325,000.00",18/01/2023,31/03/2023
, 6,,Christian Avenue,,Kirk Michael,IM6 1EQ,Michael,"452,500.00","452,500.00",14/12/2022,23/03/2023
,,Ballamenaugh Farm,Orrisdale,,Michael,IM6 2HN,Michael,"270,000.00",1.00,30/11/2022,31/03/2023
, 4/5,Thie Vaynrys,The Meadows,,Kirk Michael,IM6 1EU,Michael,"430,000.00","430,000.00",14/03/2023,11/05/2023
,,Mona House,Main Road,,Kirk Michael,IM6 1AB,Michael,"160,000.00","160,000.00",27/03/2023,23/05/2023
, 3,,Aalin Lea,,Kirk Michael,IM6 1HZ,Michael,"489,950.00","489,950.00",03/02/2023,24/05/2023
, 4,,Aalin Lea,,Kirk Michael,IM6 1HZ,Michael,"363,120.00","363,120.00",05/04/2023,20/06/2023
, 26,,Faaie Ny Cabbal,,Kirk Michael,IM6 2HU,Michael,"320,000.00","320,000.00",13/06/2023,29/06/2023
, 1,,Aalin Lea,,Kirk Michael,IM6 1HZ,Michael,"699,000.00","699,000.00",17/02/2023,31/07/2023
,,Rose Cottage,Barregarrow,,Kirk Michael,IM6 1AX,Michael,"575,000.00","575,000.00",21/04/2023,28/07/2023
,,Briarfield,Douglas Road,,Kirk Michael,IM6 1AR,Michael,"350,000.00","350,000.00",18/07/2023,15/08/2023
,,Glendale,Douglas Road,,Kirk Michael,IM6 1AR,Michael,"380,000.00","380,000.00",26/05/2023,05/09/2023
, 15,,Kerrocruin,,Kirk Michael,IM6 1AG,Michael,"250,000.00","250,000.00",15/08/2023,21/09/2023
,,Cass A Lhergy,Douglas Road,,Kirk Michael,IM6 1AT,Michael,"650,000.00","650,000.00",12/07/2023,05/10/2023
, 8,,Aalin Lea,,Kirk Michael,IM6 1HZ,Michael,"340,800.00","340,800.00",06/09/2023,06/10/2023
,,Thie Mananinagh,Douglas Road,Ballachrink,Kirk Michael,IM6 1AU,Michael,"750,000.00","750,000.00",30/05/2023,10/11/2023
,,Beachway,Balleira Road,,Kirk Michael,IM6 1EE,Michael,"280,000.00","280,000.00",28/07/2023,27/10/2023
,,Court Hey,Douglas Road,,Kirk Michael,IM6 1AR,Michael,"293,000.00","293,000.00",10/08/2023,08/11/2023
, 25,,Kerrocruin,,Kirk Michael,IM6 1AG,Michael,"480,000.00","480,000.00",16/10/2023,08/11/2023
,,Magnolia Cottage,Glen Wyllin,,Kirk Michael,IM6 1AW,Michael,"298,000.00","298,000.00",24/10/2023,09/11/2023
,,Land,Baltic Road,,Michael,,Michael,"150,000.00","150,000.00",08/11/2023,07/12/2023
, 2,,Aalin Lea,,Kirk Michael,IM6 1HZ,Michael,"300,310.00","300,310.00",03/10/2023,29/11/2023
, 5,,Aalin Lea,,Kirk Michael,IM6 1HZ,Michael,"530,000.00","530,000.00",24/11/2023,05/01/2024
,,Lilac Cottage,Main Road,,Kirk Michael,IM6 2HG ,Michael,"275,000.00","275,000.00",15/12/2023,18/01/2024
, 37,,The Meadows,,Kirk Michael,IM6 1EY,Michael,"140,000.00","140,000.00",30/11/2023,26/01/2024
,,Middle Kerroglass Farm,Peel Road,,Kirk Michael,IM6 1HN,Michael,"700,000.00","700,000.00",18/12/2023,26/02/2024
,,Westlands,Douglas Road,,Kirk Michael,IM6 1AR,Michael,"405,000.00","405,000.00",15/02/2024,03/04/2024
Land at Aalin Lea,,,Off Douglas Road,,Kirk Michael,,Michael,1.00,1.00,06/03/2024,10/04/2024
Parcel of Land part of Field 231679,,,Barregarrow,,Kirk Michael,,Michael,"1,000.00",0.25,13/03/2024,25/04/2024
,,Ballarhenny Croft,Rhencullen,,Kirk Michael,IM6 2HB,Michael,"350,100.00","350,100.00",25/04/2024,29/05/2024
,,Windyridge,Rhencullen,,Kirk Michael,IM6 2HB,Michael,"260,000.00","260,000.00",02/04/2024,29/05/2024
,,The Smithy,Handley's Corner,,Kirk Michael,IM6 1AY,Michael,"420,000.00","420,000.00",02/11/2023,04/07/2024
, 50,,Slieau Curn Park,,Kirk Michael,IM6 1EL,Michael,"290,000.00","290,000.00",21/05/2024,09/07/2024
,,Barregarrow House,Barregarrow Crossroads,,Michael,IM6 1AX,Michael,"860,000.00","860,000.00",28/05/2024,13/08/2024
,,Land At Clyeen,Douglas Road,,Kirk Michael,,Michael,"12,500.00",1.00,21/02/2011,28/08/2024
,,Reneurling,Douglas Road,,Kirk Michael,IM6 1AU,Michael,"402,000.00","402,000.00",16/11/2023,12/09/2024
,,,9 Mull View,,Kirk Michael,IM6 1AQ,Michael,"372,500.00","372,500.00",02/08/2024,11/09/2024
,,Broomville,Rhencullen,,Kirk Michael,IM6 2HB,Michael,"395,000.00","395,000.00",19/07/2024,07/10/2024
,,Ballagawne Cottage,Glen Mooar,Peel Road,Kirk Michael,IM6 1HL,Michael,"495,000.00","495,000.00",26/07/2024,25/09/2024
,,Peel Depot,East Quay,,Peel,IM5 1AR,German,,400.00,27/12/1952,20/11/2001
,,Peel Depot,East Quay,,Peel,IM5 1AR,German,"335,000.00","335,000.00",16/10/2017,09/01/2018
,,Ballakilley Service Reservoir,Off Poortown Road,,St Johns,,German,,250.00,02/12/1971,24/01/2002
,,Cronk Bane Service Reservoir,Cronk-Y-Voddy,,Kirk Michael,IM6 1AZ,German,,149.40,07/10/1963,10/05/2002
,,Laurel Bank Pumping Station,Glen Helen Road,Laurel Bank,St. Johns,IM4 3NJ,German,,5.00,11/07/1964,14/05/2002
,,Laurel Bank Pumping Station,Glen Helen Road,Laurel Bank,St. Johns,IM4 3NJ,German,100.00,100.00,10/10/2008,03/12/2008
,,Knocksharry Service Reservoir,Switchback Road,,Knocksharry,IM5 2AG,German,,79.30,19/12/1955,13/05/2002
, 3,,Peveril Avenue,,Peel,IM5 1QB,German,,"90,000.00",21/05/2003,12/06/2003
, 3,,Peveril Avenue,,Peel,IM5 1QB,German,,"190,000.00",29/03/2006,08/06/2006
, 3,,Peveril Avenue,,Peel,IM5 1QB,German,"320,000.00","320,000.00",19/12/2022,28/02/2023
, 25,,Belle Vue Park,,Peel,IM5 1UE,German,,"211,500.00",02/05/2003,01/07/2003
, 25,,Belle Vue Park,,Peel,IM5 1UE,German,,"230,000.00",19/06/2006,26/07/2006
, 25,,Belle Vue Park,,Peel,IM5 1UE,German,"342,000.00","342,000.00",10/05/2023,13/06/2023
, 51,,Douglas Street,,Peel,IM5 1BD,German,,"121,500.00",16/05/2003,03/07/2003
, 51,,Douglas Street,,Peel,IM5 1BD,German,,"135,000.00",09/02/2007,27/04/2007
, 51,,Douglas Street,,Peel,IM5 1BD,German,"158,000.00","158,000.00",22/05/2013,20/06/2013
, 51,,Douglas Street,,Peel,IM5 1BD,German,"160,000.00","160,000.00",23/08/2021,20/09/2021
,,Part Of Ballawattleworth,Poortown Road,,Peel,,German,,"1,500,000.00",09/09/2002,14/07/2003
,,Part Of Ballawattleworth,Poortown Road,,Peel,,German,,"1,500,000.00",09/09/2002,21/11/2003
, 17,,Creggans Avenue,,Peel,IM5 1DD,German,,"143,000.00",16/05/2003,30/07/2003
, 4,,Bridge Street,,Peel,IM5 1NB,German,,"65,500.00",30/05/2003,17/11/2003
, 4,,Bridge Street,,Peel,IM5 1NB,German,,"145,000.00",26/11/2004,06/04/2005
, 4,,Bridge Street,,Peel,IM5 1NB,German,"180,000.00","180,000.00",21/05/2010,01/10/2010
,,Parcel Of Land,Abutting  Yard And Lane Off Stanley Mount,,Peel,,German,,"12,000.00",30/05/2003,12/03/2004
,,Parcel Of Land,Abutting Yard And Lane Off Stanley Mount,,Peel,,German,"14,850.00","14,850.00",14/12/2009,06/01/2010
,,Parcel Of Land,Abutting Yard And Lane Off Stanley Mount,,Peel,,German,"15,000.00","15,000.00",09/10/2015,22/12/2015
, 2,,Mount Morrison,,Peel,IM5 1PN,German,,"200,000.00",17/07/2003,25/09/2003
, 2,,Mount Morrison,,Peel,IM5 1PN,German,,"237,000.00",21/10/2005,09/12/2005
, 2,,Mount Morrison,,Peel,IM5 1PN,German,"510,000.00","510,000.00",01/03/2024,21/03/2024
,,Ballagyr Cottage,Ballagyr Lane,,Peel,IM5 2AD,German,,"175,000.00",18/07/2003,19/08/2003
, 10,,Peveril Avenue,,Peel,IM5 1QB,German,,"225,000.00",02/05/2003,26/09/2003
, 10,The Haven,Peveril Avenue,,Peel,IM5 1QB,German,"490,000.00","490,000.00",16/02/2022,25/04/2022
, 36A,,Market Street,,Peel,IM5 1AE,German,,"69,500.00",09/10/2000,04/09/2003
, 36A,,Market Street,,Peel,IM5 1AE,German,,"115,000.00",29/08/2003,01/11/2004
, 36A,,Market Street,,Peel,IM5 1AE,German,"130,000.00","130,000.00",15/06/2007,10/01/2008
,,Yard To The Rear Of 36A And 38,Market Street,,Peel,IM5 1AE,German,,0.25,28/07/2003,15/09/2003
,,Yard To The Rear Of 36A And 38,Market Street,,Peel,IM5 1AE,German,,0.25,29/08/2003,01/11/2004
,,Yard To The Rear Of 36A And 38,Market Street,,Peel,IM5 1AE,German,,0.25,08/06/2005,24/10/2005
,,Yard To The Rear Of 36A And 38,Market Street,,Peel,IM5 1AE,German,,0.25,20/03/2006,07/08/2006
,,Yard To The Rear Of 36A And 38,Market Street,,Peel,IM5 1AE,German,,0.00,15/06/2007,10/01/2008
,,Yard To The Rear Of 36A And 38,Market Street,,Peel,IM5 1AE,German,"1,000.00","1,000.00",03/06/2009,04/11/2009
,,Yard To The Rear Of 36A And 38,Market Street,,Peel,IM5 1AE,German,0.00,0.00,03/07/2020,29/07/2020
,,Fairways,Tynwald Road,,Peel,IM5 1JP,German,,"330,000.00",08/08/2003,17/09/2003
, 19,,Ballagyr Park,,Peel,IM5 1UN,German,,"175,000.00",18/07/2003,12/11/2003
, 19,,Ballagyr Park,,Peel,IM5 1UN,German,"205,000.00","205,000.00",29/02/2012,02/07/2012
, 6,,Elm Drive,,Peel,IM5 1WA,German,,"156,000.00",20/08/2003,26/09/2003
, 6,,Elm Drive,Ballawattleworth Estate,Peel,IM5 1WA,German,"190,000.00","190,000.00",03/08/2009,26/08/2009
,,Carn-Y-Greie,Tynwald Road,,Peel,IM5 1JL,German,,"225,000.00",18/07/2003,28/10/2003
,,Carn-Ny-Greie,Tynwald Road,,Peel,IM5 1JL,German,,"225,000.00",06/12/2016,14/02/2017
,,Carn-Y-Greie,Tynwald Road,,Peel,IM5 1JL,German,"429,950.00","429,950.00",23/03/2022,09/04/2022
, 1A,,Christian Street,,Peel,IM5 1NW,German,,"137,500.00",01/06/2003,20/02/2004
, 1A,,Christian Street,,Peel,IM5 1NW,German,,"173,000.00",08/09/2005,29/09/2005
, 1A,,Christian Street,,Peel,IM5 1NW,German,"171,000.00","171,000.00",30/09/2016,21/02/2017
, 1A,,Christian Street,,Peel,IM5 1NW,German,"215,000.00","215,000.00",16/07/2021,17/09/2021
Flat 2, 7-11 ,Chambers House,Douglas Street,,Peel,IM5 1BA,German,,"192,500.00",25/06/2003,17/11/2003
Flat 2, 7-11 ,Chambers House,Douglas Street,,Peel,IM5 1BA,German,"218,000.00","218,000.00",17/07/2008,23/01/2009
Flat 2, 7-11 ,Chambers House,Douglas Street,,Peel,IM5 1BA,German,"220,000.00","220,000.00",12/11/2013,13/03/2014
Flat 1, 7-11,Chambers House,Douglas Street,,Peel,IM5 1BA,German,,"189,500.00",08/08/2003,14/11/2003
Apartment 1, 7-11,Chambers House,Douglas Street,,Peel,IM5 1BA,German,"189,500.00",0.00,30/11/2015,14/01/2016
, 5,,Birch Drive,,Peel,IM5 1WR,German,,"122,000.00",16/05/2003,20/05/2004
, 5,,Birch Drive,,Peel,IM5 1WR,German,,0.25,13/12/2004,13/06/2007
, 3,,Poplar Close,,Peel,IM5 1WU,German,,"154,950.00",04/07/2003,25/11/2003
, 3,,Poplar Close,,Peel,IM5 1WU,German,"154,950.00","154,950.00",21/01/2011,07/07/2011
, 6,,Pretoria Terrace,,St Johns,IM4 3AL,German,,"149,000.00",05/06/2003,27/10/2003
,,Sefton Cottage,Curragh Road,,St. Johns,IM4 3LN,German,,"55,000.00",30/05/2003,29/03/2004
,,Mona Cottage,Curragh Road,,St. Johns,IM4 3LN,German,,"55,000.00",30/05/2003,04/02/2004
, 9,,Castle Street,,Peel,IM5 1AN,German,,"147,500.00",05/09/2003,29/10/2003
, 9,,Castle Street,,Peel,IM5 1AN,German,"164,950.00","164,950.00",29/06/2007,07/01/2008
, 9,,Castle Street,,Peel,IM5 1AN,German,"200,000.00","200,000.00",21/09/2009,03/11/2009
, 19,,Ballaterson Crescent,,Peel,IM5 1BL,German,,"68,500.00",04/07/2003,06/11/2003
, 19,,Ballaterson Crescent,,Peel,IM5 1BL,German,"240,000.00","240,000.00",21/12/2018,07/03/2019
, 23,,Creggans Avenue,,Peel,IM5 1DD,German,,"140,000.00",23/06/2003,20/10/2003
, 23,,Creggans Avenue,,Peel,IM5 1DD,German,,"158,000.00",24/06/2005,31/08/2005
, 23,,Creggans Avenue,,Peel,IM5 1DD,German,"195,500.00","195,500.00",14/11/2008,30/01/2009
, 30,,Stanley Road,,Peel,IM5 1NY,German,,"196,000.00",11/09/2003,04/12/2003
, 30,,Stanley Road,,Peel,IM5 1NY,German,,"165,000.00",08/09/2005,09/12/2005
,,Chapel Court,Christian Street,,Peel,IM5 1NW,German,,"250,000.00",04/07/2003,11/12/2003
,,Chapel Court,Christian Street,,Peel,IM5 1NW,German,,"1,500.00",08/06/2006,03/07/2006
, 10,,Rowan Avenue,,Peel,IM5 1WG,German,,"180,500.00",16/06/2003,23/03/2004
, 10,,Rowan Avenue,,Peel,IM5 1WG,German,"289,950.00","289,950.00",16/12/2020,15/02/2021
, 8,,Mourne View,,Peel,IM5 1UJ,German,,"360,000.00",23/06/2003,04/02/2004
, 8,,Mourne View,,Peel,IM5 1UJ,German,"650,000.00","650,000.00",04/09/2015,12/10/2015
,,Land At Ballawattleworth Farm,Poortown,,Peel,,German,,"1,350,000.00",22/09/2003,27/11/2003
, 3,,Ballagyr Park,,Peel,IM5 1UL,German,,"320,000.00",23/06/2003,11/08/2004
, 3,,Mourne View Road,,Peel,IM5 1UW,German,"495,000.00","495,000.00",16/11/2020,10/02/2021
, 16,,Ballaterson Road,,Peel,IM5 1BJ,German,,"62,500.00",27/06/2003,18/11/2003
, 23,,Ash Close,,Peel,IM5 1WE,German,,"145,000.00",24/06/2003,25/05/2004
, 23,,Ash Close,,Peel,IM5 1WE,German,,"154,500.00",02/07/2004,13/12/2004
, 23,,Ash Close,,Peel,IM5 1WE,German,,"157,500.00",09/03/2007,01/05/2007
, 17,,Aspen Drive,,Peel,IM5 1WT,German,,"235,950.00",22/08/2003,24/11/2003
, 17,,Aspen Drive,,Peel,IM5 1WT,German,,"246,000.00",24/09/2004,20/10/2004
, 10,,Aspen Drive,,Peel,IM5 1WT,German,,"159,950.00",30/07/2003,23/03/2004
, 10,,Aspen Drive,,Peel,IM5 1WT,German,,"182,000.00",28/07/2006,22/09/2006
, 10,,Aspen Drive,,Peel,IM5 1WT,German,"215,000.00","215,000.00",23/05/2008,13/09/2008
, 10,,Aspen Drive,,Peel,IM5 1WT,German,"185,000.00","185,000.00",07/10/2016,18/10/2016
, 15,,Aspen Drive,,Peel,IM5 1WS,German,,"189,950.00",04/07/2003,12/03/2004
, 15,,Aspen Drive,,Peel,IM5 1WS,German,"270,000.00","270,000.00",25/07/2014,16/09/2014
, 5,,Shore Road,,Peel,IM5 1AH,German,,"235,000.00",18/08/2003,09/01/2004
, 5,,Shore Road,,Peel,IM5 1AH,German,,"470,000.00",26/03/2004,01/11/2004
, 5,,Shore Road,,Peel,IM5 1AH,German,"380,000.00","380,000.00",30/11/2018,22/01/2019
, 4A,,Bridge Street,,Peel,IM5 1NB,German,,"138,600.00",25/07/2003,31/10/2003
, 4A,,Bridge Street,,Peel,IM5 1NB,German,"180,000.00","180,000.00",11/01/2008,21/05/2008
, 4A,,Bridge Street,,Peel,IM5 1NB,German,"180,000.00","8,000.00",21/02/2013,12/11/2013
, 2,Paws & Claws,Patrick Street,,Peel,IM5 1AZ,German,,"125,000.00",22/09/2003,02/12/2003
, 11,,Aspen Drive,,Peel,IM5 1WS,German,,"175,000.00",04/07/2003,15/03/2004
, 11,,Aspen Drive,,Peel,IM5 1WS,German,"247,000.00","247,000.00",05/03/2010,26/07/2010
, 4,,Poplar Close,,Peel,IM5 1WU,German,,"159,950.00",11/07/2003,27/11/2003
, 4,,Poplar Close,,Peel,IM5 1WU,German,"235,000.00","235,000.00",11/07/2014,30/09/2014
, 4,,Poplar Close,Ballawattleworth,Peel,IM5 1WU,German,"350,000.00","350,000.00",10/03/2023,21/04/2023
, 12,,Rowan Avenue,,Peel,IM5 1WG,German,,"179,950.00",13/06/2003,21/11/2003
, 12,,Rowan Avenue,,Peel,IM5 1WG,German,"179,950.00","179,950.00",28/12/2007,28/04/2008
