"osm_id","osm_type","osm_url","lat","lon","name","name:en","ref"
"283522589","node","https://osm.org/node/283522589","54.149702","-4.504776","","","61"
"283523647","node","https://osm.org/node/283523647","54.208332","-4.635339","","","89"
"286775534","node","https://osm.org/node/286775534","54.106531","-4.716718","","",""
"287020185","node","https://osm.org/node/287020185","54.130977","-4.63873","","","114"
"310977302","node","https://osm.org/node/310977302","54.164572","-4.467971","","",""
"441985949","node","https://osm.org/node/441985949","54.069684","-4.768418","Cregneash","","148"
"452016597","node","https://osm.org/node/452016597","54.073066","-4.653429","","","121"
"453442524","node","https://osm.org/node/453442524","54.232111","-4.405334","Laxey Station Pillar Postbox","","102"
"454998971","node","https://osm.org/node/454998971","54.15442","-4.57444","","",""
"455297128","node","https://osm.org/node/455297128","54.167285","-4.609653","","",""
"455297138","node","https://osm.org/node/455297138","54.169617","-4.634374","","",""
"456469153","node","https://osm.org/node/456469153","54.163257","-4.475234","","",""
"463207458","node","https://osm.org/node/463207458","54.161368","-4.473128","","",""
"494611773","node","https://osm.org/node/494611773","54.224526","-4.689321","","",""
"508062040","node","https://osm.org/node/508062040","54.096589","-4.702632","","","164"
"549539734","node","https://osm.org/node/549539734","54.168623","-4.729325","Dalby","","167"
"683296535","node","https://osm.org/node/683296535","54.108809","-4.629723","","","116"
"685338686","node","https://osm.org/node/685338686","54.153096","-4.484157","","",""
"841383687","node","https://osm.org/node/841383687","54.134555","-4.609413","","","192"
"841383785","node","https://osm.org/node/841383785","54.096388","-4.62991","","","166"
"842298222","node","https://osm.org/node/842298222","54.077893","-4.648466","Victoria Road","","128"
"842298225","node","https://osm.org/node/842298225","54.081125","-4.641833","Douglas Road","","124"
"842400487","node","https://osm.org/node/842400487","54.074765","-4.755548","The Howe","","147"
"870641980","node","https://osm.org/node/870641980","54.092127","-4.761967","Spaldrick","","152"
"870641988","node","https://osm.org/node/870641988","54.094247","-4.763679","Bradda West","","153"
"870642008","node","https://osm.org/node/870642008","54.152608","-4.481102","Finch Road","","21A"
"870642011","node","https://osm.org/node/870642011","54.152595","-4.481101","Finch Road","","21"
"873395515","node","https://osm.org/node/873395515","54.204459","-4.692783","Patrick Church","","169"
"943789019","node","https://osm.org/node/943789019","54.157723","-4.476805","Castle Mona Avenue","","22"
"948950542","node","https://osm.org/node/948950542","54.118899","-4.687324","Ronague","","133"
"950922345","node","https://osm.org/node/950922345","54.224158","-4.695046","Shore Road","","173"
"950922351","node","https://osm.org/node/950922351","54.330903","-4.554174","The Cronk Ballaugh","","248"
"950922409","node","https://osm.org/node/950922409","54.273286","-4.600599","Allagawne","","193"
"967981993","node","https://osm.org/node/967981993","54.075865","-4.6554","","",""
"1068540369","node","https://osm.org/node/1068540369","54.146738","-4.477327","Swing Bridge","","14"
"1069288792","node","https://osm.org/node/1069288792","54.160512","-4.481752","","",""
"1069323502","node","https://osm.org/node/1069323502","54.158603","-4.479849","Rose Gardens","","46"
"1069323519","node","https://osm.org/node/1069323519","54.160016","-4.485456","Murrays Road","","48"
"1138944193","node","https://osm.org/node/1138944193","54.321352","-4.38062","","",""
"1287783133","node","https://osm.org/node/1287783133","54.181168","-4.641579","","",""
"1714947989","node","https://osm.org/node/1714947989","54.184818","-4.704256","Glen Maye","","168"
"1724585496","node","https://osm.org/node/1724585496","54.193787","-4.424235","","","95"
"1736770834","node","https://osm.org/node/1736770834","54.149769","-4.481235","Athol Street","","10B"
"1736770838","node","https://osm.org/node/1736770838","54.149772","-4.481228","Athol Street","","10A"
"1736770841","node","https://osm.org/node/1736770841","54.149765","-4.481243","North Athol Street","","10"
"1774120157","node","https://osm.org/node/1774120157","54.32093","-4.379442","","",""
"1777121890","node","https://osm.org/node/1777121890","54.118109","-4.655183","Grenaby","","113"
"1789231545","node","https://osm.org/node/1789231545","54.170828","-4.443495","Majestic","","37"
"1823105075","node","https://osm.org/node/1823105075","54.148712","-4.483433","","",""
"1823105076","node","https://osm.org/node/1823105076","54.148718","-4.483418","","",""
"1823105082","node","https://osm.org/node/1823105082","54.148724","-4.483403","","",""
"1827083732","node","https://osm.org/node/1827083732","54.150591","-4.483923","PO Headquarters","","1B"
"1827083733","node","https://osm.org/node/1827083733","54.150602","-4.483908","PO Headquarters","","1A"
"1827083734","node","https://osm.org/node/1827083734","54.150613","-4.483894","PO Headquarters","","1"
"1971040765","node","https://osm.org/node/1971040765","54.146646","-4.482165","","",""
"2185578332","node","https://osm.org/node/2185578332","54.316816","-4.382338","","",""
"2382824419","node","https://osm.org/node/2382824419","54.129354","-4.540204","","",""
"2388000715","node","https://osm.org/node/2388000715","54.183944","-4.56607","Crosby Village","","40"
"2429056199","node","https://osm.org/node/2429056199","54.177594","-4.549338","","",""
"2955652980","node","https://osm.org/node/2955652980","54.226752","-4.67691","Reayrt Aalin","","180"
"3670550496","node","https://osm.org/node/3670550496","54.077204","-4.639387","Castletown Promenade","","127"
"3964723822","node","https://osm.org/node/3964723822","54.077121","-4.739026","","",""
