Planning  Applications Determined between 1/1/16 - 31/12/16,,,,,
Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,16/00997/B,Alterations to dwelling including partial demolition and replacement windows,13-Oct-16,Senior Planning Officer - North (CB),Ballerghy Farmhouse Lhergy Cripperty Union Mills Isle Of Man IM4 2AH
Permitted,16/01017/B,Proposed alterations and extensions.,15-Dec-16,Interim Director 2016,Wildwood House Glen Auldyn Ramsey Isle Of Man IM7 2AH 
Permitted,16/01046/B,Replacement of existing windows to front and side elevations.,09-Nov-16,Senior Planning Officer - South (SC),Willow Cottage 14 Lower Dukes Road Douglas Isle Of Man IM2 4BJ
Permitted,16/01066/B,Replacement windows,08-Nov-16,Senior Planning Officer - North (CB),Daisy Cottage 28 Malew Street Castletown Isle Of Man IM9 1AD 
Permitted,16/01085/B,"Alterations, replacement and enlargement of patio, creation of bi folding doors and application of render to dwelling",10-Nov-16,Senior Planning Officer - South (SC),32 Furman Close Onchan Isle Of Man IM3 1BT
Permitted,16/01106/B,"Erection of detached building to provide games/gym room, Amendment to PA 16/00187/B.",02-Nov-16,Senior Planning Officer - South (SC),Ainchea Corony Bridge Corony Ramsey Isle Of Man IM7 1EY
Permitted,16/01118/C,change of use from retail to office use.,04-Nov-16,Senior Planning Officer - South (SC),28 Parliament Street Ramsey Isle Of Man IM8 1AW
Permitted,16/00195/REM,"Reserved Matters Application relating to PA 14/01201/A for erection of a detached dwelling, addressing siting, design, external appearance, internal layout, means of access and landscaping",23-May-16,Planning Committee,Land Forming Part Of 18 Ballastrooan Colby Isle Of Man IM9 4NR
Refused,16/00691/B,Extension to existing dwelling.,27-Oct-16,Senior Planning Officer - South (SC),Bungalow Ballamenagh Moar Farm Ballamenagh Road Baldrine Isle Of Man IM4 6AJ 
Permitted,16/00727/B,Alterations and widening of existing driveway and vehicular access,12-Oct-16,Senior Planning Officer - South (SC),1 Gellings Avenue Port St. Mary Isle Of Man IM9 5BG
Permitted,16/00924/B,Erection of a two storey complex comprising of twelve apartments with associated car parking and landscaping,12-Dec-16,Planning Committee,Close Woirrey Ramsey Isle Of Man IM8 2EJ
Permitted,16/00925/B,"Alterations, erection of extension to replace conservatory, installation of roof lights, render to garage and rendered panel to front elevation of dwelling",27-Sep-16,Senior Planning Officer - South (SC),45 Harcroft Meadow Douglas Isle Of Man IM2 1JT 
Refused,16/00926/B,Erection of a three storey sheltered housing complex to provide thirty seven apartments with associated car parking and landscaping,13-Dec-16,Planning Committee,Mayfield Queens Pier Road Ramsey Isle Of Man  
Permitted,16/01220/D,Installation of non illuminated signage.,05-Dec-16,Senior Planning Officer - South (SC),62 Parliament Street Ramsey Isle Of Man IM8 1AJ 
Permitted,16/00954/C,Change of use from offices to an osteopath clinic,04-Oct-16,Planning Committee,Unit 1 Premier House Tromode Estate Carrs Lane Tromode Douglas Isle Of Man IM4 4QB 
Permitted,16/00992/B,Alterations and erection of a roof with roof lights over existing courtyard to make additional living accommodation,01-Nov-16,Senior Planning Officer - South (SC),23 Factory Lane Peel Isle Of Man IM5 1NA
Permitted,16/00007/B,Alterations and extension to dwelling (comprising amendments to PA 14/01371/B),03-Feb-16,Head of Development Management,Cherry Forge Tosaby Road Eairy Isle Of Man IM4 3HP 
Permitted,16/00649/B,Erection of an industrial building,23-Aug-16,Senior Planning Officer - South (SC),Unit J White Hoe Industrial Estate Old Castletown Road Douglas Isle Of Man  
Permitted,16/00651/B,Retention of double tier portacabin units for race control and timekeeping of road racing on the Billown Circuit (retrospective),18-Jul-16,Planning Committee,Land Adjacent To Southern 100 Start Castletown By-Pass Castletown Isle Of Man  
Permitted,16/01240/B,Creation of an additional first floor window to front elevation,05-Dec-16,Interim Director 2016,6 Fenella Court Douglas Isle Of Man IM2 6PH 
Permitted,16/01243/B,Installation of a flue,09-Dec-16,Senior Planning Officer - South (SC),Westalls Lezayre Road Ramsey Isle Of Man IM8 2TE
Permitted,16/00081/B,Installation of replacement windows to front elevation,25-Jul-16,Senior Planning Officer - North (CB),11 High Street Port St. Mary Isle Of Man IM9 5DP
Permitted,16/00083/B,Erection of a covered canopy over existing shop area,09-Mar-16,Head of Development Management,Ramsey Garden Centre Albert Road Ramsey Isle Of Man IM8 1JB 
Permitted,16/00084/B,Erection of a public toilet block,14-Mar-16,Planning Committee,Maughold Village Car Park Church Road Maughold Isle Of Man  
Refused,16/00795/B,"Erection of replacement shed for use as stores, office in association with repair of agricultural vehicles and machinery and agriculture (retrospective)",14-Oct-16,Senior Planning Officer - South (SC),Detached Structure Squeen Farm Ballacrye Road Ballaugh Isle Of Man  
Refused,16/00796/B,Conversion of stores and office building into a residential dwelling (retrospective),14-Oct-16,Senior Planning Officer - South (SC),Detached Building Squeen Farm Ballacrye Road Ballaugh Isle Of Man  
Refused,16/00802/B,Extension of residential curtilage and retention of existing shed (retrospective) and erection of a summerhouse,04-Oct-16,Planning Committee,The Haven & Plot 514147 Ballavale Road Santon Isle Of Man IM4 1EH
Permitted,16/00803/B,Erection of an extension and installation of a hipped roof to existing detached garage and store,05-Sep-16,Interim Director 2016,Garth Cottage Ballaragh Road Laxey Isle Of Man IM4 7PH
Permitted,16/00804/B,"Alterations, erection of rear extension to dwelling",19-Oct-16,Senior Planning Officer - South (SC),26 Westminster Terrace Douglas Isle Of Man IM1 4EE
Permitted,16/00994/B,Erection of an extension to replace existing conservatory,29-Sep-16,Senior Planning Officer - South (SC),Woodlands Ballacollister Road Laxey Isle Of Man IM4 7JT
Permitted,16/00995/B,Installation of a replacement rear door,01-Dec-16,Senior Planning Officer - South (SC),20 Wesley Terrace Douglas Isle Of Man IM1 3HF
Permitted,16/01001/B,"Extensions to provide additional living accommodation, comprising new single storey sun room and study.",01-Dec-16,Senior Planning Officer - South (SC),Lyndene Ballakilpheric Road Colby Isle Of Man IM9 4BX
Permitted,16/01057/B,Retrospective retention of pre existing shed.,25-Nov-16,Senior Planning Officer - South (SC),Sycamore House Glen Duff Ramsey Isle Of Man IM7 2AT 
Permitted,15/01398/CON,"Registered Building consent for alterations, installation of replacement windows and doors and new roof light to dwelling (in association with 15/01397/GB) Registered Building Nos. 211",26-Feb-16,Head of Development Management,Beach Cottage Ballure Road Ramsey Isle Of Man IM8 1NB
Permitted,16/00100/B,Installation of new pitched roof and alteration to windows on existing rear extension,03-Mar-16,Senior Planning Officer - South (SC),43 Palatine Road Douglas Isle Of Man IM2 3BP
Permitted,16/01171/D,Erection of mounted signage to large warehouse doors.,21-Nov-16,Interim Director 2016,Workshop/The Coal Shed Harbourmaster's Office Breakwater Road Port Erin Isle Of Man IM9 6JA 
Permitted,16/01236/B,Alterations and construction of link section between dormer windows on front elevation.,09-Dec-16,Senior Planning Officer - South (SC),7 Christian Road Douglas Isle Of Man IM1 2QH 
Permitted,16/01153/B,Erection of agricultural building.,10-Nov-16,Senior Planning Officer - South (SC),Outbuilding Ballakilley Farm Bride Isle Of Man  
Permitted,15/01372/B,Erection of a stable block,20-Jan-16,Senior Planning Officer - South (SC),Fields 431204 & 431210 Kerrowmoar Road Ballamodha Ballasalla Isle Of Man  
Permitted,15/01373/B,"Erection of stables with yard, creation of an access track and formation of an entrance with associated landscaping",05-Aug-16,Senior Planning Officer - South (SC),Field 510279 Mullinaragher Road Santon Isle Of Man  
Permitted,16/00067/B,Alteration to ground floor front elevation window,26-Feb-16,Director Delegation,49 Wybourn Grove Onchan Isle Of Man IM3 4AU
Permitted,15/00870/B,"Demolition of redundant gas works and construction of twenty dwellings with associated roadways and drainage, including siting, design, external appearance, internal layout, means of access and landscaping",08-Jun-16,Senior Planning Officer - North (CB),Gas Works Site Adjacent To Port St Mary Railway Station  Port St Mary Isle Of Man IM9 5LF 
Permitted,15/01290/B,Widening of existing driveway and vehicular access,05-Jan-16,Director Delegation,Beechville Athol Park Port Erin Isle Of Man IM9 6ES
Permitted,15/01292/B,Alterations and extension to dwelling,26-Jan-16,Senior Planning Officer - South (SC),Struie Highfield Drive Baldrine Isle Of Man IM4 6ED
Permitted,15/01294/A,Approval in principle for the demolition of existing garage and erection of a block of three double garages addressing siting only,07-Jan-16,Senior Planning Officer - South (SC),Plot And Garage Opposite 4 Windsor Terrace Douglas Isle Of Man 
Permitted,16/00002/B,Erection of a conservatory extension to dwelling,15-Feb-16,Senior Planning Officer - South (SC),Close Mooar  The Curragh Ballaugh Isle Of Man IM7 5BL 
Permitted,16/00004/GB,"Installation of replacement windows, doors, fascia boards and barge boards (in association with 16/00005/CON)",08-Feb-16,Director Delegation,The Old Railway Station Port Soderick Glen Port Soderick Isle Of Man IM4 1BF 
Permitted,16/00005/CON,"Registered Building Consent for the installation of replacement windows, doors, fascia boards and barge boards (RB no 180 in association with 16/00004/GB)",08-Feb-16,Director Delegation,The Old Railway Station Port Soderick Glen Port Soderick Isle Of Man IM4 1BF 
Permitted,16/00555/B,Installation of replacement windows and replacement entrance door,24-Jun-16,Senior Planning Officer - North (CB),Flat 1 & 2  7 Arbory Street Castletown Isle Of Man IM9 1LH
Refused,16/00816/B,Installation of replacement windows,05-Sep-16,Interim Director 2016,Sheear 2 Derby Road Peel Isle Of Man IM5 1HH
Permitted,16/00817/C,"Change of use to pet shop, dog day care and dog grooming parlour",07-Sep-16,Senior Planning Officer - North (CB),Units 4 & 5 1 Main Road Onchan Isle Of Man IM3 1BA 
Permitted,16/00818/B,Replacement of existing doors with upvc door and blockwork (retrospective),03-Nov-16,Senior Planning Officer - South (SC),Shore Hotel Old Laxey Hill Laxey Isle Of Man IM4 7DA
Permitted,16/00968/B,Replacement roof to rear annex,29-Sep-16,Senior Planning Officer - South (SC),42 Wybourn Drive Onchan Isle Of Man IM3 4AN
Permitted,16/01133/B,Installation of replacement windows to first & second floors of front elevation,01-Dec-16,Senior Planning Officer - South (SC),Knighton 46 Albany Road Douglas Isle Of Man IM2 3NA
Permitted,16/00509/B,Erection of two detached dwellings with associated driveways and parking and formation of a public pavement (amendment to PA 12/01486/B),11-Jul-16,Senior Planning Officer - South (SC),41 Groudle Road Onchan Isle Of Man IM3 2EF
Permitted,16/00510/B,"Erection of extension to utility / boiler room to create a garden store, demolition of existing garage and erection of replacement detached garage with games room above",24-Jun-16,Senior Planning Officer - North (CB),Ridgmont The Crofts Castletown Isle Of Man IM9 1LY
Permitted,16/01007/B,The creation of an additional vehicular access and the erection of an extension and balcony,18-Nov-16,Senior Planning Officer - South (SC),8 Mourne View Peel Isle Of Man IM5 1UJ
Permitted,15/01089/B,"Alterations, roof amendments, creation of a mezzanine floor and erection of a three storey rear extension to provide lift and stair access to offices",16-Feb-16,Planning Committee,5 Athol Street Douglas Isle Of Man IM1 1QL
Permitted,15/00850/CON,Registered Building Consent for the installation of replacement windows (RB no 169 in association with PA 14/00849/GB),02-Jun-16,Interim Director 2016,Town Hall Ridgeway Street Douglas Isle Of Man IM1 1EP
Permitted,16/00113/B,Creation of vehicular access to serve existing warehouse building,13-Apr-16,Senior Planning Officer - South (SC),Warehouse  Junction Of Lezayre Road And Gardeners Lane  Ramsey Isle Of Man IM8 2TG 
Application Withdrawn,15/00884/A,"Approval in principle for residential estate of seven dwellings addressing siting, design, means of access and landscaping",22-Jun-16,Withdrawn,Land Adjacent To Sherwood And Lhergy Vreck Crescent Road Ramsey Isle Of Man  
Permitted,15/01155/CON,Registered Building Consent for creation of two outside seating areas including the installation of overhead awnings and heaters (RB no 223 in association with 15/01154/GB),05-Feb-16,Head of Development Management,18A-20 Victoria Street Douglas Isle Of Man IM1 2LE 
Permitted,15/01306/B,"Alterations, erection of first floor extension, loft conversion and creation of a roof terrace to dwelling",05-Feb-16,Senior Planning Officer - South (SC),10 Third Avenue Douglas Isle Of Man IM2 6AL
