Planning  Applications Determined between 1/1/16 - 31/12/16,,,,,
Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,16/01084/B,Erection of agricultural barn in field 510984,08-Nov-16,Senior Planning Officer - North (CB),Field 510984 Balnahowe Santon Isle Of Man  
Permitted,16/00698/B,Erection of single garage and hardstanding.,27-Jul-16,Interim Director 2016,Land Adjacent To 4 Windsor Terrace Douglas Isle Of Man IM1 3LH
Permitted,16/00716/B,Erection of security and fencing and vehicular access gates,09-Aug-16,Senior Planning Officer - North (CB),Hazardous Waste Transfer Unit Field 524740 Kewaigue Douglas Isle Of Man  
Permitted,15/01147/B,Installation of replacement windows,16-Feb-16,Director Delegation,The Craig 16 New Road Laxey Isle Of Man IM4 7BF
Permitted,15/01150/C,Change of use of premises from dairy to the preparation and distribution of sandwiches (retrospective),05-Jan-16,Planning Committee,Old Dairy  Spring Gardens Douglas Isle Of Man IM1 3JW
Permitted,15/01152/D,Installation of illuminated signage (in association with PA 15/00153/CON),05-Feb-16,Head of Development Management,18A-20 Victoria Street Douglas Isle Of Man IM1 2LE 
Permitted,15/01153/CON,Registered Building consent for the installation of illuminated signage (in association with PA 15/00152/D) Registered Building Nos. 223,05-Feb-16,Head of Development Management,18A - 20 Victoria Street Douglas Isle Of Man IM1 2LE 
Permitted,16/00729/B,Demolition of existing redundant workshop and erection of a dwelling,01-Nov-16,Planning Committee,40 Douglas Street Peel Isle Of Man  
Refused,16/01075/B,Conversion of 2 properties into 1 plus other works.,03-Nov-16,Planning Committee,2 Castle Quay Castletown Isle Of Man IM9 1AU
Permitted,16/01246/B,"Alterations, partial demolition works, relocation of fire escapes, erection of walling and creation of new windows, entrance, canopy and foyer to hotel",13-Dec-16,Planning Committee,Comis At Mount Murray Mount Murray Road Mount Murray Santon Isle Of Man IM4 2HT
Permitted,15/01253/C,Additional use of existing dwelling for tourist accommodation,07-Jan-16,Senior Planning Officer - South (SC),24 Baldrine Park Baldrine Isle Of Man IM4 6DD
Permitted,15/01254/B,Creation of roof terrace on existing garage roof with access stairs and balustrading,11-Jan-16,Director Delegation,39 York Road Douglas Isle Of Man IM2 3AY
Permitted,16/00143/B,Replacement of existing glazed conservatory roof with roof tiles,14-Mar-16,Director Delegation,Beehive Kindergarten (Shelleig) Hillberry Road Onchan Isle Of Man IM3 3JP
Permitted,16/00144/B,Replacement of existing glazed conservatory roof with light weight roof tiles,17-Mar-16,Director Delegation,13 Close Corlett Peel Isle Of Man IM5 1QH 
Permitted,16/00145/B,Removal of the agricultural occupancy condition attached to PA90/01792/B for the re-construction and extension of the dwelling,29-Mar-16,Planning Committee,Knocksharry Farm Ramsey Road Peel Isle Of Man IM5 2AF
Permitted,16/00168/D,Re-location of two existing and retention of one existing illuminated advertising signs,26-May-16,Senior Planning Officer - North (CB),McDonald's Restaurant  Peel Road Douglas Isle Of Man IM1 5ED 
Permitted,16/00603/B,Installation of a replacement front door,08-Jul-16,Senior Planning Officer - South (SC),6 Hilary Road Douglas Isle Of Man IM2 3EG
Permitted,16/00604/B,Erection of a wind break screen to front elevation entrance door,11-Jul-16,Senior Planning Officer - South (SC),Pets At Home Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR 
Permitted,16/00605/B,"Alterations, erection of extension and creation of rear parking and vehicular access",15-Jul-16,Senior Planning Officer - South (SC),9 Dalton Street Douglas Isle Of Man IM1 3JT
Permitted,16/00606/B,Conversion of garage to provide a beauty therapy salon and widening of existing vehicular access and driveway,18-Jul-16,Planning Committee,4 Albany Close Peel Isle Of Man IM5 1JX
Permitted,16/01048/B,Removal and installation of roof to rear and removal of wall and creation of double doors.,01-Nov-16,Senior Planning Officer - South (SC),43 Palatine Road Douglas Isle Of Man IM2 3BP
Permitted,16/00607/B,Relocation of existing vehicular access,19-Jul-16,Interim Director 2016,Kimmeragh Ballafesson Road Port Erin Isle Of Man IM9 6TX
Permitted,16/00630/C,Change of use of existing residential apartment to commercial use including hair and beauty treatment,18-Aug-16,Senior Planning Officer - South (SC),Apartment 2 & Unit 1 Royal Buildings Main Road Onchan Isle Of Man IM3 1AP 
Permitted,16/00631/B,Erection of an agricultural building,26-Sep-16,Senior Planning Officer - South (SC),Field 110929 West Kimmeragh Farm West Kimmeragh Road Bride Isle Of Man  
Permitted,16/01053/VAR,Variation of condition 3 of 10/01001/B,14-Nov-16,Planning Committee,Fo-Glion Glen Rushen Road Glen Maye Isle Of Man IM5 3BA
Permitted,15/01064/B,Erection of nine detached dwellings with associated landscaping and access,20-Dec-16,Interim Director 2016,Site Of Former Grand Island Hotel Bride Road Ramsey Isle Of Man IM8 3UN 
Permitted,15/01275/B,Conversion of part of integral garage to living accommodation and alterations,05-Jan-16,Director Delegation,5 Pinehurst Glen Douglas Isle Of Man IM2 1PH
Refused,15/01276/B,"Erection of a marquee adjacent to overflow car park to be used for promotional events, charity functions, exhibitions, children's activities, and leisure activities including ice rink and roller skating (retrospective)",18-Oct-16,Planning Committee,Car Park Tynwald Mills Road St Johns Isle Of Man  
Permitted,15/01278/B,Erection of a conservatory to rear elevation (retrospective),05-Jan-16,Director Delegation,6 Cronk Y Berry Mooar Douglas Isle Of Man IM2 6HJ
Permitted,15/01279/B,Installation of replacement French doors to front elevation,03-Feb-16,Senior Planning Officer - South (SC),11 Eastfield Douglas Isle Of Man IM1 4AU
Permitted,15/01281/B,Installation of French window and blocking-up external doorway (retrospective),05-Jan-16,Director Delegation,Overdale Quarterbridge Road Douglas Isle Of Man IM2 3RJ
Permitted,15/01400/B,Alterations and erection of a two storey extension to dwelling,24-Feb-16,Head of Development Management,Bergen Belmont Hill Douglas Isle Of Man IM1 4NT
Refused,16/00104/B,Removal of chimney stack,17-Mar-16,Director Delegation,22 Belmont Terrace Douglas Isle Of Man IM1 4NH
Permitted,16/00169/B,Erection of a sun room extension to rear elevation,05-May-16,Senior Planning Officer - North (CB),26 St Runius Way Glen Vine Isle Of Man IM4 4FG
Permitted,16/00170/B,Erection of a replacement storage barn,03-May-16,Senior Planning Officer - North (CB),"Barn, Red Gap Farm Arbory Road Castletown Isle Of Man  "
Permitted,16/00174/B,"Alterations and extensions to dwelling, erection of a detached garage, alterations to vehicular access and landscaping works",24-Aug-16,Interim Director 2016,3 The Falls Tromode Douglas Isle Of Man IM4 4PZ 
Refused,16/00177/GB,Conversion of existing garage/store area into additional ground floor living accommodation (in association with 16/00178/CON),04-Jul-16,Planning Committee,The Old Sail Loft  Shore Road Underway Port St. Mary Isle Of Man IM9 5DX 
Refused,16/00178/CON,Registered Building Consent for conversion of existing garage/store area into additional ground floor living accommodation (RB no 203 in association with 16/00177/GB),04-Jul-16,Planning Committee,The Old Sail Loft Shore Road Underway Port St. Mary Isle Of Man IM9 5DX 
Permitted,16/00308/B,Installation of external flue for wood burning stove,16-Jun-16,Senior Planning Officer - South (SC),Erinwood Bay View Road Port Erin Isle Of Man IM9 6NA 
Permitted,16/00310/B,Widening of driveway and vehicular access onto highway,18-May-16,Senior Planning Officer - South (SC),Cronk Beg 39 Bray Hill Douglas Isle Of Man IM2 5BD
Permitted,16/00313/B,Alterations and extension to dwelling (comprising amendments to PA 14/01183/B),03-Jun-16,Senior Planning Officer - South (SC),23 Ridgeway Road Onchan Isle Of Man IM3 1HT
Permitted,16/00330/B,Removal of agricultural worker's occupancy condition from dwelling approved under PA 93/00945/B,21-Jun-16,Planning Committee,Withaney Balnahowe Santon Isle Of Man IM4 1HN 
Permitted,16/00332/B,Erection of a replacement front porch,18-May-16,Senior Planning Officer - North (CB),6 Howe Road Onchan Isle Of Man IM3 2BB
Permitted,16/00400/B,Replacement of existing glazed conservatory roof with tiles,27-May-16,Senior Planning Officer - South (SC),20 Keeill Pharick Park Glen Vine Isle Of Man IM4 4EW 
Permitted,16/00484/B,Erection of a rear porch,11-Aug-16,Planning Committee,Beehive Kindergarten (shelleig) Hillberry Road Onchan Isle Of Man IM3 3JP
Permitted,16/00526/B,Erection of a rear two storey extension,23-Jun-16,Senior Planning Officer - North (CB),Harbour House Queens Road Port St. Mary Isle Of Man IM9 5EP
Permitted,16/00527/C,"Change of use from storage to the manufacture, sale, storage and distribution of alcohol including a tasting facility",06-Jul-16,Planning Committee,Part Of Former Coal Shed Breakwater Road Port Erin Isle Of Man IM9 6JA 
Permitted,16/00528/B,"Alterations, erection of extension and widening of existing driveway",24-Jun-16,Senior Planning Officer - North (CB),Uplands Main Road Glen Vine Isle Of Man IM4 4AZ
Refused,16/00529/B,Creation of a dormer extension,30-Jun-16,Senior Planning Officer - South (SC),13 Cronk Drine Union Mills Isle Of Man IM4 4NG
Permitted,16/00530/B,Alterations and erection of an extension,24-Jun-16,Senior Planning Officer - North (CB),The Sheeling Bay View Road Port Erin Isle Of Man IM9 6LF
Permitted,16/00646/B,"Alterations, installation of a dormer window and creation of off road parking to dwelling",21-Sep-16,Senior Planning Officer - North (CB),39 Selborne Drive Douglas Isle Of Man IM2 3NJ
Permitted,16/00647/B,Replacement of existing garage door with a window and alteration to rear window,19-Jul-16,Senior Planning Officer - South (SC),The Rigs Mount Auldyn Ramsey Isle Of Man IM8 3PJ
Permitted,16/00998/A,Approval in principle for the erection of a detached dwelling with garaging,01-Nov-16,Senior Planning Officer - South (SC),Field 432538 Ballavoddan Farm Phildraw Road Ballasalla Isle Of Man  
Permitted,16/01000/B,Installation of replacement windows and rear door to dwelling,29-Sep-16,Senior Planning Officer - South (SC),44 Woodbourne Road Douglas Isle Of Man IM1 3AN
Refused,15/01156/A,Approval in principle for the residential development of thirty six dwellings addressing siting and means of access,01-Dec-16,Planning Committee,"Part Of Grounds Associated With Close Jairg Beg And Field's 324318, 320912 & 324316 Old Church Road Crosby Isle Of Man  "
Permitted,16/01191/B,"Erection of a front porch, ground and first floor extension to dwelling",05-Dec-16,Senior Planning Officer - South (SC),11 Harcroft Meadow Douglas Isle Of Man IM2 1JS 
Permitted,16/01192/B,Replacement of garage door with a doorway,05-Dec-16,Senior Planning Officer - South (SC),Ballacannell Dhoor Ramsey Isle Of Man IM7 4ED 
Permitted,16/00673/B,"Alterations, erection of extension and second floor dormer extension to dwelling",20-Jul-16,Interim Director 2016,49 Arbory Street Castletown Isle Of Man IM9 1LL
Permitted,16/00674/B,Installation of replacement windows and door to rear elevation (retrospective),20-Jul-16,Interim Director 2016,Hillbrae Main Road Kirk Michael Isle Of Man IM6 1ED
Permitted,16/00675/B,Replacement of existing garage sheet roof with tiles,18-Aug-16,Senior Planning Officer - South (SC),Tyrerhennie 2 The Crescent Douglas Isle Of Man IM2 5ET 
Permitted,16/01175/B,Erection of garage extension and erection of a sun room and first floor dormer extension to dwelling.,21-Nov-16,Interim Director 2016,Seafield Bride Road Bride Isle Of Man IM7 4AD 
Permitted,15/01320/B,"Layout of sports pitches for rugby, cricket and other community uses, including access, car parking, prefabricated changing rooms and storage units",01-Mar-16,Planning Committee,Field 414532 Land Off Ballafesson Road Rushen Isle Of Man  
Permitted,16/00149/B,Erection of a single storey extension to side elevation,14-Mar-16,Director Delegation,15 Furman Close Onchan Isle Of Man IM3 1BT
Permitted,16/00485/B,Erection of a shed and timber fence,23-Jun-16,Senior Planning Officer - North (CB),2 Bayr Grianagh Castletown Isle Of Man IM9 1HJ
Permitted,16/00486/B,Widening of existing vehicular access,23-Jun-16,Senior Planning Officer - North (CB),2 Bayr Grianagh Castletown Isle Of Man IM9 1HJ
Permitted,16/00487/B,Extension and rearrangement of existing car park to create 14 additional parking spaces,03-Jun-16,Senior Planning Officer - North (CB),Land Between Canada House And New Office Development Isle Of Man Business Park Douglas Isle Of Man  
Application Withdrawn,16/00488/B,Conversion of barn to provide residential and tourist accommodation,31-May-16,Withdrawn,Ballnalargy Barn Dalby IM5 3BP   
Permitted,16/00489/B,Creation of a mountain bike skills area involving remedial and engineering works,05-Aug-16,"Council of Ministers, called in app",South Barrule Forest Barrule Road Foxdale Isle Of Man  
Permitted,16/00490/B,Erection of a multi-functional agricultural building,25-Jul-16,Senior Planning Officer - North (CB),Field 620610 Off The Gooseneck Hibernia Maughold Isle Of Man  
Permitted,16/00701/B,"Alterations to window openings and replacement doors, insulation to external walls and windows. Internal alterations. New Canopy over rear door and new footpath access",15-Sep-16,Senior Planning Officer - North (CB),Youth & Community Centre School Road Onchan Isle Of Man IM3 4LA
Permitted,16/01083/REM,"Reserved Matters application relating to PA 15/01055/A for the erection of two detached dwellings, addressing siting, design, external appearance, internal layout and landscaping.",29-Nov-16,Planning Committee,Plot Adjacent To Maughold Lodge Claughbane Walk Ramsey Isle Of Man  
Application Withdrawn,16/01203/B,"Extension to dwelling including new window to side elevation, and conversion of garage to form living accommodation.",22-Nov-16,Withdrawn,8 Elm Drive Ballawattleworth Peel Isle Of Man IM5 1WA 
Permitted,15/01192/C,Change of use from car repairs garage to a model railway exhibition centre,04-Jan-16,Planning Committee,Store 37 To 38 South Quay Douglas Isle Of Man IM1 5AX 
Permitted,15/01393/CON,Registered Building Consent for the installation of additional timber panelling to Council Chamber (Registered Building no 169),09-May-16,Interim Director 2016,Town Hall Ridgeway Street Douglas Isle Of Man IM1 1EP
Certificate of Lawfulness AGREED,15/01394/LAW,Application to make lawful the use as an self contained apartment,25-Feb-16,Head of Development Management,Flat 4  4 Windsor Mount Ramsey Isle Of Man IM8 3EA
Permitted,16/00016/C,Temporary use of vacant site as office car park,25-Feb-16,Senior Planning Officer - North (CB),Fields 521888 And 521895 Between Isle Of Man Business Park And Cooil Road Douglas Isle Of Man  
Permitted,16/00017/B,Installation of a replacement front door,09-Feb-16,Senior Planning Officer - South (SC),58 Selborne Drive Douglas Isle Of Man IM2 3NL
Permitted,16/00097/B,Alterations and extensions to dwelling,03-Mar-16,Senior Planning Officer - North (CB),65 Ballagarey Road Glen Vine Isle Of Man IM4 4EJ
Permitted,16/00115/B,"Conversion of station to a fire and rescue station with erection of a single storey extension to side elevation, provision of additional car parking, installation of an emergency generator to rear of building and access alterations",09-Mar-16,Head of Development Management,Ambulance Station Southlands Castletown Road Isle Of Man IM9 6BD 
Permitted,16/00210/B,Erection of an agricultural shed for livestock and feed,07-Jul-16,Interim Director 2016,Field 224144 Corvalley South Farm Cronk Road Ballaugh Isle Of Man  
Permitted,16/00415/B,"Erection of two industrial buildings to provide eight units with associated parking, hard standing areas and access (amendment to PA 16/00032/B)",18-May-16,Senior Planning Officer - North (CB),Former Abattoir Site Ballafletcher Farm Road Tromode Douglas Isle Of Man  
Permitted,16/00416/B,Installation of replacement windows and door to shop,09-Aug-16,Planning Committee,3 Station Road Port Erin Isle Of Man IM9 6AE
Permitted,16/00417/B,Installation of a replacement front elevation top floor bedroom window to dwelling,24-May-16,Senior Planning Officer - South (SC),Eaveswood 3 Cronkbourne Avenue Douglas Isle Of Man IM2 3LA
Permitted,16/00418/B,Installation of replacement windows and rear door to dwelling (retrospective),16-Jun-16,Senior Planning Officer - South (SC),7 Grosvenor Road Douglas Isle Of Man IM1 3EN
Permitted,16/00419/GB,"Conversion of building from nursery school  to Class 1 and/or Class 3 and/or gym (sui generis) (in association with 16/00420/CON)
",30-Jun-16,Interim Director 2016,Manannan House Market Square Castletown Isle Of Man IM9 1RB
Permitted,16/00420/CON,Registered Building consent for internal alteration works to convert building from nursery school to Class 1 and/ or Class 3 and/ or gym (sui generis)  (in association with 16/00419/GB) Registered Building Nos. 17,30-Jun-16,Interim Director 2016,Manannan House Market Square Castletown Isle Of Man IM9 1RB
Permitted,16/00471/B,Erection of replacement stables,17-Jun-16,Senior Planning Officer - North (CB),Field 524035 Land At Marbeg Old Castletown Road Port Soderick Isle Of Man IM4 1BD
Permitted,16/00472/B,Installation of a replacement rear door,17-Jun-16,Senior Planning Officer - South (SC),72 Derby Road Douglas Isle Of Man IM2 3EB
Permitted,16/00493/B,Installation of side upvc windows to open porch,25-Jul-16,Senior Planning Officer - North (CB),19 Lakeside Road Douglas Isle Of Man IM2 7BL
Permitted,16/00494/B,Alterations to existing store building,23-Jun-16,Senior Planning Officer - North (CB),Store To Rear Of  5 Station Road Port Erin Isle Of Man IM9 6AQ 
Permitted,16/00531/B,Erection of a summerhouse (retrospective),24-Jun-16,Senior Planning Officer - South (SC),Keppel Gate 7 First Avenue Douglas Isle Of Man IM2 6BA
Permitted,15/00752/B,Erection of eight dwellings with public open space,04-Apr-16,Interim Director 2016,Land Between Reayrt Ny Glionney Development  And Existing Dwellings On Croit E Quill Road   Laxey Isle Of Man IM4 7LG 
Permitted,16/00533/B,Creation of a rear terrace to provide a patio area,24-Jun-16,Senior Planning Officer - South (SC),8 Glen Maye Park Glen Maye Isle Of Man IM5 3AX 
Permitted,16/00534/B,Alterations and erection of extensions to dwelling,06-Jul-16,Planning Committee,Lough View Cottage Ballasyre Andreas Road Andreas Isle Of Man IM7 4EN
Refused,16/00535/B,Conversion of existing station and good shed buildings to provide office accommodation with associated parking,21-Jul-16,Planning Committee,Port St Mary Railway Station Station Road Port St. Mary Isle Of Man IM9 5LF
Permitted,16/00641/B,Erection of a mobile classroom,18-Aug-16,Senior Planning Officer - South (SC),Ramsey Grammar School (West) Lezayre Road Ramsey Isle Of Man IM8 2RG
Permitted,15/00794/A,Approval in principle for erection of a dwelling addressing siting and means of access,17-Feb-16,Planning Committee,Land To East Of Old School House Main Road Sulby Isle Of Man  
Permitted,16/00642/B,Erection of roofing over existing open yard to form covered agricultural storage area,19-Jul-16,Interim Director 2016,Field 3381 Kiondhooag Higher Foxdale Isle Of Man  
Permitted,16/00643/B,Installation of replacement windows to front elevation,06-Sep-16,Senior Planning Officer - North (CB),4 Hutchinson Square Douglas Isle Of Man IM2 4HU
Permitted,16/00823/B,Alterations and extension to dwelling and enclosure of existing gateway (amendments to PA 14/00246/B),07-Sep-16,Senior Planning Officer - North (CB),The Lodge Great Meadow Castletown Isle Of Man IM9 4EB 
Permitted,16/00845/B,Extension and alterations,20-Sep-16,Senior Planning Officer - South (SC),6 Reayrt Lhean Castletown Isle Of Man IM9 1HQ
Permitted,16/00927/B,Erection of extension to and re-roofing of existing swimming pool,21-Sep-16,Senior Planning Officer - North (CB),Middle Field Glen Road Colby Isle Of Man IM9 4HW
Permitted,16/01063/B,Replacement roof to rear annex.,04-Nov-16,Senior Planning Officer - South (SC),19 Queen Margaret Road Glen Vine Isle Of Man IM4 4ET
Permitted,16/01114/B,Store room extension.,04-Nov-16,Senior Planning Officer - South (SC),Arden Court 50 Majestic View Onchan Isle Of Man IM3 2JN 
Permitted,15/00795/A,Approval in principle for erection of a dwelling addressing siting and means of access,17-Feb-16,Planning Committee,Land To West Of Old School House Main Road Sulby Isle Of Man  
Permitted,15/01081/B,Erection of a detached dwelling,20-Jan-16,Planning Committee,Land Adjacent To Westdene Croit E Quill Road Laxey Isle Of Man  
Permitted,15/01116/B,Alterations and erection of extensions to dwelling,20-Jan-16,Planning Committee,26 Larivane Meadows Andreas Isle Of Man IM7 4JD 
Permitted,15/01241/B,Alterations and extensions to dwelling and erection of a detached garage,02-Feb-16,Planning Committee,Monks Walk Bridge Road Ballasalla Isle Of Man IM9 3DQ
Permitted,15/01332/B,Variation of condition one of PA 11/01029/B to extend the period of permission by an additional four years,18-Jan-16,Planning Committee,Tudor Lodge 18 Stanley Terrace Douglas Isle Of Man IM2 4EP
Permitted,16/00039/B,Conversion of existing office accommodation into an apartment,12-Apr-16,Interim Director 2016,Second Floor Office  Kermode House 74 Parliament Street Ramsey Isle Of Man IM8 1AQ
Permitted,15/01389/GB,"Alterations to form a dwelling including repair and renewal of roof, construction of new floor, alterations to internal layout, installation of French doors, replacement windows and doors, external decoration and creation of new vehicular access and drive",07-Sep-16,Senior Planning Officer - South (SC),Ballagawne Gatekeeper's Cottage  Mount Gawne Road Colby Isle Of Man  
Permitted,16/01166/C,Additional use of residential dwelling as tourist accommodation,21-Nov-16,Interim Director 2016,Balley Beg 23A Douglas Street Peel Isle Of Man IM5 1BA 
Permitted,16/01168/C,"Additional use of dwelling for tourist letting,",15-Nov-16,Senior Planning Officer - South (SC),43 Cooil Drive Douglas Isle Of Man IM2 2HD
Application Withdrawn,16/01174/B,Removal of two chimney stacks.,17-Nov-16,Withdrawn,Offices Treger House 23 Circular Road Douglas Isle Of Man IM1 1AF
Permitted,16/01172/B,"Window / door alterations, installation of a flue and eight roof mounted wind turbines and creation of an outside seating area",29-Nov-16,Planning Committee,The Coal Shed Breakwater Road Port Erin Isle Of Man IM9 6JA 
Permitted,16/01266/B,Erection of sun room to replace existing conservatory on side elevation,15-Dec-16,Senior Planning Officer - North (CB),Lhag-Ny-Darragh Glen Auldyn Ramsey Isle Of Man IM7 2AF 
Permitted,15/01327/B,Creation of new field access and gate,12-Apr-16,Interim Director 2016,Field 330836 Raby Farm  Main Road Glen Maye Isle Of Man  
Permitted,16/00146/B,Erection of a detached games room / gym to rear of property,24-Mar-16,Senior Planning Officer - South (SC),The Priory Belmont Road Douglas Isle Of Man IM1 4NR 
Permitted,16/00648/B,Erection of an extension,11-Aug-16,Senior Planning Officer - South (SC),Sunnymead Bibaloe Beg Road Onchan Isle Of Man IM4 5AD
Permitted,16/00781/B,Erection of a detached dwelling with integral garage,05-Sep-16,Interim Director 2016,Plot 6 St Patricks View Jurby Isle Of Man IM7 3EX 
Permitted,16/00789/B,Extension to existing skate park (retrospective),07-Sep-16,Senior Planning Officer - North (CB),Cronk Grianagh Park Strang Douglas Isle Of Man  
Permitted,16/00791/B,Conversion of garage into additional living accommodation,13-Oct-16,Senior Planning Officer - North (CB),Lower Ballachrink Abbey Lane Ballaragh Road Laxey Isle Of Man IM4 7PH
Permitted,16/00792/B,Extension to existing staff car park to provide additional parking spaces,24-Aug-16,Interim Director 2016,Marown Primary School Glen Darragh Road Glen Vine Isle Of Man IM4 4RD 
Permitted,16/00253/B,Erection of twenty three dwellings (amendment to scheme approved under PA 13/91289/B),06-Jul-16,Planning Committee,Plots 96 - 117 Of Approved Residential Development (Slieau Whallian View) Field 311826 Between Poortown Road & QEII High School And East Of Reayrt Ny Cronk Peel Isle Of Man  
Permitted,16/00254/B,Installation of replacement windows to front bay window,16-May-16,Senior Planning Officer - South (SC),24 Mona Street Douglas Isle Of Man IM1 2QD
Permitted,16/00363/B,Construction of concrete plinths for the relocation of an existing silo for water storage and erection of a pump house to be located adjacent to water silo,11-May-16,Senior Planning Officer - North (CB),Land At Isle Of Man Creamery Ballafletcher Farm Road Cronkbourne Douglas Isle Of Man IM4 4QE 
Refused,16/00364/B,Erection of a dwelling with drive and parking (amendment to PA 15/00841/B),24-May-16,Planning Committee,Alder Oaks Field 431505 St Marks Road St Marks Ballasalla Isle Of Man  
Permitted,16/00365/B,Erection of a temporary greenhouse associated with the botanical gardens,11-May-16,Senior Planning Officer - North (CB),Ballachrink Farm Old Castletown Road Santon Isle Of Man IM4 1HD
Permitted,16/00444/B,Erection of stables with associated store and tack rooms,10-Oct-16,Planning Committee,Field 314666 Mill Road Greeba Isle Of Man  
Permitted,16/00445/D,Installation of signage to outside seating area barriers,26-May-16,Senior Planning Officer - North (CB),Vino 1 Quines Corner Douglas Isle Of Man IM1 4LF 
Permitted,16/00666/C,Additional use of residential dwelling as tourist living accommodation,19-Jul-16,Interim Director 2016,27 Close Famman Port Erin Isle Of Man IM9 6BL 
Permitted,16/00667/B,"Alterations, erection of extension and creation of a dormer window",21-Jul-16,Interim Director 2016,Sea Peep Poortown Road Peel Isle Of Man IM5 1QG
Permitted,15/01390/CON,"Registered Building Consent for alterations to form a dwelling including repair and renewal of roof, construction of new floor, alterations to internal layout, installation of French doors, replacement windows and doors, external decoration and creation o",07-Sep-16,Senior Planning Officer - South (SC),Ballagawne Gatekeeper's Cottage  Mount Gawne Road Colby Isle Of Man  
Permitted,16/00653/B,"Alterations, creation of accesses, raised decking and installation of an electronic chair lift",18-Aug-16,Senior Planning Officer - South (SC),12 Governors Road Onchan Isle Of Man IM3 1AU
Permitted,16/01014/B,Erection of a front porch,14-Oct-16,Senior Planning Officer - South (SC),Ballachrink Beg Cottage Grove Mount Ramsey Isle Of Man IM8 3HP
Permitted,16/01127/B,Extension to rear of property.,02-Nov-16,Senior Planning Officer - South (SC),Glenfaba 17 Mountain View Peel Isle Of Man IM5 1QF 
Refused,16/00793/B,Replacement windows to the attic and rooflight (retrospective),05-Sep-16,Interim Director 2016,21 Woodburn Square Douglas Isle Of Man IM1 4DE 
Permitted,16/00832/B,Installation of a flue,07-Sep-16,Senior Planning Officer - North (CB),27 Close Famman Port Erin Isle Of Man IM9 6BL 
Permitted,16/01091/GB,"Installation of replacement rear door, window, front fascia boards and guttering (in association with 16/01092/CON)",18-Nov-16,Senior Planning Officer - South (SC),23 Governors Road Onchan Isle Of Man IM3 1AY
Permitted,16/00668/B,Alterations and erection of an extension,20-Jul-16,Interim Director 2016,1 Manor Woods Douglas Isle Of Man IM2 2PE 
Permitted,16/00669/B,Erection of a conservatory and installation of a flue,09-Aug-16,Senior Planning Officer - South (SC),Ballelby Dalby Isle Of Man IM5 3BP 
Permitted,16/00764/B,Installation of a rear dormer to dwelling,24-Aug-16,Interim Director 2016,2 Rowany Villas Port Erin Isle Of Man IM9 6LJ
Permitted,16/00765/B,Installation of replacement windows,18-Aug-16,Senior Planning Officer - South (SC),Sea Bank The Promenade Laxey Isle Of Man IM4 7DD
Permitted,16/00766/B,Erection of an extension to dwelling,18-Aug-16,Senior Planning Officer - South (SC),Ballaquirk Lodge Ballaragh Road Laxey Isle Of Man IM4 7PH
Permitted,16/00767/B,Installation of a replacement roof to premises,21-Sep-16,Senior Planning Officer - North (CB),Farmers Combine Shop & Warehouse 20 - 21 West Quay Ramsey Isle Of Man IM8 1DL
Permitted,16/00768/B,Replacement of existing felt roof with bitumen roofing,18-Aug-16,Senior Planning Officer - South (SC),Stables Brundal House Glen Roy Laxey Isle Of Man  
Permitted,16/00769/B,Extension to existing ménage,01-Nov-16,Planning Committee,Glenview Top Road Crosby Isle Of Man IM4 4HL
Permitted,16/00770/B,Erection of a dwelling (revision to house type approved under PA 13/91289/B),18-Aug-16,Senior Planning Officer - South (SC),Plot 29 Of Approved Residential Development Off Raad Kirree Varrey Slieau Whallian View Peel Isle Of Man  
Permitted,16/00797/B,Erection of a replacement dwelling (amendment to PA 15/00857/B),18-Oct-16,Planning Committee,Berberis Cottage Pinfold Hill Laxey Isle Of Man IM4 7HJ
Permitted,14/00893/B,Replacement of former hotel building with a scheme of 34 residential apartments,13-Oct-16,Senior Planning Officer - North (CB),Former Port Erin Royal Hotel  Promenade Port Erin Isle Of Man IM9 6LH
Permitted,16/00956/B,"Alterations, creation of pergolas and a decked area to dwelling",28-Sep-16,Senior Planning Officer - South (SC),Bradda Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PL 
Permitted,16/01094/C,Change of use from residential flat to office accommodation,08-Nov-16,Senior Planning Officer - South (SC),Flat 2 Grd Fl  Carmodale Mooragh Promenade Ramsey Isle Of Man IM8 3AG
Permitted,16/01104/B,Construction of dormer window to create family bathroom.,09-Nov-16,Senior Planning Officer - North (CB),6 Bayr Grianagh Castletown Isle Of Man IM9 1HJ
Permitted,16/01177/B,Conversion of existing unit to provide motorcycle sales and repairs involving alterations and replacement of existing window and roller door with doorway and shopfront and installation of a mezzanine floor.,22-Dec-16,Senior Planning Officer - South (SC),Unit F3 Harcourt Drive Balthane Ballasalla Isle Of Man IM9 2AL 
Permitted,15/01361/B,Installation of a replacement shop window,19-Jan-16,Senior Planning Officer - South (SC),Champs Barber Shop   6 Brunswick Road Douglas Isle Of Man IM2 3LQ
Permitted,15/01362/B,Replacement of existing conservatory with a sun room extension,22-Jan-16,Head of Development Management,6 Howe Road Onchan Isle Of Man IM3 2BB
