RB_Number,Building_Name,Date_Registered,Links,Parish,Features,Status
45,"Garage, rear of ""Clarksons"", 1 Parliament Square",24/02/1984,https://www.gov.im/media/631799/0500045regbldgarage.pdf,Castletown,,Registered
46,1 Parliament Square,24/02/1984,https://www.gov.im/media/631805/0500046regbldcastleview.pdf,Castletown,,Registered
47,"Harbour House, 7 The Quay",24/02/1984,https://www.gov.im/media/631811/0500047regbldharbourhouse.pdf,Castletown,,Registered
48,"The Granary, The Quay",24/02/1984,https://www.gov.im/media/631817/0500048regbldthegranary.pdf,Castletown,,Registered
49,5 The Quay,24/02/1984,https://www.gov.im/media/631823/0500049regbldpowriecottage.pdf,Castletown,,Registered
50,4 The Quay,24/02/1984,https://www.gov.im/media/631829/0500050regbld4thequay.pdf,Castletown,,Registered
51,3 The Quay,24/02/1984,https://www.gov.im/media/631835/0500051regbld3thequay.pdf,Castletown,,Registered
52,Harbour Master's Office,,https://www.gov.im/media/631841/0500052regbld-harbour-office-complete.pdf,Castletown,,De-registered
53,"The Soup Kitchen/The Old Inn, Parliament Lane",24/02/1984,https://www.gov.im/media/631847/0500053regbldtheoldinn.pdf,Castletown,,Registered
54,3 Parliament Lane,24/02/1984,https://www.gov.im/media/631853/0500054regbld3parliamentlane.pdf,Castletown,,Registered
55,1 Parliament Lane,24/02/1984,https://www.gov.im/media/631859/0500055regbld1parliamentlane.pdf,Castletown,,Registered
56,"Former H M Coastguard Building (now Rocket House), Parliament Square",24/02/1984,https://www.gov.im/media/631865/0500056regbldtherockethouse.pdf,Castletown,,Registered
57,4 Quay Lane,24/02/1984,https://www.gov.im/media/631871/0500057regbld4quaylane.pdf,Castletown,,Registered
58,2 Parliament Square,24/02/1984,https://www.gov.im/media/631877/0500058regbld2parliamentsquare.pdf,Castletown,,Registered
59,3 The Parade,24/02/1984,https://www.gov.im/media/631883/0500059regbldtheparade.pdf,Castletown,,Registered
60,"The Old Lifeboat House, The Quay",24/02/1984,https://www.gov.im/media/631889/0500060regbldthelifeboathouse.pdf,Castletown,,Registered
61,3 Parliament Square,24/02/1984,https://www.gov.im/media/631895/0500061regbldhighburyhouse.pdf,Castletown,,Registered
62,4 Parliament Square,24/02/1984,https://www.gov.im/media/631901/0500062regbld4parliamentsquare.pdf,Castletown,,Registered
63,"Westminster House, Parliament Square",24/02/1984,https://www.gov.im/media/631907/0500063regbldwestministerhouse.pdf,Castletown,,Registered
64,5 Parliament Square,24/02/1984,https://www.gov.im/media/631913/0500064regbldcornishhouse.pdf,Castletown,,Registered
65,"Compton House, Parliament Square",24/02/1984,https://www.gov.im/media/631919/0500065regbldcomptonhouse.pdf,Castletown,,Registered
66,"Stanley House, Castle Street",24/02/1984,https://www.gov.im/media/631925/0500066regbldstanleyhouse.pdf,Castletown,,Registered
67,"""Hawtons"", 5 Castle Street",24/02/1984,https://www.gov.im/media/631931/0500067regbldthegarisson.pdf,Castletown,,Registered
68,3 Castle Street,24/02/1984,https://www.gov.im/media/631937/0500068regbldmanxcwshq13.pdf,Castletown,,Registered
69,24 Castle Street,24/02/1984,https://www.gov.im/media/631943/0500069regbld1castlestreet.pdf,Castletown,,Registered
70,"Red House, 1 The Parade",24/02/1984,https://www.gov.im/media/631949/0500070regbldpeakviewingtransatla.pdf,Castletown,,Registered
71,2 The Parade,24/02/1984,https://www.gov.im/media/631955/0500071regbldtullochhouse.pdf,Castletown,,Registered
72,St Mary's Church,15/03/1984,https://www.gov.im/media/631961/0500072regbld1stfloorstmarys.pdf,Castletown,,Registered
73,St Mary's Chapel/Old Grammar School,15/03/1984,https://www.gov.im/media/631967/0500073regbldtheschoolhouse.pdf,Castletown,,Registered
74,"Douglas Railway Station, together with the Ticket Office, Gateway and boundary walls",15/03/1984,https://www.gov.im/media/632057/0500074regblddouglasrailwaystatio.pdf,Douglas,,Registered
75,Warehouse/store to the rear of St Mary's Church,,https://www.gov.im/media/631973/0500075regbld-the-warehouse-add.pdf,Castletown,,De-registered
