Planning Application No,Proposal,Property Address,Decision,Date decision issued
17/01022/B,Excavation of existing bank and creation of access track (retrospective) and erection of one new shed,Gordon Farm Gordon Lane Gordon Peel Isle Of Man IM5 3AS,PER,26-Apr-18
17/01030/D,Erection of signage,45 - 46 Derby Square Douglas Isle Of Man IM1 3LP,PER,12-Apr-18
17/01042/B,Installation of biodisc treatment tank,The Old Toll House King Edward Road Onchan Isle Of Man IM3 2JY ,PER,06-Apr-18
17/01046/LAW,Application to make lawful the use of the property as a house in multiple occupancy with 9 bedrooms for a maximum of 12 persons,13 Christian Road Douglas Isle Of Man IM1 2QH,CLAWA,10-May-18
17/01052/B,"Replacement of existing garage with new two storey extension, and associated alterations/extension to off street parking area",4 Stonecrop Grove Douglas Isle Of Man IM2 7DX,PER,08-Mar-18
17/01063/C,Additional use of lower ground floor residential living space as tourist accommodation,36 King Edward Park Onchan Isle Of Man IM3 2AB ,PER,05-Jan-18
17/01064/GB,Erection of a rear conservatory (in association with 17/01065/CON),Crofton The Crofts Castletown Isle Of Man IM9 1LW,REF,30-May-18
17/01065/CON,Registered Building consent for the erection of a rear conservatory (in association with 17/01064/GB) Registered Building Nos. 261,Crofton The Crofts Castletown Isle Of Man IM9 1LW,REF,30-May-18
17/01066/B,"Erection of a four storey block comprising of eight residential apartments with associated car parking and landscaping, comprising amendments to PA 15/01141/B (part retrospective)",Land At Greenbank Bungalow Corner Of Park Road And Premier Road Ramsey Isle Of Man IM8 3AR,PER,21-May-18
17/01068/B,Erection of agricultural store/out-building (retrospective),Ballamenagh Moar Farm Ballamenagh Road Baldrine Isle Of Man IM4 6AJ ,PER,18-Jan-18
17/01084/B,"Installation of 2 small three element uhf aerials, satellite dish and 2 vertical paging aerials on existing building",Fire And Rescue Station Castletown Road Port Erin Isle Of Man IM9 6BD ,PER,20-Feb-18
17/01092/B,Installation of replacement boundary perimeter fencing,Willaston School School Road Douglas Isle Of Man IM2 6RD,PER,08-Jan-18
17/01096/B,Installation of new Veka composite door and UPVC outer frame,23 Hutchinson Square Douglas Isle Of Man IM2 4HP,PER,15-Feb-18
17/01099/B,Installation of a flue (retrospective),1 Campion Way Douglas Isle Of Man IM2 7DT,PER,18-Jan-18
17/01104/B,"Removal of condition 4 of 16/00924/B, Erection of a two storey complex comprising 12 apartments with associated parking and landscaping, regarding alterations to an existing footbridge",Close Woirrey Ramsey Isle Of Man IM8 2EJ,PER,01-Feb-18
17/01112/B,Conversion of existing office / storage to residential accommodation,20 Richmond Grove Douglas Isle Of Man IM1 3JZ,PER,09-Jan-18
17/01130/B,Installation of a bio disc,Land Adj To Groudle Glen Hotel King Edward Road Onchan Isle Of Man  ,PER,03-Jul-18
17/01132/A,Approval in principle for the erection of a dwelling,Land At Great Gates Main Road Santon Isle Of Man  ,REF,22-Jan-18
17/01136/B,Erection of a multi-functional agricultural building,Field 620610 Rhowin Road Maughold Isle Of Man  ,PER,08-Jan-18
17/01137/B,Conversion of garage for additional living accommodation,Ballagorry Heights Ballagorry Drive Glen Mona Ramsey Isle Of Man IM7 1HE,PER,24-Apr-18
17/01140/A,"Approval in principle for the erection of a two storey dwelling, including siting and means of access",Land At Highcroft Douglas Road Kirk Michael Isle Of Man  ,REF,28-Jun-18
17/01142/B,Replacement of existing conservatory with ground floor extension,Ballamaddrell Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD,PER,24-Jan-18
17/01143/B,Erection of a detached dwelling (amendment to approved PA 13/91314/B to alter boundary position),Plot 23B Manor Park Onchan Isle Of Man IM3 2EP ,PER,16-Jan-18
17/01145/B,Erection of an extension and enlargement of an existing dormer window,3 Croit E Cubbon Colby Isle Of Man IM9 4NN ,PER,03-Jan-18
17/01150/B,Removal of rear chimney,57 Devonshire Road Douglas Isle Of Man IM2 3RA,PER,03-Jan-18
17/01152/D,Erection of signage,Nunnery Mills Old Castletown Road Douglas Isle Of Man IM2 1QA,PER,22-Jan-18
17/01156/B,Erection of a pair of semi-detached dwellings,3-5 Tennis Road Douglas Isle Of Man  ,REF,21-Sep-18
17/01157/B,Creation of parking area and retrospective permission for decking,White Cottage King Edward Road Onchan Isle Of Man IM3 2JY ,PER,02-Mar-18
17/01166/B,"Erection of garage to side elevation, construction of a rear dormer window and retrospective creation of new access",11 Grammah Avenue Port Erin Isle Of Man IM9 6NP ,PER,09-Mar-18
17/01167/B,"Alterations and additions including demolition of existing rear extension, erection of new single storey extension in rear yard, replacement UPVC windows and replacement slate roof",10 Albion Terrace Douglas Isle Of Man IM1 3LJ,PER,05-Jan-18
17/01176/B,Removal of existing disused oil store and erection of store for charging electric mobility scooters,Elderly Peoples Home Complex Marashen Crescent Port Erin Isle Of Man IM9 6BW,PER,24-Jan-18
17/01177/B,Erection of detached garage and garden store,Ballamenagh Moar Farm Ballamenagh Road Baldrine Isle Of Man IM4 6AJ ,PER,05-Feb-18
17/01179/B,Erection of dwelling (forming amendments to dwelling approved as part of PA 13/91289/B),"2 Ballacross Road Plot 130, Land At Ballawattleworth Poortown Road Peel Isle Of Man  ",PER,05-Jan-18
17/01180/B,Erection of two storey extension to side of dwelling and widening of vehicular access,30 Farmhill Meadows Douglas Isle Of Man IM2 2LJ,PER,02-Feb-18
17/01182/B,Alterations and erection of extension to side and rear to provide garaging and living accommodation,24 Killeaba Mount Ramsey Isle Of Man IM8 2JH,PER,16-Feb-18
17/01183/B,Erection of first floor extension to provide additional sport and leisure facilities,Club House Peel Football Club Douglas Road Peel Isle Of Man IM5 1LJ,PER,20-Feb-18
17/01184/B,Erection of porch to front elevation,18 Sunnydale Avenue Port Erin Isle Of Man IM9 6EU,PER,18-Jan-18
17/01185/B,Installation of replacement front and rear windows and doors,3 Victoria Terrace Glen Road Laxey Isle Of Man IM4 7AW ,PER,31-Jan-18
17/01188/B,Window / door alterations and creation of two ground floor bedrooms for staff accommodation,59 King Edward Road Onchan Isle Of Man IM3 2AR ,REF,05-Feb-18
17/01190/B,Replacement of existing conservatory roof with tiled roof,10 The Millrace Sulby Isle Of Man IM7 2HT,PER,16-Jan-18
17/01191/B,Replacement of existing conservatory roof with tiled roof,35 Harcroft Avenue Douglas Isle Of Man IM2 1PE,PER,16-Jan-18
17/01192/B,Replacement of existing conservatory roof with tiled roof,7 Oakdale Douglas Isle Of Man IM2 7BT,PER,16-Jan-18
17/01193/B,"Window alterations including installation of an additional window, removal of existing windows and changing an existing window to a door",Glion Ballamanagh Close Sulby Isle Of Man IM7 2HB ,PER,05-Jan-18
17/01195/B,Installation of solar panels to North West elevation,Unit 2 Block B Eden Business Park Douglas Isle Of Man IM4 2AY ,PER,18-Jan-18
17/01199/B,Replace redundant farm buildings with an agricultural building to store farm machinery and hay,Outbuildings The Pines Ballelin  Glen Mona Loop Road Glen Mona Maughold Isle Of Man  ,PER,25-Jan-18
17/01200/B,Erection of single storey extension,8 Knock Rushen Scarlett Castletown Isle Of Man IM9 1TQ ,PER,24-Jan-18
17/01201/B,Installation of three masonry buttresses to side elevation of external wall and removal of a section of stone wall and gates to provide access,Peel Methodist Church Atholl Street Peel Isle Of Man IM5 1HG,PER,12-Jan-18
17/01202/GB,Installation of four replacement windows to rear and side elevations (in association with 17/01203/CON),Central Hotel Bowring Road Ramsey Isle Of Man IM8 2LL,PER,22-Feb-18
17/01203/CON,Registered Building consent for installation of four replacement windows to rear and side elevations (in association with 17/01202/GB) Registered Building Nos. 176,Central Hotel Bowring Road Ramsey Isle Of Man IM8 2LL,PER,22-Feb-18
17/01206/B,Erection of an extension to replace existing rear conservatory,59 Governors Hill Douglas Isle Of Man IM2 7AU,PER,05-Jan-18
17/01207/B,Erection of an extension,1 Orchard Close Andreas Isle Of Man IM7 4HP,PER,22-Jan-18
17/01208/B,Alterations and erection of an extension to conservatory,Ballakinnag Douglas Road Kirk Michael Isle Of Man IM6 1AT ,PER,18-Jan-18
17/01209/B,Installation of replacement roof and roof lights,Rockville Cronk Road Port St. Mary Isle Of Man IM9 5AS,PER,05-Jan-18
17/01210/B,Creation of off road parking,The Groves Lodge Trollaby Lane Union Mills Isle Of Man IM4 4AP,PER,09-Mar-18
17/01211/B,Creation of a rear window from existing door and window,15 Bemahague Avenue Onchan Isle Of Man IM3 4AW,PER,18-Jan-18
17/01212/B,Erection of fencing (retrospective),1 Creggans Avenue Peel Isle Of Man IM5 1DD,REF,02-Mar-18
17/01213/C,Additional use of residential apartment as tourist living accommodation,Apartment 49 Piccadilly Court Queens Promenade Douglas Isle Of Man IM2 4NS ,PER,12-Jan-18
17/01214/B,Replacement of existing glazed conservatory roof with tiles,Thie Ny Cronk Dreemskerry Road Maughold Isle Of Man IM7 1BL ,PER,26-Jan-18
17/01215/B,Erection of a summerhouse,Nhee Aalin Glen Road Colby Isle Of Man IM9 4HW ,PER,24-Jan-18
17/01216/B,"Alterations and additions including demolition of existing glazed gallery, erection of single storey extension to rear of property and modifications to first floor window openings",The Crofts Chapel Lane Baldrine Isle Of Man IM4 6DG,PER,24-Jan-18
17/01218/B,"Alterations, erection of a front porch and erection of first floor extension to rear",12 Kirby Hill Douglas Isle Of Man IM2 1PA,PER,27-Mar-18
17/01219/B,Alterations to garage to create ancillary accommodation,The Haven Agneash Laxey Isle Of Man IM4 7NS ,REF,09-Mar-18
17/01220/B,Erection of conservatory (retrospective),Dandy Rigg Ballafurt Road Port Erin Isle Of Man IM9 6HP,PER,05-Jan-18
17/01221/B,Erection of staff welfare facilities within existing building and resurfacing works to existing drive and hard standing,The Dome Balthane Industrial Estate Ballasalla Isle Of Man IM9 2AH ,PER,05-Jan-18
17/01222/B,Creation of communal bin storage area (retrospective),Site To Rear Of 27 North Shore Road Ramsey Isle Of Man  ,PER,19-Mar-18
17/01223/B,"Alterations, creation of a gable window and installation of roof lights to roof storage area",Rivers Court Apartments Glen Road Laxey Isle Of Man IM4 7AG,PER,02-Feb-18
17/01225/B,Alterations to King Street elevation at ground floor level in connection with a change of use from garage space to office space,49 Victoria Street Douglas Isle Of Man IM1 2LD,PER,05-Jan-18
17/01226/B,Erection of chimney stack on gable and enlargement of window on same gable,Rustlings Glen Auldyn Ramsey Isle Of Man IM7 2AE ,PER,07-Feb-18
17/01227/C,Additional use of residential property as self-catering tourist accommodation,Glengyle Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PL ,PER,05-Jan-18
17/01228/B,Erection of stables,Field 430661 Adjacent To Cooyrt Vane Ballamodha Straight Ballamodha Ballasalla Isle Of Man  ,PER,24-Jan-18
17/01229/B,Erection of single storey extension and replacement of existing storm porch,Hope Cottage Poortown Peel Isle Of Man IM5 2AN ,PER,26-Jan-18
17/01230/B,Replacement of conservatory with extension to provide additional living accommodation,Lhergydhoo Farm House Lhergydhoo Peel Isle Of Man IM5 2AE ,PER,24-Jan-18
17/01231/B,Creation of access in to field from garden (retrospective),116 Ballacriy Park Colby Isle Of Man IM9 4ND,REF,16-Aug-18
17/01232/B,"Replacement of existing concrete tiled roof with natural slate roof, including new soffits/fascias and installation of three roof lights to north east elevation",Wickenbank Port Lewaigue Close Port Lewaigue Ramsey Isle Of Man IM7 1AH,PER,07-Feb-18
17/01233/B,Conversion of existing garage in to studio and cold store,Ard-Ny-Shee 3 Viking Close Ballakillowey Colby Isle Of Man IM9 4BH,PER,25-Jan-18
17/01234/B,Alterations and erection of extension,Crag Vannin Lower Dukes Road Douglas Isle Of Man IM2 4BN,REF,31-Jan-18
17/01235/B,Replacement of existing conservatory roof with tiled roof,The Mount Chapel Lane Baldrine Isle Of Man IM4 6DG,PER,26-Jan-18
17/01236/B,Erection of an extension to side elevation,109 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JE,PER,27-Mar-18
17/01237/B,Erection of attached accessible toilet to side elevation,Hall Clenagh Road Sulby Isle Of Man IM7 3AB,PER,07-Feb-18
17/01238/B,Conversion of two properties to form a single dwelling including the erection of a first floor extension and a double garage,Arbory House Glen Road Colby Isle Of Man IM9 4HW,PER,24-Apr-18
17/01239/B,Replacement of existing roof tiles with Marley Eternit fibre cement tiles,The Cottage Main Road Kirk Michael Isle Of Man IM6 1ER,PER,16-Jan-18
17/01240/B,Replacement of existing shed with new shed,Ard-Ny-Shee 3 Viking Close Ballakillowey Colby Isle Of Man IM9 4BH,PER,25-Jan-18
17/01241/B,Erection of timber car port,The White House Douglas Road Ballasalla Isle Of Man IM9 2EP ,PER,26-Jan-18
17/01242/B,Replacement PVC door and side panel to front elevation,Barnston Cottage Glen Road Laxey Isle Of Man IM4 7AJ,REF,18-May-18
17/01243/D,Installation of illuminated and non-illuminated signage,24 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL ,PER,03-Jan-18
17/01244/GB,Erection of bathroom extension and replacement conservatory (in connection with registered building application 17/01245/CON),Elderbank The Crofts Castletown Isle Of Man IM9 1LW,PER,22-Feb-18
17/01245/CON,Registered Building consent for the erection of bathroom extension and replacement conservatory - RB 259 (in connection with application 17/01244/GB),Elderbank The Crofts Castletown Isle Of Man IM9 1LW,PER,22-Feb-18
17/01246/GB,Creation of doorway in place of existing window to provide level access (in connection with registered building application 17/01247/CON),Town Hall Ridgeway Street Douglas Isle Of Man IM1 1EP,PER,05-Jan-18
17/01247/CON,Registered Building consent for the creation of doorway in place of existing window to provide level access - RB 169 (in connection with planning application 17/01246/GB),Town Hall Ridgeway Street Douglas Isle Of Man IM1 1EP,PER,05-Jan-18
17/01248/B,Use of premises for car washing and valeting (retrospective) and installation of wash bay with associated equipment and silt trap,Workshop & Yard & Premises Mill Road Peel Isle Of Man IM5 1TB ,PER,05-Feb-18
17/01249/D,Installation of non-illuminated signage (retrospective),Workshop & Yard & Premises Mill Road Peel Isle Of Man IM5 1TB ,PER,05-Feb-18
17/01251/B,Installation of a replacement shop front and roof plant,24 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL ,PER,18-Jan-18
17/01253/D,Installation of illuminated and non illuminated signage,Whitestone Garage Mercedes-Benz Of Mann Douglas Road Ballasalla Isle Of Man IM9 2LB ,PER,01-Feb-18
17/01255/B,Replacement white pvc sliding sash windows to front elevation,Raldis Dandy Hill Port Erin Isle Of Man IM9 6HN,PER,25-Jan-18
17/01256/B,Installation of a flue,3 Hollydene Avenue Onchan Isle Of Man IM3 3HB,PER,18-Jan-18
17/01257/B,Alterations and extension to rear of property,Rowan Garth 2 Braddan Bridge Braddan Douglas Isle Of Man IM4 4TL,PER,12-Feb-18
17/01258/B,Alterations to existing garage to provide larger opening,Glendown Grove Mount Ramsey Isle Of Man IM8 3HQ,PER,13-Feb-18
17/01260/B,Installation of a flue,Newstead Ramsey Road Laxey Isle Of Man IM4 7PY,PER,12-Feb-18
17/01261/B,Erection of detached double garage and WC extension to home office,Ballakewin Old Farmhouse Foxdale Road Ballasalla Isle Of Man IM9 3ET,PER,22-Feb-18
17/01262/B,External alterations and extension to provide additional garaging,Chequers Garey Ramsey Isle Of Man IM7 2EQ ,PER,16-Feb-18
17/01263/B,Conversion of a retail unit (Class One) to a public house (Class Three),33 Michael Street Peel Isle Of Man IM5 1HD,PER,09-Feb-18
17/01264/B,Erection of a detached building to provide sunroom and gym to replace an existing garage,Cronk Coar Quarterbridge Road Douglas Isle Of Man IM2 3RJ,PER,24-Jan-18
17/01266/B,Alterations and extensions to property including single storey extension to rear and alterations to porch,Ainslie Ramsey Road Laxey Isle Of Man IM4 7PX,PER,01-Feb-18
17/01267/B,"Extensions and alterations including adjustments to southern elevation, alterations to entrance and creation of additional storage",Golf Clubhouse Mount Murray Ballacutchel Road Mount Murray Douglas Isle Of Man  ,PER,26-Jan-18
17/01268/B,Erection of two storey extension to provide additional ancillary living accommodation,Ballaoates Cottages East Baldwin Isle Of Man IM4 5EN ,PER,03-Apr-18
17/01269/B,Alterations and erection of extension to existing agricultural building / workshop (forming amendments to PA 16/00892/B),Site Adjacent To Close Veg Glen Darragh Road Glen Vine Isle Of Man  ,PER,18-Jan-18
17/01270/A,Approval in principle for the demolition of existing building and the erection of a dwelling,6 - 7 Fort William Head Road Douglas Isle Of Man IM1 5BG ,REF,09-Mar-18
17/01271/B,"Alterations and additions including pitched roof over existing flat roof area, installation of 4 dormers and cladding of garage and porch in timber",Glen Luce Station Road Ballaugh Isle Of Man IM7 5AL,PER,18-Jan-18
17/01272/B,Erection of single storey extension and installation of new window at first floor level,7 Church View Braddan Douglas Isle Of Man IM4 4TF,PER,27-Mar-18
17/01273/B,Erection of two storey extension to the side of property,5 Cherry Walk Douglas Isle Of Man IM2 5NS,PER,18-Jan-18
17/01274/B,Installation of extractor flue on gable (retrospective),1 Bathurst Street Douglas Isle Of Man IM2 3HH ,PER,09-Mar-18
17/01275/B,Installation of replacement windows to rear elevation,69 Derby Square Douglas Isle Of Man IM1 3LR,PER,18-Jan-18
17/01276/B,Alterations and extensions to rear lobby area to create gymnasium,Park Farm Clannagh Road Santon Isle Of Man IM4 2HP ,PER,20-Feb-18
17/01277/B,Replacement of existing windows and door to front elevation,12 High Street Port St. Mary Isle Of Man IM9 5DR,REF,25-May-18
17/01278/B,Construction of alternative entrance to car park,"Vacant Site, East Of RL360 House Isle Of Man Business Park Douglas Isle Of Man  ",PER,09-Mar-18
17/01279/B,Alterations and extension including installation of new window to south west elevation and erection of sun room,22 Windermere Avenue Onchan Isle Of Man IM3 2DT ,PER,22-Feb-18
17/01280/C,Change of use from office space to wellbeing centre,29 Parliament Street Ramsey Isle Of Man IM8 1AT ,PER,13-Feb-18
17/01281/B,Alterations including installation of dormer and new front entrance,2 Coburn Drive Ramsey Isle Of Man IM8 3PT,PER,18-Jan-18
17/01282/B,Replacement of existing timber windows with white pvc sliding sash windows to front and white pvc casement windows to rear.,Apartment 2 Charles Street Close Peel Isle Of Man IM5 1DT ,PER,20-Feb-18
17/01283/B,Installation of replacement bay windows to front elevation,British Hotel North Quay Douglas Isle Of Man IM1 4LB,PER,20-Feb-18
17/01284/B,Replacement of existing conservatory glazed roof with tiles,Ash House 5 Camlork Close Strang Douglas Isle Of Man IM4 4TW,PER,22-Feb-18
17/01285/B,Removal of chimney stack on side (north) elevation,Carrick Court Bay View Road Port St. Mary Isle Of Man IM9 5AL,PER,05-Feb-18
17/01287/B,Alterations and erection of extension to rear elevation,21 Albany Street Douglas Isle Of Man IM2 3LD,PER,02-Mar-18
17/01288/B,Erection of an extension to replace existing conservatory,8 Pickard Close Castletown Isle Of Man IM9 1BB,PER,26-Jan-18
17/01289/B,Erection of a conservatory to rear elevation,94 Pine Grove Ballasalla Isle Of Man IM9 2EA,PER,24-Jan-18
17/01290/B,Construction of service bridge on west (upstream) side of existing stone bridge,Bridge - Laxey River Mines Road Laxey Isle Of Man  ,PER,02-Mar-18
17/01291/B,"Conversion of existing outbuilding in to home office including raising of existing roof, erection of link extension to main house and installation of rooflight",The Cliffs Fairy Cottage Laxey Isle Of Man IM4 7BR ,PER,02-Mar-18
17/01292/B,"Demolition of existing kitchen extension and outbuildings within yard, and replacement with single storey extension",6 Grafton Street Douglas Isle Of Man IM2 3HD,PER,25-Jan-18
17/01296/B,Creation of new window openings in North East elevation,Unit C1 Block C Eden Business Park Douglas Isle Of Man IM4 2AY ,PER,22-Feb-18
17/01297/B,Installation of a 200mm diameter flue to rear of house,6 Clover Avenue Reayrt Ny Keylley Peel Isle Of Man IM5 1GB ,PER,20-Feb-18
17/01298/A,"Approval in principle for erection of four dwellings to replace existing dwelling, addressing siting and means of access",Millmount House Millmount Douglas Isle Of Man IM2 1HD,PER,29-Mar-18
17/01299/B,Erection of single storey extension and external patio area,120 Summerhill Road Onchan Isle Of Man IM3 1NJ,PER,22-Jan-18
17/01300/B,Erection of rear extension at first floor level,32 St Germans Place Peel Isle Of Man IM5 1BZ,PER,20-Feb-18
17/01301/B,"Extensions and alterations to property including new detached garage with terrace over, construction of gable to east elevation, reduction in chimney heights and various other alterations to elevations",The Haven 113 King Edward Road Onchan Isle Of Man IM3 2AX,PER,25-May-18
17/01302/GB,Installation of a replacement front door (in association with 17/01303/CON),6 Harris Terrace Douglas Isle Of Man IM1 3LZ,PER,13-Feb-18
17/01303/CON,Registered Building consent for the installation of a replacement front door (in association with 17/01302/GB) Registered Building Nos. 210,6 Harris Terrace Douglas Isle Of Man IM1 3LZ,PER,13-Feb-18
17/01304/B,Alterations and extension to dwelling (forming amendments to PA 17/00504/B),Langdale Gansey Port St. Mary Isle Of Man IM9 5LA ,PER,26-Feb-18
17/01305/GB,"Replacement windows to front, rear and side, and replacement rainwater goods - RB 124 (in connection with registered building application 17/01306/CON)",Leafield 60 King Edward Road Onchan Isle Of Man IM3 2AT,PER,01-Feb-18
17/01306/CON,"Registered Building consent for replacement windows to front, rear and side, and replacement rainwater goods - RB 124 (in connection with planning application 17/01305/GB)",Leafield 60 King Edward Road Onchan Isle Of Man IM3 2AT,PER,01-Feb-18
17/01309/GB,Replacement windows to front elevation and replacement dormer window to side elevation - RB 123 (in connection with registered building application 17/01310/CON),Braeside 58 King Edward Road Onchan Isle Of Man IM3 2AT,PER,01-Feb-18
17/01310/CON,Registered Building consent for replacement windows to front elevation and replacement dormer window to side elevation - RB 123 (in connection with planning application 17/01309/GB),Braeside 58 King Edward Road Onchan Isle Of Man IM3 2AT,PER,01-Feb-18
17/01311/B,Creation of a parking area for four vehicles for hotel use,"Land Abutting Palace Road, Rear Of 25 Falcon Cliff Court Douglas Isle Of Man  ",REF,08-Mar-18
17/01312/B,Erection of a replacement dwelling with associated access and parking,Skeddan Veg Fort Island Road Derbyhaven Isle Of Man IM9 1TZ,REF,27-Mar-18
17/01313/D,Installation of signage,Palace Hotel And Casino Palace Buildings Central Promenade Douglas Isle Of Man IM2 4NA ,PER,31-Jan-18
17/01314/B,Erection of single storey kitchen extension,Ballalace Tynwald Road Peel Isle Of Man IM5 1JL ,PER,05-Feb-18
17/01315/B,Alterations and extension to rear of property,Oakley Harbour Road Onchan Isle Of Man IM3 1BJ,PER,05-Mar-18
17/01320/B,"Demolition of existing building and replacement with mixed use development including restaurant/cafe/bar, 6 apartments on the upper floors, rooftop garden, and associated parking/refuse facilities",22-23 North Quay Douglas Isle Of Man IM1 4LE ,REF,19-Mar-18
17/01321/B,Installation of a metal flue from a multi-fuel stove,Ivy Cottage Peel Road Braddan Douglas Isle Of Man IM4 4LD ,PER,23-Feb-18
17/01322/B,Installation of a flue from solid fuel stove,44 Ballagarey Road Glen Vine Isle Of Man IM4 4EB ,PER,16-Feb-18
17/01324/B,Alterations and erection of extension,Maple-Bank Ramsey Road Laxey Isle Of Man IM4 7PD,PER,16-Feb-18
17/01325/B,"Re-roofing of building, installation of new roller shutter door and alterations to external cladding",Garage/workshop Parsonage Road Ramsey Isle Of Man IM8 2EE,PER,31-Jan-18
17/01327/B,Alterations and single storey extension to rear of property,21 Ballanoa Meadow Santon Isle Of Man IM4 1HQ,REF,28-Jun-18
17/01328/B,Replacement of existing rear dormer window with a roof light,7 Kingswood Grove Douglas Isle Of Man IM1 3LY,PER,31-Jan-18
17/01329/B,Widening of existing vehicular access and creation of additional vehicular access and driveway,6 Fairway Drive Ramsey Isle Of Man IM8 2BA,PER,02-Mar-18
17/01330/B,Removal of store and erection of kitchen extension and disabled toilet facility,St Judes Church St. Judes Isle Of Man IM7 2EW ,PER,13-Feb-18
17/01331/C,Change of use of therapy rooms to residential living accommodation,14 North Shore Road Ramsey Isle Of Man IM8 3DY,PER,02-Mar-18
17/01332/GB,"Alterations, installation of replacement windows, creation of entrance ramp and alteration to and extension of rear Beer Garden (in association with 17/01333/CON)",The George Hotel The Parade Castletown Isle Of Man IM9 1LG,PER,06-Apr-18
17/01333/CON,"Registered Building consent for internal alterations, installation of replacement windows, creation of entrance ramp and alteration to and extension of rear Beer Garden (in association with 17/01332/GB) Registered Building Nos. 38",The George Hotel The Parade Castletown Isle Of Man IM9 1LG,PER,06-Apr-18
17/01334/B,Removal of existing garage and erection of double garage,Garage Rear  The Waverly Spaldrick Port Erin Isle Of Man IM9 6PD,PER,23-Feb-18
17/01335/GB,"Alterations, erection of external water treatment plant room and stores and location of water holding tank and oil tank (in association with 17/01336/CON)",Kate's Cottage Mountain Road Onchan Isle Of Man IM4 5BP,PER,31-Jan-18
17/01336/CON,"Registered Building consent for alterations, erection of external water treatment plant room and stores and location of water holding tank and oil tank (in association with 17/01335/GB) Registered Building Nos. 117",Kate's Cottage Mountain Road Onchan Isle Of Man IM4 5BP,PER,31-Jan-18
17/01337/B,Removal of a chimney stack,1 Lezayre Mount Windsor Mount Ramsey Isle Of Man IM8 3HB ,PER,09-Mar-18
17/01339/B,"Alterations, erection of rear extension and detached garage",4 Royal Terrace Onchan Isle Of Man IM3 1EE,PER,08-Mar-18
17/01340/B,"Erection of two canopies, one at main entrance and one at rear of school",Scoill Vallajeelt Meadow Crescent Douglas Isle Of Man IM2 1NN,PER,08-Mar-18
17/01341/B,Alterations and extensions to property including extension to garage and remodelling and extension of existing house,Cly Ny Mona Ballamodha Straight Ballasalla Isle Of Man IM9 3EL,PER,05-Feb-18
17/01342/B,Erection of a first floor extension,50 Faaie-Ny-Cabbal Kirk Michael Isle Of Man IM6 2HU ,PER,05-Feb-18
18/00001/B,Installation of replacement windows to front and rear elevations,18 Kingswood Grove Douglas Isle Of Man IM1 3LX,PER,14-Jun-18
18/00002/B,"Alterations and extensions including erection of a new garage, creation of new entrance and stairwell, in filling of existing terrace to facilitate the creation of 3 bedrooms at first floor level, installation of 3 roof lights to existing cottage and alte",Mona Cottage Rear Of 33 Malew Street Castletown Isle Of Man IM9 1AE ,PER,09-Mar-18
18/00004/GB,Demolition of existing dwelling and replacement with new dwelling (in connection with Registered Building application 18/00005/CON),12 Derby Square Douglas Isle Of Man IM1 3LS,PER,12-Apr-18
18/00005/CON,Registered Building consent for the demolition of existing dwelling and replacement with new dwelling (in connection with application 18/00004/GB),12 Derby Square Douglas Isle Of Man IM1 3LS,PER,12-Apr-18
18/00006/B,Installation of external cladding,3 Collins Lane Ramsey Isle Of Man IM8 1AL,PER,07-Feb-18
18/00007/B,Alterations and erection of extension,Mullen Beg Patrick Road Patrick Village Isle Of Man IM5 3AW,PER,26-Feb-18
18/00008/B,"Conversion of outbuildings to 2 holiday cottages, including two storey extension and associated fencing.  Demolition of garage and erection of double garage, garden store and car port",Former Outbuildings Ballavoddan Phildraw Road Ballasalla Isle Of Man IM9 3EG ,PER,10-Apr-18
18/00009/B,"Erection of porch, garage and living room extensions",7 Croit Ny Kenzie Andreas Isle Of Man IM7 4FA ,PER,29-Mar-18
18/00012/B,Alterations and erection of a rear extension,42 Bowring Road Ramsey Isle Of Man IM8 3EJ,PER,29-Mar-18
18/00014/B,"Alterations to property including replacement of conservatory roof with flat roof, new door to garage and new windows",15 Barrule Park Ramsey Isle Of Man IM8 2BN,PER,09-Mar-18
18/00016/B,Erection of a new dwelling,Land Adj To Bankfield Bungalow Ballamodha Straight Ballasalla Isle Of Man  ,REF,05-Mar-18
18/00017/D,Installation of illuminated and non-illuminated signage (forming amendments to application 17/01025/D),Zurich House Isle Of Man Business Park Douglas Isle Of Man IM2 2SA ,PER,05-Mar-18
18/00018/B,Alterations and extensions to property including new porch and removal of a chimney stack,88 Pine Grove Ballasalla Isle Of Man IM9 2EA,PER,09-Mar-18
18/00019/B,Installation of replacement windows and door,Castletown Harbour Pump Station Hope Street Castletown Isle Of Man  ,PER,07-Feb-18
18/00020/B,Replacement of existing roof slates with new roof slates (retrospective),Ardlea 5 Somerset Road Douglas Isle Of Man IM2 5AD,PER,10-Apr-18
18/00021/B,Replacement of existing conservatory roof with Tapco Slate roof,Reayrtyn Glen Road Colby Isle Of Man IM9 4HW,PER,07-Feb-18
18/00022/B,Erection of Greenhouse,Highfield Glen Vine Drive Glen Vine Isle Of Man IM4 4EX ,PER,07-Feb-18
