Planning Application No,Proposal,Property Address,Decision,Date decision issued
18/01029/B,"Installation of replacement windows, doors and roof slates",Hawthorn Villas 110 Woodbourne Road Douglas Isle Of Man IM2 3AS ,PER,31-Oct-18
18/01030/B,Alterations to property including creation of timber deck terrace,Maple Ridge 4 Viking Hill Ballakillowey Colby Isle Of Man IM9 4BJ ,PER,19-Nov-18
18/01031/B,"Installation of insulated render cladding system to external walls, replacement roof tiles and works to existing retaining walls","47, 49, 51, 53, 55, 57, 59 Queens Pier Road Ramsey Isle Of Man IM8 2HP",PER,07-Nov-18
18/01032/B,Extension of vehicular access and driveway,Cornaa Beaumont Road Ramsey Isle Of Man IM8 2HW,PER,07-Nov-18
18/01033/B,Installation of black flue from multi fuel fire on south east gable of property,50 King Orry Road Glen Vine Isle Of Man IM4 4FJ,PER,18-Dec-18
18/01035/B,Extension of existing vehicular access and driveway,31 Derwent Drive Onchan Isle Of Man IM3 2DB,PER,19-Nov-18
18/01039/C,Additional use of residential property as self-catering tourist accommodation,Shee Dy Vea Darragh Port Erin Isle Of Man IM9 6JB ,PER,29-Nov-18
18/01040/LAW,Certificate of Lawful Use for the use of first floor apartment as a residential dwelling,58-60 Main Road Onchan Isle Of Man IM3 1AL,PER,27-Nov-18
18/01042/B,Alterations and remodelling of property,1 Osborne Terrace Douglas Isle Of Man IM1 3LH,PER,20-Nov-18
18/01043/B,Installation of flue from multi-fuel fire (retrospective),Ballakeilla 15 Ard Reayrt Laxey Isle Of Man IM4 7PZ ,PER,20-Nov-18
18/01045/B,"Alterations, removal of a chimney stack and erection of a first floor extension",23 Devonshire Crescent Douglas Isle Of Man IM2 3RD,PER,20-Nov-18
18/01053/LAW,Application to make lawful the use of the property as a house in multiple occupancy (HMO),5 Rosemount Douglas Isle Of Man IM1 3HQ,CLAWA,22-Nov-18
18/01054/B,Replacement of existing conservatory roof with tiled roof,8 Ballachrink Drive Onchan Isle Of Man IM3 4NX,PER,07-Nov-18
18/01055/B,"Alterations, replace garage door with a window, reduction of existing porch and creation of patio area, removal of a chimney stack, erection of a dormer extension and erection of a detached garage",Greenmount 15 Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QN,PER,21-Nov-18
18/01056/B,Single storey extension to provide additional classroom and associated accommodation,Air Cadet Training Facility Millbrook House Tromode Road Douglas Isle Of Man IM2 5EH ,PER,20-Nov-18
18/01060/B,Erection of a dwelling with detached garage,Ballacaroon West Baldwin Road Mount Rule Isle Of Man IM4 4HS ,PER,24-Dec-18
18/01061/B,"Variation of condition 2 of application 17/00319/B for the conversion of building into restaurant and takeaway, to permit extended opening hours from 10.30pm on New Year's Eve until 1am on New Year's Day",The Old Mortuary Farrants Way Castletown Isle Of Man IM9 1NR,PER,20-Nov-18
18/01062/LAW,Application for certificate of Lawful Development for the erection of a conservatory,20 Rhenwyllan Close Port St. Mary Isle Of Man IM9 5NJ ,CLAWA,18-Dec-18
18/01063/B,Erection of extension to rear of property,169 Royal Avenue Onchan Isle Of Man IM3 1LL,PER,20-Nov-18
18/01065/B,Erection of single storey extension to rear of property including removal of existing chimneys and installation of flue from new wood burner,Cushag Cooil Avenue Kirk Michael Isle Of Man IM6 1HD,PER,27-Nov-18
18/01066/B,Installation of air conditioning unit on wall of building,Farmhill Stores Clybane Court Douglas Isle Of Man IM2 2NF,PER,12-Dec-18
18/01067/B,Installation of PVC windows to front elevation (retrospective),16 Stanley Mount Peel Isle Of Man IM5 1NE,PER,22-Nov-18
18/01068/B,Installation of replacement windows (retrospective),71 Malew Street Castletown Isle Of Man IM9 1LR,PER,04-Dec-18
18/01069/C,Additional use of property as self-catering tourist accommodation,3 Spaldrick View Port Erin Isle Of Man IM9 6PB,PER,13-Dec-18
18/01072/B,Alterations and erection of extension to rear elevation,15 Farrant Street Douglas Isle Of Man IM2 3HF,PER,28-Nov-18
18/01074/B,Replacement of existing garages with permeable surface parking area,Garages To Rear Of Ballagill Orestal Colby Isle Of Man  ,PER,28-Nov-18
18/01075/B,"Alterations, erection of extension and widening of existing vehicular access",2 Richmond Close Douglas Isle Of Man IM2 6HR,PER,28-Nov-18
18/01076/B,Installation of replacement windows,Corrin Hall St German Cathedral Derby Road Peel Isle Of Man IM5 1HH,PER,05-Dec-18
18/01077/B,Erection of a detached building to provide entertainment space and associated facilities,The Meadows Port E Chee Tromode Douglas Isle Of Man IM2 5PD ,PER,18-Dec-18
18/01078/B,"Single storey extension to property, and creation of additional vehicular access to serve additional parking area",10 Scott Close Onchan Isle Of Man IM3 2HA ,PER,28-Nov-18
18/01079/B,Replacement of existing conservatory roof with tiled roof,4 Sunnybank Avenue Onchan Isle Of Man IM3 3BN,PER,29-Nov-18
18/01080/LAW,Application for certificate of Lawful Development for the installation of replacement windows,63 Derby Road Douglas Isle Of Man IM2 3EW,CLAWA,29-Nov-18
18/01082/B,Erection of flue from multi-fuel stove on west gable of property,28 Hailwood Avenue Douglas Isle Of Man IM2 7DG,PER,29-Nov-18
18/01083/B,Installation of a flue,Braemar Mount Auldyn Ramsey Isle Of Man IM8 3PJ,PER,29-Nov-18
18/01087/B,Erection of a shed / workshop,Sunny Bank South Cape Laxey Isle Of Man IM4 7BU ,PER,05-Dec-18
18/01088/B,"Alterations and extension to property including creation of porch, installation of juliet balcony and various adjustments to existing openings",12 The Meadows Kirk Michael Isle Of Man IM6 1EU,PER,17-Dec-18
18/01090/B,Installation of replacement windows,2 Crown Street & 40 Castle Street Peel Isle Of Man ,PER,05-Dec-18
18/01091/B,Demolition of conservatory and erection of extension to rear of property.,84 Governors Hill Douglas Isle Of Man IM2 7EU,PER,05-Dec-18
18/01092/B,Erection of a detached building to provide ancillary living accommodation,Field 420733 Adjacent To Shilley Lhean Ballagawne Ballabeg Castletown Isle Of Man  ,REF,21-Nov-18
18/01093/B,Erection of extension to side of property to provide additional living accommodation with car port below.,Yn Rheash Corlea Road Ballasalla Isle Of Man IM9 3BA,PER,20-Nov-18
18/01094/B,Alterations and erection of an extension,2 Wentworth Close Onchan Isle Of Man IM3 2JU,PER,29-Nov-18
18/01095/B,Alterations and additions to property including demolition of existing rear yard buildings and replacement with single storey extension (amendment to PA 18/00597/B) (in connection with Registered Building Application 18/01096/CON),44 Albany Road Douglas Isle Of Man IM2 3NA,PER,29-Nov-18
18/01096/CON,Registered Building Consent for demolition of existing rear yard outbuildings as part of works (in connection with application 18/01095/B),44 Albany Road Douglas Isle Of Man IM2 3NA,PER,29-Nov-18
18/01097/C,Change of use from retail (Class 1) to a cafe / restaurant (Class 3),Shop Unit 2 Church Walk St Pauls Square Ramsey Isle Of Man IM8 1LA ,PER,29-Nov-18
