Decisions issued under delegated authority 1/1/19 - 31/12/19,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Two storey side extension to provide additional living accommodation and covered parking,8 Farmhill Park Douglas Isle Of Man IM2 2EE ,REF,21-Jan-19,18/00342/B
Erection of detached garage (retrospective),1 Snaefell View Jurby Isle Of Man IM7 3BF,PER,16-Apr-19,18/00068/B
Installation of non illuminated signage,75 Bucks Road Douglas Isle Of Man IM1 3EF,REF,26-Mar-19,17/00991/D
Application to make lawful the use as a house of multiple occupation,6 Fairfield Terrace Douglas Isle Of Man IM1 1BE,CLAWA,14-Jun-19,17/00212/LAW
Installation of a replacement front door,Vallaveg 11 Lime Street Port St. Mary Isle Of Man IM9 5ED,REF,11-Jul-19,18/00158/B
Application to make lawful the use of the property as a House in Multiple Occupancy (HMO),Newbiggin House 2 Clarence Terrace Central Promenade Douglas Isle Of Man IM2 4LS ,CLAWA,14-Jun-19,18/00097/LAW
Application to make lawful the use as a house of multiple occupation,4 Fairfield Terrace Douglas Isle Of Man IM1 1BE,CLAWA,14-Jun-19,17/00289/LAW
Creation of additional vehicular exit on to main road from property,Ivy Cottage Peel Road Braddan Douglas Isle Of Man IM4 4LD ,PER,01-Mar-19,18/00082/B
Approval in principle for the erection of a detached dwelling,Land Adjacent To Fasque Andreas Road Ramsey Isle Of Man  ,REF,03-Apr-19,16/00586/A
Erection of two storey extension on side of dwelling,14 Royal Park Ramsey Isle Of Man IM8 3UF ,PER,14-Jan-19,18/00953/B
Erection of a two storey extension to side elevation,16 Cronk Avenue Onchan Isle Of Man IM3 3DF,PER,15-Feb-19,18/01290/B
"Alterations, erection of extension  and widening of vehicular access and driveway",3 Cronk Avenue Onchan Isle Of Man IM3 3DG,PER,18-Jan-19,18/01291/B
Alterations and erection of a canopy roof extension over loading bay area,The Second Milestone Transmann Depot Peel Road Braddan Douglas Isle Of Man IM4 4LE ,PER,12-Feb-19,18/01313/B
3eErection of a single dwelling on land adjacent to Rheast Mooar House,Rheast Mooar House Andreas Road Ramsey Isle Of Man IM8 3UA,PER,26-Apr-19,19/00009/B
Alterations and erection of two storey extension to side elevation.,11 The Sycamores Ramsey Isle Of Man IM8 1LU ,PER,04-Mar-19,19/00038/B
Replacement of existing tile roof with glassfibre roof on ground floor rear elevation,42 Alberta Drive Onchan Isle Of Man IM3 1LX,PER,22-Feb-19,19/00044/B
Installation of wall with window to replace existing garage doors,Troutbeck Strang Road Union Mills Isle Of Man IM4 4NP,PER,15-May-19,19/00340/B
"Installation of decking, bi-fold doors, and flue",9 The Abbey Woods Douglas Isle Of Man IM2 5PL,PER,04-Jul-19,19/00342/B
Replacement of existing glazed conservatory roof with tile,Hilltops 33 Ballagarey Road Glen Vine Isle Of Man IM4 4EB,PER,26-Jun-19,19/00493/B
