Planning Application No,Proposal,Property Address,Decision,Date decision issued
20/00083/B,Installation of replacement windows and front door,6 Rosemount Douglas Isle Of Man IM1 3HQ,PER,07-May-20
20/00084/B,"Rendering works, window alteration to rear elevation and installation of a flue",79 Ballacriy Park Colby Isle Of Man IM9 4LY,PER,12-Mar-20
20/00085/B,Extension of existing dormer window,1 Ballafurt Close Port Erin Isle Of Man IM9 6HS,PER,30-Mar-20
20/00086/B,Alterations and conversion of garage to create additional living space,37 Maple Avenue Onchan Isle Of Man IM3 3GA,PER,30-Jul-20
20/00088/B,Erection of a single storey extension,Burnside Colden Road Douglas Isle Of Man IM2 3NQ ,PER,02-Jun-20
20/00089/B,Repositioning and replacement of driveway gates,Green Gables Laxey Road Baldrine Isle Of Man IM4 6HA,PER,12-Mar-20
20/00090/B,Installation of two front elevation and one rear elevation replacement windows,Flat 1   72 Derby Square Douglas Isle Of Man IM1 3LR,PER,17-Apr-20
20/00091/B,Installation of a heat pump to replace existing boiler,23 Scarlett Road Castletown Isle Of Man IM9 1NS,PER,12-Mar-20
20/00092/B,Widening of vehicle access to create additional off road parking,14 Marathon Avenue Douglas Isle Of Man IM2 4HZ,REF,28-Apr-20
20/00094/B,Creation of French doors,Monks Bridge Cottage Abbey Road Lane Ballasalla Isle Of Man IM9 3DE,PER,02-Apr-20
20/00096/B,Installation of a 20 cycle shelter,Castle Rushen High School Arbory Road Castletown Isle Of Man IM9 1RE,PER,12-Mar-20
20/00098/B,Removal of a door access,27 Alberta Drive Onchan Isle Of Man IM3 1LT,PER,12-Mar-20
20/00099/C,Additional use of residential property (class 3.3) as self-catering tourist accommodation (class 3.6),6 Ballakneale Avenue Port Erin Isle Of Man IM9 6ND,PER,02-Apr-20
20/00101/B,Erection of a rear extension,9 Cherry Walk Douglas Isle Of Man IM2 5NS,PER,12-Mar-20
20/00103/B,"Alterations, erection of ground and two storey extensions to provide garaging and living space with additional use as tourist living accommodation",Borodaill Peel Road Glen Mooar Kirk Michael Isle Of Man IM6 1HL ,REF,16-Apr-20
20/00105/B,Erection of an extension and creation of a new window,48 Howe Road Onchan Isle Of Man IM3 2AZ,PER,20-Mar-20
20/00106/B,Removal of a chimney stack,3 Princes Avenue Douglas Isle Of Man IM2 3JB,PER,07-May-20
20/00107/C,Change of use of residential dwelling (class 3.3) to tourist living accommodation (class 3.6),17 Victoria Terrace Douglas Isle Of Man IM2 4EX,PER,17-Mar-20
20/00108/B,Installation of replacement windows and door,3 Westminster Terrace Douglas Isle Of Man IM1 4ED,PER,17-Jul-20
20/00109/B,Installation of a flue,1 Elizabeth Rise Castletown Isle Of Man IM9 1EL,PER,23-Apr-20
20/00111/B,Alterations and erection of an extension,Orrys Cliff Ballaragh Road Laxey Isle Of Man IM4 7PE,PER,06-Apr-20
20/00112/B,Installation of replacement windows,8 Primrose Avenue Douglas Isle Of Man IM1 4EB,PER,27-Apr-20
20/00113/GB,Installation of replacement windows and doors to front and rear elevations (in association with 20/00114/CON),3 Auckland Terrace Parliament Street Ramsey Isle Of Man IM8 1AF ,REF,13-May-20
20/00114/CON,Registered Building consent for installation of replacement windows and doors to front and rear elevations (in association with 20/00113/GB) Registered Building Nos. 152,3 Auckland Terrace Parliament Street Ramsey Isle Of Man IM8 1AF ,REF,13-May-20
20/00116/B,Erection of an attached garage to side elevation,27 Clybane Rise Douglas Isle Of Man IM2 2LY,PER,29-Jun-20
20/00117/B,Replacement of existing conservatory with an extension,Ballachrink Mooar Sound Road Glen Maye Isle Of Man IM5 3BJ ,PER,02-Apr-20
20/00118/B,Erection of rear extension and installation of replacement roof lights and roof slates,22 Market Street Peel Isle Of Man IM5 1AD,PER,29-May-20
20/00119/B,Replacement of existing glazed conservatory roof with tile,14 St Stephens Meadow Sulby Isle Of Man IM7 3DA ,PER,02-Apr-20
20/00120/A,Approval in principle for the erection of an industrial unit,Land To South Of Athen Rye Stoney Mountain Road Eairy Isle Of Man  ,REF,16-Apr-20
20/00121/B,Replacement of existing glazed conservatory roof with tile,26 Murrays Lake Drive Mount Murray Douglas Isle Of Man IM4 2HY,PER,20-Mar-20
20/00123/B,"Erection of a detached dwelling, creation of a building plot and improvement of existing access and creation of a new vehicular access",35 Groudle Road Onchan Isle Of Man IM3 2EF,PER,02-Jul-20
20/00124/MCH,"Minor changes application for PA 19/00137/B involving alterations, traffic calming features, new footpath link and pedestrian link",Field 434764 Douglas Road Ballasalla Isle Of Man  ,PER,03-Jun-20
20/00125/B,Erection of rear extension and rear dormer window (amendment to PA 19/01270/B),St Elmo 9 Keeill Pharick Glen Vine Isle Of Man IM4 4EW ,PER,07-Apr-20
20/00126/B,Erection of rear extension,Highland 4 Westhill Village Jurby Road Ramsey Isle Of Man IM8 3TD ,PER,07-Apr-20
20/00127/B,Erection of a portal frame building,Athol Garage Quayles Garage Ltd Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AF ,PER,16-Apr-20
20/00128/B,Replacement of existing glazed conservatory roof with tile,10 St Stephens Meadow Sulby Isle Of Man IM7 3DA ,PER,02-Apr-20
20/00129/D,Installation of illuminated signage,Swiss Buildings Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH ,PER,05-Jun-20
20/00130/D,Installation of illuminated signage,1 Harris Promenade Douglas Isle Of Man IM1 2HH,PER,05-Jun-20
20/00131/B,Replacement of existing glazed conservatory roof with tiles,Cashlin 8 The Castleward Green Douglas Isle Of Man IM2 5PS ,PER,08-Apr-20
20/00132/B,Replacement of existing conservatory roof with tiles,2 Glen View Main Road Union Mills Isle Of Man IM4 4NE,PER,06-Apr-20
20/00133/B,Installation of replacement windows and rear door,9 Demesne Road Douglas Isle Of Man IM1 3EB,PER,17-Jun-20
20/00134/B,Repositioning of rear workshop/store door to lane,14 Albion Terrace Douglas Isle Of Man IM1 3LJ,PER,08-Apr-20
20/00135/B,Erection of sun room extension,12 Kings Court Ramsey Isle Of Man IM8 1LJ ,PER,07-Apr-20
20/00138/B,Erection of raised decking,Heanorville Princes Road Douglas Isle Of Man IM2 4HX,PER,16-Apr-20
20/00139/B,Installation of flue,3 Greenlands View Ramsey Isle Of Man IM8 2PB,PER,20-Mar-20
20/00140/B,Removal of three rear windows to former water filtration building and installation of a garage door (retrospective),Water Filters & Flats Former Pump Station Glen Rushen Road Glen Maye Isle Of Man  ,PER,07-Apr-20
20/00142/B,Replacement of window with patio door (retrospective),66 Patrick Street Peel Isle Of Man IM5 1BS,PER,17-Apr-20
20/00143/B,Alterations and extension to dwelling including installation of two flues,Mandhari Ballagorry Drive Glen Mona Ramsey Isle Of Man IM7 1HE,PER,03-Apr-20
20/00144/B,Erection of a replacement dwelling,Beulah (formerly An Airidh) Windsor Grove Ramsey Isle Of Man IM8 3ED,PER,03-Jun-20
20/00145/B,Creation of vehicle access and associated off road parking (retrospective),Heatherlea Bay View Road Port Erin Isle Of Man IM9 6NA,PER,16-Apr-20
20/00147/CON,Registered Building consent for roof works. Registered Building Nos. 125,19 Governors Road Onchan Isle Of Man IM3 1AY,PER,20-Mar-20
20/00149/B,Replacement of Biomass Fuel Delivery System,Mylchreest Court Apartments Douglas Road Peel Isle Of Man  ,PER,06-Apr-20
20/00150/B,Alterations and erection of side and rear extensions,11 Harcroft Avenue Douglas Isle Of Man IM2 1PF,PER,06-Apr-20
20/00151/MCH,Minor changes application for PA 16/00681/B involving extension of front porch roof and additional windows,Vacant Plot With Garage Gellings Avenue Port St. Mary Isle Of Man  ,SPLIT,23-Jul-20
20/00152/B,"Erection of an agricultural building and creation of an all-weather manège, and cladding works to existing outbuilding (Retrospective)",Ballakillowey Farm  Ballakillowey Road Colby Isle Of Man IM9 4BN,PER,08-Oct-20
20/00153/B,Erection of detached double garage with access from rear lane,19 Marathon Avenue Douglas Isle Of Man IM2 4JB,PER,17-Apr-20
20/00154/B,Installation of a heat pump to replace existing boiler,12 Athol Court Port Erin Isle Of Man IM9 6EJ,PER,31-Mar-20
20/00155/B,Alterations and extensions to property including raising roof of existing garage,26 Close Famman Port Erin Isle Of Man IM9 6BJ,PER,17-Apr-20
20/00156/MCH,Minor changes application for PA 19/00815/B involving window / door alteration and blocking up of front elevation garage door,Ballasalla Airport Garage Douglas Road Ballasalla Isle Of Man IM9 2AN ,PER,08-Sep-20
20/00157/B,"Alterations, erection of extension, dormer windows and detached garage with living accommodation above",Cronk Reayrt Main Road Crosby Isle Of Man IM4 2DQ,PER,23-Apr-20
20/00158/B,Installation of a retaining wall,St Judes Lodge Old Laxey Hill Laxey Isle Of Man IM4 7BZ,PER,16-Apr-20
20/00159/B,"Alterations including replacement roof, windows, doors and new boiler flue, together with additional use as tourist accommodation.",2 Bank Street Castletown Isle Of Man IM9 1AT,PER,08-Apr-20
20/00160/B,Replacement of existing timber door and top light with UPVC composite door and UPVC top light,1 Victoria Terrace Glen Road Laxey Isle Of Man IM4 7AW ,PER,07-Apr-20
20/00161/B,Installation of two dormers on front/south elevation and roof lights to side and rear.,5 Spinney Close Douglas Isle Of Man IM2 1NF,PER,21-Apr-20
20/00162/MCH,Minor changes application for PA 18/00392/B involving alteration to approved roofing material,Old Ballachrink Farm Breeze Hill Laxey Isle Of Man IM4 7DL ,PER,30-Apr-20
20/00163/B,Erection of detached dwelling including alteration of existing vehicular access,Land Adjacent To Teckelwood 5 Ballabridson Park Ballasalla Isle Of Man  ,PER,08-Apr-20
20/00164/D,Installation of non-illuminated signage,Rear Wall Of Whitehous Buildings Tramway Close Laxey Isle Of Man  ,PER,22-Jun-20
20/00166/LAW,Application for Certificate of Lawful Development for replacement of door with a window.,11 Horseshoe Avenue Douglas Isle Of Man IM2 1QT,CLAWA,18-Mar-20
20/00167/B,"Replacement of garage door with a window, rear patio door and creation of a side window",2 Auldyn Meadow Way Auldyn Meadow Ramsey Isle Of Man IM8 2TX ,PER,06-Apr-20
20/00168/D,Relocation of existing signage,Victory House Prospect Hill Douglas Isle Of Man IM1 1EQ ,PER,21-Apr-20
20/00169/B,Removal of a chimney stack,Dreeym House Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PN,PER,16-Apr-20
20/00171/B,Erection of two detached agricultural buildings,Cronk Aalin Farm Narradale Sulby Isle Of Man IM7 2HA ,PER,14-May-20
20/00172/B,Installation of a replacement ground floor window to front elevation,60 Queen Street Castletown Isle Of Man IM9 1NZ,PER,21-Apr-20
20/00174/B,Removal of rear doorway and creation of a doorway to side elevation,57 All Saints Park Lonan Isle Of Man IM4 7LD ,PER,06-Apr-20
20/00175/B,"Change of use of land to create a camp site, creation of hard standing for camping vehicles with associated electric hook up points, installation of cladding to and relocation of existing toilet / wash facilities and erection of an attached motorcycle she",Fields 234227 & 234228 Glebe Farm Main Road Kirk Michael Isle Of Man  ,REF,22-Jun-20
20/00176/B,Erection of rear extension,45 Erin Way Port Erin Isle Of Man IM9 6EF ,PER,01-Apr-20
20/00178/D,Erection of illuminated signage,Athol Garage Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AF ,PER,24-Apr-20
20/00179/B,Erection of a raised and covered decked area (partial retrospective),19 Ormly Avenue Ramsey Isle Of Man IM8 3LF,REF,13-May-20
20/00181/B,Installation of replacement doors to public conveniences,Town Hall West Room The Promenade Port St. Mary Isle Of Man IM9 5DA,PER,01-Apr-20
20/00182/B,"Installation of replacement natural slate roof, and installation of upvc fascia and guttering (retrospective).",15 Factory Lane Peel Isle Of Man IM5 1NA,PER,29-May-20
20/00183/B,Installation of a flue,Carrick Jairg Belle Vue Peel Isle Of Man IM5 1UH,PER,06-Apr-20
20/00184/C,Change of use of ground floor from shop (class 1.1) to a yoga studio,3 Victoria Buildings Parliament Street Ramsey Isle Of Man IM8 1AX ,PER,06-Apr-20
20/00185/B,Erection of storage shed,Land Between The Nook And Riverside Cottage Crossag Road Ballasalla Isle Of Man  ,PER,15-May-20
20/00186/B,"Creation of raised parking, garden walling, steps and widening of vehicular access",3 Oak Close Birch Hill Onchan Isle Of Man IM3 3HR,REF,28-Apr-20
20/00187/B,Alterations and erection of ground and first floor extension,1 Glen Bank Glen Maye Isle Of Man IM5 3BQ,PER,06-Apr-20
20/00188/B,Alteration to existing garden wall and creation of window to side of garage,Hill View Ocean Castle Drive Promenade Port Erin Isle Of Man IM9 6LU ,PER,16-Apr-20
20/00189/B,Creation of bi folding doors to rear elevation and a doorway from an existing window to side elevation,7 Pinehurst Glen Douglas Isle Of Man IM2 1PP ,PER,07-May-20
20/00192/B,Installation of flue for a wood burner,2A Fairfield Avenue Onchan Isle Of Man IM3 4BW,PER,10-Jun-20
20/00193/B,Replacement of existing shed with shed/summer house,46 Fuchsia Road Reayrt Ny Keylley Peel Isle Of Man IM5 1GA ,PER,06-Apr-20
20/00194/B,Installation of air source heat pump,South Fork 2 The Church View Braddan Douglas Isle Of Man IM4 4TF,PER,21-Apr-20
20/00195/B,Alterations and extension to property,Seahaven Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX,PER,01-Apr-20
20/00196/B,Demolition of existing rear portion of property and erection of replacement two storey extension (in association with Registered Building application 20/00197/CON),Aingeville 93 Woodbourne Road Douglas Isle Of Man IM2 3AW,PER,07-May-20
20/00197/CON,Registered Building Consent for the demolition elements of application 20/00196/CON,Aingeville 93 Woodbourne Road Douglas Isle Of Man IM2 3AW,PER,12-May-20
20/00198/B,Conversion of stables to living accommodation,The Stables Billown Mansion Billown Malew Isle Of Man IM9 3DL,PER,24-Apr-20
20/00199/B,Erection of a lean to shelter extension to existing agricultural building and erection of detached building to provide storage and garaging,The Tramman Farm Ballakillowey Road Colby Isle Of Man IM9 4BP,PER,01-Apr-20
20/00200/B,Installation of telecoms mast (retrospective),Corner Of Fuchsia Lane Douglas Isle Of Man  ,PER,24-Jul-20
20/00201/B,Installations of telecoms mast (retrospective),Hailwood Avenue Governors Hill Douglas Isle Of Man,PER,24-Jul-20
20/00202/B,Alterations to existing chimney stacks and installation of a replacement front door,12A Albion Terrace Douglas Isle Of Man IM1 3LJ,PER,12-May-20
20/00203/B,Erection of single storey extension,2 Balnahow Farm Cottages Balnahow Farm Balnahowe Santon Isle Of Man IM4 1HN ,PER,21-Apr-20
20/00204/B,Blocking up of a window to East elevation,Grianane Lazy Hill Peel Road Douglas Isle Of Man IM1 4NN ,PER,12-May-20
20/00205/B,Erection of an agricultural building,Field 425031 Ballaglonney Ronague Road Ronague Castletown Isle Of Man IM9 4HG ,REF,06-May-20
20/00206/B,Erection of cabin within rear garden ancillary to existing dwelling,Yew Cottage Rencell Hill Laxey Isle Of Man IM4 7BJ,PER,24-Jun-20
20/00207/B,Installation of replacement windows,65 Malew Street Castletown Isle Of Man IM9 1LR,PER,24-Apr-20
20/00208/B,Replacement of existing glazed conservatory roof with tile,Brambles Patrick Village Isle Of Man IM5 3AH ,PER,21-Apr-20
20/00209/B,"Alterations and extension to property, including widening of existing vehicular access",The Rowans Quines Hill Port Soderick Isle Of Man IM4 1AU,REF,22-Sep-20
20/00210/B,"Erection of a replacement outbuilding to provide storage, garaging and a joinery workshop",Cronk-Ny-Shee Cordeman Road St Marks Ballasalla Isle Of Man IM9 3AJ ,PER,13-Aug-20
20/00211/C,Additional use of dwelling as tourist accommodation,Cushag Cooil Avenue Kirk Michael Isle Of Man IM6 1HD,PER,21-Apr-20
20/00212/B,Removal of two chimney stacks,62 Port E Chee Avenue Douglas Isle Of Man IM2 5EX,PER,05-Jun-20
20/00213/B,Installation of replacement windows and doors to front elevation,Corvalley & Corner Cottage Main Road Ballabeg Castletown Isle Of Man IM9 4LE,PER,30-Jul-20
20/00214/B,Alterations and extensions to dwelling including enlargement of garage to rear and replacement of conservatory with sun room.,68 Birch Hill Crescent Onchan Isle Of Man IM3 3DB,PER,10-Jun-20
20/00215/B,Erection of wall with gate access to rear yard of property,31 Parliament Street Ramsey Isle Of Man IM8 1AT,PER,02-Apr-20
20/00217/B,"Removal of rear sloping roof, erection of conservatory at first floor level and replacement shed in rear yard.",Conamur Athol Street Port St. Mary Isle Of Man IM9 5DS,PER,01-Apr-20
20/00218/B,Erection of extension to dwelling and replacement detached garage/garden store,Ellan Rhennee Cottage Old Sulby Road The Curragh Ballaugh Isle Of Man IM7 5BH ,PER,02-Apr-20
20/00219/B,Replacement of existing glazed conservatory roof with tile,Glen View 7 Ballagorry Heights Glen Mona Ramsey Isle Of Man IM7 1HS,PER,24-Apr-20
20/00222/C,Additional use of residential dwelling as tourist accommodation,Fieldhaven Glen Mona Loop Road Glen Mona Ramsey Isle Of Man IM7 1HG ,PER,24-Apr-20
20/00223/B,Erection of single storey extension to side and rear elevations,19 Highfield Crescent Onchan Isle Of Man IM3 3BX,PER,08-Apr-20
20/00224/MCH,"Minor changes application for PA 18/00284/B involving alteration to and creation of windows, shop front and stairwell",Auldyn House 24 Parliament Street / West Quay Ramsey Isle Of Man IM8 1AP,PER,23-Jul-20
20/00225/B,"Alterations and erection of a single storey extension, installation of air source heat pump and roof replacement",Ballachrink Farm Old Castletown Road Santon Isle Of Man IM4 1HD,PER,23-Apr-20
20/00226/MCH," Minor changes application for PA 14/00893/B involving changes to window / patio door and balcony arrangements, apartment alteration and enlargement of basement to create storage space",Former Port Erin Royal Hotel Promenade Port Erin Isle Of Man IM9 6LH ,PER,08-Sep-20
20/00228/D,Installation of illuminated signage,Garage Showroom And Offices Parliament Square Ramsey Isle Of Man IM8 2AB,PER,18-May-20
20/00231/B,Erection of a conservatory,Oakville House 2 The Castleward Green Douglas Isle Of Man IM2 5PS,PER,05-Jun-20
20/00232/B,Installation of air source heat pumps to 22 properties,1 - 22 Close Caarjys Ramsey Isle Of Man IM8 2NF,PER,14-Apr-20
20/00233/B,"Installation of flue from a multi-fuel stove, and partial re-cladding of property",Thie Yn Droghad Breeze Hill Laxey Isle Of Man IM4 7DL,PER,30-Jul-20
20/00234/C,Additional use of site to include operation centre and parking/storage of 4 trikes,Showroom 11 Castlemona Avenue Douglas Isle Of Man IM2 4EA,PER,05-Jun-20
20/00235/B,Alterations to entrance along Rosemount elevation to provide ramp access and bin store (retrospective) - in association with Registered Building Application 20/00236/CON,Trinity Church Rosemount Douglas Isle Of Man IM1 3EY ,PER,31-Jul-20
20/00236/CON,Registered Building Consent for the demolition elements of application 20/00235/B (retrospective),Trinity Church Rosemount Douglas Isle Of Man IM1 3EY ,PER,30-Jul-20
20/00237/B,Sun lounge extension to rear of property,46 Ballatessan Meadow Peel Isle Of Man IM5 1DU ,PER,24-Apr-20
20/00238/B,Creation of covered area and extension to spa,Hotel/leisure Complex & Golf C   Mount Murray Ballacutchel Road Mount Murray Douglas Isle Of Man IM4 2HT,PER,24-Apr-20
20/00239/GB,"Replacement of roof on rear elevation, together with replacement windows and installation of external insulation on rear extension - RB 212 (in association with RB application 20/00240/CON)",Ballure Cottage Ballure Road Ramsey Isle Of Man IM8 1NL,PER,14-Apr-20
20/00240/CON,"Registered Building consent for replacement of roof on rear elevation, together with replacement windows and installation of external insulation on rear extension - RB 212 (in association with application 20/00239/GB)",Ballure Cottage Ballure Road Ramsey Isle Of Man IM8 1NL,PER,15-Apr-20
20/00242/B,"Replacement windows to property with UPVC units, and installation of French doors in place of window at rear.",7 Tynwald Road Peel Isle Of Man IM5 1JZ,PER,19-May-20
20/00243/B,Re-roofing and renovation works,1-9 Ballacobb Close Ballaugh Isle Of Man IM7 5ET,PER,08-Apr-20
20/00244/B,Erection of extension to existing agricultural building,Garey Rhennie Ballamodha Straight Ballasalla Isle Of Man IM9 3ES,PER,06-May-20
20/00246/B,Installation of replacement roof,Aalid Feie 1 Moaney Quill Close Laxey Isle Of Man IM4 7JL,PER,13-May-20
20/00247/B,Single storey extension to rear of property,41 William Proctor Court Reayrt Y Sheear Douglas Isle Of Man IM2 6PR ,PER,29-May-20
20/00249/B,Erection of a single storey extension to rear of dwelling,8 Woodbourne Villas Alexander Drive Douglas Isle Of Man IM2 3QG ,PER,18-May-20
20/00250/B,Alterations and erection of ground floor extensions to rear elevation,Korderry Marine Drive Port Soderick Isle Of Man IM4 1BJ,PER,21-Apr-20
20/00251/B,"Erection of gazebo with roof mounted solar panels (retrospective), and replacement of concrete tiled roof with slate roof",18 Keeill Pharick Glen Vine Isle Of Man IM4 4EW ,PER,03-Jun-20
20/00252/B,Alterations and erection of single storey extension and garage to side elevation,Ballavell Farm Grenaby Road Ballasalla Isle Of Man IM9 3DP,PER,16-Apr-20
20/00253/B,"Replacement roofs, works to external wall finishes and canopies","1-4 And 7-42 Cronk Elfin, 43-52 Prince's Road Ramsey Isle Of Man IM8 2EX",PER,15-Apr-20
20/00254/C,Change of use from yoga sports facility to retail,4 Glen Falcon Road Douglas Isle Of Man IM2 3EY,PER,18-May-20
20/00256/B,"Alterations and erection of extension, attached garage and first floor terrace",Tamarisk Main Road Kirk Michael Isle Of Man IM6 1AJ,PER,16-Apr-20
20/00257/TEL,Prior Approval application for the erection of a 15 meter shrouded monopole and associated telecoms cabinets under schedule 3 of Telecoms Order 2019,Vacant Plot Woodbourne Lane Douglas Isle Of Man  ,REF,22-Apr-20
20/00258/LAW,Application for certificate of Lawful Development for installation of flue on east elevation,11 Laurel Avenue Onchan Isle Of Man IM3 3JE,PER,18-May-20
20/00260/B,Replacement roof tiles to property,Merryways 19 Greeba Avenue Glen Vine Isle Of Man IM4 4EE,PER,24-Apr-20
20/00261/B,Installation of a fire escape and creation of first floor doorway,Eyreton Quarterbridge Road Douglas Isle Of Man IM2 3RF,PER,24-Apr-20
20/00262/CON,Repair works to tower - Registered Building 113,Douglas Head Apartments 1 - 22 Douglas Head Douglas Isle Of Man IM1 5BY ,PER,19-May-20
20/00263/B,Erection of sun lounge to replace existing conservatory,17 Cherry Walk Douglas Isle Of Man IM2 5NP,PER,18-May-20
20/00264/B,Erection of a rear extension,27 Ashberry Avenue Douglas Isle Of Man IM2 1PY,PER,17-Jul-20
20/00265/B,Erection of an extension to side elevation,Cass A Lergy Douglas Road Kirk Michael Isle Of Man IM6 1AT,PER,22-Jun-20
20/00266/B,"Alterations, erection of extension to garage and creation of access ramps",The Bungalow Clenagh Road Sulby Isle Of Man IM7 3AD,PER,13-May-20
20/00267/B,"Alterations and erection of first floor extension to rear elevation, first floor extension to side elevation and front porch extension",Crowcreen Ballaglass Glen Road Cornaa Ramsey Isle Of Man IM7 1EH,PER,13-May-20
20/00268/B,Works to convert existing dwelling into 3 apartments,10 Castlemona Avenue Douglas Isle Of Man IM2 4EH,PER,06-May-20
20/00269/B,Erection of extension to provide garage and additional living accommodation and widening of drive and access to create additional parking,5 Groudle View Onchan Isle Of Man IM3 2EX,PER,06-May-20
20/00270/B,"Alteration, erection of extension, raised terrace and widening of vehicular access.",Sharrow House Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QJ,PER,13-May-20
20/00271/LAW,Application for Certificate of Lawful Development for installation of windows and door to front elevation,14 Upper Dukes Road Douglas Isle Of Man IM2 4BA,PER,18-May-20
20/00272/B,Alterations and extension to rear of property,Briarfield Little Switzerland Douglas Isle Of Man IM2 6AG,PER,13-May-20
20/00274/B,Erection of an extension to replace existing conservatory,Neston 9 Belmont Road Douglas Isle Of Man IM1 4NR,PER,22-Jun-20
20/00275/B,Erection of a rear extension,Wayside 2 High View Road Douglas Isle Of Man IM2 5BQ,PER,07-Jul-20
20/00276/LAW,Application for Certificate of Lawful Development for installation of replacement windows,12 Upper Dukes Road Douglas Isle Of Man IM2 4BA,PER,18-Jun-20
20/00277/B,Erection of smoking shelter,Land At The Isle Of Man Creamery Ballafletcher Farm Road Cronkbourne Douglas Isle Of Man IM4 4QE ,PER,18-May-20
20/00278/B,Installation of replacement roof and removal of chimney stack,5 The Fairway Onchan Isle Of Man IM3 2EL,PER,24-Apr-20
20/00280/B,Conversion of former care home to residential dwelling,Eastfield Mansion House (care Home) Eastfield Douglas Isle Of Man IM1 4AU ,PER,06-May-20
20/00281/CON,Registered Building consent for the demolition elements relating the application 20/00280/B,Eastfield Mansion House (care Home) Eastfield Douglas Isle Of Man IM1 4AU ,PER,07-May-20
20/00282/B,Erection of single storey extension to dwelling with associated landscaping works,2 Springfield Rise Foxdale Isle Of Man IM4 3JX ,PER,28-Apr-20
20/00283/B,Erection of extension to side elevation,35 Faaie-Ny-Cabbal Kirk Michael Isle Of Man IM6 2HT,PER,24-Apr-20
20/00284/B,Extension and alterations to dwelling,Glendower 2 Ballaglonney Close Crosby Isle Of Man IM4 2DH,PER,24-Apr-20
20/00285/B,Replacement of existing conservatory glazed roof with tile,4 Ashberry Avenue Douglas Isle Of Man IM2 1PX,PER,13-May-20
20/00286/B,Rebuild and extension of rear outlet and window / door alterations,11 Lezayre Road Ramsey Isle Of Man IM8 2LN,PER,09-Jul-20
20/00287/B,Creation of off road parking and vehicular access (Retrospective),1 & 2 Foxdale Road St Johns Isle Of Man IM4 3AP,PER,07-Jul-20
20/00288/B,Erection of a two storey extension to side elevation,25 William Proctor Court Reayrt Y Sheear Douglas Isle Of Man IM2 6PR ,PER,24-Apr-20
20/00289/B,Erection of front and rear extensions and widening of driveway and vehicular access (amendment to PA 19/00799/B),24 Bollan Drive Glen Vine Isle Of Man IM4 4FE,PER,24-Apr-20
20/00290/B,Installation of flue,6 Alexander Road Glen Vine Isle Of Man IM4 4EH,PER,18-May-20
20/00291/B,Erection of extension to replace existing conservatory,3 Close Kennish Douglas Isle Of Man IM2 2HL,PER,07-Jul-20
20/00293/A,Approval in principle for residential development addressing means of access,Land South Of Leyton Victoria Road Douglas Isle Of Man IM2 6AQ ,PER,29-Jun-20
20/00294/B,Erection of extension to rear elevation,Sunnyside 22 Lime Street Port St. Mary Isle Of Man IM9 5EF,PER,07-May-20
20/00295/B,Alterations and erection of single storey extension and removal of chimney stack,35 Cannan Avenue Kirk Michael Isle Of Man IM6 1HG,PER,28-Apr-20
20/00296/B,Erection of a first floor extension,6 Church Street Peel Isle Of Man IM5 1HL,PER,28-Apr-20
20/00297/B,Erection of external bar/servery in existing beer garden (retrospective),Railway Inn Main Road Union Mills Isle Of Man IM4 4NE,PER,01-Jun-20
20/00298/MCH,Minor changes application for PA 17/00504/B involving air source heat pump and alterations to windows,Langdale Gansey Port St. Mary Isle Of Man IM9 5LA ,REF,13-May-20
20/00299/GB,Installation of replacement windows (in association with 20/00300/CON),Tulloch House 2 The Parade Castletown Isle Of Man IM9 1LG,PER,20-May-20
20/00300/CON,Registered Building consent for installation of replacement windows (in association with PA 20/00299/GB) Registered Building Nos. 71,Tulloch House 2 The Parade Castletown Isle Of Man IM9 1LG,PER,20-May-20
20/00302/B,Replacement of existing two garage doors with a single door,Glion Loch Westhill Village Jurby Road Ramsey Isle Of Man IM8 3TD ,PER,13-May-20
20/00303/C,Change of use of ground floor laundrette to a beauty business (Class 1.1),2 Church Street Peel Isle Of Man IM5 1HL,PER,28-Apr-20
20/00306/C,Additional use of residential dwelling (class 3.3) as tourist living accommodation (class 3.6),5 Scarlett Close Castletown Isle Of Man IM9 1NY,PER,07-May-20
20/00307/B,Alterations and two storey extension to rear of dwelling,Bathurst 29 The Park Onchan Isle Of Man IM3 1HR,PER,17-Jul-20
20/00308/B,Replacement of existing glazed conservatory roof with tile,15 Cronk Drean Douglas Isle Of Man IM2 6AX,PER,14-May-20
20/00309/B,Rebuilding stone walls and landscaping works adjacent to highway,Crofton Baldhoon Road Laxey Isle Of Man IM4 7NA,PER,14-May-20
20/00312/B,Erection of rear extension,2 Raad Bridjeen Reayrt Ny Cronk Peel Isle Of Man IM5 1GQ ,PER,14-May-20
20/00313/B,Installation of replacement windows and shop front,9 - 11 Duke Street Douglas Isle Of Man  ,PER,07-Jul-20
20/00314/B,Erection of station masters office (retrospective),Railway Station Banks Circus Douglas Isle Of Man IM1 4LL,PER,17-Jul-20
