Planning Application No,Proposal,Property Address,Decision,Date decision issued
19/01191/B,Replacement of existing conservatory roof and erection of raised terrace,8 Barrule Park Ramsey Isle Of Man IM8 2BW,PER,06-Jan-20
19/01192/B,Erection of a detached building to provide tractor and maintenance equipment storage,Site Adjacent Golf Club Store Port St Mary Golf Course Kallow Point Road Port St. Mary Isle Of Man IM9 5EJ,PER,06-Mar-20
19/01193/B,"Variation of condition 3 of PA 19/00519/B, Alterations and conversion of light industrial unit to provide leisure facilities including axe throwing, restaurant, amusements and ancillary spaces, to amend the hours of operation to allow the Class 3 faciliti",Unit 22 South Quay Industrial Estate Douglas Isle Of Man IM1 5AT,PER,21-Apr-20
19/01197/B,Alterations and erection of extensions,Little Acres Baltic Road Kirk Michael Isle Of Man IM6 1EF,PER,19-Mar-20
19/01199/B,Installation of an entrance canopy,Jacksons Car Sales Jacksons Ltd Eden Business Park Cooil Road Braddan Isle Of Man IM4 2AZ ,PER,17-Jan-20
19/01201/B,Erection of three detached dwellings with integral garages,"Plots 2, 3 & 4 Ballabeg Grove Main Road Glen Vine Isle Of Man IM4 4HZ ",PER,20-Feb-20
19/01204/B,"Alterations, erection of rear extensions and detached summerhouse, removal of rear wall, creation of decking and installation of replacement rear fencing (in association with 19/01206/CON)",Shelton Alexander Drive Douglas Isle Of Man IM2 3QN ,PER,02-Jan-20
19/01206/CON,Registered Building consent for the demolition elements relating the application 19/01204/B,Shelton Alexander Drive Douglas Isle Of Man IM2 3QN ,PER,02-Jan-20
19/01207/B,Creation of parking area within part of front garden and associated works,Woodcroft New Road Laxey Isle Of Man IM4 7HS,REF,06-Jan-20
19/01210/B,Erection of extension to front elevation,Mount Cottage Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX,PER,08-Jan-20
19/01211/B,Replacement of existing glazed conservatory roof with tile,17 Ballellis Ballawattleworth Estate Peel Isle Of Man IM5 1WZ ,PER,06-Jan-20
19/01212/B,Replacement of existing glazed conservatory roof with tile,2 Close Cubbon Peel Isle Of Man IM5 1NS,PER,06-Jan-20
19/01214/B,"Alterations, removal of conservatory and erection of an extension",Waters Edge Cottage Abbeylands Isle Of Man IM4 5ED ,PER,02-Jan-20
19/01215/B,Replacement of existing conservatory with a larger single storey side extension,42 Close Famman Port Erin Isle Of Man IM9 6BJ,PER,08-Jan-20
