Decisions issued under delegated authority 1/1/16 - 31/12/16,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Installation of a replacement entrance canopy and a planter,Ellan Vannin Home Kingswood Grove Douglas Isle Of Man IM1 3LX,PER,10-May-16,16/00214/B
Variation of conditions two and three of PA 14/00366/C to allow use of clubhouse and kitchen by campers and to allow camping to continue after 2017,Rushen United AFC Croit Lowey Droghadfayle Road Port Erin Isle Of Man IM9 6EE,PER,18-Apr-16,16/00224/B
Installation of a slurry storage tank,Cronk Aalin Farm  Narradale Sulby Isle Of Man IM7 2HA ,PER,10-May-16,16/00260/B
Replacement of existing glazed conservatory roof with light weight roof tiles,Dreemskerry Ballaoates Road Castleward Douglas Isle Of Man IM4 5EJ ,PER,10-May-16,16/00268/B
Erection of extension to rear elevation,15 Close Cubbon Peel Isle Of Man IM5 1NS,PER,10-May-16,16/00269/B
Additional use of residential apartment as tourist accommodation,3 Holmes Court Rowany Drive Port Erin Isle Of Man IM9 6LW,PER,10-May-16,16/00270/C
Replacement of existing glazed conservatory roof with tiles,4 Heywood Way Onchan Isle Of Man IM3 3AB,PER,24-May-16,16/00366/B
Erection of a sun lounge to replace existing conservatory,57 Howe Road Onchan Isle Of Man IM3 2AY,PER,24-May-16,16/00368/B
Registered Building consent for the installation of an additional hair washing sink in approved salon area and replacement of existing ground and basement (lower section) staircase (Registered Building Nos. 152),9 Auckland Terrace Parliament Street Ramsey Isle Of Man IM8 1AF ,PER,03-Jun-16,16/00370/CON
Erection of additional townhouse units for Student Nurse accommodation with access road and car parking (amendment to approved 16/00094/B Student Nurse accommodation),Former Union Mills Football Club Playing Fields Ballamona Estate Braddan Road Strang Douglas Isle Of Man  ,PER,16-Dec-16,16/01257/B
Replacement of existing windows and door with UPVC (in connection with registered building application 16/01275/CON),Flat 3  Thurwood Place 26 West Quay Ramsey Isle Of Man IM8 1DJ,PER,22-Dec-16,16/01274/GB
"Alterations and extension to existing access road, wall alterations and repositioning of two existing and installation of two additional lamp standards",Dreemskerry Farm Dreemskerry Ramsey Isle Of Man IM7 1BF ,PER,19-Jul-16,16/00372/B
Alterations and erection of extension to dwelling,Gorse Cottage Ballanard Road Abbeylands Isle Of Man IM4 5EA,PER,06-Jun-16,16/00453/B
Additional use of residential dwelling as tourist accommodation,3 Oakhill Cottages Oak Hill Port Soderick Isle Of Man IM4 1AW,PER,23-Jun-16,16/00454/C
Alterations and installation of a replacement septic tank,Arborfield Douglas Road Ballasalla Isle Of Man IM9 3AD,PER,20-Jun-16,16/00455/B
Installation of a container for the storage of Ramsey Rowing Club boats and associated equipment,Old River Road Yard Old River Road Ramsey Isle Of Man IM8 3AE,PER,31-May-16,16/00456/B
Extension of existing outside seating area,32 North Quay Douglas Isle Of Man IM1 4LB ,PER,13-Jul-16,16/00458/C
Alterations and creation of a mezzanine floor to industrial building,Unit 1 Middle Park Industrial Estate Richmond Hill Douglas Isle Of Man IM4 1JL ,PER,08-Jul-16,16/00459/B
Replacement of existing glazed conservatory roof with tiles,14 Greeba Avenue Glen Vine Isle Of Man IM4 4ED ,PER,13-Jul-16,16/00540/B
Installation of replacement windows,Flat  1A Market Hill Ramsey Isle Of Man IM8 1JT ,REF,01-Jul-16,16/00541/B
Creation of an outside seating area,20A Duke Street Douglas Isle Of Man IM1 2AY ,PER,14-Dec-16,16/00542/B
Erection of a rear extension to dwelling,Mount Eliza 19 Howe Road Onchan Isle Of Man IM3 2BB,PER,28-Jul-16,16/00543/B
"Alterations, erection of extension, creation of a roof terrace and driveway amendments",Maughold Lighthouse Buildings Maughold Isle Of Man IM7 1AS ,PER,29-Jun-16,16/00593/B
Installation of a flue,1 Fairway Close Port Erin Isle Of Man IM9 6LS,PER,25-Jul-16,16/00594/B
Replacement white pvc casement windows and door to front elevation,1 Hilary Road Douglas Isle Of Man IM2 3EG,PER,19-Oct-16,16/00880/B
Erection of a summer house,Victoria House Nursery Victoria Road Douglas Isle Of Man IM2 4AJ ,PER,08-Sep-16,16/00882/B
Additional use of residential property for tourism,2 Quay House Apartments West Quay Ramsey Isle Of Man IM8 1DD ,PER,08-Sep-16,16/00883/C
Alterations and erection of extension,Ellan Vannin Chiropractic Clinic 44 Westmoreland Road Douglas Isle Of Man IM1 4AN,PER,01-Dec-16,16/00913/B
External alterations to side and rear elevation,Tir-Nan-Og Brookfield Avenue Castletown Isle Of Man IM9 1TL,PER,03-Mar-16,16/00111/B
Erection non-illuminated signage (retrospective),Northern Delivery Office Poyll Dooey Road Ramsey Isle Of Man IM8 2LE,PER,10-May-16,16/00172/D
Change of use from former dog grooming premises to a facility for the preparation and storage of cold pressed vegetable and fruit juices,The Store  The Promenade Laxey Isle Of Man IM4 7DD ,PER,14-Apr-16,16/00276/C
Conversion of an out building to provide ancillary living accommodation,7 Beach Street Peel Isle Of Man IM5 1NJ,PER,31-May-16,16/00325/B
Alterations and erection of an extension to dwelling,27 Birch Hill Grove Onchan Isle Of Man IM3 4EN,PER,19-Jan-16,15/01369/B
Additional use of residential dwelling as tourist living accommodation,Thie Corneil Stanley Mount West Ramsey Isle Of Man IM8 1LR,PER,22-Jan-16,15/01371/C
Registered Building consent for the erection of non-illuminated signage (in association with 16/00464/D) Registered Building Nos. 26,Former Social Security Office Castle Street Castletown Isle Of Man IM9 1LD ,PER,21-Jun-16,16/00465/CON
Alterations and erection of a two storey side extension to provide garage with living accommodation above,33 Ballanoa Meadow Santon Isle Of Man IM4 1HQ ,PER,26-May-16,16/00466/B
Alterations and erection of an extension to existing conservatory,Kates Cottage 66 Birch Hill Crescent Onchan Isle Of Man IM3 3DB,PER,26-Jul-16,16/00632/B
Alterations and erection of extension (amendment to PA 15/01292/B),Struie Highfield Drive Baldrine Isle Of Man IM4 6ED,PER,19-Jul-16,16/00633/B
Installation of replacement windows to rear elevation,Mariners House Back Shore Road Laxey Isle Of Man IM4 7DQ,PER,05-Aug-16,16/00634/B
Application to make lawful the use as residential,Somerset Cottage Thorny Road Douglas Isle Of Man IM2 5AD,CLAWA,21-Oct-16,16/00644/LAW
Erection of an agricultural building to provide barn / store and stabling (amendment to PA 15/00163/B),Part Field 110275 Ballamoar Farmhouse Cranstal Bride Isle Of Man IM7 4BP ,PER,19-Jul-16,16/00645/B
Demolition of existing building containing two flats and erection of two semi-detached dwellings,Land At Cliff Cottage Larch Hill Grove Tromode Douglas Isle Of Man IM4 4QB,PER,24-Feb-16,15/00713/B
Renovations to front elevation and replacement windows.,12 Derby Square Douglas Isle Of Man IM1 3LS,PER,09-Nov-16,16/01054/B
Erection of a detached implement store to replace existing container units,St Johns Football Club Mullen E Cloie Foxdale Road St Johns Isle Of Man IM4 3AR,PER,19-Jan-16,15/01360/B
Installation of illuminated signage and a non-illuminated projecting sign to premises,69 Strand Street Douglas Isle Of Man IM1 2EN,PER,06-Jun-16,16/00427/D
"Replacement of rear kitchen window and door with large single opening, creation of gable windows and construction of walls between rear gardens",Plots 1 - 10 Housing Development On Former Gasworks Site North Shore Road Ramsey Isle Of Man IM8 3DB ,PER,06-Jun-16,16/00428/B
Replacement of existing conservatory with a garden room extension to dwelling,23 Ballaterson Fields Ballaugh Isle Of Man IM7 5AW,PER,06-Jun-16,16/00429/B
Installation of a protective metal plate to corner of building (in association with 16/00431/CON),Former House Of Keys Building Parliament Square Castletown Isle Of Man IM9 1LA,PER,02-Jun-16,16/00430/GB
Registered Building consent for the installation of a protective metal plate to corner of building (in association with 16/00430/GB) Registered Building Nos. 29,Former House Of Keys Building Parliament Square Castletown Isle Of Man IM9 1LA,PER,02-Jun-16,16/00431/CON
Removal of chimney stack (retrospective),Greensleeves Douglas Road Kirk Michael Isle Of Man IM6 1AT,PER,11-Aug-16,16/00702/B
"Removal / demolition of existing structures and installation of fencing, stone flagstones and wooden pergola to pub garden",Mines Tavern Captains Hill Laxey Isle Of Man IM4 7AY,PER,01-Sep-16,16/00743/B
Registered Building consent for the demolition of an external wooden shelter,Mines Tavern Captains Hill Laxey Isle Of Man IM4 7AY,PER,01-Sep-16,16/00744/CON
Repositioning of an existing and installation of an additional roof light to dwelling,37 Selborne Drive Douglas Isle Of Man IM2 3NJ ,PER,15-Aug-16,16/00745/B
Alterations and erection of extension to dwelling,Ballacreg Dreemskerry Hill Dreemskerry Ramsey Isle Of Man IM7 1BE,PER,19-Oct-16,16/00746/B
Application of render to dwelling,Victoria Cottage St Marks Ballasalla Isle Of Man IM9 3AH ,PER,15-Aug-16,16/00747/B
Creation of a porch,33 Ballagarey Road Glen Vine Isle Of Man IM4 4EB,PER,12-Aug-16,16/00748/B
Erection of a detached dwelling with integral garage,Plot Adjacent To 28 Clifton Drive Ramsey Isle Of Man  ,PER,28-Sep-16,16/00939/B
Demolition of existing conservatory and construction of 2 storey extension to rear,Thie Bane 40 Ballanard Road Douglas Isle Of Man IM2 5HE,PER,26-Jul-16,16/00697/B
Replacement of existing glazed conservatory roof with tiles,Alberta Cottage 36 Alberta Drive Onchan Isle Of Man IM3 1LX,PER,07-Sep-16,16/00808/B
Replacement of existing glazed conservatory roof with tiles,21 Maple Avenue Onchan Isle Of Man IM3 3HJ,PER,21-Sep-16,16/00809/B
Alterations and erection of a replacement garage to rear elevation,37 Derby Square Douglas Isle Of Man IM1 3LW,PER,31-Oct-16,16/00810/B
Installation of replacement roof tiles,23 / 24 St Pauls Mews Ramsey Isle Of Man IM8 1EE,PER,21-Sep-16,16/00813/B
Approval in principle for residential development,31-39 South Quay Douglas Isle Of Man IM1 5AX ,PER,01-Dec-16,16/01013/A
Installation of replacement windows and door to front elevation and replacement doors to rear elevation,15 Crosby Terrace Douglas Isle Of Man IM2 5DG,PER,25-Apr-16,16/00229/B
Alterations and extensions to dwelling,Treetops  6 Highfield Crescent Onchan Isle Of Man IM3 3BH,PER,10-May-16,16/00230/B
Creation of outside seating area on front pavement,Royal George Hotel 10 - 12 Market Place East Ramsey Isle Of Man IM8 1JY ,PER,13-Apr-16,16/00231/B
Erection of a residential development of 81 dwellings with associated hard and soft landscaping and on site infrastructure,Fields 131047 & 134069 Royal Park Phase 2  The Vollan  Ramsey Isle Of Man  ,PER,08-Aug-16,16/00232/B
Installation of a replacement door and outdoor decking area to dwelling (retrospective),6 Wesley Terrace Douglas Isle Of Man IM1 3HF,REF,06-Sep-16,16/00072/B
Alterations and extension to dwelling and erection of an extension to existing garage,Signpost Cottage Cronk Ny Mona Mountain Road Onchan Isle Of Man IM3 3TD ,PER,08-Mar-16,16/00073/B
"Alterations, erection of extension and creation of roof terraces to dwelling",51 Derby Square Douglas Isle Of Man IM1 3LP,PER,03-Jun-16,16/00074/B
Erection of a rear first floor sunroom and deck area to dwelling,11 Cambridge Terrace Douglas Isle Of Man IM1 3LL,PER,29-Mar-16,16/00156/B
Erection of a detached agricultural building,Colooneys Farm Colooneys Lane Cooil Douglas Isle Of Man IM4 2AG,PER,18-May-16,16/00391/B
Erection of a detached dwelling (replace dwelling approved under PA 13/91289/B),Plot 42 Of Approved Residential Development Off Raad Kirree Varrey Slieau Whallian View Peel Isle Of Man  ,PER,18-May-16,16/00392/B
Installation of render and dash to gable end of building,80 Derby Road Douglas Isle Of Man IM2 3EB ,PER,16-May-16,16/00393/B
Installation of a replacement roof and front elevation external door to utility room (In association with 16/00395/CON),4 Victoria Terrace Douglas Isle Of Man IM2 4EU,PER,02-Jun-16,16/00394/GB
Registered Building consent for the installation of a replacement roof and front elevation external door to utility room (In association with 16/00394/GB) Registered Building Nos. 187,4 Victoria Terrace Douglas Isle Of Man IM2 4EU,PER,02-Jun-16,16/00395/CON
Erection of a spiral staircase to rear elevation of dwelling,Kimmeragh Ballafesson Road Port Erin Isle Of Man IM9 6TX,PER,18-May-16,16/00396/B
Erection of a detached building to provide garaging and a garden implement and machinery store,Barrule View Main Road Foxdale Isle Of Man IM4 3ER,PER,27-Oct-16,16/00398/B
Replacement of existing glazed conservatory roof with tiles,92 Pine Grove Ballasalla Isle Of Man IM9 2EA,PER,25-May-16,16/00399/B
Erection of a display sun lounge to replace existing display conservatory,Unit 28 Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH,PER,27-Sep-16,16/00932/B
Erection of steel framed agricultural building.,Land At Glendown Farm Truggan Road Port St. Mary Isle Of Man  ,PER,25-Nov-16,16/01049/B
Replacement windows to front.,20 Glenfaba Road Peel Isle Of Man IM5 1BU,PER,01-Nov-16,16/01068/B
 Change of use to occasional holiday cottage.,Apple Garth Patrick Road St Johns Isle Of Man IM4 3BN,PER,08-Nov-16,16/01078/C
Erection of agricultural barn in field 510984,Field 510984 Balnahowe Santon Isle Of Man  ,PER,08-Nov-16,16/01084/B
Erection of single garage and hardstanding.,Land Adjacent To 4 Windsor Terrace Douglas Isle Of Man IM1 3LH,PER,27-Jul-16,16/00698/B
Erection of security and fencing and vehicular access gates,Hazardous Waste Transfer Unit Field 524740 Kewaigue Douglas Isle Of Man  ,PER,09-Aug-16,16/00716/B
Installation of replacement windows,The Craig 16 New Road Laxey Isle Of Man IM4 7BF,PER,16-Feb-16,15/01147/B
Installation of illuminated signage (in association with PA 15/00153/CON),18A-20 Victoria Street Douglas Isle Of Man IM1 2LE ,PER,05-Feb-16,15/01152/D
Registered Building consent for the installation of illuminated signage (in association with PA 15/00152/D) Registered Building Nos. 223,18A - 20 Victoria Street Douglas Isle Of Man IM1 2LE ,PER,05-Feb-16,15/01153/CON
Additional use of existing dwelling for tourist accommodation,24 Baldrine Park Baldrine Isle Of Man IM4 6DD,PER,07-Jan-16,15/01253/C
Creation of roof terrace on existing garage roof with access stairs and balustrading,39 York Road Douglas Isle Of Man IM2 3AY,PER,11-Jan-16,15/01254/B
Replacement of existing glazed conservatory roof with roof tiles,Beehive Kindergarten (Shelleig) Hillberry Road Onchan Isle Of Man IM3 3JP,PER,14-Mar-16,16/00143/B
Replacement of existing glazed conservatory roof with light weight roof tiles,13 Close Corlett Peel Isle Of Man IM5 1QH ,PER,17-Mar-16,16/00144/B
Re-location of two existing and retention of one existing illuminated advertising signs,McDonald's Restaurant  Peel Road Douglas Isle Of Man IM1 5ED ,PER,26-May-16,16/00168/D
Installation of a replacement front door,6 Hilary Road Douglas Isle Of Man IM2 3EG,PER,08-Jul-16,16/00603/B
Erection of a wind break screen to front elevation entrance door,Pets At Home Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR ,PER,11-Jul-16,16/00604/B
"Alterations, erection of extension and creation of rear parking and vehicular access",9 Dalton Street Douglas Isle Of Man IM1 3JT,PER,15-Jul-16,16/00605/B
Removal and installation of roof to rear and removal of wall and creation of double doors.,43 Palatine Road Douglas Isle Of Man IM2 3BP,PER,01-Nov-16,16/01048/B
Relocation of existing vehicular access,Kimmeragh Ballafesson Road Port Erin Isle Of Man IM9 6TX,PER,19-Jul-16,16/00607/B
Change of use of existing residential apartment to commercial use including hair and beauty treatment,Apartment 2 & Unit 1 Royal Buildings Main Road Onchan Isle Of Man IM3 1AP ,PER,18-Aug-16,16/00630/C
Erection of an agricultural building,Field 110929 West Kimmeragh Farm West Kimmeragh Road Bride Isle Of Man  ,PER,26-Sep-16,16/00631/B
Erection of nine detached dwellings with associated landscaping and access,Site Of Former Grand Island Hotel Bride Road Ramsey Isle Of Man IM8 3UN ,PER,20-Dec-16,15/01064/B
Conversion of part of integral garage to living accommodation and alterations,5 Pinehurst Glen Douglas Isle Of Man IM2 1PH,PER,05-Jan-16,15/01275/B
Erection of a conservatory to rear elevation (retrospective),6 Cronk Y Berry Mooar Douglas Isle Of Man IM2 6HJ,PER,05-Jan-16,15/01278/B
Installation of replacement French doors to front elevation,11 Eastfield Douglas Isle Of Man IM1 4AU,PER,03-Feb-16,15/01279/B
Installation of French window and blocking-up external doorway (retrospective),Overdale Quarterbridge Road Douglas Isle Of Man IM2 3RJ,PER,05-Jan-16,15/01281/B
Alterations and erection of a two storey extension to dwelling,Bergen Belmont Hill Douglas Isle Of Man IM1 4NT,PER,24-Feb-16,15/01400/B
Removal of chimney stack,22 Belmont Terrace Douglas Isle Of Man IM1 4NH,REF,17-Mar-16,16/00104/B
Erection of a sun room extension to rear elevation,26 St Runius Way Glen Vine Isle Of Man IM4 4FG,PER,05-May-16,16/00169/B
Erection of a replacement storage barn,"Barn, Red Gap Farm Arbory Road Castletown Isle Of Man  ",PER,03-May-16,16/00170/B
"Alterations and extensions to dwelling, erection of a detached garage, alterations to vehicular access and landscaping works",3 The Falls Tromode Douglas Isle Of Man IM4 4PZ ,PER,24-Aug-16,16/00174/B
Installation of external flue for wood burning stove,Erinwood Bay View Road Port Erin Isle Of Man IM9 6NA ,PER,16-Jun-16,16/00308/B
Widening of driveway and vehicular access onto highway,Cronk Beg 39 Bray Hill Douglas Isle Of Man IM2 5BD,PER,18-May-16,16/00310/B
Alterations and extension to dwelling (comprising amendments to PA 14/01183/B),23 Ridgeway Road Onchan Isle Of Man IM3 1HT,PER,03-Jun-16,16/00313/B
Erection of a replacement front porch,6 Howe Road Onchan Isle Of Man IM3 2BB,PER,18-May-16,16/00332/B
Replacement of existing glazed conservatory roof with tiles,20 Keeill Pharick Park Glen Vine Isle Of Man IM4 4EW ,PER,27-May-16,16/00400/B
Erection of a rear two storey extension,Harbour House Queens Road Port St. Mary Isle Of Man IM9 5EP,PER,23-Jun-16,16/00526/B
"Alterations, erection of extension and widening of existing driveway",Uplands Main Road Glen Vine Isle Of Man IM4 4AZ,PER,24-Jun-16,16/00528/B
Creation of a dormer extension,13 Cronk Drine Union Mills Isle Of Man IM4 4NG,REF,30-Jun-16,16/00529/B
Alterations and erection of an extension,The Sheeling Bay View Road Port Erin Isle Of Man IM9 6LF,PER,24-Jun-16,16/00530/B
"Alterations, installation of a dormer window and creation of off road parking to dwelling",39 Selborne Drive Douglas Isle Of Man IM2 3NJ,PER,21-Sep-16,16/00646/B
Replacement of existing garage door with a window and alteration to rear window,The Rigs Mount Auldyn Ramsey Isle Of Man IM8 3PJ,PER,19-Jul-16,16/00647/B
Approval in principle for the erection of a detached dwelling with garaging,Field 432538 Ballavoddan Farm Phildraw Road Ballasalla Isle Of Man  ,PER,01-Nov-16,16/00998/A
Installation of replacement windows and rear door to dwelling,44 Woodbourne Road Douglas Isle Of Man IM1 3AN,PER,29-Sep-16,16/01000/B
"Erection of a front porch, ground and first floor extension to dwelling",11 Harcroft Meadow Douglas Isle Of Man IM2 1JS ,PER,05-Dec-16,16/01191/B
Replacement of garage door with a doorway,Ballacannell Dhoor Ramsey Isle Of Man IM7 4ED ,PER,05-Dec-16,16/01192/B
"Alterations, erection of extension and second floor dormer extension to dwelling",49 Arbory Street Castletown Isle Of Man IM9 1LL,PER,20-Jul-16,16/00673/B
Installation of replacement windows and door to rear elevation (retrospective),Hillbrae Main Road Kirk Michael Isle Of Man IM6 1ED,PER,20-Jul-16,16/00674/B
Replacement of existing garage sheet roof with tiles,Tyrerhennie 2 The Crescent Douglas Isle Of Man IM2 5ET ,PER,18-Aug-16,16/00675/B
Erection of garage extension and erection of a sun room and first floor dormer extension to dwelling.,Seafield Bride Road Bride Isle Of Man IM7 4AD ,PER,21-Nov-16,16/01175/B
Erection of a single storey extension to side elevation,15 Furman Close Onchan Isle Of Man IM3 1BT,PER,14-Mar-16,16/00149/B
Erection of a shed and timber fence,2 Bayr Grianagh Castletown Isle Of Man IM9 1HJ,PER,23-Jun-16,16/00485/B
Widening of existing vehicular access,2 Bayr Grianagh Castletown Isle Of Man IM9 1HJ,PER,23-Jun-16,16/00486/B
Extension and rearrangement of existing car park to create 14 additional parking spaces,Land Between Canada House And New Office Development Isle Of Man Business Park Douglas Isle Of Man  ,PER,03-Jun-16,16/00487/B
Erection of a multi-functional agricultural building,Field 620610 Off The Gooseneck Hibernia Maughold Isle Of Man  ,PER,25-Jul-16,16/00490/B
"Alterations to window openings and replacement doors, insulation to external walls and windows. Internal alterations. New Canopy over rear door and new footpath access",Youth & Community Centre School Road Onchan Isle Of Man IM3 4LA,PER,15-Sep-16,16/00701/B
Registered Building Consent for the installation of additional timber panelling to Council Chamber (Registered Building no 169),Town Hall Ridgeway Street Douglas Isle Of Man IM1 1EP,PER,09-May-16,15/01393/CON
Application to make lawful the use as an self contained apartment,Flat 4  4 Windsor Mount Ramsey Isle Of Man IM8 3EA,CLAWA,25-Feb-16,15/01394/LAW
Temporary use of vacant site as office car park,Fields 521888 And 521895 Between Isle Of Man Business Park And Cooil Road Douglas Isle Of Man  ,PER,25-Feb-16,16/00016/C
Installation of a replacement front door,58 Selborne Drive Douglas Isle Of Man IM2 3NL,PER,09-Feb-16,16/00017/B
Alterations and extensions to dwelling,65 Ballagarey Road Glen Vine Isle Of Man IM4 4EJ,PER,03-Mar-16,16/00097/B
"Conversion of station to a fire and rescue station with erection of a single storey extension to side elevation, provision of additional car parking, installation of an emergency generator to rear of building and access alterations",Ambulance Station Southlands Castletown Road Isle Of Man IM9 6BD ,PER,09-Mar-16,16/00115/B
Erection of an agricultural shed for livestock and feed,Field 224144 Corvalley South Farm Cronk Road Ballaugh Isle Of Man  ,PER,07-Jul-16,16/00210/B
"Erection of two industrial buildings to provide eight units with associated parking, hard standing areas and access (amendment to PA 16/00032/B)",Former Abattoir Site Ballafletcher Farm Road Tromode Douglas Isle Of Man  ,PER,18-May-16,16/00415/B
Installation of a replacement front elevation top floor bedroom window to dwelling,Eaveswood 3 Cronkbourne Avenue Douglas Isle Of Man IM2 3LA,PER,24-May-16,16/00417/B
Installation of replacement windows and rear door to dwelling (retrospective),7 Grosvenor Road Douglas Isle Of Man IM1 3EN,PER,16-Jun-16,16/00418/B
"Conversion of building from nursery school  to Class 1 and/or Class 3 and/or gym (sui generis) (in association with 16/00420/CON)",Manannan House Market Square Castletown Isle Of Man IM9 1RB,PER,30-Jun-16,16/00419/GB
Registered Building consent for internal alteration works to convert building from nursery school to Class 1 and/ or Class 3 and/ or gym (sui generis)  (in association with 16/00419/GB) Registered Building Nos. 17,Manannan House Market Square Castletown Isle Of Man IM9 1RB,PER,30-Jun-16,16/00420/CON
Erection of replacement stables,Field 524035 Land At Marbeg Old Castletown Road Port Soderick Isle Of Man IM4 1BD,PER,17-Jun-16,16/00471/B
Installation of a replacement rear door,72 Derby Road Douglas Isle Of Man IM2 3EB,PER,17-Jun-16,16/00472/B
Installation of side upvc windows to open porch,19 Lakeside Road Douglas Isle Of Man IM2 7BL,PER,25-Jul-16,16/00493/B
Alterations to existing store building,Store To Rear Of  5 Station Road Port Erin Isle Of Man IM9 6AQ ,PER,23-Jun-16,16/00494/B
Erection of a summerhouse (retrospective),Keppel Gate 7 First Avenue Douglas Isle Of Man IM2 6BA,PER,24-Jun-16,16/00531/B
Erection of eight dwellings with public open space,Land Between Reayrt Ny Glionney Development  And Existing Dwellings On Croit E Quill Road   Laxey Isle Of Man IM4 7LG ,PER,04-Apr-16,15/00752/B
Creation of a rear terrace to provide a patio area,8 Glen Maye Park Glen Maye Isle Of Man IM5 3AX ,PER,24-Jun-16,16/00533/B
Erection of a mobile classroom,Ramsey Grammar School (West) Lezayre Road Ramsey Isle Of Man IM8 2RG,PER,18-Aug-16,16/00641/B
Erection of roofing over existing open yard to form covered agricultural storage area,Field 3381 Kiondhooag Higher Foxdale Isle Of Man  ,PER,19-Jul-16,16/00642/B
Installation of replacement windows to front elevation,4 Hutchinson Square Douglas Isle Of Man IM2 4HU,PER,06-Sep-16,16/00643/B
Alterations and extension to dwelling and enclosure of existing gateway (amendments to PA 14/00246/B),The Lodge Great Meadow Castletown Isle Of Man IM9 4EB ,PER,07-Sep-16,16/00823/B
Extension and alterations,6 Reayrt Lhean Castletown Isle Of Man IM9 1HQ,PER,20-Sep-16,16/00845/B
Erection of extension to and re-roofing of existing swimming pool,Middle Field Glen Road Colby Isle Of Man IM9 4HW,PER,21-Sep-16,16/00927/B
Replacement roof to rear annex.,19 Queen Margaret Road Glen Vine Isle Of Man IM4 4ET,PER,04-Nov-16,16/01063/B
Store room extension.,Arden Court 50 Majestic View Onchan Isle Of Man IM3 2JN ,PER,04-Nov-16,16/01114/B
Conversion of existing office accommodation into an apartment,Second Floor Office  Kermode House 74 Parliament Street Ramsey Isle Of Man IM8 1AQ,PER,12-Apr-16,16/00039/B
"Alterations to form a dwelling including repair and renewal of roof, construction of new floor, alterations to internal layout, installation of French doors, replacement windows and doors, external decoration and creation of new vehicular access and drive",Ballagawne Gatekeeper's Cottage  Mount Gawne Road Colby Isle Of Man  ,PER,07-Sep-16,15/01389/GB
Additional use of residential dwelling as tourist accommodation,Balley Beg 23A Douglas Street Peel Isle Of Man IM5 1BA ,PER,21-Nov-16,16/01166/C
"Additional use of dwelling for tourist letting,",43 Cooil Drive Douglas Isle Of Man IM2 2HD,PER,15-Nov-16,16/01168/C
Erection of sun room to replace existing conservatory on side elevation,Lhag-Ny-Darragh Glen Auldyn Ramsey Isle Of Man IM7 2AF ,PER,15-Dec-16,16/01266/B
Creation of new field access and gate,Field 330836 Raby Farm  Main Road Glen Maye Isle Of Man  ,PER,12-Apr-16,15/01327/B
Erection of a detached games room / gym to rear of property,The Priory Belmont Road Douglas Isle Of Man IM1 4NR ,PER,24-Mar-16,16/00146/B
Erection of an extension,Sunnymead Bibaloe Beg Road Onchan Isle Of Man IM4 5AD,PER,11-Aug-16,16/00648/B
Erection of a detached dwelling with integral garage,Plot 6 St Patricks View Jurby Isle Of Man IM7 3EX ,PER,05-Sep-16,16/00781/B
Extension to existing skate park (retrospective),Cronk Grianagh Park Strang Douglas Isle Of Man  ,PER,07-Sep-16,16/00789/B
Conversion of garage into additional living accommodation,Lower Ballachrink Abbey Lane Ballaragh Road Laxey Isle Of Man IM4 7PH,PER,13-Oct-16,16/00791/B
Extension to existing staff car park to provide additional parking spaces,Marown Primary School Glen Darragh Road Glen Vine Isle Of Man IM4 4RD ,PER,24-Aug-16,16/00792/B
Installation of replacement windows to front bay window,24 Mona Street Douglas Isle Of Man IM1 2QD,PER,16-May-16,16/00254/B
Construction of concrete plinths for the relocation of an existing silo for water storage and erection of a pump house to be located adjacent to water silo,Land At Isle Of Man Creamery Ballafletcher Farm Road Cronkbourne Douglas Isle Of Man IM4 4QE ,PER,11-May-16,16/00363/B
Erection of a temporary greenhouse associated with the botanical gardens,Ballachrink Farm Old Castletown Road Santon Isle Of Man IM4 1HD,PER,11-May-16,16/00365/B
Installation of signage to outside seating area barriers,Vino 1 Quines Corner Douglas Isle Of Man IM1 4LF ,PER,26-May-16,16/00445/D
Additional use of residential dwelling as tourist living accommodation,27 Close Famman Port Erin Isle Of Man IM9 6BL ,PER,19-Jul-16,16/00666/C
"Alterations, erection of extension and creation of a dormer window",Sea Peep Poortown Road Peel Isle Of Man IM5 1QG,PER,21-Jul-16,16/00667/B
"Registered Building Consent for alterations to form a dwelling including repair and renewal of roof, construction of new floor, alterations to internal layout, installation of French doors, replacement windows and doors, external decoration and creation o",Ballagawne Gatekeeper's Cottage  Mount Gawne Road Colby Isle Of Man  ,PER,07-Sep-16,15/01390/CON
"Alterations, creation of accesses, raised decking and installation of an electronic chair lift",12 Governors Road Onchan Isle Of Man IM3 1AU,PER,18-Aug-16,16/00653/B
Erection of a front porch,Ballachrink Beg Cottage Grove Mount Ramsey Isle Of Man IM8 3HP,PER,14-Oct-16,16/01014/B
Extension to rear of property.,Glenfaba 17 Mountain View Peel Isle Of Man IM5 1QF ,PER,02-Nov-16,16/01127/B
Replacement windows to the attic and rooflight (retrospective),21 Woodburn Square Douglas Isle Of Man IM1 4DE ,REF,05-Sep-16,16/00793/B
Installation of a flue,27 Close Famman Port Erin Isle Of Man IM9 6BL ,PER,07-Sep-16,16/00832/B
"Installation of replacement rear door, window, front fascia boards and guttering (in association with 16/01092/CON)",23 Governors Road Onchan Isle Of Man IM3 1AY,PER,18-Nov-16,16/01091/GB
