"PA Ref","Proposal","Property Address","Decision","Decision Issued","Year"
"16/00694/B","Installation of height restrictor to replace existing","Mcdonalds Peel Road Douglas Isle Of Man IM1 5ED ","PER","28-Jul-16","2016"
"16/00879/D","Installation of illuminated and non-illuminated signage","Isle Of Man Bank 2 - 4 Regent Street Douglas Isle Of Man IM1 2EA ","PER","20-Sep-16","2016"
"16/01227/CON","Alteration and refurbishment works (in connection with 16/01226/GB).","Lighthouse Douglas Head Douglas Isle Of Man IM1 5BP ","PER","14-Dec-16","2016"
"16/01273/B","Installation of new flue","39 Birch Hill Avenue Onchan Isle Of Man IM3 4ES","PER","15-Dec-16","2016"
"16/00032/B","Erection of two units for general industrial use with associated parking and hard-standing areas and access","Former Abattoir Site  Ballafletcher Farm Road  Cronkbourne Douglas Isle Of Man IM4 4QE ","PER","26-Feb-16","2016"
"16/00473/B","Erection of a statue","St Patricks Church / Hall Grounds Patrick Street Peel Isle Of Man IM5 1BR","PER","06-Jun-16","2016"
"16/00475/B","Extension of existing driveway and vehicular access","7 Hillberry Close Douglas Isle Of Man IM2 6HP","PER","27-Jun-16","2016"
"16/00476/B","Erection of an extension with raised patio to dwelling","Prenton Cottage Main Road Glen Vine Isle Of Man IM4 4BG","PER","25-Jul-16","2016"
"16/00955/B","Creation of window and Installation of frosted glass window to upper rear of the house in en-suite shower room","Lower Ballacollister Ballacollister Road Laxey Isle Of Man IM4 7JR","PER","28-Sep-16","2016"
"16/00971/B","Replacement roof to rear annex","8 Greyfriars Close Ballabeg Castletown Isle Of Man IM9 4EJ","PER","29-Sep-16","2016"
"16/01141/B","Extension to dwelling.","17 Faaie-Ny-Cabbal Kirk Michael Isle Of Man IM6 2HS","PER","09-Dec-16","2016"
"16/00477/B","Installation of a heat pump to rear elevation of dwelling","3 School Close Jurby Isle Of Man IM7 3BJ","PER","17-Jun-16","2016"
"15/01340/B","Erection of a polytunnel","Ballachrink Beg Cottage Grove Mount Ramsey Isle Of Man IM8 3HP","PER","26-Jan-16","2016"
"16/00324/B","Conversion of existing residential accommodation above retail units into three apartments (comprising amendments to PA 15/01047/B)","44,46,48 Broadway Douglas Isle Of Man IM2 4EW","PER","16-May-16","2016"
"16/00327/B","Removal of chimney stack","Knotty Ash Strang Road Union Mills Isle Of Man IM4 4NW","PER","25-May-16","2016"
"15/01296/B","Erection of three detached dwellings with integral garaging and off road car parking","Upper Hillside  Vernon Road Ramsey Isle Of Man IM8 2EG","PER","28-Jan-16","2016"
"15/01337/B","Alterations, installation of replacement windows, replacement of rear ground floor bathroom with a conservatory and roof light alterations to dwelling","6 Circular Road Peel Isle Of Man IM5 1ND","PER","12-Jan-16","2016"
"15/01338/B","Erection of an entrance canopy","Corrins Court  Heywood Avenue Onchan Isle Of Man IM3 3AP ","PER","15-Jan-16","2016"
"16/00107/B","Rendering works to dwelling","Sam's Barn Thie Eirinagh Ballaragh Road Lonan Isle Of Man  ","PER","09-Mar-16","2016"
"16/00109/B","Erection of a replacement detached garage","Braeside Dreemskerry Road Maughold IM7 1BL ","PER","09-Mar-16","2016"
"16/00682/B","Erection of a conservatory","4 Orrys Close Douglas Isle Of Man IM2 7AG","PER","26-Jul-16","2016"
"16/00683/B","Replacement of existing glazed conservatory roof with tiles","2 Royal Avenue West Onchan Isle Of Man IM3 1HB","PER","26-Jul-16","2016"
"16/00685/D","Installation of illuminated and non-illuminated signage","60 Strand Street Douglas Isle Of Man IM1 2EL ","PER","21-Sep-16","2016"
"16/00686/B","Alterations and erection of an extension","The Sidings Station Road Castletown Isle Of Man IM9 1EF","PER","09-Aug-16","2016"
"16/00244/B","Alterations and extensions to dwelling and enlargement of existing on-site parking area and vehicular access","3 Pairk Beg Port Erin Isle Of Man IM9 6NH","PER","11-Aug-16","2016"
"16/00571/B","Conversion of garage for use as a dwelling","80 Ballabrooie Drive Douglas Isle Of Man IM1 4HE","PER","10-Nov-16","2016"
"16/00572/B","Erection of a rear extension to dwelling","8 Glen Maye Park Glen Maye Isle Of Man IM5 3AX ","PER","18-Aug-16","2016"
"16/00573/B","Conversion of existing retail unit to additionally provide the sale of hot food and drink for consumption on and off the premises, creation of an indoor seating area and installation of an external flue","W Desmond Fish Shop 23 Parliament Street Ramsey Isle Of Man IM8 1AS","PER","05-Aug-16","2016"
"16/00574/A","Approval in principle for the erection of a replacement dwelling","Claddagh Mill House Sulby Bridge Sulby Isle Of Man IM7 2EZ","PER","11-Jul-16","2016"
"16/00714/B","Alteration to existing ground floor apartment and first floor extension over ground floor outlet to create a dwelling. (Amendment to 15/00653/B).","Garthleigh 1 Clifton Terrace Douglas Isle Of Man IM2 3HU","PER","05-Aug-16","2016"
