"PA Ref","Proposal","Property Address","Decision","Decision Issued","Year"
"17/00337/GB","Demolition of structures in poor state, construction of garage, new driveway and conversion of outbuildings in to residential accommodation including glazed extension (in connection with registered building application 17/00338/CON)","Outbuildings Glynmoar House Glen Mooar Road St Johns Isle Of Man IM4 3AQ ","WDN","08-Dec-22","2022"
"17/00338/CON","Registered Building application for demolition of structures in poor state, construction of garage, new driveway and conversion of outbuildings in to residential accommodation including glazed extension - RB 268 (in connection with application 17/00337/GB","Outhouses Glynmoar House Glen Mooar Road St Johns Isle Of Man IM4 3AQ ","WDN","08-Dec-22","2022"
"17/01307/B","Installation of an extractor system (retrospective)","16 Michael Street Peel Isle Of Man IM5 1HB","PER","29-Mar-22","2022"
"20/00368/B","Erection of an entrance gateway and alterations to courtyard to provide outside seating area and access ramps","Kizuna (formerly Harbour Mews) Parliament Square Castletown Isle Of Man IM9 1LA ","WDN","09-Dec-22","2022"
"20/00837/B","Restoration of existing silt store to create and maintain a permanent facility for storage and monitoring of dredged material from Peel Marina","Poortown Silt Store Poortown Road Peel Isle Of Man  ","WDN","25-Apr-22","2022"
"20/01080/B","Residential development of 138 dwellings with associated drainage, highway works and public open space","Land At Lower Milntown (Fields 134278, 134279, 134280, 134281, 134282, 134283, 134284, 134288 & 134289) And Strip Of Land Between Auldyn River & Auldyn Meadows, Off Lezayre Road, Lezayre & Ramsey Isle Of Man  ","REF","04-May-22","2022"
"20/01095/B","Erection of two storey extension to rear elevation and the creation of rear garden terracing","Cilcen The Hope St. Johns Isle Of Man IM4 3AT ","PER","29-Mar-22","2022"
"20/01192/B","Erection of agricultural building","Ballalonna Farm Dalby Isle Of Man IM5 3BW ","WDN","11-May-22","2022"
"20/01297/B","Creation of access tracks across agricultural fields","Fields 314218, 314225, 314220, And 314219 Staarvey Road Peel Isle Of Man  ","REF","19-May-22","2022"
"20/01390/B","Erection of 3 detached dwellings","Land Adjacent To Arbory Vicarage Main Road Ballabeg Castletown Isle Of Man IM9 4EE ","REF","07-Jan-22","2022"
"20/01467/B","Erection of a building to provide exhibition space, retail, apartments and restaurant with associated parking spaces (relating to PA 19/00373/A)","The Former Marine Biological Station Breakwater Road Port Erin Isle Of Man IM9 6JA ","PER","13-Sep-22","2022"
"20/01525/B","Conversion of residential dwelling (class 3.3) to a House of Multiple Occupancy (class 3.5)","9 Windsor Road Douglas Isle Of Man IM1 3LD","REF","21-Apr-22","2022"
"21/00036/B","Conversion of existing stable, store and kennel buildings to provide 12 tourist accommodation units (class 3.6), wellness spa (Class 4.1), caf (class 1.3) and a residential apartment (class 3.4) with associated parking and access, creation of an equestri","Oatlands Farm Oatlands Road Santon Isle Of Man IM4 1ED ","PER","16-May-22","2022"
"21/00051/B","Installation of a marquee to provide weatherproof storage for plant and machinery","DoI Depot  Litts Site East Baldwin Braddan IM4 5EW","WDN","28-Jan-22","2022"
"21/00064/B","Conversion of residential care home (class 3.2) to self-contained apartments & a dwelling (class 3.3 and 3.4) with associated parking","Glen House Residential Home New Road Laxey Isle Of Man IM4 7BE","PER","13-Dec-22","2022"
"21/00106/B","Erection of 26 two bed apartments and 6  one bed apartments with associated car parking, vehicle access and landscaping","Land At Snugborough Farm Cronk Gennal Union Mills Isle Of Man  ","PER","28-Jan-22","2022"
"21/00163/B","Erection of a detached dwelling with alterations to associated residential curtilage","Ballacroak Farm Mullinaragher Road St Marks Ballasalla Isle Of Man IM9 3AQ","WDN","27-Jan-22","2022"
"21/00228/A","Approval in principle for the erection of a sports centre comprising 50m swimming pool, 60m running track, sports hall and gym with changing facilities with associated parking addressing siting, access, design and external appearance","Field West Of Junior House King Williams College Grounds Castletown Isle Of Man IM9 1TP ","PER","31-May-22","2022"
"21/00278/B","Erection of 23 dwellings with associated access, parking, open space and landscaping","Field No.210401 Ballagarraghyn Bretney Road Jurby Isle Of Man","PER","02-Sep-22","2022"
"21/00322/B","Erection of a two storey self- storage facility with associated loading and unloading bays","Southwest Of Unit 298A Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ","PER","23-Feb-22","2022"
"21/00365/A","Approval in principle for the erection of 1 detached bungalow addressing means of access","Field 312909 And 312711 Main Road St Johns Isle Of Man  ","PER","03-Oct-22","2022"
"21/00386/B","Amendments to residential property (Dwelling One) of approved PA 18/00718/B, Alterations and extensions to create two dwellings from existing house and barns (retrospective).","Ballacallin Beg Cottage Foxdale Road Garth Crosby Isle Of Man IM4 2HN","PER","19-Dec-22","2022"
"21/00408/B","Variation of conditions 1 & 2 of PA 18/00763/A, Approval in principle for the construction of five dwellings addressing means of access, to extend the period of permission by two years","Part Of Field 214287 The Threshold Jurby Isle Of Man  ","PER","07-Jan-22","2022"
"21/00438/B","Creation of living accommodation","Stables Ballaclucas Farm Top Road Crosby Isle Of Man IM4 4HN ","WDN","07-Jan-22","2022"
"21/00510/B","Retrospective application regarding the erection of mast and other structures in connection with PA 19/00129/B","Carnane (former) BBC Transmitter Site Old Castletown Road Douglas Isle Of Man IM4 1AB ","PER","18-Feb-22","2022"
"21/00620/B","Conversion of 2 existing flats into 4 residential apartments with additional tourist use and change of use of basement to an office","2 Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH ","REF","17-Jan-22","2022"
"21/00682/B","Erection of equestrian stables","Field 321619 Foxdale Road Garth Crosby Isle Of Man IM4 2HL","REF","17-Feb-22","2022"
"21/00694/B","Erection of a dwelling with associated features","Ballaoates Farm Ballavagher Road St Johns Isle Of Man IM4 3JE","WDN","07-Mar-22","2022"
"21/00717/B","Erection of a single storey extension to side elevation","27 Cannan Court Kirk Michael Isle Of Man IM6 1FA ","PER","18-Mar-22","2022"
"21/00728/B","Alterations, erection of two storey extensions, creation of balcony and extension of existing side balcony","White Cottage King Edward Road Onchan Isle Of Man IM3 2JY ","PER","04-Jan-22","2022"
"21/00731/B","Creation of Civic Amenity Site","Recycling And Storage Compound Richmond Hill Douglas Isle Of Man IM4 1JH ","PER","25-Feb-22","2022"
"21/00737/B","Erection of a detached dwelling","Vacant Plot (Plot 3)  Plot Adjacent To Hazelwood House Ballaragh Road Laxey IM4 7PH","PER","29-Mar-22","2022"
"21/00764/B","Alterations and erection of extension to main dwelling, including the conversion of existing garage/store for tourist accommodation (B&B) and demolition of existing stable building and replaced with a garage.","Barony View Glen Mona Loop Road Glen Mona Ramsey Isle Of Man IM7 1HG","PER","17-Mar-22","2022"
"21/00772/B","Erection of a fence (retrospective)","14 Aspen Drive Ballawattleworth Peel Isle Of Man IM5 1WT ","PER","14-Feb-22","2022"
"21/00778/C","Change of use of lower ground floor to tourist accommodation","Cregg Mill Silverdale Road Ballasalla Isle Of Man IM9 3DS","PER","19-Oct-22","2022"
"21/00780/B","Erection of a detached dwelling with associated vehicular access and off road parking","South West Of Oatland Bungalow (Cottage) Oatlands Road Andreas Isle Of Man IM7 4ER ","PER","28-Jan-22","2022"
"21/00785/B","Erection of new entrance gate piers and walls to existing vehicular access (partial retrospective)","Carrick Sulby Glen Sulby Isle Of Man IM7 2AZ ","PER","27-Oct-22","2022"
"21/00796/B","Creation of new vehicle access, erection of boundary fence and landscaping","Close Jairg Beg Old Church Road Crosby Isle Of Man IM4 2HA","REF","24-Jun-22","2022"
"21/00797/B","Creation of new vehicle driveway with parking/ turning area.","Cliff View Pinfold Hill Laxey Isle Of Man IM4 7HL","WDN","25-Feb-22","2022"
"21/00799/B","Alterations, erection of double garage with living space above and erection of extension to lower ground floor","Geay Varrey Clay Head Road Baldrine Isle Of Man IM4 6DL","PER","17-Jan-22","2022"
"21/00821/B","Creation of a driveway and vehicular access","37 Bemahague Avenue Onchan Isle Of Man IM3 4AP","PER","19-May-22","2022"
"21/00827/B","Conversion from a retail/leisure to a restaurant (class 1.3)","Villa Marina Colonnade Unit 1-3 Villa Marina Arcade Douglas Isle Of Man IM1 2HN ","REF","23-Feb-22","2022"
"21/00840/B","Erection of a detached dwelling with integral garage","Plot Rear Of Sundown And East Of 129 Dreeym Beary Douglas Isle Of Man IM2 5LE ","PER","17-Mar-22","2022"
"21/00843/C","Additional use of agricultural land as a vehicle operational centre","Ballaquaggan Farm Douglas Road Ballasalla Isle Of Man IM9 3AD ","WDN","14-Dec-22","2022"
"21/00847/A","Approval in principal to develop six town houses","Site To Rear Of Queens Hotel Switzerland Road Douglas Isle Of Man  ","REF","04-Jan-22","2022"
"21/00857/B","Erection of a dwelling","Pound Lane Depot Castletown Road Port St. Mary Isle Of Man IM9 5LT","REF","29-Mar-22","2022"
"21/00858/B","Erection of a detached dwelling with integral garage","Plot South Of Shandrum And Adjacent To Existing Stables / Agricultural Building Glen Auldyn Ramsey Isle Of Man IM7 2AF ","PER","03-Feb-22","2022"
"21/00883/GB","Alterations and conversion of existing garage to rear elevation into parking spaces and internal alterations (in association with PA 21/00886/CON, RB 187)","7 Victoria Terrace Douglas Isle Of Man IM2 4EU","PER","05-Jan-22","2022"
"21/00886/CON","Alterations and conversion of existing garage to rear elevation into parking spaces and internal alterations (in association with PA 21/00883/GB, RB 187)","7 Victoria Terrace Douglas Isle Of Man IM2 4EU","PER","05-Jan-22","2022"
"21/00893/B","Erection of proposed single storey extension to rear elevation of dwelling","Greenhill Jurby Road Andreas Isle Of Man IM7 2EJ ","PER","25-Feb-22","2022"
"21/00898/B","Erection of ancillary timber cabin and widening of existing vehicle access","Land View Strang Hill Strang Douglas Isle Of Man IM4 4NX ","PER","06-Apr-22","2022"
"21/00904/B","Conversion of barn to provide garaging, storage, space for the running of a business and ancillary living accommodation","Ballamoar Farm Doarlish Ard Foxdale Isle Of Man IM4 3BH ","PER","18-Mar-22","2022"
"21/00918/B","Construction of decking (retrospective)","Flat 1 8 Fort William Head Road Douglas Isle Of Man IM1 5BQ ","PER","07-Feb-22","2022"
"21/00935/CON","Registered Building consent for electrical and plumbing refit at second floor level, and alterations to the floor layout at second floor level and to the rear of the ground floor kitchen","Glen Mooar House Glen Mooar Road St Johns Isle Of Man IM4 3AQ ","PER","01-Mar-22","2022"
"21/00950/B","Alterations and erection of a new dwelling with associated access","1 Harcroft Meadow Douglas Isle Of Man IM2 1JS ","WDN","07-Nov-22","2022"
"21/00957/B","Erection of a stable block, creation of associated paddock / hard standing and widening of access","Field 321618 Garth Road Crosby Isle Of Man IM4 2HB ","REF","18-May-22","2022"
"21/00961/B","Creation of a vehicular access","Lower Playing Field Nobles Park Adjacent To St Ninians Road Douglas Isle Of Man  ","REF","03-Feb-22","2022"
"21/00963/B","Conversion of existing workshop into ancillary accommodation (part retrospective)","Seacliffe Old Castletown Road Port Soderick Isle Of Man IM4 1BB ","PER","24-Mar-22","2022"
"21/00967/LAW","Certificate of Lawful development for the installation of replacement windows","Mannanan House Market Square Castletown Isle Of Man  ","CLAWA","17-Mar-22","2022"
"21/00986/B","Increase of residential curtilage","Yn Thie My Chree 36 Mines Road Laxey Isle Of Man IM4 7NH ","PER","03-Feb-22","2022"
"21/00992/B","Erection of four detached dwellings with garages and associated access road","Ashwood Ballamenagh Road Baldrine Isle Of Man IM4 6AL","WDN","05-May-22","2022"
"21/00993/CON","Registered Building consent for demolition of building (retrospective)","Auldyn House 24 Parliament Street Ramsey Isle Of Man IM8 1AP","PER","08-Nov-22","2022"
"21/01003/B","Alterations, erection of rear extension with terrace above, installation of a rear dormer and creation of a window to side elevation","21 Cronkbourne Avenue Douglas Isle Of Man IM2 3LA","PER","29-Mar-22","2022"
"21/01005/B","Demolition of 22 Parliament Street and 6 West Quay","22 Parliament Street And  6 West Quay Ramsey IM8 1AP","PER","08-Nov-22","2022"
"21/01006/CON","Registered Building consent for demolition elements to PA 21/01005/B","22 Parliament Street And  6 West Quay Ramsey IM8 1AP","PER","08-Nov-22","2022"
"21/01007/B","Creation of raised decking with glazed screening for external seating area","The Barbary Coast Douglas Chambers North Quay Douglas Isle Of Man IM1 4LA ","PER","25-Mar-22","2022"
"21/01008/B","Alterations including the removal of a chimney stack, replacement of existing roof tiles, alterations to roof pitch, and window alterations","Westville Tynwald Road Peel Isle Of Man IM5 1JN","PER","07-Jan-22","2022"
"21/01011/B","Installation of a replacement front door","Raldis Dandy Hill Port Erin Isle Of Man IM9 6HN","PER","18-Feb-22","2022"
"21/01017/B","Erection of an extension to side elevations and installation of replacement roof tiles","Ravensdale Strang Road Union Mills Isle Of Man IM4 4NW","PER","12-Apr-22","2022"
"21/01021/B","Removal of rear chimney stacks and rebuilding of front chimney stacks associated with Nos. 12 Westminster Terrace, which are located within roof spaces of Nos. 13 & Nos. 11 Westminster Terrace, and re-roofing works","13, 12 & 11 Westminster Terrace Douglas Isle Of Man IM1 4ED","PER","23-Feb-22","2022"
"21/01025/B","Erection of extension to existing warehouse and remodelling of service yard and overflow car park (Alterations to PA 19/01130/B)","Tesco Store Lake Road Douglas Isle Of Man IM1 5AF","PER","21-Mar-22","2022"
"21/01026/B","Erection of a detached agricultural building","Mylvoirrey Glen Road Ballaugh Isle Of Man IM7 5JD","PER","23-Feb-22","2022"
"21/01034/B","Erection of a ground floor and first floor extension with associated first floor balcony","Geay Varrey Four Roads Port St. Mary Isle Of Man IM9 5LQ","PER","04-Feb-22","2022"
"21/01036/B","Erection of a detached shed/boathouse","No.5 Balnahow Farm Cottage Balnahow Farm Balnahowe Santon Isle Of Man IM4 1HN","PER","10-May-22","2022"
"21/01042/B","Widening of a vehicular access","Dreem Faaie Ballacraine St Johns Isle Of Man IM4 3LS ","PER","17-Jan-22","2022"
"21/01044/B","Erection of a First Floor rear dormer","17 Birch Hill Grove Onchan Isle Of Man IM3 4EL","PER","18-Jan-22","2022"
"21/01048/MCH","Minor Change application to PA 99/00963/B involving replacement of existing fire exit door with uPVC fire exit window and removal of existing external staircase","Seacliffe Old Castletown Road Port Soderick Isle Of Man IM4 1BB ","WDN","22-Aug-22","2022"
"21/01050/C","Change of use of land from agricultural to dog walking field","Field 321821 Ballanicholas Garth Crosby Isle Of Man  ","PER","20-Jan-22","2022"
"21/01052/B","Alterations, erection of ground floor extensions and creation of a first floor to dwelling","7 Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QJ","PER","28-Jan-22","2022"
"21/01055/GB","Renovation of dwelling to include re roofing & removal of side porch (in association with PA 21/01056/CON) RB.171","Old School House Main Road Sulby Isle Of Man IM7 2HP ","PER","21-Feb-22","2022"
"21/01056/CON","Registered Building Consent for renovation of dwelling to include re roofing & removal of side porch (in association with PA 21/01055/GB) RB.171","Old School House Main Road Sulby Isle Of Man IM7 2HP ","PER","18-Feb-22","2022"
"21/01057/B","Alterations, erection of extension with balcony above and installation of a dormer","5 Ballagarey Close Glen Vine Isle Of Man IM4 4EG ","PER","13-Jan-22","2022"
"21/01058/B","Erection of detached garage/carport","Old School House Main Road Sulby Isle Of Man IM7 2HP ","PER","06-Jan-22","2022"
"21/01059/B","Alterations and erection of stables","Strenaby Farm Lonan Church Road Laxey Isle Of Man IM4 7JX","PER","07-Jan-22","2022"
"21/01060/B","Creation of off road parking area (part retrospective)","21 Birch Hill Avenue Onchan Isle Of Man IM3 4EP","REF","25-Feb-22","2022"
"21/01061/B","Erection of two cattle shelters and two silage pits","Field 310653 And 310651 Staarvey Road Peel Isle Of Man  ","PER","07-Feb-22","2022"
"21/01062/B","Erection of a detached dwelling with integral garage","Plot West Of 10 Westlands Close Ramsey Isle Of Man IM8 3PU ","PER","25-Mar-22","2022"
"21/01063/B","Erection of a detached dwelling","Plot To Rear Of Greenmantle Dreeym Beary Douglas Isle Of Man  ","PER","02-Mar-22","2022"
"21/01067/B","Replacement of existing conservatory with a larger single storey side extension (amendment to PA 19/01215/B)","42 Close Famman Port Erin Isle Of Man IM9 6BJ","PER","28-Jan-22","2022"
"21/01072/B","Alterations and erection of two storey extensions to dwelling","Dromderrig Howe Road Port St. Mary Isle Of Man IM9 5LB","PER","25-Feb-22","2022"
"21/01079/B","Creation of driveway and vehicular access","4 Mines Road Foxdale Isle Of Man IM4 3ET","PER","15-Jul-22","2022"
"21/01081/B","Erection of an agricultural building to replace existing buildings","Site Adjacent Rheayrt Ny Cronk Balleira Road Kirk Michael Isle Of Man IM6 1EE","PER","30-Mar-22","2022"
"21/01082/B","Alterations and erection of ground and first floor extensions","35 Cronk Drean Douglas Isle Of Man IM2 6AU","PER","10-Jan-22","2022"
"21/01084/B","Alterations and erection of an extension to the rear elevation","8 Glenfaba Road Peel Isle Of Man IM5 1BU","PER","26-Aug-22","2022"
"21/01093/B","Alterations including replacement and removal of windows and patio doors, removal of 2 chimney stacks, removal of existing front porch and extension to existing patio","Clarecourt Marathon Road Douglas Isle Of Man IM2 4HL ","PER","08-Feb-22","2022"
"21/01096/B","Alterations and erection of a 2 storey extension to side elevation","12 Devonshire Crescent Douglas Isle Of Man IM2 3RD","PER","10-Jan-22","2022"
"21/01099/B","Replacement of shopfront & windows on the front & rear elevations","59 Strand Street Douglas Isle Of Man IM1 2EN","PER","10-Jan-22","2022"
"21/01102/B","Strengthening of the existing river wall and construction of a glass flood wall along the edge of the river to provide flood protection","Shore Hotel River Wall  Glen Road Laxey IM4 7DA","PER","21-Mar-22","2022"
"21/01105/B","Installation of pitched roof, erection of porch, window / doorway alterations, revised building access and car parking provision and landscaping","Methodist Church Hall Station Road Port Erin Isle Of Man IM9 6AB ","PER","18-Feb-22","2022"
"21/01108/B","Extend second floor of existing office building to create additional staff amenity space and remove external porch","Park House Isle Of Man Business Park Douglas Isle Of Man IM2 2SA","PER","21-Mar-22","2022"
"21/01113/A","Approval in principle for the erection of a new dwelling addressing siting, design, and means of access","Field 614795 Ballamenagh Road Baldrine Isle Of Man  ","REF","11-May-22","2022"
"21/01119/B","Erection of building with commercial/retail use at ground floor and 5 apartments above","1, 1A And 2 Marina Road  Douglas Isle Of Man IM1 2HD","PER","29-Mar-22","2022"
"21/01122/B","Creation of fenced children's playground with play equipment","Public Open Space Auldyn Meadow Drive Auldyn Meadow Ramsey Isle Of Man IM8 2TR ","PER","25-Feb-22","2022"
"21/01124/B","Alterations, erection of first floor extension and erection of a detached garage","Ballakelly Cottage Ballakilpheric Colby Isle Of Man IM9 4BT ","REF","29-Sep-22","2022"
"21/01130/CON","Registerd Building consent for demolition elements to PA 21/01119/B","1, 1A And 2 Marina Road  Douglas Isle Of Man IM1 2HD","WDN","26-Jul-22","2022"
"21/01133/B","Erection of a rear extension","1 Manor Woods Douglas Isle Of Man IM2 2PE ","PER","08-Feb-22","2022"
"21/01134/B","Erection of a replacement dwelling and a detached garage","Little Mill Bungalow Little Mill Road Onchan Isle Of Man IM4 5BD","PER","12-May-22","2022"
"21/01137/C","Additional use of dwelling as tourist living accommodation","Garey Beg Upper Ballastrooan Colby Isle Of Man IM9 4NR","PER","15-Feb-22","2022"
"21/01139/B","Alterations and erection of an extension to dwelling and creation of integral garage","The Close Bernahara Road Andreas Isle Of Man IM7 2EL ","PER","20-Jan-22","2022"
"21/01140/B","Creation of a roof terrace with glazed screening to rear elevation","10 Osborne Grove Douglas Isle Of Man IM1 3LE","REF","17-Jan-22","2022"
"21/01141/CON","Registered Building consent for demolition elements to PA 21/01140/B","10 Osborne Grove Douglas Isle Of Man IM1 3LE","REF","08-Feb-22","2022"
"21/01156/MCH","Minor Change application to PA 20/00438/B involving replacing garage door with a doorway","48 Groudle Road Onchan Isle Of Man IM3 2EE ","WDN","21-Mar-22","2022"
"21/01158/B","Erection of extension and creation of an additional window to dwelling","22 Kerroocruin Kirk Michael Isle Of Man IM6 1AG ","PER","06-Jan-22","2022"
"21/01159/B","Erection of a first floor extension","Elder Grange Nursing Home Fuchsia Lane Douglas Isle Of Man IM2 7EB","PER","13-Jan-22","2022"
"21/01161/A","Approval in principle for the erection of a new dwelling, closing up of existing access, creation of new access and demolition of part of The Bungalow, addressing details of the means of access","The Bungalow Ballamanagh Road Sulby Isle Of Man IM7 2HB","REF","10-May-22","2022"
"21/01162/B","Replacement of existing front windows with Sliding Sash uPVC windows and uPVC casement windows at the rear","8 Osborne Grove Douglas Isle Of Man IM1 3LE","PER","08-Feb-22","2022"
"21/01163/B","Installation of two windows to North East elevation","Blubell House  Braaid Farm Braaid Road Braaid Isle Of Man IM4 2AW ","PER","15-Feb-22","2022"
"21/01169/B","Construction of a flood wall, reconstruction of highway and drainage system","West Quay Ramsey Isle Of Man  ","WDN","10-Jan-22","2022"
"21/01170/B","Erection of new stable block with associated access, fencing and landscaping","Field No. 331996 To The Rear Of  Ballahutchin Beg Main Road Dalby IM5 3BR","PER","15-Feb-22","2022"
"21/01175/B","Variation of condition 1 of approval for Demolition of existing dwellings, garage and outbuildings and erection of four dwellings (PA 17/00006/B) to extend permission for a further 4 years","Cliffside And End Cafe The Promenade Laxey Isle Of Man IM4 7DD ","WDN","11-May-22","2022"
"21/01177/B","Alterations, erection of extensions and creation of garage door to rear elevation","5 Somerset Road Douglas Isle Of Man IM2 5AD","PER","01-Mar-22","2022"
"21/01178/CON","Registered Building consent for the demolition elements relating the application 21/01177/B","5 Somerset Road Douglas Isle Of Man IM2 5AD","PER","01-Mar-22","2022"
"21/01183/B","Erection of front and side extensions","Craglea Lodge Belle Vue Peel Isle Of Man IM5 1UH ","PER","16-Feb-22","2022"
"21/01184/B","Alterations and erection of extension to existing dwelling and erection of a detached garage","Cruachan Highfield Drive Baldrine Isle Of Man IM4 6EE","PER","30-Mar-22","2022"
"21/01187/B","Erection of a cabin to be used as a hobby room","The Firs 27 First Avenue Douglas Isle Of Man IM2 6AZ","PER","08-Feb-22","2022"
"21/01188/B","Variation of condition 1 of approval for Creation of three new dwellings with associated golf club car park and access alterations/improvements (PA 16/01173/B) to extend permission for a further 4 years","Ramsey Golf Links Brookfield Avenue Ramsey Isle Of Man IM8 2AH","PER","16-Feb-22","2022"
"21/01189/B","Alterations, erection of rear extension, replacement entrance porch to side, new boundary treatment to North and installation of a heat pump","33 Copse Hill Douglas Isle Of Man IM2 1NE","PER","04-Feb-22","2022"
"21/01190/B","Variation of condition 1 of approval for Replacement of existing up and over garage door with sectional garage door (PA 17/01058/B) to extend permission for a further 2 years","26 Woodburn Square Douglas Isle Of Man IM1 4DE ","PER","08-Feb-22","2022"
"21/01193/B","Alterations, installation of roof dormer windows","15 Second Avenue Douglas Isle Of Man IM2 6AW","PER","25-Jan-22","2022"
"21/01199/B","Conversion of ground floor retail to a hot food takeaway (class  1.4) and installation of rear air intake and ventilation flue","62 Duke Street Douglas Isle Of Man IM1 2AR","PER","25-Jan-22","2022"
"21/01200/B","Creation of an entrance canopy and resurfacing of car parking and marking out car parking spaces","Unit 16A Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH ","PER","18-Feb-22","2022"
"21/01201/B","Conversion and extension of outbuilding to provide ancillary living accommodation","Ballacoraige House Cronk Road Ballaugh Isle Of Man IM7 5AT","WDN","12-Apr-22","2022"
"21/01202/B","Landscaping and installation of fencing and walls","Sunny Glen Lower Rencell Hill Laxey Isle Of Man IM4 7BH","PER","08-Feb-22","2022"
"21/01204/B","Alterations and erection of a first floor extension","29 Fairway Drive Ramsey Isle Of Man IM8 2BD","PER","16-Feb-22","2022"
"21/01205/B","Erection of cheese production, butchery, and education unit (retrospective)","High Tilt Goat Farm Douglas Road Kirk Michael Isle Of Man IM6 1AS","PER","01-Mar-22","2022"
"21/01213/LAW","Certificate of Lawful Use for change from retail to residential use","25 Malew Street Castletown Isle Of Man IM9 1AD","CLAWA","18-Jan-22","2022"
"21/01215/B","Erection of an extension to rear elevation","Glen End Lezayre Road Lezayre Ramsey Isle Of Man IM7 2AJ","PER","25-Feb-22","2022"
"21/01217/A","Approval in principle for residential development","Manninagh / Dalveen Bircham Avenue Ramsey Isle Of Man IM8 2LY","REF","29-Mar-22","2022"
"21/01219/B","Erection of an agricultural storage building","Field No 224123 Palm Cottage The Curragh Ballaugh Isle Of Man IM7 5BL","PER","04-Feb-22","2022"
"21/01223/REM","Reserved matters application in association with PA 20/01401/A for the erection of a 3 storey dwelling and associated access","Land To Rear Of 6 Summerland Seamount Road Ramsey Isle Of Man IM8 2HT","PER","24-Aug-22","2022"
"21/01225/B","Extension and conversion of detached outbuilding to provide living and tourist accommodation","Ballachrink Mooar Sound Road Glen Maye Isle Of Man IM5 3BJ ","REF","02-Sep-22","2022"
"21/01230/B","Erection of an extension and replacement of existing hedges with stone wall","Kantara Little Switzerland Douglas Isle Of Man IM2 6AE","PER","12-Apr-22","2022"
"21/01231/B","Alterations and erection of an extensions to create additional living accommodation and integral garage","Seacliffe 48 Sea Cliff Road Onchan Isle Of Man IM3 2JD","PER","09-Feb-22","2022"
"21/01234/A","Approval in principle for the erection of a dwelling to replace former dwelling addressing means of access","Ballatiki Shore Road Ballaugh Isle Of Man IM7 5AZ ","PER","07-Feb-22","2022"
"21/01235/B","Erection of replacement timber cabin","Dragonfly Barn 3 Abbeylands Estate Scollag Road Abbeylands Isle Of Man IM4 5BX ","PER","23-Feb-22","2022"
"21/01236/B","Conversion of existing offices into residential accommodation","Suite 2 29 Parliament Street Ramsey Isle Of Man IM8 1AT","PER","21-Apr-22","2022"
"21/01237/B","Installation of a dormer to the rear elevation","Ballachrink 14 Peveril Avenue Peel Isle Of Man IM5 1QB","PER","14-Jan-22","2022"
"21/01239/B","Installation of three roof lights (retrospective)","4 Hilary Park Douglas Isle Of Man IM2 3EF","PER","08-Feb-22","2022"
"21/01242/C","Change of use of first floor from storage to tourist living accommodation","81 Strand Street Douglas Isle Of Man IM1 2EN","PER","25-Feb-22","2022"
"21/01243/B","Erection of a 2 storey extension to side elevation","Garey Ween Hague Drive Onchan Isle Of Man IM3 1ND","PER","09-Feb-22","2022"
"21/01244/B","Erection of front porch extension and installation of french doors to rear elevation of existing dwelling and erection of attached annex extension","Hampton Croft Clannagh Road Santon Isle Of Man IM4 2HP ","WDN","17-Nov-22","2022"
"21/01245/B","Excavation works (retrospective), alterations and erection of 2 storey extension","The Gatehouse Coutts House Summerhill Road Onchan Isle Of Man IM3 1NW ","PER","12-Sep-22","2022"
"21/01246/B","Part demolition works and creation of an off road parking area with associated access","Former United Reform Church Waterloo Road Ramsey Isle Of Man IM8 1EG ","PER","16-Feb-22","2022"
"21/01247/B","Removal of sod bank and creation of vehicular access (retrospective)","Helen May House The Cronk Ballaugh Isle Of Man IM7 5BA ","DMWDN","19-May-22","2022"
"21/01249/D","Installation of illuminated signage to front elevation","52 Athol Street Douglas Isle Of Man IM1 1JB","WDN","18-Feb-22","2022"
"21/01250/B","Installation of a polytunnel, tool shed and animal shelter","Field 124530 Ballakeil Meadow Smeale Road Andreas Isle Of Man  ","PER","01-Apr-22","2022"
"21/01252/B","Proposed new games/common room in association with the current tourist units, and creation of a new first floor tourist unit.","Ballaterson Beg  Ballaterson Manor Road Ballaugh Isle Of Man  ","REF","30-May-22","2022"
"21/01253/B","Alterations, erection of extension and creation of raised parking and vehicular access","The Mariners South Cape Laxey Isle Of Man IM4 7JB ","PER","29-Jul-22","2022"
"21/01254/B","Alterations and erection of an extension","Windrush Hillberry Road Onchan Isle Of Man IM3 3BQ","PER","01-Apr-22","2022"
"21/01256/B","Widening of access (retrospective) and the creation of additional hardstanding","1 Windermere Drive Onchan Isle Of Man IM3 2DQ","PER","21-Mar-22","2022"
"21/01258/B","Conversion and extension of existing mill building to form a single dwelling with associated landscaping, garaging and new vehicle entrance","Ballakindry Mill Ballagawne Road Ballabeg Castletown Isle Of Man IM9 4PD ","REF","24-May-22","2022"
"21/01261/B","Alterations and erection of an extension to existing dwelling and erection of a detached garage","Crag Lea Clay Head Road Baldrine Isle Of Man IM4 6DN","PER","14-Jan-22","2022"
