Decisions issued under delegated authority 1/1/17 - 31/12/17,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Enlargement of existing first floor balcony,Bibaloe View Groudle Road Onchan Isle Of Man IM3 2EZ ,PER,04-Apr-17,17/00229/B
Installation of three replacement windows to rear elevation,114 Bucks Road Douglas Isle Of Man IM1 3AH,PER,24-Jul-17,17/00638/B
Alterations and erection of extensions,St Marys School St Marys Road Douglas Isle Of Man IM2 5RB,PER,28-Jul-17,17/00639/B
Replacement of existing boundary wall and widening of existing vehicular entrance,Ballasteen Farm Andreas Village Isle Of Man  ,PER,20-Jul-17,17/00247/B
Alterations including installation of first floor dormer window,Langdale Ballaleigh Road Kirk Michael Isle Of Man IM6 1HJ,PER,09-May-17,17/00357/B
Erection of single storey extension to rear of property and creation of parking space and vehicular access off St Catherine's Drive,46 St Catherines Drive Douglas Isle Of Man IM1 4BF,PER,21-Jul-17,17/00371/B
Replacement of existing garage door with personnel door and associated works,10 Ballacriy Park Colby Isle Of Man IM9 4LT,PER,03-Jul-17,17/00442/B
Window and door alterations to both front and side elevations,Oakfield Croit E Caley Colby Isle Of Man IM9 4AP ,PER,14-Jun-17,17/00468/B
Change of use from shop to coffee shop / cafe,62 Bucks Road Douglas Isle Of Man IM1 3AE ,PER,06-Jan-17,16/01292/C
Installation of replacement windows,17 Mona Street Peel Isle Of Man IM5 1HJ,PER,16-Mar-17,17/00101/B
Erection of an extension,The Bungalow Clenagh Road Sulby Isle Of Man IM7 3AD,PER,30-Mar-17,17/00103/B
Change of use from a health clinic to a residential dwelling,1 Hawthorn Villas Mount Murray Douglas Isle Of Man IM4 1JF ,PER,17-Mar-17,17/00104/C
Demolition of existing and erection of a replacement rear extension,16 Silverburn Crescent Ballasalla Isle Of Man IM9 2DS,PER,17-Mar-17,17/00106/B
Single storey extension to south of property,Ballacannell Glen Road Colby Isle Of Man IM9 4PA,PER,19-Apr-17,17/00275/B
Erection of porch to front elevation,25 Bowness Close Onchan Isle Of Man IM3 2DJ,PER,03-May-17,17/00352/B
"Alterations, erection of extension and widening of driveway and vehicular access",1 Laurel Avenue Onchan Isle Of Man IM3 3JD,PER,13-Jun-17,17/00372/B
"Alterations, creation of doorways and access ramp to existing toilets",Public Conveniences Main Road Kirk Michael Isle Of Man IM6 1ER ,PER,26-May-17,17/00374/B
Erection of shed (retrospective),Land Adj To Burnside Glen Road Laxey Isle Of Man  ,PER,23-Jun-17,17/00497/B
Replacement of existing polycarbonate roof to annex with tiled roof,20 Ard Reayrt Laxey Isle Of Man IM4 7QN ,PER,20-Jun-17,17/00522/B
Alterations and erection of extension,Purt Ny Shee Ballacollister Heights Laxey Isle Of Man IM4 7JW,PER,21-Jul-17,17/00543/B
"Alterations to porch including relocation of entrance door, and creation of new pedestrian access from footpath",Beechwood 12 Sartfell Road Douglas Isle Of Man IM2 3NB,PER,29-Jun-17,17/00553/B
Erection of a shed on existing parking area,35 Brunswick Road Douglas Isle Of Man IM2 3NW,PER,24-Aug-17,17/00587/B
Additonal use of existing residential apartments for self catering tourist accommodation,Upper Floor Apartments 14 & 15 North Quay Douglas Isle Of Man IM1 4LE ,PER,14-Jul-17,17/00604/C
Erection of single storey extension to rear of property,5 Briarfield Avenue Onchan Isle Of Man IM3 3JN,PER,21-Sep-17,17/00648/B
Replacement of existing annex roof with tiled roof,4 Links Close Peel Isle Of Man IM5 1DG,PER,04-Aug-17,17/00689/B
Replacement of existing annex roof with tiled roof,7 Beach Road Port St. Mary Isle Of Man IM9 5NG,PER,30-Aug-17,17/00690/B
Replacement of existing annex polycarbonate roof with tiled roof,Ballacallin Farm House Dalby Isle Of Man IM5 3BR ,PER,06-Sep-17,17/00722/B
Erection of single storey extension to rear of dwelling,6 Woodburn Square Douglas Isle Of Man IM1 4DB ,PER,01-Sep-17,17/00757/B
Additional use of dwelling as self-catering tourist accommodation,1 Mill Cottages Mill Road Ballasalla Isle Of Man IM9 2EG,PER,06-Sep-17,17/00788/C
Replacement of existing conservatory polycarbonate roof with tiled roof,8 Snaefell Crescent Onchan Isle Of Man IM3 4NJ,PER,20-Sep-17,17/00797/B
Erection of garage and utility room extension to side of dwelling,36 Larivane Meadows Andreas Isle Of Man IM7 4JD ,PER,14-Sep-17,17/00799/B
Erection of an agricultural storage and machinery building and erection of a boiler house,Begoade Moar Farm Begoade Road Onchan Isle Of Man IM4 6AU ,PER,06-Sep-17,17/00803/B
Extension to stables to provide storage and tie up facilities,Ballawhetstone Farm Douglas Road Ballabeg Castletown Isle Of Man IM9 4ED,PER,31-Oct-17,17/00888/B
"Widening of existing access, the laying of hard standing, and the installation of associated fencing and access gates",Land To West Boundary Of 1 Manor Park Onchan Isle Of Man  ,PER,10-Nov-17,17/00895/B
Erection of dwelling to include living accommodation in place of previously approved garage,3 Fleshwick Close Port St Mary Isle Of Man IM9 5NS ,PER,27-Oct-17,17/00977/B
Erection of commemorative plaque,Public Grassed Area Queen Street Castletown Isle Of Man,PER,03-Nov-17,17/00978/B
Alterations and extension to existing property including construction of utility room and installation of glazed door to rear,Mona Villa Glen Road Laxey Isle Of Man IM4 7AP,PER,27-Oct-17,17/01010/B
Erection of a sunroom extension to the north elevation,10 Bayr Grianagh Castletown Isle Of Man IM9 1HN,PER,24-Nov-17,17/01047/B
Alterations to facilitate the change of use from Class 2 to Class 1 retail for a Barbers Shop,62 Duke Street Douglas Isle Of Man IM1 2AR,PER,15-Nov-17,17/01062/B
Replacement of existing windows to front elevation with like for like units,2 Summerhill Douglas Isle Of Man IM2 4PJ,PER,15-Dec-17,17/01094/B
Erection of boiler room/garden store extension,The Lodge Great Meadow Castletown Isle Of Man IM9 4EB ,PER,12-Apr-17,17/00162/B
Replacement of two existing conservatories with single storey extensions and associated alterations,Ballawillyn Cottage Patrick Road St Johns Isle Of Man IM4 3BR,PER,29-Nov-17,17/00967/B
Replacement of existing softwood windows with hardwood double glazed units,Manxonia House Bay View Road Port St. Mary Isle Of Man IM9 5AE,PER,07-Dec-17,17/01153/B
Approval in principle for the erection of a dwelling addressing matters of means of access,Land Forming Part Of Oatland Cottage Oatlands Road Andreas Isle Of Man IM7 4ER ,PER,03-Jan-17,16/00811/A
Single storey extension to front of property,29 Berry Woods Avenue Douglas Isle Of Man IM2 7DA,PER,30-Jun-17,17/00557/B
Proposed alterations to existing gable opening,Thie Ny Cronk Ballajora Ramsey Isle Of Man IM7 1BL ,PER,20-Jan-17,16/01319/B
Erection of extension and porch.,25 Silverburn Drive Ballasalla Isle Of Man IM9 2EE ,PER,20-Jan-17,16/01225/B
Creation of a seating area on existing roof,The Kiosk Peel Breakwater Peel Isle Of Man  ,PER,23-Jan-17,16/01373/B
Installation of a flue,4 Greenlands View Ramsey Isle Of Man IM8 2PB,PER,30-Mar-17,17/00052/B
Replacement of existing timber windows with upvc windows,The Raggatt 19 Sartfell Road Douglas Isle Of Man IM2 3NB,PER,12-Apr-17,17/00292/B
Single storey side extension to provide garage,23 Manor Drive Douglas Isle Of Man IM2 2NW,PER,29-Jun-17,17/00556/B
Replacement of existing conservatory glazed roof with tiles,55 Farmhill Meadows Douglas Isle Of Man IM2 2LN,PER,30-Jun-17,17/00568/B
Demolition of existing conservatory and erection of a two storey extension to rear (amendments to PA 16/00697/B),Thie Bane 40 Ballanard Road Douglas Isle Of Man IM2 5HE,PER,04-Aug-17,17/00643/B
Alterations and rear extension to property,36 Harcroft Avenue Douglas Isle Of Man IM2 1PD,PER,24-Jul-17,17/00636/B
Replacement of existing upvc windows with white upvc casement/tilt and turn units,Flat 4   61 Bucks Road Douglas Isle Of Man IM1 3EF,PER,17-Aug-17,17/00637/B
"Registered Building Consent for internal alterations including removal of pews and replacement with chairs, replacement of heating pipes/radiators, repositioning of font and cupboards around gallery pillars (RB 119)",St Peter's Church Church Road Onchan Isle Of Man  ,PER,21-Jul-17,17/00645/CON
Alterations and erection of an extension,53 Barrule Park Ramsey Isle Of Man IM8 2BP,PER,17-Aug-17,17/00719/B
Change of use of existing apartment on upper floors to Hair/Beauty Salon as an extension of existing ground floor salon,2 Bridge Street Peel Isle Of Man IM5 1NB,PER,24-Nov-17,17/01012/C
Alterations and erection of a first floor extension over garage,14 Carrick Park Sulby Isle Of Man IM7 2EX,PER,29-Nov-17,17/01095/B
"Window / door alterations, rear roofing works and installation of two roof lanterns",Westend Cottage 9 Arbory Road Castletown Isle Of Man IM9 1NA,PER,27-Sep-17,17/00768/B
"Alterations, erection of extension and provision of new entrance gates",Bluebell House  Braaid Farm Braaid Road Braaid Isle Of Man IM4 2AW ,PER,01-Sep-17,17/00770/B
"Replacement of existing garage door with a window, and extension of existing driveway",11 Beech Avenue Onchan Isle Of Man IM3 3HQ,PER,19-Oct-17,17/00771/B
Removal of existing and installation of a prefabricated site office,Princess Alexandra Pier  Battery Pier Douglas Isle Of Man IM1 5PA ,PER,29-Sep-17,17/00773/B
Erection of rear extension,24 St Runius Way Glen Vine Isle Of Man IM4 4FG,PER,30-Jun-17,17/00560/B
Replacement of existing windows and doors with new dark colour UPVC units,Deepdale Complex Formerly The Old Curiosity Shop Glen Road Laxey Isle Of Man IM4 7AB,PER,06-Jul-17,17/00589/B
Proposed garage and workshop with store room over,Scacafell Clenagh Road Sulby Isle Of Man IM7 3AD,PER,15-Mar-17,16/00705/B
Erection of detached double garage with storage above,Glebe Mooar Churchtown Ramsey Isle Of Man IM7 2AN ,REF,09-Feb-17,16/01406/B
Replacement of polycarbonate roof with tiled and glazed roof,50 Malew Street Castletown Isle Of Man IM9 1AF,PER,14-Feb-17,17/00015/B
First floor extension over existing garage,28 Ballagyr Park Peel Isle Of Man IM5 1UP,PER,03-Mar-17,17/00058/B
Erection of a conservatory,85 Ballaquark Douglas Isle Of Man IM2 2EW ,PER,11-Jan-17,16/01189/B
Change of use of ground floor residential accommodation in to tea rooms.,P J Cottage Main Road Kirk Michael Isle Of Man IM6 1AB,PER,13-Feb-17,16/01230/C
Replacement PVC casement windows and PVC composite door (all rosewood finish) to front elevation.,8 Watson's Court Church Lane Peel Isle Of Man IM5 1AW,REF,12-Apr-17,16/01355/B
Replacement shopfront and front and rear windows,28 Parliament Street Ramsey Isle Of Man IM8 1AW,PER,11-Jan-17,16/01370/B
Erection of agricultural building for livestock and feed,Ballakaighen Farm Staarvey Road Cronk Y Voddy Peel Isle Of Man IM5 2AS,PER,19-Apr-17,17/00256/B
Replacement of existing garden store with new garden store and garage,Ballachrink Farmhouse Bride Road Bride Isle Of Man IM7 4AP,PER,23-Jun-17,17/00269/B
Alterations and erection of an extension,Alverna Somerset Road Douglas Isle Of Man IM2 5AE,PER,11-May-17,17/00409/B
Creation of a vehicular access,25 Derwent Drive Onchan Isle Of Man IM3 2DE,PER,03-Aug-17,17/00411/B
Alterations and erection of extension,The Shieling Baldrine Road Baldrine Isle Of Man IM4 6EG,PER,15-May-17,17/00412/B
Installation of crane as external static exhibit and associated landscaping works,Jurby Transport Museum 230 Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,PER,29-Jun-17,17/00564/B
Installation of non-illuminated signage on shop windows,Shop 1 Stanley House 7 - 9 Market Hill Douglas Isle Of Man IM1 2BF ,PER,18-Jul-17,17/00612/D
Installation of replacement windows to front elevation,Flat 1 6 Atholl Place Peel Isle Of Man IM5 1HE ,PER,14-Jun-17,17/00452/B
Alterations and erection of an extension,Grey Winds Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX,PER,26-May-17,17/00453/B
Alterations and extensions including rear and side extensions and replacement roof to garage and conservatory,19 Highfield Crescent Onchan Isle Of Man IM3 3BX,PER,21-Jul-17,17/00523/B
"Replacement of main entrance doors with new sliding door and canopy over, and remodelling of footpaths and driveway around main entrance",Manx Museum Kingswood Grove Douglas Isle Of Man IM1 3LY ,PER,21-Jul-17,17/00588/B
New roof over existing rear annex,Hillcrest Cottage Old Laxey Hill Laxey Isle Of Man IM4 7BZ,PER,19-Dec-17,17/00616/B
"Alterations, installation of a pitched roof to existing extension, and driveway and vehicular access alterations",29 Furman Close Onchan Isle Of Man IM3 1BT,PER,21-Sep-17,17/00673/B
Alterations and erection of a ground and first floor extension to dwelling,Ash House Main Road Kirk Michael Isle Of Man IM6 1ED,PER,11-Aug-17,17/00674/B
Installation of replacement windows,5 Brunswick Road Douglas Isle Of Man IM2 3LH,PER,04-Aug-17,17/00675/B
Change of use from Class 1 to hot food takeaway and installation of ventilation louvre above rear door,Unit 7 Orchard Walk Bridson Street Port Erin Isle Of Man IM9 6AL,PER,19-Apr-17,17/00242/B
Change of use of dwelling to self-catering tourist accommodation,Rivendell Lhergy Cripperty Union Mills Isle Of Man IM4 4NF,PER,14-Jul-17,17/00502/C
Replacement of existing conservatory with larger sun room to south elevation,20 Maple Avenue Ballawattleworth Estate Peel Isle Of Man IM5 1WP ,PER,18-Jul-17,17/00517/B
Installation of illuminated signage,Santander 19 - 21 Prospect Hill Douglas Isle Of Man IM1 1ET ,PER,29-Jun-17,17/00548/D
Repairs and reconstruction of weir and weir face,Weir Adjacent To Laxey Woollen Mills Glen Road Laxey Isle Of Man  ,PER,28-Jun-17,17/00471/B
Erection of a detached dwelling with integral garage,Land Adjacent To 53 Barrule Park Ramsey Isle Of Man  ,PER,04-Aug-17,17/00681/B
Replacement of existing patio door with uPVC door,Seaward Bridge Street Castletown Isle Of Man IM9 1AX,PER,24-Aug-17,17/00682/B
Alterations and erection of extension,Thie My Chree Ballajora Ramsey Isle Of Man IM7 1BL ,PER,04-Aug-17,17/00683/B
Replacement of existing conservatory with new timber framed conservatory and associated alterations,Riversdale House Jurby Road Lezayre Ramsey Isle Of Man IM7 2EA,PER,15-Aug-17,17/00721/B
Installation of rear vehicular and pedestrian access gates,Primrose House The Promenade Port St. Mary Isle Of Man IM9 5DB ,PER,17-Aug-17,17/00732/B
Alterations and erection of rear extension,27 Church Road Onchan Isle Of Man IM3 1BF,PER,13-Sep-17,17/00740/B
"Alterations, including window alteration and installation of French doors, and creation of off road parking and vehicular access",7 Rosemount Douglas Isle Of Man IM1 3EZ,PER,15-Nov-17,17/00835/B
Erection of 49 dwellings (change of house types from those approved under PA 13/91289/B),"Plots 118 To 137 & 141 To 144,  Slieau Whallian View Off Raad Kirree Varrey Peel Isle Of Man  ",PER,03-May-17,16/01233/B
Installation of flat roof dormer to rear elevation and pitched roof dormer to front elevation and erection of a single storey extension to replace existing garage,Colwood Beach Road Port St. Mary Isle Of Man IM9 5NG,PER,07-Apr-17,16/01383/B
"Alterations and additions to provide additional living accommodation, including creation of additional parking space",5 Scarlett Road Castletown Isle Of Man IM9 1NT,PER,13-Feb-17,16/01395/B
Alterations and additions to dwelling including erection of replacement detached garage and new stable block in adjacent field,The Crofts Hillberry Onchan Isle Of Man IM4 5BJ,PER,30-Mar-17,17/00039/B
"Rebuilding of conservatory, replacement kitchen extract cowl and new pergola in garden",Cat With No Tail Hailwood Court Douglas Isle Of Man IM2 7EA ,PER,06-Apr-17,17/00264/B
"Alterations to create additional living accommodation on footprint of existing conservatory, including creation of decking area above",Halcyon Days Main Road Ballaugh Isle Of Man IM7 5EX,PER,06-Jul-17,17/00575/B
Replacement of timber sash windows with double glazed PVC sash windows on the front elevation at first and second floor level,29A Malew Street Castletown Isle Of Man IM9 1AD,PER,04-Aug-17,17/00693/B
Installation of ground level external condensing units in connection with new air conditioning system,Sailmaker House Unit 7 Carrs Lane Tromode Douglas Isle Of Man IM4 4QB ,PER,23-Aug-17,17/00733/B
Alterations and extension to provide additional living accommodation,Marrinagh Ballajora Hill Ballajora Ramsey Isle Of Man IM7 1AZ,PER,17-Aug-17,17/00734/B
Erection of a link extension to provide ramp access,Mountain View Innovation Centre (Including Film Studio) Jurby Road Ramsey Isle Of Man IM7 2DZ ,PER,14-Sep-17,17/00765/B
Replacement of existing timber gable windows with white UPVC windows,Brookdale 8 Cronkbourne Road Douglas Isle Of Man IM2 3LB,PER,25-Sep-17,17/00869/B
Demolition of existing redundant workshop and erection of a dwelling,40 Douglas Street Peel Isle Of Man  ,PER,07-Dec-17,17/01004/B
Alterations and extension to dwelling,Dun Aisling Mount Rule Douglas Isle Of Man IM4 4HP ,PER,25-Sep-17,17/00859/B
Installation of new PVC front door and new ground floor PVC window to front elevation,12 Stanley Mount Peel Isle Of Man IM5 1NE,PER,27-Sep-17,17/00911/B
Demolition of existing garage and replacement with new garage and associated works to boundary walls/fences,Meadow View 8 Douglas Avenue Douglas Isle Of Man IM2 5EL,PER,23-Nov-17,17/01006/B
Installation of aluminium louvres,Zurich House Isle Of Man Business Park Douglas Isle Of Man IM2 2SA ,PER,23-Nov-17,17/01008/B
Erection of two storey extension to rear and also at first floor level over existing garage,11 Ennerdale Avenue Onchan Isle Of Man IM3 2EU ,PER,15-Nov-17,17/01050/B
Alterations and additions to property,Ballashamrock Cottage Port Soderick Glen Port Soderick Isle Of Man IM4 1BE,PER,30-Nov-17,17/01131/B
Installation of 6 rooflights and replacement of window with patio door,Land Adjacent To Kella Sheear Kella Road Sulby Isle Of Man  ,PER,29-Aug-17,17/00581/B
"Application to make lawful the installation of replacement windows, door and rooflights to front elevation",22 Brunswick Road Douglas Isle Of Man IM2 3LQ ,CLAWA,28-Jul-17,17/00598/LAW
Erection of a first floor extension,5 Hillcroft Rise Douglas Isle Of Man IM2 7EH,PER,15-Sep-17,17/00840/B
Creation of new vehicular access and concrete hardstanding for 2 vehicles on existing grassed area,29 Fairfield Avenue Onchan Isle Of Man IM3 4BG,PER,22-Dec-17,17/01085/B
"Replacement of existing front and side windows with upvc sliding sash windows, black external and white internal finish",Grd Floor Flat (Flat 1) 8 Hawarden Avenue Douglas Isle Of Man IM1 4BY,PER,08-Jun-17,17/00334/B
"Erection of a detached dwelling with associated access, landscaping and drainage",Plot 2 Field 432503 Phildraw Road Ballasalla Isle Of Man  ,PER,14-Jul-17,17/00595/B
Installation of replacement windows,Flat 3  Walpole House Marine Parade Peel Isle Of Man IM5 1PB,PER,05-Oct-17,17/00686/B
"Alterations, erection of extension and conversion of existing garage to provide additional living accommodation",The Barn Glen Auldyn Ramsey Isle Of Man IM7 2AG ,PER,30-Aug-17,17/00748/B
"Replacement uPVC casement windows to front and rear elevations, blocking up of front dormer side windows and replacement with uPVC cladding",11 Kingswood Grove Douglas Isle Of Man IM1 3LY,REF,24-Nov-17,17/01088/B
Replacement of existing conservatory with extension to provide additional living accommodation,5 Ballachrink Drive Onchan Isle Of Man IM3 4NY,PER,28-Dec-17,17/01204/B
Extensions including replacement of existing garage,47 Fuchsia Grove Ballasalla Isle Of Man IM9 2DT,PER,19-Apr-17,17/00250/B
Erection of an extension (forming amendments to PA 15/01309/B),Mill House Main Road Glen Maye Isle Of Man IM5 3BH,PER,21-Jul-17,17/00531/B
Alterations and extension to property including enlargement of vehicular hardstanding/driveway,9 Faaie-Ny-Cabbal Kirk Michael Isle Of Man IM6 2HS,PER,18-Jul-17,17/00537/B
Replacement of existing annex polycarbonate roof with tiled roof,74 Port E Chee Avenue Douglas Isle Of Man IM2 5EX,PER,31-Oct-17,17/01039/B
Installation of replacement windows to front elevation,23 Queen Street Castletown Isle Of Man IM9 1PB,PER,24-Nov-17,17/01061/B
Replacement of existing door and side lights with composite door and side light,7 Westminster Terrace Douglas Isle Of Man IM1 4ED,REF,24-Nov-17,17/01097/B
Erection of stables and creation of a hard standing area and access track,Field Adjacent To Pooildhooie Cottage Killane Road Ballaugh Isle Of Man  ,PER,22-Dec-17,17/00993/B
Creation of a bi folding window,Water Edge Shore Road Port Erin Isle Of Man IM9 6HH,PER,27-Oct-17,17/00994/B
"Replacement of existing pvc windows and door with new pvc windows, door and top light to front elevation",1 Wesley Terrace Douglas Isle Of Man IM1 3HG,PER,22-Dec-17,17/01198/B
Application for the de-registration of Lorne House (12/00269/REGBLD) in accordance with 7(1)(a) of the (Registered Buildings) Regulations 2013,Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ,PER,10-Feb-17,15/01318/CON
Alterations to railings to enable their temporary removal annually between 1st April and 30th September so that area can be used as external seating area - Registered Building 186 (in connection with planning application 17/00358/GB),Douglas Hotel (Douglas Chambers) North Quay Douglas Isle Of Man  ,PER,08-Jun-17,17/00359/CON
Erection of a replacement conservatory,8 Cronk Road Union Mills Isle Of Man IM4 4NJ,PER,18-Jul-17,17/00505/B
Refurbishment of existing garden store,Norwood Arbory Road Castletown Isle Of Man IM9 1ND,PER,02-Mar-17,16/01409/B
Change of use to either retail (Class One); or hair and beauty; or beauty,2 Nelson Street Douglas Isle Of Man IM1 2AH,PER,08-Mar-17,17/00110/C
"Installation of a first floor tri-fold door, creation of a dormer window and installation of two roof lights",115 Slieau Dhoo Douglas Isle Of Man IM2 5LD,PER,17-Mar-17,17/00111/B
Additional use of residential dwelling as tourist accommodation,157 Fairways Approach Mount Murray Douglas Isle Of Man IM4 2JH,PER,17-Mar-17,17/00113/C
Additional use of building as tourist accommodation,The Old School Room St Marks Ballasalla Isle Of Man IM9 3AH ,PER,21-Mar-17,17/00114/C
Alterations and erection of extension,Ballastewart Ballakilpheric Road Colby Isle Of Man IM9 4BY,PER,17-Mar-17,17/00116/B
Erection of a rear extension,19 Marathon Road Douglas Isle Of Man IM2 4HN,PER,30-Mar-17,17/00118/B
Installation of non-illuminated signage over shopfront,5 Station Road Port Erin Isle Of Man IM9 6AE,PER,15-Jun-17,17/00491/D
Erection of an agricultural building to provide stabling and a feed / equipment store,Field 331594 Ballahias Cottage Ballanass Road Lower Foxdale Isle Of Man IM4 3BE ,PER,17-Aug-17,17/00610/B
Alterations and erection of a first floor extension,12 Willowbrook Gardens Douglas Isle Of Man IM2 2QQ ,PER,27-Jul-17,17/00613/B
Two storey extension to side of property,10 All Saints Park Lonan Laxey Isle Of Man IM4 7LA ,PER,22-Sep-17,17/00715/B
Change of use of first floor residential unit to provide clinic treatment rooms,1 The Court Yard Water Street Ramsey Isle Of Man  ,PER,30-Aug-17,17/00759/C
Additional use of basement residential accommodation as tourist accommodation,Savoy Hotel 6 Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU ,PER,24-Aug-17,17/00764/C
Creation of a driveway and vehicular access,1 Victoria Place Douglas Isle Of Man IM2 4ET,REF,30-Aug-17,17/00767/B
Installation of decking within rear yard (retrospective),72 Derby Road Douglas Isle Of Man IM2 3EB,PER,24-Nov-17,17/01073/B
Installation of staircase and other associated works,Radio Station NATS Cregneash Rushen Isle Of Man  ,PER,13-Jul-17,17/00401/B
Extension within rear yard and creation of external terrace at first floor level with timber screen,5 Alexander Drive Douglas Isle Of Man IM2 3QD,PER,05-Jun-17,17/00449/B
Replacement of existing conservatory roof with tiled roof,22 Cronk Drean Douglas Isle Of Man IM2 6AX,PER,25-May-17,17/00421/B
Replacement of single storey conservatory at second floor level,30 Majestic Close Onchan Isle Of Man IM3 2JH,PER,30-Jun-17,17/00561/B
Alterations and erection of rear extension,Derwent Maine Road Port Erin Isle Of Man IM9 6LQ,PER,27-Jul-17,17/00664/B
Alterations and erection of rear extension,2 Erin Lane Port Erin Isle Of Man IM9 6FE ,PER,27-Jul-17,17/00665/B
Creation of an additional first floor window,Unit 3 Block B Eden Business Park Douglas Isle Of Man IM4 2AY ,PER,29-Nov-17,17/00666/B
Alterations to facilitate a change of use from existing office use to three apartments for use as permanent residential and self-catering tourist accommodation,The Warehouse 1A Queen Street Castletown Isle Of Man IM9 1PB,PER,06-Oct-17,17/00906/B
Variation of a condition of application 12/00190/B,Poylldooey House Gardeners Lane Ramsey Isle Of Man IM8 2TF,PER,06-Jan-17,16/01055/VAR
"Installation of fuel storage tank, boiler and flue (Retrospective)",7 Ard Reayrt Laxey Isle Of Man IM4 7PZ ,PER,09-Feb-17,16/01140/B
"Replacement single storey extension at front, alterations, creation of first floor terrace to rear, and erection of garden shed",30 Mines Road Laxey Isle Of Man IM4 7NH,PER,06-Jan-17,16/01288/B
Repositioning of vehicular entrance and erection of workshop/store.,4 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT,PER,13-Jun-17,16/01347/B
Replacement of existing conservatory roof with tiled roof (retrospective),19 Ashbourne Avenue Douglas Isle Of Man IM2 1NW,PER,16-Feb-17,17/00023/B
Conversion of premises from retail to a wine/tapas bar and installation of flue at rear,66 Parliament Street Ramsey Isle Of Man IM8 1AJ ,PER,04-Jan-17,16/00790/B
Alterations and single storey extension to rear,43 Palatine Road Douglas Isle Of Man IM2 3BP,PER,15-Feb-17,16/01310/B
Single storey extension to rear of property.,4 The Chase Ballakillowey Colby Isle Of Man IM9 4BL,PER,10-Jan-17,16/01353/B
"Demolition of existing garage and erection of shed, and single storey rear extension.",64A Friary Park Ballabeg Castletown Isle Of Man IM9 4EP,PER,21-Jun-17,16/01354/B
Replacement of existing rear annex polycarbonate roof with tiled roof,2 Royal Park Ramsey Isle Of Man IM8 3UF ,PER,30-May-17,17/00243/B
Conversion of basement to additional bedroom / bathroom associated with Flat 1 on the ground floor,15 Hutchinson Square Douglas Isle Of Man IM2 4HT,PER,13-Jun-17,17/00244/B
Erection of a front porch and front window alteration,15 Odins Way Ballakillowey Colby Isle Of Man IM9 4BQ,PER,22-Feb-17,17/00036/B
Replacement of timber windows and kitchen door with upvc (retrospective),10 Roslyn Terrace Douglas Isle Of Man IM2 5DE,PER,06-Apr-17,17/00259/B
"Alterations, erection of rear extension and front porch and widening of existing driveway and vehicular access",Abraka 8 Rheast Lane Peel Isle Of Man IM5 1BE,PER,30-Jun-17,17/00261/B
Erection of a shed and additional use of shop (Class 1) to serve food and drink (Class 3),International House Tower Street Ramsey Isle Of Man IM8 1JD ,PER,01-Jun-17,17/00340/B
Erection of illuminated and non-illuminated signage,Tower House Castle Street & Loch Promenade Douglas Isle Of Man IM1 2EZ,PER,23-Jun-17,17/00345/D
Creation of two gable windows,44 Murrays Lake Drive Mount Murray Douglas Isle Of Man IM4 2HY,PER,09-May-17,17/00347/B
Installation of three replacement windows to front elevation,The Old Vicarage Church Road Onchan Isle Of Man IM3 1BF ,PER,02-Jun-17,17/00433/B
Erection of a detached two storey garage,Dhoon Manor Main Road Dhoon Ramsey Isle Of Man IM7 1HL ,PER,15-Sep-17,17/00436/B
"Replacement of existing conservatory with single storey extension, and extending over existing garage",3 Clybane Rise Douglas Isle Of Man IM2 2NB,PER,11-Aug-17,17/00480/B
Conversion of existing registered building to tourist unit.,Welch House Church Road Onchan Isle Of Man IM3 1BF,PER,08-Feb-17,16/01128/CON
"Replacement of windows, doors and roof covering",Courtyard Cottages Staward Farm House Sulby Isle Of Man IM7 2BA ,PER,03-Mar-17,16/01379/B
Installation of illuminated signage above shop front and on shop front window,28 Parliament Street Ramsey Isle Of Man IM8 1AW,PER,26-Jan-17,16/01381/D
Erection of extension,The Anchorage Port E Vullen Ramsey Isle Of Man IM7 1AP ,REF,15-Feb-17,17/00007/B
Installation of non-illuminated signage to gable,7 - 17 Wellington Street Douglas Isle Of Man IM1 2PQ,PER,20-Feb-17,17/00038/D
"Registered Building Application (RB 171) for demolition of existing garage and outbuildings, erection of new garage and garden walls (in connection with application 17/00072/GB)",Old School House Main Road Sulby Isle Of Man IM7 2HP ,PER,13-Jul-17,17/00073/CON
Infilling of balcony over garage to provide sheltered accommodation,Trafalgar Rencell Hill Laxey Isle Of Man IM4 7BL ,PER,06-Jul-17,17/00593/B
"Alterations, erection of extension and driveway amendments",Glenaspet Patrick Road St Johns Isle Of Man IM4 3BP,PER,04-Aug-17,17/00605/B
Erection of ancillary detached accommodation unit to rear of main property,Gat Y Whing Glen Road Colby Isle Of Man IM9 4PA,PER,11-Aug-17,17/00698/B
Erection of attached single garage,1 Chapel Close Ballaugh Isle Of Man IM7 5EL,PER,27-Sep-17,17/00723/B
