Decisions issued under delegated authority 1/1/17 - 31/12/17,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Change of use of dwelling house to additional use as tourist accommodation,5 Shore Road Laxey Isle Of Man IM4 7DJ,PER,23-Jan-17,16/01248/C
Erection of open front porch and additional openings in bedroom over garage,3 Parson's Glebe St Johns Isle Of Man IM4 3LT ,PER,18-Jul-17,17/00379/B
Replacement of existing metal skate ramps on tarmac hardstanding with multi use concrete riding bowl,Site At Poulson Park Alexandra Road Castletown Isle Of Man  ,PER,26-May-17,17/00397/B
"Registered Building Application for alterations and additions including conversion of storage to living accommodation, internal refurbishment, replacement of windows and doors, construction of external stores and improvement to access - RB 117 (in connect",Kate's Cottage Mountain Road Onchan Isle Of Man IM4 5BP,PER,16-Jun-17,17/00407/CON
Replacement of existing annex polycarbonate roof with tiled roof,11 Cronk Drean Douglas Isle Of Man IM2 6AX,PER,02-Jun-17,17/00438/B
"Conversion of front section of existing garage to create additional living accommodation, and widening of existing driveway",19 Close Corneil Port Erin Isle Of Man IM9 6BN,PER,26-May-17,17/00466/B
Erection of a detached dwelling with associated landscaping and parking.,Rose Cottage Lhergy Cripperty Union Mills Isle Of Man IM4 4NF,PER,27-Jan-17,16/01199/B
Installation of two replacement windows and door to front elevation,Spyrryd Ny Marrey Old Laxey Hill Laxey Isle Of Man IM4 7BT ,PER,14-Jun-17,17/00486/B
Alterations to existing detached garage to form home office/garden room,Brookvue Ballaughton Lane Douglas Isle Of Man IM2 1NB ,PER,14-Jun-17,17/00487/B
Widening of existing driveway,14 Briarfield Avenue Onchan Isle Of Man IM3 3JJ,PER,15-Jun-17,17/00518/B
Blocking up of a ground floor window and rendering over existing pebble-dash,38 Murrays Road Douglas Isle Of Man IM2 3HW ,PER,28-Jun-17,17/00524/B
"Alterations and additions including two storey rear extension, single storey side extension, conversion of garage to living accommodation, replacement of garage door with window and creation of new off road parking area",9 Campion Way Douglas Isle Of Man IM2 7DT,PER,05-Oct-17,17/00550/B
Erection of single storey extension to rear of property,14 Clybane Road Douglas Isle Of Man IM2 2LP,PER,18-Jul-17,17/00606/B
Conversion of first floor banking offices (Class 4) to a residential apartment involving rendering works and installation of replacement windows,Former Isle Of Man Bank 4 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL ,PER,11-Sep-17,17/00128/B
Change of use from storage garage to gym,Storage Garage At Rear Hawthorn Villa 79 Main Road Onchan Isle Of Man IM3 1RD ,PER,05-Apr-17,17/00246/C
Erection of an extension,30 Croit Ny Glionney Colby Isle Of Man IM9 4PP ,PER,30-Nov-17,17/01134/B
Alterations and erection of a rear extension,7 Fuchsia Close Glen Vine Isle Of Man IM4 4DZ ,PER,30-Nov-17,17/01135/B
Part demolition of existing outbuildings and replacement with enlarged buildings for storage,Ballamaddrell Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD,PER,19-Dec-17,17/01144/B
Erection of a shed,Ballacallin House Gordon Peel Isle Of Man IM5 3AR ,PER,07-Dec-17,17/01158/B
Erection of single storey extension to front elevation,Highcliffs 12 Perwick Road Port St. Mary Isle Of Man IM9 5PB,PER,17-Oct-17,17/00954/B
"Registered Building consent for the installation of replacement windows, doors and rainwater goods (In association with 16/01137/GB)",Braeside 58 King Edward Road Onchan Isle Of Man IM3 2AT,PER,22-Feb-17,16/01138/CON
Extension within roof space to provide additional living accommodation,10 Mountain View Peel Isle Of Man IM5 1QD,PER,22-Feb-17,17/00012/B
"Erection of external stairs, creation of a first floor doorway and installation of a heat pump",Glen Mona Filling Station Glen Mona Dhoon Ramsey Isle Of Man IM7 1HD ,PER,20-Feb-17,17/00040/B
Creation of new door and external staircase,Reayrt Aalin Glen Road Colby Isle Of Man IM9 4HW ,PER,16-Mar-17,17/00061/B
Construction of double garage,Rudder House Westbourne Close Ramsey Isle Of Man IM8 2ES,PER,28-Apr-17,17/00075/B
"Alterations and erection of ground and first floor extensions, including replacement garage",10 Reayrt Lhean Ballalough Castletown Isle Of Man IM9 1HQ,PER,22-May-17,17/00083/B
Conversion of the rear portion of existing garage to create main bedroom en-suite including raising of existing flat roof,19 Close Corneil Port Erin Isle Of Man IM9 6BN,PER,13-Jun-17,17/00321/B
Additional use of existing residential flats as tourist accommodation,Stanley House Castle Street Castletown Isle Of Man IM9 1LF,PER,26-May-17,17/00382/C
"Erection of a detached dwelling with attached garage, associated parking and fencing",Ormondehall Brunswick Road Douglas Isle Of Man IM2 3NW,REF,21-Jul-17,17/00459/B
Additional use of residential dwelling to provide tourist accommodation,Purt Y Chee Nassau Road Dogmills Ramsey Isle Of Man IM7 4AQ ,PER,28-Jun-17,17/00461/C
Installation of replacement windows and doors,Glion Beg 32 Cronkbourne Road Douglas Isle Of Man IM2 3LB,PER,14-Jul-17,17/00463/B
Replacement of two front elevation first floor windows,7 Malvern Road Douglas Isle Of Man IM2 5AS,PER,20-Jun-17,17/00534/B
Additional use of residential dwelling as tourist accommodation,Sarahs Cottage Creg Willeys Hill Lambfell St Johns Isle Of Man IM4 3NR,PER,30-Mar-17,17/00084/C
Erection of a ground floor extension,8 Horseshoe Avenue Douglas Isle Of Man IM2 1QS ,PER,28-Apr-17,17/00085/B
Erection of an attached generator shed (retrospective),Workshop The Old Yard Stoney Mountain Road Eairy Isle Of Man IM4 3HJ,PER,16-Mar-17,17/00086/B
Change of use from office (Class 4) to ground floor retail (Class 1) and a residential apartment on first and second floors,14 Douglas Street Peel Isle Of Man IM5 1BA,PER,03-Mar-17,17/00087/C
Alterations and erection of ground and first floor extensions to provide garage and living accommodation,16 Auldyn Meadow Drive Ramsey Isle Of Man IM8 2TR ,PER,13-Jun-17,17/00089/B
Replacement of existing glazed conservatory roof with tiles,41 King Orry Road Glen Vine Isle Of Man IM4 4FL ,PER,16-Mar-17,17/00090/B
"Replacement of existing pvc windows at ground and first floor on front elevation, and replacement of existing rear pvc door and existing front composite door",14 Patrick Street Peel Isle Of Man IM5 1BR,PER,12-Apr-17,17/00183/B
Erection of an extension,Lhergydhoo Farm  Lhergydhoo Peel Isle Of Man IM5 2AE ,PER,12-Apr-17,17/00185/B
Installation of replacement upper floor windows to front elevation,6 Victoria Street Douglas Isle Of Man IM1 2LH,PER,14-Jul-17,17/00536/B
Layout of 59 allotments with provision of a shed and greenhouse on each and erection of a community storage shed and equipment store,Part Field 314330 Ballagyr Lane Peel Isle Of Man  ,PER,04-Aug-17,17/00538/B
Installation of summer house in front garden of property (retrospective),100 Ballamaddrell Port Erin Isle Of Man IM9 6AZ,PER,24-Jul-17,17/00630/B
Installation of a flue,80 Ballaquark Douglas Isle Of Man IM2 2EP,PER,21-Jul-17,17/00633/B
Erection of a rear extension,The Nook Croit E Caley Colby Isle Of Man IM9 4AP ,PER,21-Jul-17,17/00634/B
