Decisions issued under delegated authority 1/1/11 - 31/12/11,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Erection of a dwelling (comprising amendments to PA's 08/01026B & 09/00490B),Land Forming Part Of Stovell Tromode Road Douglas Isle Of Man  ,PER,14-Jan-11,10/01823/B
Approval in principle for erection of a dwelling to replace existing barn and stables,Field 120259 Smeale Andreas Isle Of Man  ,REF,25-Feb-11,11/00053/A
Registered Building consent for the installation of a replacement door to side elevation (In association with 11/00080/GB) Registered Building Nos. 029,Old House Of Keys Building Parliament Square Castletown Isle Of Man IM9 1LA,PER,28-Feb-11,11/00081/CON
Erection of a detached carport,Ballakaneen House Andreas Road Andreas Isle Of Man IM7 4EN,PER,21-Jan-11,10/01524/B
Erection of an extension to dwelling,The Brambles Old Ballastrang Farm Castletown Road Ballaglonney Santon Isle Of Man IM4 1EU,PER,06-May-11,11/00353/B
Alterations and extension to dwelling,57 Howe Road Onchan Isle Of Man IM3 2AY,PER,13-May-11,11/00354/B
Additional use of residential apartment as tourist accommodation,Flat 3  Carlton Apartments Spaldrick Port Erin Isle Of Man IM9 6PD,PER,12-May-11,11/00279/C
Block up three existing garage windows,Ballaquayle Princes Road Douglas Isle Of Man IM2 4HY,PER,28-Apr-11,11/00280/B
Installation of a flue to side elevation of dwelling,Shenn Veaiyn Cottage Main Road Foxdale Isle Of Man IM4 3EJ ,PER,28-Apr-11,11/00281/B
Installation of a roof light to dwelling,154 Woodbourne Road Douglas Isle Of Man IM2 3BD,PER,28-Apr-11,11/00282/B
Installation of roof lights and dormers to dwelling,9 Westlands Close Ramsey Isle Of Man IM8 3PU ,PER,28-Apr-11,11/00283/B
Construction of steps to replace existing,Braddan AFC Cronkbourne Victoria Road Douglas Isle Of Man IM2 6AQ,PER,28-Apr-11,11/00284/B
Installation of replacement windows and door,Ballakaighen House Whitebridge Road Onchan Isle Of Man IM4 6AD,PER,06-May-11,11/00285/B
Installation of roof lights and solar panel to dwelling,Silver Lodge Baldhoon Road Laxey Isle Of Man IM4 7QG,PER,12-May-11,11/00453/B
Alterations and extension to dwelling,Abbey Court Abbeylands Isle Of Man IM4 5ED ,PER,01-Jun-11,11/00522/B
Extension of domestic curtilage into part of adjacent Field 424840,Magher Feailley Main Road Colby Isle Of Man IM9 4AD,PER,19-Apr-11,11/00256/C
Alterations and extension to former garage and change of use of garage to office  (Retrospective),Lower Strenaby Farm Abbeylands Isle Of Man IM4 5EF ,PER,19-Apr-11,11/00259/B
Erection of a replacement garage,Brook Cottage Bradda Road Port Erin Isle Of Man IM9 6PR,PER,20-May-11,11/00434/B
Erection of raised patio area with balustrade and fencing to front and side elevations,6 Old School View Crosby Isle Of Man IM4 4DA ,PER,05-Sep-11,11/00714/B
Approval in principle for the creation of a vehicle park,Field 534102 Hillberry Onchan Isle Of Man  ,REF,08-Jul-11,11/00717/A
Installation of roof lights to front and rear elevations,58 Malew Street Castletown Isle Of Man IM9 1AF,PER,28-Jun-11,11/00718/B
Installation of replacement windows to front elevation,17 Oxford Street Douglas Isle Of Man IM1 3JD,PER,01-Jul-11,11/00720/B
Installation of replacement windows and door and creation of patio door to dwelling,Cooilbane Quarterbridge Road Douglas Isle Of Man IM2 3RJ,PER,26-May-11,11/00454/B
Erection of a replacement three storey outrigger and conversion of existing building to form two dwellings,16 Dalton Street Douglas Isle Of Man IM1 3JP,PER,01-Jun-11,11/00557/B
Reserved Matters Application for erection of an agricultural worker's dwelling,Field 614870 Barroose Lane Baldrine Isle Of Man  ,PER,21-Jan-11,10/01574/REM
Registered Building Consent for the demolition and removal of existing detached garage,Garage Opposite 4 Windsor Terrace  Douglas Isle Of Man IM1 3LH,PER,11-Jan-11,10/01621/F
Installation of replacement windows,6 Lyndale Avenue Peel Isle Of Man IM5 1JY,PER,08-Feb-11,10/01792/B
Alterations and replacement of a garage door with french doors,17 The Laurels Douglas Isle Of Man IM2 7DN,PER,21-Jul-11,11/00637/B
"Alterations, erection of extension and installation of two dormers to dwelling",5 Ballachrink Colby Isle Of Man IM9 4PB,PER,20-May-11,11/00427/B
Demolition of existing rear elevation outlet and erection of a two storey extension with balcony,23 Hatfield Grove Douglas Isle Of Man IM1 3HE,REF,08-Jun-11,11/00429/B
Installation of replacement windows and door to front elevation,5 Malvern Road Douglas Isle Of Man IM2 5AS,PER,28-Jun-11,11/00494/B
Erection of a porch extension,Cronkhane Saint Marys Road Port Erin Isle Of Man IM9 6JL,PER,31-May-11,11/00495/B
"Alterations, installation of dormer windows and erection of first floor extension with balcony to dwelling",Shenstone Shore Road Kirk Michael Isle Of Man IM6 1HA,REF,28-Jun-11,11/00505/B
Erection of a two storey extension to replace existing single storey extension to rear elevation,Stellar Vista 4 Hillside Terrace Glen Maye Isle Of Man IM5 3BB,PER,11-Jul-11,11/00507/B
Alterations to dwelling including removal of chimney,43 Westbourne Drive Douglas Isle Of Man IM1 4BB,PER,31-May-11,11/00520/B
Creation of hard standing for car parking spaces,Land At Edremony Port Erin Isle Of Man  ,PER,20-Jan-11,10/01794/B
Installation of patio doors to replace existing rear elevation window,6 Lyndale Avenue Peel Isle Of Man IM5 1JY,PER,08-Feb-11,10/01795/B
Erection of a replacement dwelling,Croit Ny Moght Scollag Road Hillberry Onchan Isle Of Man IM4 5BT ,PER,31-Jan-11,10/01796/B
"Installation of replacement windows to front, side and rear elevations",50 - 52 Murrays Road Douglas Isle Of Man IM2 3HW ,PER,10-Jan-11,10/01664/B
"Window alterations, installation of replacement windows and balcony railings",64 Derby Square Douglas Isle Of Man IM1 3LR,PER,06-Jan-11,10/01684/B
Erection of a flue (Retrospective),Evergreen House 43 Circular Road Douglas Isle Of Man IM1 1AD ,REF,06-May-11,11/00376/B
Additional use of residential dwelling as tourist accommodation,Rose Cottage Surby Road Surby Port Erin Isle Of Man IM9 6TD,PER,09-May-11,11/00378/C
"Erection of an office building for use as corporate headquarters, with associated access and drainage works, car parking and landscaping (Amendment to PA 10/00749/B)","Fields 521888 And 521895, Adjacent To MEA Headquarters And Ballacottier Cottage Cooil Road Douglas Isle Of Man   ",PER,09-May-11,11/00381/B
Alterations and erection of a two storey extension to existing converted outbuilding,Ballacregga Farm Peel Road Kirk Michael Isle Of Man IM6 1AP,PER,18-Mar-11,11/00129/B
Erection of illuminated signage (Retrospective),Lloyds Pharmacy  Cushag Road Douglas Isle Of Man IM2 2BZ,PER,18-Mar-11,11/00130/D
Installation of replacement windows to front and side elevations,Meadowside Cottage Main Road Greeba Isle Of Man IM4 2DU,PER,24-Mar-11,11/00206/B
Installation of a single shop front and facia including the amalgamation of building at ground floor level,37/39 Victoria Street Douglas Isle Of Man IM1 2LF,REF,24-Jun-11,11/00248/B
Erection of a replacement cadet training facility,Mc Fadyen Centre Tromode Road Douglas Isle Of Man  ,PER,06-May-11,11/00359/B
Installation of replacement windows and door to front elevation,Cooilbane Quarterbridge Road Douglas Isle Of Man IM2 3RJ,PER,01-Mar-11,11/00065/B
Installation of replacement windows and door to side and rear elevations and installation of patio door,Cooilbane Quarterbridge Road Douglas Isle Of Man IM2 3RJ,REF,22-Mar-11,11/00066/B
Alterations and extension to existing chapel,Crosby Methodist Church  Old Church Road Crosby Isle Of Man IM4 2HA,PER,25-Feb-11,11/00068/B
Alterations and extensions to dwelling,39 Highfield Close Onchan Isle Of Man IM3 3BR,PER,24-Jan-11,10/01821/B
Erection of a conservatory to rear elevation of dwelling house,The Cottage Malvern Road Douglas Isle Of Man IM2 5AP,PER,18-Feb-11,10/01403/B
Registered Building consent for the installation of an awning and signage (Retrospective) (In association with 10/01587/D) Registered Building Nos. 177,Kings Guest House Queens Promenade Douglas Isle Of Man IM2 4PL ,REF,17-Oct-11,10/01588/CON
Installation of replacement windows to front elevation,Ronaldsdene Main Road Colby Isle Of Man IM9 4LL,PER,13-Jan-11,10/01729/B
Erection of advertising signage,Former Waterloo Hotel 75 - 77 Strand Street Douglas Isle Of Man IM1 2EN,PER,14-Jun-11,11/00569/D
Conversion of building into a dwelling,Barn Cottage   Bollyn Road Ballaugh Isle Of Man  ,PER,02-Aug-11,11/00570/B
"Installation of replacement windows, doors and glazed passageway",Cronk Moar Farm Shore Road Strandhall Castletown Isle Of Man IM9 4PL,PER,08-Jun-11,11/00571/B
"Conversion of former guest house to five apartments including the installation of dormers, replacement windows and rear roof balcony",106 Bucks Road Douglas Isle Of Man IM1 3AQ,PER,05-Sep-11,11/00572/B
Operation of a hot food delivery service,Take-away Groves Road Douglas Isle Of Man IM2 1DR ,PER,04-Jul-11,11/00573/C
Erection of signage (In association with 11/00116/CON),Site Adjacent To Junction Of Lezayre Road & Glen Auldyn Road Milntown House Glen Auldyn Ramsey Isle Of Man IM7 2AB ,PER,14-Mar-11,11/00115/D
Registered Building consent for the erection of signage (In association with 11/00115/D) Registered Building Nos. 168,Site Adjacent To Junction Of Lezayre Road & Glen Auldyn Road Milntown House Glen Auldyn Ramsey Isle Of Man IM7 2AB,PER,14-Mar-11,11/00116/CON
Erection of an outdoor WC and garden store (Amendment to 10/00870/B),22 Majestic Close Onchan Isle Of Man IM3 2JH ,PER,01-Mar-11,11/00118/B
Renovation works to office building (In association with 10/01717/CON),Finch House 24 Finch Road Douglas Isle Of Man IM1 2PS,PER,21-Feb-11,10/01716/GB
Registered Building consent for renovation works to office building (In association with 10/01716/GB) Registered Building Nos. 102,Finch House 24 Finch Road Douglas Isle Of Man IM1 2PS,PER,21-Feb-11,10/01717/CON
Installation of replacement front door,8 Port Jack Onchan Isle Of Man IM3 1EB,PER,06-Jan-11,10/01730/B
Installation of replacement front door,3 Princes Terrace Minorca Hill Laxey Isle Of Man IM4 7DR ,PER,06-Jan-11,10/01731/B
Erection of a replacement sun lounge extension,3 Viking Close Ballakillowey Colby Isle Of Man IM9 4BH,PER,06-May-11,11/00391/B
Installation of patio doors to replace existing window and erection of decking to rear elevation,10 Cronkbourne Avenue Douglas Isle Of Man IM2 3LA,PER,23-May-11,11/00392/B
Registered Building Consent for the erection of advertising signage (Registered Building no 223 in association with 11/00401D),18a-20 Victoria Street & 41-45 Duke Street  Douglas Isle Of Man IM1 2LE ,PER,18-May-11,11/00402/CON
Erection of extension to replace existing conservatory (Amendment to PA 10/01735/B),39 Erin Way Port Erin Isle Of Man IM9 6EF ,PER,09-May-11,11/00339/B
Re surfacing works to car park,Sound Cafe Sound Road Cregneash Isle Of Man IM9 5PZ,PER,08-Feb-11,11/00010/B
Erection of two dwellings,9 And 15 Orry Street Douglas Isle Of Man IM1 1BW,PER,08-Mar-11,11/00011/B
Erection of a two storey extension to dwelling house,21A Farmhill Park Douglas Isle Of Man IM2 2EE,REF,18-Feb-11,10/01479/B
Installation of flue and stack (Retrospective),34 Royal Park Ramsey Isle Of Man IM8 3UF ,PER,18-Jan-11,10/01758/B
Erection of fencing (Retrospective),18 Greeba Drive Onchan Isle Of Man IM3 1EW,PER,28-Jan-11,10/01759/B
Erection of a sun room extension,Cronk-Ny-Mooar Ballafesson Road Port Erin Isle Of Man IM9 6TU,PER,07-Feb-11,10/01831/B
Replacement of existing conservatory and erection of an additional conservatory,25 Bowness Close Onchan Isle Of Man IM3 2DJ,PER,17-Mar-11,10/01504/B
Alterations and erection of extensions to dwelling,Far End Glen Auldyn Ramsey Isle Of Man IM7 2AH ,PER,24-Jan-11,10/01612/B
Approval in principle for the erection of a detached dwelling,Site Rear Of Two Ways Ballafesson Port Erin Isle Of Man IM9 6TS ,REF,24-Jan-11,10/01613/A
Installation of a flue,85 Ballaquark Douglas Isle Of Man IM2 2EW ,PER,21-Feb-11,10/01614/B
Erection of a two storey extension to dwelling (Amendments to PA 08/02299/B & PA 10/01371/B),Waters Edge Cottage Abbeylands Isle Of Man IM4 5ED ,PER,06-May-11,11/00340/B
Alterations and creation of a dormer to dwelling,24 Briarfield Avenue Onchan Isle Of Man IM3 3JH,PER,23-May-11,11/00342/B
Erection of six detached dwellings (Amendments to PA 10/00354/B),"Plots 16, 18, 21, 23, 24 & 26 Reayrt Ny Glionney Adjacent To All Saints Park  Lonan Isle Of Man  ",PER,06-May-11,11/00343/B
Creation of french doors and balcony to first floor of dwelling,Kishfield Pinfold Hill Laxey Isle Of Man IM4 7HP,PER,31-May-11,11/00536/B
Additional use of dwelling as tourist accommodation,17 Kerrocruin Kirk Michael Isle Of Man IM6 1AG,PER,01-Mar-11,11/00100/C
Replacement of garage door with window and erection of a detached garage,9 Scarlett Road Castletown Isle Of Man IM9 1NT,PER,14-Jan-11,10/01741/B
Blocking up side elevation doorways,1 - 2 Reayrt Aalin Peel Isle Of Man,PER,14-Jan-11,10/01742/B
Blocking up side elevation doorways,7 - 8 Reayrt Aalin Peel Isle Of Man,PER,14-Jan-11,10/01743/B
Blocking up side elevation doorways,14 - 15 Reayrt Aalin Peel Isle Of Man ,PER,10-Jan-11,10/01744/B
Installation of replacement windows to south and east elevations,Roselea Cottage  Dalby Isle Of Man IM5 3BR ,PER,24-Jan-11,10/01833/B
Alterations and extensions to dwelling,Malew House Malew Road Ballasalla Isle Of Man IM9 3DJ,PER,07-Feb-11,10/01843/B
Installation of replacement windows to front elevation,Four Winds  23 Demesne Road Douglas Isle Of Man IM1 3DZ ,PER,18-Mar-11,11/00122/B
Replacement of an existing garage door with a glazed unit with access door,Braddan Bridge House Peel Road Braddan IM4 4TN ,PER,05-Apr-11,11/00158/B
Erection of an extension to hen house to provide a garage,Gollane Farm Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF ,PER,02-Aug-11,11/00159/B
Extend existing driveway and vehicular access,33 Glebe Aalin Ballaugh Isle Of Man IM7 5BX,PER,22-Mar-11,11/00160/B
Erection of an extension to rear elevation,5 Park Avenue Douglas Isle Of Man IM2 5HR,PER,21-Feb-11,10/01498/B
Installation of a replacement window,56 Selborne Drive Douglas Isle Of Man IM2 3NL,PER,28-Apr-11,11/00275/B
Alterations and extension to existing garage block,Narradale West Narradale Sulby Isle Of Man IM7 2HA ,PER,27-May-11,11/00276/B
Alterations and erection of an extension to rear elevation of dwelling,22 Ballanard Road Douglas Isle Of Man IM2 5HF,PER,28-Apr-11,11/00278/B
"Alterations, raise roof level of dwelling and creation of a gable window",1 The Willows Ballasalla Isle Of Man IM9 2EW,PER,18-Apr-11,11/00288/B
Roofing works to dwelling,Sea Winds Cronk Drean Douglas Isle Of Man IM2 6AR,PER,18-Apr-11,11/00289/B
Creation of a doorway,Ramsey Town Hall Parliament Square Ramsey Isle Of Man IM8 1RT,PER,18-Apr-11,11/00290/B
Erection of a replacement porch,Melrose 29 Sartfell Road Douglas Isle Of Man IM2 3NB ,PER,18-Apr-11,11/00291/B
Erection of two dwellings with associated parking,Kalaw 41 Groudle Road Onchan Isle Of Man IM3 2EF,PER,27-May-11,11/00292/B
Erection of a detached garage,Ballafletcher Farm House Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4QL,PER,24-May-11,11/00335/B
"Alterations, erection of an extension and replacement of garage door with windows",Leahurst Main Road Santon Isle Of Man IM4 1JB,PER,10-Jan-11,10/01746/B
Installation of replacement windows,28 Woodburn Square Douglas Isle Of Man IM1 4DD ,PER,06-Jan-11,10/01748/B
Installation of dormer and solar panel,The Mount South Cape Laxey Isle Of Man IM4 7HX ,PER,14-Feb-11,10/01906/B
Erection of two blocks of storage units with associated facilities and car parking,"Unit I, Former Lyte Ladder Site  Harcourt Drive Balthane Ballasalla Isle Of Man IM9 2AH ",PER,28-Feb-11,11/00070/B
Creation of an additional vehicular access and driveway amendments,31 Cronk Drean Douglas Isle Of Man IM2 6AU,PER,08-Mar-11,11/00101/B
"Alterations, raise roof level to create a second floor extension and installation of dormer windows to dwelling",Seaside Cottage The Promenade Castletown Isle Of Man IM9 1BQ,PER,23-Mar-11,11/00163/B
Replace existing door and window with patio doors to rear elevation of dwelling,Tregath Four Roads Port St. Mary Isle Of Man IM9 5LL ,PER,19-May-11,11/00164/B
Erection of a two storey extension to replace existing garage,Beauval Fistard Road Fistard Port St. Mary Isle Of Man IM9 5HF,REF,01-Mar-11,10/01570/B
"Erection of sun lounge to replace existing conservatory, installation of three additional rooflights and steel flue on main dwelling and erection of detached carport/store",Old Parsonage Barns St Marks Ballasalla Isle Of Man IM9 3AH ,PER,19-Apr-11,11/00239/B
Installation of a replacement front door,Lhoindaig Cottage Croit E Caley Colby Isle Of Man IM9 4AP ,PER,20-May-11,11/00440/B
Alterations and erection of an extension,Band Hall Queen Street Castletown Isle Of Man  ,PER,20-May-11,11/00441/B
Alterations and extensions to dwelling house,54 Ard Reayrt Laxey Isle Of Man IM4 7QP ,PER,12-May-11,11/00442/B
"Alterations, erection of extensions and driveway / access amendments",Aalin Thie Tromode Park Douglas Isle Of Man IM2 5LA,PER,27-May-11,11/00443/B
Erection of an extension to rear elevation of dwelling,3 Governors Hill Douglas Isle Of Man IM2 7AP,PER,27-May-11,11/00478/B
Installation of six roof lights on rear elevation,47 Slieau Dhoo Douglas Isle Of Man IM2 5LG,PER,06-May-11,11/00318/B
Installation of two additional windows at first floor level,Unit 1 New Units Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AX ,PER,06-May-11,11/00320/B
Use of lower ground floor of detached garage as granny flat/tourist accommodation,Marown Court Main Road Glen Vine Isle Of Man IM4 4BG ,PER,08-Jun-11,11/00393/C
Removal of chimney stack,1 Berkeley Street Douglas Isle Of Man IM2 3QB,PER,23-May-11,11/00395/B
"Alterations to dwelling including the installation of a dormer, gable and roof window",7 Claughbane Drive Ramsey Isle Of Man IM8 2AZ,PER,20-May-11,11/00448/B
"Door to window alteration, installation of replacement windows and roof light to rear elevation",21 Hatfield Grove Douglas Isle Of Man IM1 3HE,PER,16-Jun-11,11/00575/B
Installation of a dormer and creation of a window to dwelling,54 Meadow Crescent Douglas Isle Of Man IM2 1NL,PER,11-Jul-11,11/00614/B
Alterations and extension to dwelling and widen existing vehicular access,108 Royal Avenue Onchan Isle Of Man IM3 1LF,PER,16-Jun-11,11/00616/B
Alterations and extensions to dwelling (comprising amendments to PA 10/00277B),Suffield St Judes Road Sulby Isle Of Man IM7 2ES,PER,07-Feb-11,10/01828/B
Erection of conservatory to rear elevation,32 Cooil Drive Douglas Isle Of Man IM2 2HA,PER,12-Apr-11,10/01830/B
Alterations and extensions to dwelling and erection of replacement garage with roof garden over,Highcliffe Ramsey Road Laxey Isle Of Man IM4 7PD,PER,14-Jun-11,11/00027/B
Installation of replacement front door,1 Mona Street Peel Isle Of Man IM5 1HJ,PER,21-Mar-11,11/00029/B
Installation of replacement windows to front elevation,4 Bay View Terrace Laxey Isle Of Man IM4 7DG,PER,01-Mar-11,11/00097/B
"Alterations including widening of existing field access, formation of a hard standing area and creation of an access road (Retrospective)",Field 434756 (Formally 660) Ballamodha Straight Ballamodha Ballasalla Isle Of Man  ,PER,26-Jan-11,10/01699/B
Erection of an extension to dwelling and installation of decking,2 Fistard Grove Fistard Port St Mary Isle Of Man IM9 5HJ,PER,08-Feb-11,10/01774/B
Approval in principle for erection of a dwelling to replace existing redundant shed,Agricultural Building Robin Hill Farm Cronk Y Dhooney Ballakilpheric Colby Isle Of Man  ,REF,28-Mar-11,10/01800/A
"Alterations to conservatory, rear elevation and garden",15 Selborne Drive Douglas Isle Of Man IM2 3LR,PER,14-Jun-11,11/00506/B
Erection of extension to rear elevation of dwelling,80 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JF,PER,28-Apr-11,11/00271/B
Erection of a farm workers dwelling,Field 313374 Kennaa Farm Kennaa Road St Johns Isle Of Man  ,PER,12-May-11,11/00457/B
Installation of replacement entrance door and window,36 - 38 Douglas Street Peel Isle Of Man IM5 1BB,PER,31-May-11,11/00497/B
Construction of retaining structure and reinstatement of slope to side and rear of dwelling (part retrospective),Carmodil Glen Road Ballaugh Isle Of Man IM7 5JE ,PER,01-Jun-11,11/00563/B
Alteration to existing fourth floor balcony to create additional floor space (In association with 11/00595/CON),Apartment 7 Chapel Court Christian Street Peel Isle Of Man IM5 1NR ,PER,26-Jul-11,11/00594/GB
Alterations and extension to dwelling and alterations to driveway and access,Anglers Walk Strang Road Union Mills Isle Of Man IM4 4NP,PER,16-Jun-11,11/00617/B
Removal of a chimney stack,152 & 154 Woodbourne Road Douglas Isle Of Man ,PER,28-Mar-11,11/00221/B
"Erection of extension to dwelling, garden shed and new boundary wall",Strooan Cottage Sound Road Glen Maye Isle Of Man IM5 3BJ,PER,04-Apr-11,11/00245/B
Replace existing window with folding doors,96 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JF,PER,06-May-11,11/00398/B
Erection of a conservatory to rear elevation of dwelling,5 Primrose Avenue Douglas Isle Of Man IM1 4EA,PER,16-May-11,11/00400/B
Erection of a first floor extension over existing garage,24 Clybane Rise Douglas Isle Of Man IM2 2LU,PER,06-May-11,11/00413/B
Alterations and erection of an extension to dwelling (Amendment to PA 10/00052/B),Mill Cottage Main Road Glen Maye Isle Of Man IM5 3BH ,PER,06-May-11,11/00415/B
Erection of two agricultural buildings,Ballaglonney Farm Ballaglonney Santon Isle Of Man IM4 1ES ,PER,20-May-11,11/00437/B
Erection of gate and fencing (Retrospective),Thie Gennal Glen Road Laxey Isle Of Man IM4 7AH,REF,20-May-11,11/00438/B
Erection of advertising signage (Retrospective),Shop   4 Arbory Street Castletown Isle Of Man IM9 1LJ,PER,21-Feb-11,11/00054/D
Replace and relocate bulk fuel storage tanks,Bus Depot Banks Circus Douglas Isle Of Man IM1 5AB ,PER,01-Apr-11,11/00138/B
Extension to dwelling,Struie Highfield Drive Baldrine Isle Of Man IM4 6ED,PER,14-Mar-11,11/00139/B
Change of use of ground floor from an office to a taxi dispatch base,100 Market Street Douglas Isle Of Man IM1 2PH,PER,28-Apr-11,11/00140/C
Alterations and replacement of flat roof with pitched to dwelling,Carraghyn Glenlough Circle Glen Vine Isle Of Man IM4 4AX,PER,18-Mar-11,11/00141/B
Installation of a satellite dish to dwelling,38 The Crofts Castletown Isle Of Man IM9 1LZ,PER,14-Mar-11,11/00142/B
Creation of a doorway to quad area,Braddan School Braddan Road Braddan Douglas Isle Of Man IM4 4TQ,PER,14-Mar-11,11/00144/B
Registered Building consent to alter existing fourth floor balcony to create additional floor space (In association with 11/00594/GB) Registered Building Nos. 194,Apartment 7 Chapel Court Christian Street Peel Isle Of Man IM5 1NR ,PER,26-Jul-11,11/00595/CON
Alterations and extension to dwelling,Ivy Bank Pinfold Hill Laxey Isle Of Man IM4 7HN,PER,17-Jun-11,11/00642/B
Alterations and erection of a two storey extension to dwelling (Amendment to PA 11/00126/B),7 The Millrace Sulby Isle Of Man IM7 2HT,PER,28-Jun-11,11/00643/B
Erection of fencing,Cly Ny Mona Ballamodha Straight Ballasalla Isle Of Man IM9 3EL,PER,17-Jun-11,11/00651/B
Alterations and extensions to dwelling (comprising amendments to PA 09/01673B),46 Majestic View Onchan Isle Of Man IM3 2JN,PER,31-May-11,11/00508/B
Creation of equestrian exercise arena,Field 324297 Lower Ballakelly Top Road Crosby Isle Of Man IM4 4HN,PER,28-Jun-11,11/00713/B
"Alterations, replace garage door with a window and extend hard standing",11 Close Cam Port Erin Isle Of Man IM9 6NB,PER,28-Jun-11,11/00725/B
Application for a certificate of lawfulness to confirm the lawfulness of the use of a building as ancillary living accommodation to main dwelling,Building To Rear Of Meadow View Cottage St Judes Road Andreas Isle Of Man IM7 2ER ,CLAWA,06-Sep-11,11/00726/LAW
Variation of condition 2 of approved retail units (10/01384REM) to remove shopfront glazing and replace with matching masonry and replace double door with roller shutter door,Unit 6 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR ,PER,20-May-11,11/00439/B
Alterations and extension to dwelling,26 Perwick Road Port St. Mary Isle Of Man IM9 5PA,PER,31-May-11,11/00449/B
Extension to existing garage,17 Scarlett Road Castletown Isle Of Man IM9 1NS ,PER,13-Jan-11,10/01718/B
"Alterations, extensions and conversion of former Boarding House to a single dwelling",12 Derby Square Douglas Isle Of Man IM1 3LS,REF,24-Aug-11,10/01719/B
Alterations and extensions to dwelling,23 Close Cam Port Erin Isle Of Man IM9 6NB,PER,18-Jan-11,10/01722/B
Erection of advertising signage and canopy,Hanley's Corner Of Demesne Road & Westmoreland Road Douglas Isle Of Man IM1 4AH,PER,01-Mar-11,11/00109/D
Installation of dormer to rear elevation,31 Hailwood Avenue Douglas Isle Of Man IM2 7DQ,REF,01-Mar-11,11/00110/B
Re-location of an agricultural barn with hard standing and revised vehicular access,Field 421507 Ballamaddrell Farm  Grenaby Road Ballabeg Castletown Isle Of Man  ,PER,12-May-11,11/00444/B
Erection of 15m high monopole with 3 antennas and 2 equipment cabins,Manx Telecom Base Station Ballafletcher Farm Road Cronkbourne Douglas Isle Of Man  ,PERDMC,18-May-11,11/00599/TEL
Change of use of former retail shop to beauty salon / aesthetics clinic and wellbeing centre (retrospective) including lower ground floor to an exercise studio and third floor as additional treatment rooms,Heavenly Beauty 2 King Street Douglas Isle Of Man IM1 2BA,PER,25-Jan-11,10/01601/C
erection of a replacement dwelling and garage,74 King Edward Road Onchan Isle Of Man IM3 2AU,PER,21-Jan-11,10/01363/B
"Erection of a field shelter, extension of hardcore track (both retrospective), erection of a barn and creation of a hardcore yard area",Field Number 134889 Lezayre Road Glen Tramman Ramsey Isle Of Man  ,REF,06-May-11,10/01491/B
Alterations to existing store,Former Woolworths 32 - 36 Strand Street Douglas Isle Of Man IM1 2EG ,PER,21-Jan-11,10/01557/B
Installation of a flue to rear of dwelling,Bay View 23 Manor Park Onchan Isle Of Man IM3 2EW ,PER,11-Jul-11,11/00727/B
Installation of replacement windows to front and rear elevations,31 Woodburn Square Douglas Isle Of Man IM1 4DD ,PER,14-Jul-11,11/00765/B
Installation of replacement door and windows to front elevation,5 Hilary Road Douglas Isle Of Man IM2 3EG,PER,14-Jul-11,11/00766/B
Alterations and extension to dwelling and landscaping works,Queig 5 Faaie-Ny-Cabbal Kirk Michael Isle Of Man IM6 2HS,PER,26-Jul-11,11/00767/B
Erection of conservatory,102A Summerhill Road Onchan Isle Of Man IM3 1NJ,PER,18-Jul-11,11/00769/B
Alterations and extension to dwelling (Amendment to PA 10/01061/B),Thie-My-Chree Quarterbridge Road Douglas Isle Of Man IM2 3RH,PER,10-Jan-11,10/01666/B
Erection of a replacement extension to dwelling,Grianane Keeill Pharick Glen Vine Isle Of Man IM4 4EW ,PER,07-Feb-11,10/01669/B
Installation of replacement windows,Cardle Chapel Corony Ramsey Isle Of Man IM7 1ES ,REF,07-Feb-11,10/01670/B
Erection of conservatory to rear elevation,7 Douglas Road Ballasalla Isle Of Man IM9 2EQ,PER,16-Jun-11,11/00622/B
Alterations and extension to dwelling and creation of new driveway and access,10 Westlands Close Ramsey Isle Of Man IM8 3PU,PER,28-Jun-11,11/00647/B
"Alterations, erection of extensions to dwelling and replacement garage",48 Victoria Road Castletown Isle Of Man IM9 1ED,PER,01-Jul-11,11/00649/B
Alterations and erection of an extension to dwelling,116 Cronk Liauyr Douglas Isle Of Man IM2 5LL,PER,05-Apr-11,11/00224/B
Erection of a replacement dwelling,Hillside View Gordon Peel Isle Of Man IM5 3AR ,PER,23-May-11,11/00337/B
Extend existing driveway,The Mariners South Cape Laxey Isle Of Man IM4 7JB ,PER,09-May-11,11/00383/B
Installation of solar panels to dwelling,Thalloo Vell Cordeman Road St Marks Ballasalla Isle Of Man IM9 3AJ,PER,06-May-11,11/00385/B
Alterations and erection of extension to dwelling,43 Auburn Road Onchan Isle Of Man IM3 1LP,PER,09-May-11,11/00386/B
Erection of an extension to dwelling,39 Ballahane Close Port Erin Isle Of Man IM9 6EQ,PER,07-Feb-11,10/01697/B
Change of use of room for tattoo business,144 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JG,REF,28-Jan-11,10/01702/C
