Decisions issued under delegated authority 1/1/11 - 31/12/11,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
"Re- roofing of warehouse units B, C and D",Warehouse Units  (Former Crosby Wholesalers) Main Road Crosby Isle Of Man IM4 4BN ,PER,06-Jan-11,10/01769/B
Installation of replacement windows and doors to rear elevation,28 Murrays Road Douglas Isle Of Man IM2 3HP ,PER,06-May-11,11/00408/B
Erection of fencing and gates (Retrospective),Ballig Farm Jurby East Isle Of Man IM7 3HD ,PER,13-Jun-11,11/00567/B
"Alterations, erection of extension and first floor extension to dwelling",La Serene Little Mill Road Onchan Isle Of Man IM4 5BQ,PER,14-Mar-11,11/00123/B
Alterations and erection of an extension to dwelling house,60 Ballabrooie Way Douglas Isle Of Man IM1 4HB,PER,11-Jan-11,10/01488/B
Alterations and extension to dwelling (Amendment to PA 10/01305/B),Thie Ain Douglas Road Peel Isle Of Man IM5 1JW,PER,09-May-11,11/00394/B
Create additional living accommodation from existing garage,6 Orchard View Douglas Isle Of Man IM2 1QU ,PER,01-Mar-11,11/00104/B
Alterations and extensions to rear elevation to integrate no 36 Athol Street with no's 38-42 Athol Street,36 - 42 Athol Street Douglas Isle Of Man IM1 1JB,PER,10-Jan-11,10/00912/B
Erection of an extension to replace existing conservatory,Barham  Maine Avenue Port Erin Isle Of Man IM9 6LX,PER,10-Jan-11,10/01643/B
Installation of replacement windows and doors,6 Douglas Road Ballabeg Castletown Isle Of Man IM9 4EG,PER,24-Jan-11,10/01853/B
Formation and operation of a public car park following the demolition of school building,Albert Road School Albert Road Ramsey Isle Of Man IM8 1JB,PER,05-Apr-11,11/00168/B
Conversion of existing buildings into two residential dwellings with associated garages,50 & 50A Allan Street Douglas Isle Of Man ,PER,08-Feb-11,10/01848/B
Alterations and erection of an extension to dwelling house,30 High View Road Douglas Isle Of Man IM2 5BH,PER,21-Jan-11,10/01513/B
Erection of a boiler house extension with associated flues and hardstanding fuel delivery area,QEII High School Douglas Road Peel Isle Of Man IM5 1RD ,PER,26-Jan-11,10/01855/B
Erection of a two storey extension to side elevation,4 Larch Hill Douglas Isle Of Man IM2 5NQ,PER,05-Apr-11,11/00199/B
Erection of signage (Retrospective),Fencing On Land At Carrs Road Junction With Johnny Wattersons Lane Carrs Road Tromode Douglas Isle Of Man  ,REF,14-Feb-11,11/00012/B
Alterations and extensions to dwelling,Briardene Main Road Baldrine Isle Of Man IM4 6DU,PER,20-Jan-11,10/01798/B
Installation of replacement front first floor windows,Hillsdene Quarterbridge Road Douglas Isle Of Man IM2 3RF ,PER,14-Jul-11,11/00772/B
Erection of cedar boarding to rear elevation of dwelling (Retrospective),Cooline Grove Mount Ramsey Isle Of Man IM8 3HQ,PER,31-Jan-11,10/01826/B
Erection of a two storey extension to side elevation,101 Ballabrooie Avenue Douglas Isle Of Man IM1 4HA,PER,31-Jan-11,10/01857/B
Installation of replacement windows to front and rear elevations,Flat 4 Silverbay 8 Derby Road Douglas Isle Of Man IM2 3ET,PER,24-Jan-11,10/01824/B
Installation of replacement windows to front and rear elevations,3 Rosemount Douglas Isle Of Man IM1 3HQ,PER,14-Feb-11,11/00020/B
Conversion of existing accommodation to provide three residential flats and alterations to shop front,2 Ridgeway Street Douglas Isle Of Man IM1 1EL,PER,07-Apr-11,10/01884/B
Erection of a two storey extension to dwelling,14 Heywood Close Onchan Isle Of Man IM3 3AE,PER,14-Mar-11,11/00133/B
Installation of a replacement front door,30 Melbourne Street Douglas Isle Of Man IM2 3HE,PER,01-Mar-11,11/00098/B
Extension to garage,5 Sunnybank Avenue Onchan Isle Of Man IM3 3BN,PER,14-Jul-11,11/00742/B
Creation of temporary construction track and access (Retrospective),Part Of Field 521815 Vicarage Road Douglas Isle Of Man  ,PER,21-Feb-11,11/00017/B
Installation of replacement windows,The Old School Cronk Road Ballaugh Isle Of Man IM7 5AT,PER,26-Jan-11,10/01825/B
Erection of sun lounge to replace existing conservatory,28 Groudle View Onchan Isle Of Man IM3 2EY,PER,14-Jul-11,11/00762/B
Conversion of shop units and adjacent mall to a youth centre including the installation of entrance doors,"Units H2, J, I & U Victoria Mall Parliament Street Ramsey Isle Of Man IM8 1AZ ",PER,24-Jan-11,10/01849/B
Approval in principle for erection of three dwellings,Gardens And Grounds  Thie Varrey The Colony Port Lewaigue Maughold  Ramsey Isle Of Man  ,REF,08-Mar-11,11/00095/A
