Decisions issued under delegated authority 1/1/14 - 31/12/14,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Installation of replacement windows to front and rear elevations,Apartment 18  Marlborough Court Castle Terrace Central Promenade Douglas Isle Of Man IM2 4LH ,REF,16-Jun-14,14/00436/B
Erection of extension to side elevation,5 Park Road Ramsey Isle Of Man IM8 3AR,PER,22-May-14,14/00437/B
Alterations and extensions to dwelling,Farndon Mateland Drive Laxey Isle Of Man IM4 7NF,PER,20-Oct-14,14/00438/B
"Installation of replacement windows, replacement timber fascia board, alterations to flat roof and new external box gutter",K Block  Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE ,PER,22-May-14,14/00439/B
Variation of condition 1 of approval for dwelling (PA 08/01376/REM) to extend permission for a further year,Plot 4 Highfield Glen Vine Drive Glen Vine Isle Of Man  ,PER,03-Jun-14,14/00440/VAR
Variation of condition 1 of approval for dwelling (PA 08/01377/REM) to extend permission for a further year,Plot 5 Highfield Glen Vine Drive Glen Vine Isle Of Man  ,PER,03-Jun-14,14/00441/VAR
Erection of extension to side elevation,6 Lhag Beg Port Erin Isle Of Man IM9 6LZ,PER,22-May-14,14/00442/B
Demolition of existing stone boundary wall to rear of store and erection of a replacement wall to replicate original,Co-operative Store   Michael Street Peel Isle Of Man IM5 1HB,PER,13-Jun-14,14/00444/B
Door/window and access ramp alterations to premises,Spar Shop Main Road Colby Isle Of Man IM9 4LR ,PER,14-Feb-14,13/91451/B
Reduction in size of kitchen window,11 Ballalough Estate Andreas Isle Of Man IM7 4HS,PER,22-Jan-14,13/91455/B
Erection of extension to replace existing conservatory and alterations,Bolyn Mount Rule Douglas Isle Of Man IM4 4HT ,PER,22-Aug-14,14/00851/B
Installation of replacement windows to ground floor front and side elevations,New Haven Mill Road Ballasalla Isle Of Man IM9 2EG,PER,30-Oct-14,14/01110/B
Erection of a single storey extension to replace existing conservatory,1 Strathallan Park Onchan Isle Of Man IM3 1NP,PER,20-Oct-14,14/01111/B
Creation of memorial garden in south western corner of grounds,Arbory Parish Hall Main Road Ballabeg Castletown Isle Of Man IM9 4LE,PER,14-Nov-14,14/01112/B
Alterations and extension to dwelling,59 Howe Road Onchan Isle Of Man IM3 2AY,PER,30-Oct-14,14/01113/B
Extension to existing apartment development to provide ground floor garages and first floor apartment,Block 1 Oakhill Court Douglas Isle Of Man IM2 2NJ,REF,11-Dec-14,14/01219/B
Variation of condition 1 of approved PA 10/00952/B (alterations including the conversion of upper floors into three apartments) to extend period of permission,22 Duke Street Douglas Isle Of Man IM1 2AY ,PER,09-Dec-14,14/01221/B
Conversion of premises from retail and residential to entirely residential (retrospective),3 Strand Road Port Erin Isle Of Man IM9 6HE ,PER,23-Dec-14,14/01333/B
Installation of roof lights and additional gable end window,16 Hillcroft Douglas Isle Of Man IM2 7DW,PER,23-Dec-14,14/01334/B
Erection of illuminated signage,Spar Main Road Colby Isle Of Man IM9 4LR ,PER,20-Feb-14,14/00026/D
Installation of replacement windows,12 Bank Street Castletown Isle Of Man IM9 1AT ,REF,18-Mar-14,14/00151/B
Erection of advertising signage (retrospective),Unit 16A  Snugborough Trading Estate Union Mills Isle Of Man IM4 4LG,REF,16-Jun-14,14/00530/D
Erection of a porch extension to side elevation,Bluebell Cottage Patrick Road St Johns Isle Of Man IM4 3BR,PER,31-Jul-14,14/00693/B
Erection of a single storey dwelling with integral garage,Land To Rear Of Point House Marine Terrace Port St. Mary Isle Of Man  ,PER,20-Feb-14,14/00011/B
Additional use of residential dwelling as tourist accommodation,2 Sunnyside Terrace Minorca Hill Laxey Isle Of Man IM4 7EE ,PER,17-Mar-14,14/00111/C
Change of use from existing estate agency to a beauty salon,29 Duke Street Douglas Isle Of Man IM1 2AZ,PER,29-Apr-14,14/00113/C
Installation of replacement front doors,14 Athol Street Douglas Isle Of Man IM1 1JA ,PER,28-Mar-14,14/00197/B
