"Application Number","Details","Local Authority","Date"
"22/01083/B","Construction of 33no light industrial/storage units, alterations to existing infrastructure together with alterations to the existing warehouse and demolition of existing office block Isle Of Man Breweries Distribution Centre\nOld Castletown Road\nDouglas\nIsle Of Man\nIM2 1QG","DOUGLAS","30 Sep 2022"
"23/01226/B","Use of plots of 60 and 62 Snaefell Road as a temporary site storage compound (partial retrospective) lasting until March 2026. Former Site Of 60 And 62\nSnaefell Road\nDouglas\nIsle Of Man\n\n","DOUGLAS","24 Oct 2023"
"24/00897/B","Erection of a shed 18 Farmhill Park\nDouglas\nIsle Of Man\nIM2 2EE\n","DOUGLAS","9 Aug 2024"
"24/90919/B","Conversion of offices on upper floors into three apartments 39 Bucks Road\nDouglas\nIsle Of Man\nIM1 3DE\n","DOUGLAS","13 Aug 2024"
"24/90926/B","Erection of external lift shaft Ellan Vannin Home\nKingswood Grove\nDouglas\nIsle Of Man\nIM1 3LX\n","DOUGLAS","13 Aug 2024"
"24/90932/B","Location of a 20ft storage-shipping container for Police Workshop Garage Police Headquarters\nDukes Avenue\nDouglas\nIsle Of Man\nIM2 4RG\n","DOUGLAS","14 Aug 2024"
"24/90944/B","Installation of replacement windows 114 Bucks Road\nDouglas\nIsle Of Man\nIM1 3AH\n","DOUGLAS","13 Aug 2024"
"24/00537/C","Change of use of existing ancillary accommodation and parts of the existing garden to a dwellinghouse and a self-contained tourist accommodation Moaney Woods Cottage\nLonan Church Road\nLaxey\nIsle Of Man\nIM4 7JX\n","GARFF","8 May 2024"
"24/90923/B","Erection of an extension to North East elevation Vale House\nMain Road\nGreeba\nIsle Of Man\nIM4 2DX\n","GERMAN","12 Aug 2024"
"24/00896/B","Redevelopment of the site to create 2 retail units and 2 light industrial units, including relocation of the existing forecourt canopy and pumps. Ballasalla Airport Garage\nDouglas Road\nBallasalla\nIsle Of Man\nIM9 2AN\n","MALEW","14 Aug 2024"
"24/00795/B","Replacement of conservatory with sunroom extension including amendment of roofline and installation of solar photovoltaic panels to southern roof slope 10 Queen Margaret Road\nGlen Vine\nIsle Of Man\nIM4 4ET\n","MAROWN","13 Aug 2024"
"24/90906/B","Replacement of existing conservatory with an extension 6 Marine View Close\nOnchan\nIsle Of Man\nIM3 1BQ\n","ONCHAN","13 Aug 2024"
"24/90948/B","Variation of Condition 6 of PA 22/00155/B - alteration of bin storage to accommodate the storage of Manx Utilities smart meters Stanley House\nSecond Avenue\nOnchan\nIsle Of Man\nIM3 4LT\n","ONCHAN","14 Aug 2024"
"24/00881/B","Installation of air source heat pump to front elevation of building Arrasey Barn\nArrasey Road\nGlen Maye\nIsle Of Man\nIM5 3BY\n","PATRICK","13 Aug 2024"
"24/00807/B","Variation of condition 2 of PA 21/00255/C to amend opening times: Monday to Friday 0800 to 1830 Saturday 0800 to 1300 Sunday closed 2 Crown Street\nPeel\nIsle Of Man\nIM5 1AJ\n","PEEL","12 Aug 2024"
"24/90913/B","Variation of condition 1 of 20/01166/B to extend the period for work to begin by a further four years Corrin Hall\nDerby Road\nPeel\nIsle Of Man\nIM5 1HH\n","PEEL","8 Aug 2024"
"24/90945/B","Installation of replacement front door 29 Church Street\nPeel\nIsle Of Man\nIM5 1HN\n","PEEL","13 Aug 2024"
"24/90946/B","Installation of replacement windows and door 17 Church Street\nPeel\nIsle Of Man\nIM5 1HN\n","PEEL","14 Aug 2024"
"24/00895/B","Installation of a roof lantern to rear flat roof and modification of the window arrangement on the rear and side elevation (retrospective) Methodist Church Hall\nStation Road\nPort Erin\nIsle Of Man\nIM9 6AB\n","PORT ERIN","9 Aug 2024"
"24/00890/D","Installation of illuminated and non-illuminated signage Supermarket\nBowring Road\nRamsey\nIsle Of Man\nIM8 2LL\n","RAMSEY","12 Aug 2024"
"24/90922/C","Change of use from tourist accommodation to residential (retrospective) Thie Sonney\nMay Hill\nRamsey\nIsle Of Man\nIM8 2HJ\n","RAMSEY","13 Aug 2024"
"24/90920/B","Widening existing drive, demolition of sunroom, removal of chimney stack, extension of existing patio and installation of patio canopy Garraghan\nChristeens Way\nBallakillowey\nColby\nIsle Of Man\nIM9 4BG\n","RUSHEN","13 Aug 2024"
"24/00892/B","Removal of existing render, installation of French doors and change of use from residential to tourist accommodation Mwyllin Y Quinney\nOld Castletown Road\nSanton\nIsle Of Man\nIM4 1EX\n","SANTON","13 Aug 2024"
