"Application Number","Details","Local Authority","Date"
"24/00328/B","Installation of 4 x 9-metre wooden telegraph poles with associated overhead wires. Larivane Close\nAndreas\nIsle Of Man\n\n","ANDREAS","21 Mar 2024"
"24/00330/B","Installation of 11 x 9-metre wooden telegraph poles with associated overhead wires. Ballalough Estate\nAndreas\nIsle Of Man\n\n","ANDREAS","21 Mar 2024"
"24/00293/B","Conversion of and alterations to existing cow shed to provide ancillary living accommodation (retrospective) Ballamaddrell Farm\nGrenaby Road\nBallabeg\nCastletown\nIsle Of Man\nIM9 4HD\n","ARBORY","21 Mar 2024"
"24/00352/B","Erection of an agricultural building Part Field 425317\nThe Friary \nMain Road\nBallabeg\nCastletown\nIsle Of Man\n\n\n","ARBORY","27 Mar 2024"
"24/00260/B","Installation of five 9 metre and one 10 metre wooden telegraph poles with associated overhead wires Ballaterson Fields \nBallaugh\nIM7 5AW\n\n","BALLAUGH","21 Mar 2024"
"24/00283/B","Conversion of unit into Sim Centre The Factory\nUnion Mills Industrial Estate\nMain Road\nUnion Mills\nIsle Of Man\nIM4 4AB\n","BRADDAN","22 Mar 2024"
"24/00326/B","Replacement of existing conservatory and rear extension with a single storey kitchen extension Cherry Tree Lodge\nStrang Road\nUnion Mills\nIsle Of Man\nIM4 4NL\n","BRADDAN","21 Mar 2024"
"24/00197/B","Remove garage door and replace it with a upvc central door with fixed glass panels either side Shellag\nChapel Hill\nBride\nIsle Of Man\nIM7 4BH\n","BRIDE","22 Mar 2024"
"24/00309/C","Additional use as tourist accommodation Mill Tower\nArbory Road\nCastletown\nIsle Of Man\nIM9 1HA\n","CASTLETOWN","21 Mar 2024"
"24/00329/B","Installation of 3 x 9-metre wooden telegraph poles with associated overhead wires. 1-20 Raad Ny Gabbil\nCastletown\nIsle Of Man\n\n","CASTLETOWN","21 Mar 2024"
"24/00363/B","Installation of replacement windows and doors at rear of property 43 Arbory Street\nCastletown\nIsle Of Man\nIM9 1LL\n","CASTLETOWN","22 Mar 2024"
"24/00189/C","Additional use of ground floor room bedroom as a photography studio 5 Ballaughton Park\nDouglas\nIsle Of Man\nIM2 1LA\n","DOUGLAS","22 Mar 2024"
"24/00302/B","First-floor extension over existing garage creating new master bedroom and ensuite, and small single storey extension to the rear of the property 24 Harcroft Avenue\nDouglas\nIsle Of Man\nIM2 1PD\n","DOUGLAS","21 Mar 2024"
"24/00310/B","Residential Development Comprised of 109 Apartments and Associated Infrastructure Land Adjacent To Quay West Apartments, River Douglas And Lake Road\nDouglas\nIsle Of Man\n","DOUGLAS","27 Mar 2024"
"24/00323/B","Erection of a garden room to the rear of the property Deansgate\nLucerne Court\nDouglas\nIsle Of Man\nIM2 6BJ\n","DOUGLAS","20 Mar 2024"
"24/00358/C","Additional use of site as a Food festival with associated facilities and craft market for the period 27th May 2024 set up to the 8th June 2024 St Ninians Church Grounds\nBallaquayle Road\nDouglas\nIsle Of Man\nIM2 4BY\n","DOUGLAS","27 Mar 2024"
"24/00204/B","Erection of a conservatory to rear elevation 4 Park Close\nGlen Vine\nIsle Of Man\nIM4 4HB\n","MAROWN","22 Mar 2024"
"24/00331/B","Installation of 9 x 9-metre wooden telegraph poles with associated overhead wires. Howe Road\nOnchan\nIsle Of Man\n\n","ONCHAN","21 Mar 2024"
"24/00314/B","Erection of a block of 20 light industrial units Land East Of Unit 3\nClock Tower Industrial Estate\nFoxdale\nIsle Of Man\nIM4 3HF\n","PATRICK","21 Mar 2024"
"24/00295/C","Change of use from a warehouse to a martial arts school The Warehouse To The Rear Of \n34 Michael Street\nPeel\nIsle Of Man\nIM5 1HD\n","PEEL","21 Mar 2024"
"24/00306/C","Additional use as self-catering tourist accommodation 5 Charles Street\nPeel\nIsle Of Man\nIM5 1AF\n","PEEL","21 Mar 2024"
"24/00227/B","Installation of 12 x 9-metre wooden telegraph poles with associated overhead wires. Claughbane Estate\nRamsey\nIM8 2BH\n","RAMSEY","22 Mar 2024"
"24/00234/B","Installation of 6 x 9-metre wooden telegraph poles with associated overhead wires. Fairways Drive, Ramsey \nRamsey\nIM8 2BA\n\n","RAMSEY","22 Mar 2024"
"24/00332/B","Erection of three mobile huts to be used as changing cubicles Temp Beach Changing Shelters\nMooragh Promenade\nRamsey\nIsle Of Man\n\n","RAMSEY","21 Mar 2024"
