"Application Number","Details","Local Authority","Date"
"24/00134/B","Demolition of existing single storey flat roof garage, utility room and UPVC sunroom. To be replaced with a pitched roof kitchen extension and single storey garage & utility. 5 Cronk Y Thatcher\nColby\nIsle Of Man\nIM9 4LN\n","ARBORY","14 Feb 2024"
"24/00131/B","Redevelopment of an existing Sure Mobile site that will consist of replacing the current slimline pole with a new 10 meter slimline lattice with multiple mobile panel antennas/dishes/radio kit with associated ground equipment cabinets. Cable And Wireless Site 320\nSnugborough Trading Estate\nUnion Mills\nIsle Of Man\nIM4 4LH\n","BRADDAN","8 Feb 2024"
"24/00140/B","Redevelopment of an existing Sure Mobile site that will consist of replacing the current lattice tower with a new 15 meter slimline lattice tower with multiple mobile panel antennas & radio kit with associated ground equipment cabinets. Restart Unit\nIsle Of Man Business Park\nBraddan\nIsle Of Man\nIM2 2QZ\n","BRADDAN","7 Feb 2024"
"24/00147/B","Installation of replacement windows and roof lights 30 The Crofts\nCastletown\nIsle Of Man\nIM9 1LZ\n","CASTLETOWN","13 Feb 2024"
"24/00159/CON","Registered Building Consent for demolition of the rear wall of existing property to form opening for new extension. Refer to planning application 23/01508/B. 85 Malew Street\nCastletown\nIsle Of Man\nIM9 1LX\n","CASTLETOWN","8 Feb 2024"
"23/01424/B","Replacement of existing, derelict three apartment building with a block of six apartments, together with associated parking and facilities and public highway improvements. Sea Court\nVictoria Road\nDouglas\nIsle Of Man\n\n","DOUGLAS","18 Dec 2023"
"23/01462/C","Change of use of ground floor office space into 1 bedroom apartment. Office\n5 - 6 Goldie Terrace\nDouglas\nIsle Of Man\nIM1 1EB\n","DOUGLAS","7 Feb 2024"
"24/00038/B","Installation of new front door set, parapet capping sheets, repoint boundary wall and installation of replacement roof covering, roof light and render to rear elevation and paint to match the existing 25 Fort Street\nDouglas\nIsle Of Man\nIM1 2LJ\n","DOUGLAS","13 Feb 2024"
"24/00084/B","Outdoor seating area with awning over Nelson House\n2 Prospect Hill\nDouglas\nIsle Of Man\n\n","DOUGLAS","8 Feb 2024"
"24/00135/B","Planning approval for demolition of all existing buildings on site and replacement with a building accommodating shop (Class 1.1) or food and drink floorspace (Class 1.3) on the ground floor with seven apartments (Class 3.4) and associated bin and cycle storage 6 And 8 Bridge Road\nDouglas\nIsle Of Man\nIM1 5AG\n","DOUGLAS","8 Feb 2024"
