"Application Number","Details","Local Authority","Date"
"24/91126/B","Variation of Condition 2 of PA18/00322/B to allow Air Source Heat Pump to be installed and connected. 18 Ballastrooan\nColby\nIsle Of Man\nIM9 4NR\n","ARBORY","1 Oct 2024"
"24/00713/A","Approval in principle for residential development, with access taken from main road Land Adjacent To Main Road, Trollaby Lane, And Residential Area Of Strang Road\nUnion Mills\nIsle Of Man IM4\n\n","BRADDAN","26 Jun 2024"
"24/91125/C","Change of use to include the display, sale, storage & distribution, maintenance, assembly & repair of disability equipment Unit 46\nSpring Valley Industrial Estate\nDouglas\nIsle Of Man\nIM2 2QS\n","BRADDAN","1 Oct 2024"
"24/01145/CON","Registered Building Consent for replacement of thatched roof with local marram grass. Cranstal Cottage\nCranstal\nBride\nIsle Of Man\nIM7 4BP\n","BRIDE","2 Oct 2024"
"24/91064/C","Additional use of self-contained room within detached garage for dog grooming Wyncote\nBrookfield Avenue\nCastletown\nIsle Of Man\nIM9 1TL\n","CASTLETOWN","27 Sep 2024"
"24/01058/D","Installation of illuminated and non-illuminated signage Former Winerite Supermarket Unit\n22 Victoria Road\nDouglas\nIsle Of Man\nIM2 4EZ\n","DOUGLAS","2 Oct 2024"
"24/91067/B","Proposed new external door to garage and erection of car port 82 Eary Veg\nDouglas\nIsle Of Man\nIM2 5LZ\n","DOUGLAS","27 Sep 2024"
"24/91144/B","Installation of two Air Source Heat Pumps Sulby Methodist Church\nMain Road\nSulby\nIsle Of Man\nIM7 2HP\n","LEZAYRE","2 Oct 2024"
"23/00239/B","The erection of a purpose built medicinal cannabis production facility and headquarters with new electricity substation, landscaping, access and parking with associated infrastructure Land To West Of The Rlc Building \nRonaldsway Business Park\nBallasalla\nIsle Of Man\nIM9 2RY\n","MALEW","16 Mar 2023"
"24/91102/B","Garage conversion to provide tourist accommodation Kingsley Farm\nBallamodha Straight\nBallasalla\nIsle Of Man\nIM9 3EL\n","MALEW","26 Sep 2024"
"24/91103/B","Replace existing Chicken Shed with two Pod structures for Tourist Accommodation Kingsley Farm\nBallamodha Straight\nBallasalla\nIsle Of Man\nIM9 3EL\n","MALEW","26 Sep 2024"
"24/01133/CON","Registered building consent to demolish existing brick shed Lilac Cottage\nMain Road\nKirk Michael\nIsle Of Man\nIM6 2HG\n","MICHAEL","2 Oct 2024"
"24/91105/B","Installation of a flue 52 Slieau Curn Park\nKirk Michael\nIsle Of Man\nIM6 1EL\n","MICHAEL","27 Sep 2024"
"24/91062/B","Erection of stable building Field 534081\nBibaloe Beg Road\nOnchan\nIsle Of Man\n\n","ONCHAN","26 Sep 2024"
"24/91101/B","Creation of a driveway and vehicular access 13 Groudle Road\nOnchan\nIsle Of Man\nIM3 2EH\n","ONCHAN","26 Sep 2024"
"24/91068/B","Replace existing rear conservatory with an extension and realign existing retaining wall 23 Perwick Road\nPort St. Mary\nIsle Of Man\nIM9 5PA\n","PORT ST MARY","27 Sep 2024"
"24/91093/C","Additional Use of Apartment 5 as Tourist Accommodation 5 The Elms\nLezayre Road\nRamsey\nIsle Of Man\nIM8 2TA\n","RAMSEY","26 Sep 2024"
"24/91123/B","Replacement of existing slate roof. Burnville Court\nMooragh Promenade\nRamsey\nIsle Of Man\nIM8 3AH\n","RAMSEY","1 Oct 2024"
