"Application Number","Details","Local Authority","Date"
"24/00468/B","Redevelopment of an existing Sure Mobile site that will consist of replacing the current lightweight lattice tower with a new 8 meter slimline lattice tower with multiple mobile panel antennas/dishes/radio kit with associated ground equipment and boundary fence Sure Mobile Site \nField 114490\nWest Kimmeragh Farm\nBride\nIM7 4BA\n","BRIDE","25 Apr 2024"
"24/00500/B","Erection of a detached building to store private vehicles, equipment and vehicles associated with site maintenance, solar panel associated equipment and log storage The Grange\nBride\nIsle Of Man\nIM7 4AT\n","BRIDE","29 Apr 2024"
"24/00520/CON","Affixing of blue commemorative plaque to exterior wall Railway Station\nVictoria Road\nCastletown\nIsle Of Man\nIM9 1EF\n","CASTLETOWN","1 May 2024"
"24/00237/B","Erection of wooden summer house in back garden 18 Ballaughton Manor Hill\nDouglas\nIsle Of Man\nIM2 1NZ\n","DOUGLAS","30 Apr 2024"
"24/00410/C","Change of use from shop (1.1) to hot food takeaway (1.4) and food and drink (1.3) 66 Bucks Road\nDouglas\nIsle Of Man\nIM1 3AF\n","DOUGLAS","30 Apr 2024"
"24/00472/B","Extended Balcony, New Sliding Doors to Replace Window & Blocking Up Doorway 31 Reayrt Carnane\nDouglas\nIsle Of Man\nIM2 5LN\n","DOUGLAS","26 Apr 2024"
"24/00478/C","Change of Use from offices to dwelling. 25 Hope Street\nDouglas\nIsle Of Man\nIM1 1AR\n","DOUGLAS","24 Apr 2024"
"24/00480/B","Installation of replacement roof with additional rooflight (retrospective) 5 And 6 Wimbledon Court\nDouglas\nIsle Of Man\nIM2 3LY\n","DOUGLAS","25 Apr 2024"
"24/00481/B","Installation of replacement windows 12 Brighton Terrace\nDouglas\nIsle Of Man\nIM1 4AP\n","DOUGLAS","30 Apr 2024"
"24/00492/B","Replacement of bay window with flush window to front elevation. Re-rendering of external walls. Lynton\n25 Terence Avenue\nDouglas\nIsle Of Man\nIM2 5BN\n","DOUGLAS","25 Apr 2024"
"24/00502/B","Demolition of stone wall and creation of off road parking to front of property (retrospective) 8 Victoria Place\nDouglas\nIsle Of Man\nIM2 4ET\n","DOUGLAS","29 Apr 2024"
