"Application Number","Details","Local Authority","Date"
"24/00606/C","Change of use to storage compound, siting of shipping container, erection of summerhouse, erection of fence and vehicle access (retrospective) Unit 25\nThe Old Airfield\nBraust\nAndreas\nIsle Of Man\nIM7 4JB\n","ANDREAS","28 May 2024"
"24/00596/C","Additional use of ten parking spaces for overnight parking and occupation by ten motorhomes The Wildlife Park\nThe Curragh\nBallaugh\nIsle Of Man\nIM7 5EA\n","BALLAUGH","28 May 2024"
"24/00615/B","Application for the removal of condition 4 of planning permission 23/01021/B Unit 2\nSpring Valley Industrial Estate\nDouglas\nIsle Of Man\nIM2 2QR\n","BRADDAN","29 May 2024"
"24/00576/B","Installation of replacement balustrade to front and rear balconies 18 Brewery Wharf\nCastletown\nIsle Of Man\nIM9 1EU\n","CASTLETOWN","29 May 2024"
"24/00578/B","Installation of replacement balustrade to front and rear balconies 19 Brewery Wharf\nCastletown\nIsle Of Man\nIM9 1EU\n","CASTLETOWN","29 May 2024"
"24/00616/B","Rear extension, steps/new access, renovation of windows/front door, upgrading of front elevation to original stone, and additional use as tourist accommodation. 32 Queen Street\nCastletown\nIsle Of Man\nIM9 1PA\n","CASTLETOWN","29 May 2024"
"24/00538/B","Replace existing brickwork on front elevation with cladding 15 Cronk Drean\nDouglas\nIsle Of Man\nIM2 6AX\n","DOUGLAS","29 May 2024"
"24/00577/B","Installation of a replacement shop front, front door and three air conditioning units to rear elevation 16 Prospect Terrace\nWoodbourne Road\nDouglas\nIsle Of Man\nIM1 3AL\n","DOUGLAS","29 May 2024"
"24/00579/B","Erection of a rear extension; reconfiguration of fence line to the rear. 34 Ballakermeen Close\nDouglas\nIsle Of Man\nIM1 4HU\n","DOUGLAS","28 May 2024"
"24/00589/B","Installation of replacement windows and doors 15 Primrose Avenue\nDouglas\nIsle Of Man\nIM1 4EA\n","DOUGLAS","28 May 2024"
"24/00611/GB","Replacement roof to the single storey side extension, erection of decking, the installation of an air source heat pump and the creation of two doors in existing window openings (retrospective) 2 Victoria Terrace\nDouglas\nIsle Of Man\nIM2 4EU\n","DOUGLAS","29 May 2024"
"24/00617/B","Variation of condition 5 of planning consent 21/00527/B to permit stays of up to 14 days in the motorhome aire in the Boneyard of Noble\'s Park. Hardstanding To Rear Of Grandstand\nNobles Park\nDouglas\nIsle Of Man\n\n","DOUGLAS","29 May 2024"
"24/00624/B","Installation of 13 replacement third floor windows Jubilee Buildings\nVictoria Street\nDouglas\nIsle Of Man\n\n","DOUGLAS","24 May 2024"
"24/00630/B","Replacement of existing front door and surround 27 Hutchinson Square\nDouglas\nIsle Of Man\nIM2 4HP\n","DOUGLAS","21 May 2024"
"24/00590/C","Additional use of two parking spaces for overnight parking and occupation by two motorhomes Axnfell Plantation Car Park\nChibbyr Pheric Road\nGlen Roy\nLaxey\nIsle Of Man\n\n","GARFF","28 May 2024"
"24/00603/B","Variation of condition 1 of PA 21/01308/B (Creation of Viking Settlement for education and entertainment purposes including erection of buildings and means of access) to extend the period of approval for a further three years Kattegat\nJurby Road\nSandygate\nRamsey\nIsle Of Man\nIM7 3AG\n","JURBY","28 May 2024"
"24/00106/B","Demolition of existing dwelling; construction of 2 replacement dwellings; minor relocation of existing entrance and formation of new entrance East View \nSulby Bridge\nSulby\nIM7 2EU\n","LEZAYRE","8 Feb 2024"
"24/00534/B","Conversion of existing redundant storage barn to provide a residential dwelling Barn Adj To Field 134413\nChurchtown\nRamsey\nIsle Of Man\n\n","LEZAYRE","28 May 2024"
"24/00580/B","Removal of chimney stacks, internal alterations and removal of one window (partially retrospective) Kerrowmooar\n5 Greeba Avenue\nGlen Vine\nIsle Of Man\nIM4 4ED\n","MAROWN","24 May 2024"
"24/00562/A","Approval in Principle for the erection of a detached dwelling with driveway and access, addressing the means of access 24 Birch Hill Grove\nOnchan\nIsle Of Man\nIM3 4EN\n","ONCHAN","28 May 2024"
"24/00595/B","Installation of replacement windows and render works to front elevation 29 Majestic Drive\nOnchan\nIsle Of Man\nIM3 2JL\n","ONCHAN","24 May 2024"
"24/00569/B","Demolition of existing former Empire Garage Showroom, workshop and garages building, and erection of seven dwellings with new road, parking, external works, foul and surface water drainage and reinstatement of the roads and pavements The Former Empire Garage Showroom \nMarine Parade\nPeel,\nIM5 1PA\n\n","PEEL","29 May 2024"
"24/00570/CON","Registered Building Consent for demolition elements to PA 24/00569/B The Former Empire Garage Showroom \nMarine Parade\nPeel,\nIM5 1PA\n","PEEL","29 May 2024"
"24/00597/B","Replacement of existing external front door 12 Gib Lane\nPeel\nIsle Of Man\nIM5 1PD\n","PEEL","28 May 2024"
"24/00608/GB","Removal of railings from external boundary wall (in association with 24/00609/CON) St Pauls Church\nMarket Place West\nRamsey\nIsle Of Man\nIM8 1JJ\n","RAMSEY","28 May 2024"
"24/00609/CON","Registered building consent for removal of railings (in association with 24/00608/GB) St Pauls Church\nMarket Place West\nRamsey\nIsle Of Man\nIM8 1JJ\n","RAMSEY","28 May 2024"
"24/00631/B","Installation of replacement front doors 2 And 3 Barrack Lane\nRamsey\nIsle Of Man\nIM8 1BE\n","RAMSEY","28 May 2024"
