"Application Number","Details","Local Authority","Date"
"24/00673/B","Erection of detached replacement dwelling, including extension to rear of existing garage Driftwood\nDogmills\nRamsey\nIsle Of Man\nIM7 4AD\n","BRIDE","17 Jun 2024"
"24/00652/B","Installation of a flue 6A Arbory Road\nCastletown\nIsle Of Man\nIM9 1HB\n","CASTLETOWN","14 Jun 2024"
"24/00694/B","Installation of replacement windows, doors and rooflights. 104 - 106 Malew Street\nCastletown\nIsle Of Man\nIM9 1LS\n","CASTLETOWN","13 Jun 2024"
"24/00695/B","Erection of roof canopy over ground floor front elevation doors 15 Brewery Wharf\nCastletown\nIsle Of Man\nIM9 1EU\n","CASTLETOWN","19 Jun 2024"
"24/00697/B","Installation of three replacement windows to rear elevation 7 The Crofts\nCastletown\nIsle Of Man\nIM9 1LY\n","CASTLETOWN","18 Jun 2024"
"24/00649/C","Additional use of residential apartment to provide tourist accommodation 1 Imperial Court\nCastle Hill\nDouglas\nIsle Of Man\nIM2 4AA\n","DOUGLAS","19 Jun 2024"
"24/00659/C","Additional use of dwelling for the running of a beauty business 18 Ballakermeen Drive\nDouglas\nIsle Of Man\nIM1 4HN\n","DOUGLAS","14 Jun 2024"
"24/00672/B","Installation of replacement windows 60 Woodbourne Road\nDouglas\nIsle Of Man\nIM1 3AW\n","DOUGLAS","13 Jun 2024"
"24/00674/B","Erection of purpose built self storage facility over two levels with associated car parking and fencing Plot 8 Middle River Industrial Estate\nPulrose Road\nDouglas\nIsle Of Man\n\n","DOUGLAS","19 Jun 2024"
"24/00680/B","Installation of replacement windows 1 Switzerland Terrace\nDouglas\nIsle Of Man\nIM2 4NQ\n","DOUGLAS","17 Jun 2024"
"24/00681/B","Widening off driveway and vehicular access and porch alterations (retrospective) 6 Woodlands Close\nDouglas\nIsle Of Man\nIM2 3QT\n","DOUGLAS","18 Jun 2024"
"24/00698/B","Conversion of guesthouse (Class 3.1), involving the installation of an extended dormer to front elevation, to provide four residential apartments (Class 3.4) 16 Belmont Terrace\nDouglas\nIsle Of Man\nIM1 4NH\n","DOUGLAS","18 Jun 2024"
"24/00688/B","Erection of a terrace, remove existing conservatory, erection of an extension, replace metal guarding with glass balustrade on existing terrace and alterations to windows and doors Ballarye\nRamsey Road\nLaxey\nIsle Of Man\nIM4 7PS\n","GARFF","17 Jun 2024"
"24/00661/B","Erection of detached garage / carport Cronkbreck House\nMain Road\nGreeba\nIsle Of Man\nIM4 3LG\n","GERMAN","18 Jun 2024"
"24/00317/C","Additional use of paddock adjacent to house as campsite Paddock (Field 132027) Adjacent To Glen Duff House\nLezayre Road\nRamsey\nIsle Of Man IM7 2AT\n\n","LEZAYRE","19 Mar 2024"
"24/00657/B","Erection of extension to replace conservatory, extension to create a porch, installation of render and composite timber cladding, window and door alterations, creation of a walled garden with swimming pool and hard and soft landscaping works Loughen E Yeigh \nBayr Ny Hayrey\nLezayre\nIM7 2AU\n","LEZAYRE","14 Jun 2024"
"24/00530/CON","Registered Building Consent for demolition elements to PA 24/00528/B Abbey Mill Lodge\nBridge Road\nBallasalla\nIsle Of Man\nIM9 3DA\n","MALEW","14 Jun 2024"
"24/00675/B","Erection of ground floor and first floor extensions to dwelling and erection of a detached garage with living space above Walden\nPhildraw Road\nBallasalla\nIsle Of Man\nIM9 3EG\n","MALEW","19 Jun 2024"
"24/00678/C","Additional use of ancillary buillding as occasional tourist accommodation. Ballagarey Faaie\nMain Road\nGlen Vine\nIsle Of Man\nIM4 4AZ\n","MAROWN","17 Jun 2024"
"24/00685/C","Change of Use from former Doctors Surgery to a Shop with office 75 Main Road\nOnchan\nIsle Of Man\nIM3 1AJ\n","ONCHAN","17 Jun 2024"
"24/00662/B","Installation of a replacement front door The Workshop\nOrry Lane\nPeel\nIM5 1NN\n","PEEL","13 Jun 2024"
"24/00684/B","Installation of replacement windows 8 Mona Street\nPeel\nIsle Of Man\nIM5 1HJ\n","PEEL","17 Jun 2024"
"24/00701/B","Erection of boundary fence 3 Ballellis\nBallawattleworth Estate\nPeel\nIsle Of Man\nIM5 1WZ\n","PEEL",""
"24/00051/B","Demolition of existing derelict structure and garage and construction of a three storey dwelling with integral garage, associated parking, ground works and landscaping Land Adjacent To Roy Cottage\nBradda East\nPort Erin\nIsle Of Man\n\n","PORT ERIN","5 Feb 2024"
"24/00668/B","Installation of replacement windows Lincluden\n9 Glenview Terrace\nPort Erin\nIsle Of Man\nIM9 6HA\n","PORT ERIN","19 Jun 2024"
"24/00600/B","Erection of a single storey rear sunroom to replace existing conservatory and block in existing window to side elevation Oystercatcher\n2 Perwick Rise\nPerwick Road\nPort St. Mary\nIsle Of Man\nIM9 5QA\n","PORT ST MARY","17 Jun 2024"
"24/00660/B","Erection of a rear porch and a part stone / timber rear boundary wall The Old Bakehouse\nAthol Street\nPort St Mary\nIsle Of Man\nIM9 5DS\n","PORT ST MARY","18 Jun 2024"
"24/00664/B","Demolition of conservatory and erection of a single storey extension to the rear elevation 3 Kallow Point Road\nPort St Mary\nIsle Of Man\nIM9 5EJ\n","PORT ST MARY","18 Jun 2024"
"24/00545/B","Erection of a detached garden room Cronk Moar Farm\nShore Road\nStrandhall\nCastletown\nIsle Of Man\nIM9 4PL\n","RUSHEN","17 Jun 2024"
