"Application Number","Details","Local Authority","Date"
"24/00706/B","Erection of single storey extensions and installation of a flue Oatlands Lodge\nOatlands Road\nAndreas\nIsle Of Man\nIM7 4ER\n","ANDREAS","25 Jun 2024"
"24/00714/B","Erection of rear extension and first floor extension over existing garage 15 Larivane Meadows\nAndreas\nIsle Of Man\nIM7 4JE\n","ANDREAS","26 Jun 2024"
"24/00648/B","Erection of two-storey side extension Squeen Lodge\nStation Road\nBallaugh\nIsle Of Man\nIM7 5AH\n","BALLAUGH","21 Jun 2024"
"24/00667/C","Additional use as tourist accommodation Thie Eden\nBallamona Road\nBallaugh\nIsle Of Man\nIM7 5BB\n","BALLAUGH","20 Jun 2024"
"24/00665/B","Erection of an external canopy to existing service yard B&Q\nUnit 35\nSpring Valley Industrial Estate\nDouglas\nIsle Of Man\nIM2 2QT\n","BRADDAN","20 Jun 2024"
"24/00719/B","Erection of a rear extension Bride Cottage\nBride\nIsle Of Man\nIM7 4AT\n","BRIDE","26 Jun 2024"
"24/00542/B","Single-storey extension at rear of property (in association with 24/00618/CON) 8 Somerset Road\nDouglas\nIsle Of Man\nIM2 5AD\n","DOUGLAS","24 Jun 2024"
"24/00618/CON","Registered Building Consent for demolition elements to PA 24/00542/B 8 Somerset Road\nDouglas\nIsle Of Man\nIM2 5AD\n","DOUGLAS","24 Jun 2024"
"24/00693/B","Erection of detached garage with hobby room above Highfield\nBelmont Road\nDouglas\nIsle Of Man\nIM1 4NR\n","DOUGLAS","24 Jun 2024"
"24/00705/B","Replace wooden fence between two stone walls with a stone wall (retrospective) Switzerland Road \nRear Of Piccadilly Court\nQueens Promenade\nDouglas\nIM2 4NS\n\n","DOUGLAS","26 Jun 2024"
"24/00717/D","Installation of digital advertising screen Palace Hotel And Restaurant\nPalace Buildings\nCentral Promenade\nDouglas\nIsle Of Man\nIM2 4NA\n","DOUGLAS","26 Jun 2024"
"24/00591/B","Erection of tourist accommodation unit on site Thie Ny Claghyn\nMaughold\nIsle Of Man\nIM7 1ED\n","GARFF","20 Jun 2024"
"24/00683/B","Erection of equestrian building Field 624110\nBallagilley Farm\nGooseneck Road\nHibernia\nRamsey\nIsle Of Man\nIM7 1EP\n","GARFF","25 Jun 2024"
"24/00696/B","Extension and conversion of garage to living space including WC and snug. First floor extension on proposed garage footprint 14 Ballellis\nBallawattleworth Estate\nPeel\nIsle Of Man\nIM5 1WZ\n","GERMAN","20 Jun 2024"
"24/00700/B","Installation of replacement roof with roof lights and solar panels Tynwald Mills\nSt Johns\nIsle Of Man\nIM4 3AD\n","GERMAN","26 Jun 2024"
"24/00691/B","Widening of driveway to 6m to allow for side-by-side parking of 2 vehicles. 9A St Stephens Meadow\nSulby\nIsle Of Man\nIM7 3DA\n","LEZAYRE","21 Jun 2024"
"24/00581/B","Installation of exercise equipment The Old Railway Line \nAdjacent Kerrocruin \nKirk Michael\nIM6 1HG\n","MICHAEL","25 Jun 2024"
"24/00679/A","Approval in principle to construct a new residential dwelling Land Adjacent To Cammal Beg\nDouglas Road\nKirk Michael\nIsle Of Man\nIM6 1AU\n","MICHAEL","21 Jun 2024"
"24/00699/B","Removal of chimney stack from rear roof slope 18 School Road\nOnchan\nIsle Of Man\nIM3 4LA\n","ONCHAN","26 Jun 2024"
"24/00718/A","Approval in Principle for erection of detached dwelling house. Joe Gawnes\nAthol Lane\nPort St Mary\nIsle Of Man\n\n","PORT ST MARY","24 Jun 2024"
"23/00421/B","Conversion from commercial to residential 3 Collins Lane\nRamsey\nIsle Of Man\nIM8 1AL","RAMSEY","25 Apr 2023"
"24/00689/CON","Registered Building Consent for demolition aspects to PA 24/00690/B 2A Water Street\nRamsey\nIsle Of Man\nIM8 1JP\n","RAMSEY","20 Jun 2024"
"24/00690/B","Demolition of the rear annex and its replacement with two storey rear annex extension; alteration / renovation works to front elevation (in association with 24/00689/CON) 2A Water Street\nRamsey\nIsle Of Man\nIM8 1JP\n","RAMSEY","20 Jun 2024"
"24/00702/D","Installation of non-illuminated vinyl signage 11 - 12 St Pauls Square\nRamsey\nIsle Of Man\nIM8 1LE\n","RAMSEY","26 Jun 2024"
"24/00722/B","Widen existing vehicular access, installation of a flue and satellite dish and formation of additional parking 29 Cooil Breryk\nRamsey\nIsle Of Man\nIM8 3HL\n","RAMSEY","26 Jun 2024"
"24/00720/B","Variation of Condition 1 to PA 22/00077/B (Erection of dwelling and attached garage with annex and creation of vehicular access) for an extension of time for a further 2 to 4 years Land Adjacent To Longmead\nBallakillowey Road\nColby\nIsle Of Man\n\n","RUSHEN","26 Jun 2024"
