"Application Number","Details","Local Authority","Date"
"24/90998/B","The replacement of 6 no. front windows and 1 no. front door. Ivydene\nMain Road\nBallabeg\nCastletown\nIsle Of Man\nIM9 4HA\n","ARBORY","29 Aug 2024"
"24/90992/B","Existing single-storey ground floor garage, utility and kitchen/dining to be replaced with new single-storey structure with first floor existing dormer replaced with extended pitched roof stairwell and bathroom. Replacement to side and rear of property. 24 Scarlett Road\nCastletown\nIsle Of Man\nIM9 1NU\n","CASTLETOWN","30 Aug 2024"
"24/01009/CON","Registered Building Consent for demolition elements to PA 24/91010/B 2 Osborne Terrace\nDouglas\nIsle Of Man\nIM1 3LH\n","DOUGLAS","4 Sep 2024"
"24/90899/B","Installation of a mobile site on the Shopping Centre roof consisting of four separate frame structures with associated antennas and radio kit located in each corner of the rooftop and a centralised equipment cabinet and power cabinet Strand Shopping Centre\nDouglas\nIsle Of Man\nIM1 2ER\n","DOUGLAS","4 Sep 2024"
"24/90980/B","Installation of external personnel door on east elevation; change use of building from brewery and associated offices into a gymnasium with associated facilities Former Brewery\nLeigh Terrace\nDouglas\nIsle Of Man\nIM1 5AL\n","DOUGLAS","4 Sep 2024"
"24/90996/B","Installation of replacement windows and doors 37 Lancaster Road\nDouglas\nIsle Of Man\nIM2 5BB\n","DOUGLAS","29 Aug 2024"
"24/91004/B","Installation of replacement windows and doors and creation of double doors from an existing rear window 15 Hatfield Grove\nDouglas\nIsle Of Man\nIM1 3HE\n","DOUGLAS","4 Sep 2024"
"24/91010/B","Installation of replacement front boundary wall and railings 2 Osborne Terrace\nDouglas\nIsle Of Man\nIM1 3LH\n","DOUGLAS","4 Sep 2024"
"24/91024/B","Erection of tent, access lanes and signage on circus beach to facilitate a purpose-built customs area with search bays. Sea Terminal\nVictoria Pier\nDouglas\nIsle Of Man\nIM1 2BX\n","DOUGLAS","4 Sep 2024"
"24/91025/B","Installation of two replacement windows to front elevation 2 Chapel Terrace\nGlen Road\nLaxey\nIsle Of Man\nIM4 7AQ\n","GARFF","2 Sep 2024"
"24/90981/B","Erection of polytunnel and micro wind turbine Lambfell Beg\nCronk Y Voddy\nSt Johns\nIsle Of Man\nIM4 3NS\n","GERMAN","30 Aug 2024"
"24/91026/B","Replacement of roof Dunelm\n10 Balladoyne Estate\nSt Johns\nIsle Of Man\nIM4 3LX\n","GERMAN","4 Sep 2024"
"22/01337/B","Replacement of existing agricultural buildings to accommodate a veterinary practice with associated equine facilities, alterations to access, provision of associated car parking and additional use of adjacent fields by horses as well as agricultural use Fields 435404, 434625, 435206 & Part Field 435205\nBallaglea Farm\nBallamodha Straight\nBallamodha\nBallasalla\nIsle Of Man\n\n","MALEW","7 Nov 2022"
"24/91032/B","Erection of summerhouse in rear garden The Nab\nTop Road\nCrosby\nIsle Of Man\nIM4 4HL\n","MAROWN","4 Sep 2024"
"24/01005/D","Installation of illuminated and non-illuminated signage (retrospective) Supermarket\nThe Village Walk\n4 Birchleigh Terrace\nOnchan\nIsle Of Man\nIM3 4EA\n","ONCHAN","4 Sep 2024"
"24/90985/B","Replacement of conservatory roof with new tiled roof to match main house roof. Installation of flue to rear of house (retrospective) Thie Corneil\n6 Maple Close\nOnchan\nIsle Of Man\nIM3 3JS\n","ONCHAN","4 Sep 2024"
"24/90995/B","Conversion of existing garage to create wheelchair accessible en-suite off master bedroom with garden store, including raising of roof level. 31 King Edward Park\nOnchan\nIsle Of Man\nIM3 2AB\n","ONCHAN","28 Aug 2024"
"24/91038/B","Erection of a summer house to rear garden 19 Banks Howe\nOnchan\nIsle Of Man\nIM3 2EN\n","ONCHAN","4 Sep 2024"
"24/90993/B","Alterations, erection of extensions and landscaping works Peace House\nLhoobs Road\nEairy\nIsle Of Man\nIM4 3JA\n","PATRICK","3 Sep 2024"
"24/90986/B","Replacement front door, and front and rear windows 19 Church Street\nPeel\nIsle Of Man\nIM5 1HN\n","PEEL","28 Aug 2024"
"24/91013/B","Installation of replacement windows and doors 6 Charles Street\nPeel\nIsle Of Man\nIM5 1AF\n","PEEL","30 Aug 2024"
"24/91033/B","Installation of a replacement front door 10 Mona Street\nPeel\nIsle Of Man\nIM5 1HJ\n","PEEL","3 Sep 2024"
"24/91002/B","Replace existing glazed porch with a masonry porch and replace rear steps with enlarged steps and patio area 9 Fairway Drive\nPort Erin\nIsle Of Man\nIM9 6LR\n","PORT ERIN","4 Sep 2024"
"24/90982/C","Additional use of a downstairs en-suite bedroom as an osteopathic treatment room 2 The Brambles\nClaughbane Walk\nRamsey\nIsle Of Man\nIM8 2JP\n","RAMSEY","29 Aug 2024"
"24/91007/B","Installation of refrigeration and Gas Coolers with an acoustic close boarded fence erected around Supermarket\nBowring Road\nRamsey\nIsle Of Man\nIM8 2LL\n","RAMSEY","3 Sep 2024"
