"Application Number","Details","Local Authority","Date"
"24/00733/B","Creation of compound for storage of commercial vehicles Land West Of Unit 6B\nThe Old Airfield\nBraust\nAndreas\nIsle Of Man\nIM7 4JB\n","ANDREAS","17 Jul 2024"
"24/00793/B","First floor extension over garage and conversion of garage to living accommodation; alteration to vehicular access 16 Ballalough Estate\nAndreas\nIsle Of Man\nIM7 4HT\n","ANDREAS","17 Jul 2024"
"24/00780/B","Removal of chimney stack 17 Cronk Y Thatcher\nColby\nIsle Of Man\nIM9 4LN\n","ARBORY","16 Jul 2024"
"24/00796/B","Erection of an agricultural building Ballig Farm\nWest Baldwin\nIsle Of Man\nIM4 5EU\n","BRADDAN","17 Jul 2024"
"24/00745/B","Extensions and alterations to create new dwelling (in association with 24/00746/CON) Ship Inn\nHope Street\nCastletown\nIsle Of Man\nIM9 1AS\n","CASTLETOWN","11 Jul 2024"
"24/00746/CON","Registered Building Consent for demolition aspects to PA 24/00745/B Ship Inn\nHope Street\nCastletown\nIsle Of Man\nIM9 1AS\n","CASTLETOWN","11 Jul 2024"
"24/00666/B","Alterations to existing access to create a parking space at rear of property (retrospective) 33 Marathon Avenue\nDouglas\nIsle Of Man\nIM2 4JB\n","DOUGLAS","17 Jul 2024"
"24/00711/B","Extension to front of existing garage and provision of widened garage doors. Amendment to the aperture of 2 no. bedroom windows to create patio door openings onto a proposed balcony with framed glazed balustrades. Ravens Nest\n118 Slieau Dhoo\nDouglas\nIsle Of Man\nIM2 5LF\n","DOUGLAS","11 Jul 2024"
"24/00753/B","Variation of condition 2 of Planning Application: 22/01155/B - to extend the opening hours of the KFC store from 10:30 - 00:00 to 24 Hours. KFC\nPeel Road\nDouglas\nIsle Of Man\nIM1 5EE\n","DOUGLAS","11 Jul 2024"
"24/00775/B","Alterations to external elevations to include re-rendering, cladding, replacement windows Nelson House\n2 Prospect Hill\nDouglas\nIsle Of Man\nIM1 1EJ\n","DOUGLAS","12 Jul 2024"
"24/00777/B","Installation of hand rail to flat roof and stairs to provide access to garden 11 Leigh Terrace\nDouglas\nIsle Of Man\nIM1 5AN\n","DOUGLAS","12 Jul 2024"
"24/00779/B","Detached garage conversion to ancillary accommodation Struan\nQuarterbridge Road\nDouglas\nIsle Of Man\nIM2 3RL\n","DOUGLAS","12 Jul 2024"
"24/00782/GB","Alterations and refurbishment works to dwelling and creation of parking area off Victoria Place (in association with RB consent application 24/00784/CON) 10 Victoria Terrace\nDouglas\nIsle Of Man\nIM2 4EU\n","DOUGLAS","17 Jul 2024"
"24/00784/CON","Registered building consent for alterations and refurbishment works including replacement roof and windows - RB 187 (in association with application 2400782/GB). 10 Victoria Terrace\nDouglas\nIsle Of Man\nIM2 4EU\n","DOUGLAS","17 Jul 2024"
