"Application Number","Details","Local Authority","Date"
"24/00217/B","Erection of a detached building to be used as a garage for the existing dwelling and residential annex of additional accommodation Orchard Cottage\nOatlands Road\nAndreas\nIsle Of Man\nIM7 4ET\n","ANDREAS","6 Mar 2024"
"24/00255/B","Removal of chimney stack 1 Larivane Cottage\nKiondroghad Road\nAndreas\nIsle Of Man\nIM7 3EL\n","ANDREAS","5 Mar 2024"
"24/00201/B","Erection of ground floor extensions and first floor extension to dwelling and widening of driveway to provide additional parking. First floor extension to provide self-contained annexe with additional tourist use 17 Cronk Drine\nUnion Mills\nIsle Of Man\nIM4 4NG\n","BRADDAN","4 Mar 2024"
"24/00233/CON","Registered Building Consent for internal alterations to courtroom and witness room in Outer Gatehouse - RB 24 Castle Rushen\nThe Quay\nCastletown\nIsle Of Man\nIM9 1LD\n","CASTLETOWN","5 Mar 2024"
"24/00195/D","Replace existing illuminated external shop signs with illuminated letters and logo sign above door 50 Broadway And 4 Victoria Road\nDouglas\nIsle Of Man\nIM2 4EW\n","DOUGLAS","5 Mar 2024"
"24/00209/B","Refurbishment of existing annex to provide ancillary accommodation and garage for residential / tourist use Rear Annex \nOff Stanley Place\n16 Stanley Terrace\nDouglas\nIM2 4EP\n","DOUGLAS","29 Feb 2024"
"24/00219/B","Erection of a flat roof to replace a lean-to roof and provide cover to an existing yard with alterations to the property (Retrospective) 11 Leigh Terrace\nDouglas\nIsle Of Man\nIM1 5AN\n","DOUGLAS","6 Mar 2024"
"24/00221/B","Conversion of property to provide five apartments 5 Mona Drive\nDouglas\nIsle Of Man\nIM2 4LG\n","DOUGLAS","5 Mar 2024"
"24/00238/B","Single storey extension to the rear of the property to create a new sunroom. 21 Crovens Close\nDouglas\nIsle Of Man\nIM2 7AH\n","DOUGLAS","29 Feb 2024"
"24/00240/B","Erection of a detached dwelling with garage and vehicular access (previously approved under PA 23/00793/B) Land Adjacent To\nElmwood\nSomerset Road\nDouglas\nIsle Of Man\n\n","DOUGLAS","4 Mar 2024"
"24/00243/B","Replace existing rear conservatory with new sun room and removal of internal wall 14 Cedar Walk\nDouglas\nIsle Of Man\nIM2 5NG\n","DOUGLAS","4 Mar 2024"
"24/00248/CON","Registered building consent for maintenance and repair of facade - RB 192 Spectrum Apartments\nCentral Promenade\nDouglas\nIsle Of Man\nIM2 4JL\n","DOUGLAS","4 Mar 2024"
"24/00267/B","Installation of a replacement window Flat 3\n20 Hutchinson Square\nDouglas\nIsle Of Man\nIM2 4HS\n","DOUGLAS","4 Mar 2024"
"24/00279/B","Installation of replacement window 23 Hutchinson Square\nDouglas\nIsle Of Man\nIM2 4HP\n","DOUGLAS","5 Mar 2024"
"23/00388/B","Construction of seven detached houses and associated infrastructure Fields 612727 & 612728\nBaldrine Farm\nBaldrine Road\nBaldrine\n\n\n\n","GARFF","5 Apr 2023"
"24/00229/A","Approval in principle for the erection of a detached dwelling Land North Of Honeysuckle Cottage\nMines Road\nLaxey\nIsle Of Man\nIM4 7NH\n","GARFF","29 Feb 2024"
"24/00236/B","Alterations to site levels (retrospective) Field No. 612879 Abutting Fir Trees\nClay Head Road\nBaldrine\nIsle Of Man\nIM4 6DP\n","GARFF","5 Mar 2024"
"24/00249/B","Installation of replacement conservatory; installation of replacement windows and door to main dwelling. Hawthorn Cottage\nMaughold\nIsle Of Man\nIM7 1AS\n","GARFF","4 Mar 2024"
"24/00211/C","Change of use from home office to self-contained tourist accommodation (use class 3.6). Erection of carport, wind turbine & polytunnel. Lambfell Beg\nCronk Y Voddy\nSt Johns\nIsle Of Man\nIM4 3NS\n","GERMAN","29 Feb 2024"
"24/00241/C","Extension of residential curtilage into land previously approved as Public Open Space 42 Shimmin Road\nReayrt Mie\nBallasalla\nIsle Of Man\nIM9 2BU\n","MALEW","5 Mar 2024"
"24/00254/C","Outside parking, storage and use of building for maintenance for a HGV vehicle MM Unit 1\nOld Mart Place\nColas Drives\nBalthane Industrial Estate\nBalthane\nBallasalla\nIsle Of Man\nIM9 2AQ\n","MALEW","5 Mar 2024"
"24/00268/B","Installation of replacement windows to rear elevation Croit-Ny-Kiyt\nCrossag Road\nBallasalla\nIsle Of Man\nIM9 3EF\n","MALEW","4 Mar 2024"
"24/00212/D","New Village Noticeboard Adjacent Old Railway Track \nFire & Rescue Station\nStation Road\nKirk Michael\nIM6 1ER","MICHAEL","5 Mar 2024"
"24/00213/D","Village Noticeboard Site Adjacent To \nCommissioners Offices \nMain Road\nKirk Michael\nIM6 1ER","MICHAEL","5 Mar 2024"
"24/00214/D","New Village Noticeboard Car Park\nMain Road\nKirk Michael\nIsle Of Man\n\n","MICHAEL","5 Mar 2024"
"24/00215/D","Village Noticeboard Rhencullen Parking Area\nOrrisdale Road\nOrrisdale\nKirk Michael\nIsle Of Man\n\n","MICHAEL","5 Mar 2024"
"24/00245/B","Alterations and additions to provide 2 bedrooms and dormer at first floor level 38 Seafield Close\nOnchan\nIsle Of Man\nIM3 3BU\n","ONCHAN","4 Mar 2024"
"24/00265/B","Installation of 2 new windows Unit 18C\nTromode Estate\nCarrs Lane\nTromode\nDouglas\nIsle Of Man\nIM4 4RG\n","ONCHAN","5 Mar 2024"
"24/00284/B","Removal of a chimney stack 8 Whitebridge Road\nOnchan\nIsle Of Man\nIM3 4HS\n","ONCHAN","6 Mar 2024"
"24/00207/B","Replacement of existing rear Conservatory with a single storey extension 7 Cushag Drive\nBallawattleworth Estate\nPeel\nIsle Of Man\nIM5 1WX\n","PEEL","28 Feb 2024"
"24/00208/B","Widening of driveway entrance, removal of existing chimneys and replacement of existing roof tiles 22 Queens Drive\nPeel\nIsle Of Man\nIM5 1BQ\n","PEEL","29 Feb 2024"
"24/00218/B","Replace current single-glazed windows and 2 fire doors with double-glazed windows and new doors. Fairfield\nAthol Park\nPort Erin\nIsle Of Man\nIM9 6EX\n\n","PORT ERIN","6 Mar 2024"
"24/00244/B","Extension of dwelling off rear elevation - replace garage doors with door / window - replace living room window with doors - alteration of bathroom window. Hill View\nOcean Castle Drive\nPromenade\nPort Erin\nIsle Of Man\nIM9 6LU\n","PORT ERIN","4 Mar 2024"
"23/00744/B","Full approval for a residential development comprising up to 153 dwellings and community uses with associated highway and pedestrian access and infrastructure, drainage, landscaping and public open space together with approval in principle for a primary school on land at Vollan Fields together with enhancement of existing habitat on land to the east of Royal Park Land At Vollan Field No\'s 131042, 131043, 135315 And 135318\nLand East Of Royal Park Field No\'s 131085 And 135140\nAndreas Road\nRamsey\nIsle Of Man\nIM7 4EA","RAMSEY","3 Jul 2023"
"24/00194/B","Erection of a three storey extension on the north elevation (alteration to PA 19/00176/B), extensions to the lower ground floor, and variation of condition 2 of PA 19/00176/B to allow a total of three bedrooms in the whole house to be used as tourist TT/MGP accommodation. Beach House\nStanley Mount East\nRamsey\nIsle Of Man\nIM8 1NP\n","RAMSEY","5 Mar 2024"
"24/00250/C","Additional use of residential dwelling as tourist accommodation Thie Grennaugh\nClaughbane Road\nRamsey\nIsle Of Man\nIM8 2HL\n","RAMSEY","5 Mar 2024"
"24/00272/B","Installation of replacement front doors 2 And 3 Barrack Lane\nRamsey\nIsle Of Man\nIM8 1BE\n","RAMSEY","4 Mar 2024"
