"Application Number","Details","Local Authority","Date"
"24/91042/B","Construction of 1no industrial unit to form a covered operational waste transfer station, including fencing alterations. Operational Service Centre\nIsle Of Man Business Park\nDouglas\nIsle Of Man\nIM2 2QY\n","BRADDAN","31 Oct 2024"
"24/01209/CON","Registered Building Consent for demolition aspects to PA 24/91207/B 17A Victoria Street\nDouglas\nIsle Of Man\nIM1 2LW\n","DOUGLAS","4 Nov 2024"
"24/91225/B","Sun lounge extension including retaining wall to rear garden 27 Farmhill Lane\nDouglas\nIsle Of Man\nIM2 2EF\n","DOUGLAS","1 Nov 2024"
"24/91230/B","Conversion of building from 3 apartments to single dwelling house. Demolition of rear annexe and erection of 2-car garage with roof terrace Salalah House\n34 Peel Road\nDouglas\nIsle Of Man\nIM1 4LY\n","DOUGLAS","5 Nov 2024"
"24/91241/B","Replacement of conservatory with rear extension with log burner and flue; installation of bifold doors to rear elevation 3 Pinehurst Avenue\nDouglas\nIsle Of Man\nIM2 1PQ\n","DOUGLAS","5 Nov 2024"
"24/91242/B","Installation of a flue Dorian\n33 Albany Road\nDouglas\nIsle Of Man\nIM2 3NE\n","DOUGLAS","5 Nov 2024"
"24/91245/B","Installation of replacement windows and doors 25 - 27 Victoria Street\nDouglas\nIsle Of Man\nIM1 2LG\n","DOUGLAS","6 Nov 2024"
"24/91258/B","Installation of roof windows & flue within rear annex 57 Woodbourne Road\nDouglas\nIsle Of Man\nIM2 3AF\n","DOUGLAS","6 Nov 2024"
"24/91232/B","Installation of 4 solar panels to rear elevation of detached garage Dhrynane House\nMaughold\nIsle Of Man\nIM7 1AS\n","GARFF","1 Nov 2024"
"24/91244/B","Alterations and extension to front porch; installation of flue to north elevation; extension of pitched roof at rear and creation of windows and rooflights 49 Ard Reayrt\nLaxey\nIsle Of Man\nIM4 7QP\n","GARFF","5 Nov 2024"
"24/91112/B","Erection of three tourist camping pods, star-gazing platform, sauna and associated drainage and car parking Bridge House\nWest Baldwin\nIsle Of Man\nIM4 5HA\n","MAROWN","6 Nov 2024"
"24/91212/B","Conversion of existing outbuilding to ancillary family accommodation Ballacarnane Mooar Farm\nPeel Road\nKirk Michael\nIsle Of Man\nIM6 1HN\n","MICHAEL","6 Nov 2024"
"24/00497/B","Conversion of grassed car parking area to hardstanding Knockaloe Mart\nPatrick Village\nIsle Of Man\nIM5 3AJ\n","PATRICK","10 May 2024"
"24/91238/B","Replacement dwelling on the site of an existing timber framed cottage Briardale\nBelle Vue\nPeel\nIsle Of Man\nIM5 1UH\n","PEEL","31 Oct 2024"
"24/91247/B","Sun lounge extension to rear and first floor extension over garage 45 Oak Park\nPeel\nIsle Of Man\nIM5 1XH\n","PEEL","6 Nov 2024"
"24/01254/CON","Registered Building Consent for demolition aspects to PA 24/91213/B The Old Bakehouse\nAthol Street\nPort St Mary\nIsle Of Man\nIM9 5DS\n","PORT ST MARY","5 Nov 2024"
"24/91224/B","Alterations and conversion of existing garage to home office (Retrospective) 1 Creggan Mooar\nPort St Mary\nIsle Of Man\nIM9 5BB\n","PORT ST MARY","31 Oct 2024"
"24/91229/B","Conversion of garage to living space Almorah\nFistard Road\nFistard\nPort St Mary\nIsle Of Man\nIM9 5HF\n","PORT ST MARY","5 Nov 2024"
"24/00474/B","Erection of two detached dwellings with garaging and alterations to existing vehicular access Land To Rear Of The Auburns \nNo 19 Lezayre Road\nRamsey\nIM8 2LP\n\n","RAMSEY","1 May 2024"
"24/91175/B","Single storey rear extension to existing dwelling. 22 Royal Park\nRamsey\nIsle Of Man\nIM8 3UF\n","RAMSEY","6 Nov 2024"
