"Application Number","Details","Local Authority","Date"
"24/00377/B","Commercial vehicle storage shed and associated parking spaces Unit 15\nThe Old Airfield\nBraust\nAndreas\nIsle Of Man\nIM7 4JB\n","ANDREAS","3 Apr 2024"
"24/00307/B","Ground floor extension and annex. New garage, driveway and turning area. New door opening and steps to existing ground floor lounge. Fo Ghlion\nBallamoar Lane\nBallaugh\nIsle Of Man\nIM7 5EE\n","BALLAUGH","5 Apr 2024"
"24/00336/B","Two storey extension to create additional bedrooms. 170 Fairways Drive\nMount Murray\nDouglas\nIsle Of Man\nIM4 2JG\n","BRADDAN","5 Apr 2024"
"24/00412/B","Installation of heron sculpture on former swing bridge platform Platform Adjacent To Thirtle Bridge\nCastletown\nIsle Of Man\n","CASTLETOWN","2 Apr 2024"
"24/00378/B","Alterations to raise existing garage roof and to form additional living accommodation within roof space. 4 Belgravia\nDouglas\nIsle Of Man\nIM2 7DL\n","DOUGLAS","5 Apr 2024"
"24/00380/B","Replacement of existing conservatory with new solid sunroom extension 11 First Avenue\nDouglas\nIsle Of Man\nIM2 6BA\n","DOUGLAS","5 Apr 2024"
"24/00394/B","Orangery extension to replace existing conservatory & summerhouse including installation of 2no air sourced heat pumps and 2no air conditioning units externally Deansgate\nLucerne Court\nDouglas\nIsle Of Man\nIM2 6BJ\n","DOUGLAS","4 Apr 2024"
"24/00339/B","Removal of conservatory and replacement with extension and new tiled roof Fir Trees\nClay Head Road\nBaldrine\nIsle Of Man\nIM4 6DP\n","GARFF","5 Apr 2024"
"23/01364/B","Proposed erection of three pole-mounted photovoltaic trackers with associated equipment, containers and parking (part retrospective) Field 434112\nDouglas Road\nBallasalla\nIsle Of Man\n\n","MALEW","19 Dec 2023"
"24/00324/B","Redevelopment of an existing Sure Mobile site that will consist of replacing the current monopole with a new 15 meter slimline lattice with multiple mobile panel antennas/dishes/radio kit with associated ground equipment cabinets and boundary fence. Field 432769\nBallahick Farm\nBallahick Lane\nBallasalla\nIsle Of Man\nIM9 2AD\n","MALEW","4 Apr 2024"
"24/00362/C","Additional use of dwelling as tourist accommodation Clougher Cottage\nBallamodha Straight\nBallamodha\nBallasalla\nIsle Of Man\nIM9 3AZ\n","MALEW","4 Apr 2024"
"24/00356/B","Removal of chimney stack and replacement of concrete tiles with natural slate (retrospective) Upper Ballagrawe Cottage\nWest Baldwin\nIsle Of Man\nIM4 5HA\n","MAROWN","4 Apr 2024"
"24/00354/B","Erection of extension, alteration to entrance, roofing and external wall works, revise and replace windows, creation of a path with associated steps and rear decking 10 Banks Howe\nOnchan\nIsle Of Man\nIM3 2ET\n","ONCHAN","4 Apr 2024"
"24/00387/B","Creation of room in gable extension and single storey rear extension 7 Ballaterson Road\nPeel\nIsle Of Man\nIM5 1BJ\n","PEEL","5 Apr 2024"
"24/00361/B","Replace existing rear external door and window with new window at raised height Beach Shack (Formerly Tag Cashtal), \nShore Road,\nPort Erin\nIM9 6HL\n","PORT ERIN","4 Apr 2024"
"24/00383/B","Installation of refrigeration and gas coolers with an acoustic close-boarded fence erected around. Installation of dock leveller. Supermarket\nBridson Street\nPort Erin\nIsle Of Man\nIM9 6AL\n","PORT ERIN","4 Apr 2024"
"24/00403/B","Erection of a detached garden / craft room Long Close\nGlen Chass Road\nGlen Chass\nPort St Mary\nIsle Of Man\nIM9 5PN\n","RUSHEN","5 Apr 2024"
