"Application Number","Details","Local Authority","Date"
"24/00552/B","Alterations and extensions to dwelling including new porch, roofs, two-storey rear annexe and landscaping works The Rowans\nLoop Road\nWest Craig\nRamsey\nIsle Of Man\nIM7 3BX\n","ANDREAS","28 Jun 2024"
"24/00708/B","Conversion of barn and erection of double garage extension to provide ancillary and tourist accommodation Farrants Fort\nSt Judes\nIsle Of Man\nIM7 2EN\n","ANDREAS","2 Jul 2024"
"24/00709/B","Erection of a replacement multi-purpose agricultural building Field 124768\nFarrants Fort\nSt Judes\nIsle Of Man\nIM7 2EN\n","ANDREAS","2 Jul 2024"
"24/00710/B","Erection of 54 ground-mounted photo-voltaic panels (retrospective) Field 124768\nFarrant\'s Fort \nJurby Road\nSt Judes\nAndreas\nIM7 2EN","ANDREAS","2 Jul 2024"
"24/00713/A","Approval in principle for residential development, with access taken from main road Land Adjacent To Main Road, Trollaby Lane, And Residential Area Of Strang Road\nUnion Mills\nIsle Of Man IM4\n\n","BRADDAN","26 Jun 2024"
"24/00728/B","Installation of replacement front door 23 Primrose Avenue\nDouglas\nIsle Of Man\nIM1 4EA\n","DOUGLAS","28 Jun 2024"
"24/00739/B","Installation of replacement windows Dorian\n33 Albany Road\nDouglas\nIsle Of Man\nIM2 3NE\n","DOUGLAS","2 Jul 2024"
"24/00759/B","Installation of replacement door 3 Westmount\nDouglas\nIsle Of Man\nIM1 4AX\n","DOUGLAS","2 Jul 2024"
"24/00707/B","Remove block walling around patio and replace with glass and stainless-steel balustrade 16 Ballagorry Drive\nGlen Mona\nRamsey\nIsle Of Man\nIM7 1HE\n","GARFF","27 Jun 2024"
"24/00735/C","Additional use as tourist accommodation Ballachrink Cottage\nRhenab Road\nGlen Mona\nRamsey\nIsle Of Man\nIM7 1EL\n","GARFF","2 Jul 2024"
"24/00732/B","Extension to stables to create hay store and erection of a new detached building to create 3No additional stables and an implement store Claddagh Farm\nSulby Bridge\nSulby\nIsle Of Man\nIM7 2EZ\n","LEZAYRE","2 Jul 2024"
"24/00692/GB","Refurbishment and extension of farm buildings to create a centre for Manx speaking/studies (in association with PA 24/00730/CON) Mullinaragher\nMullinaragher Road\nSt Marks\nBallasalla\nIsle Of Man\nIM9 3AQ\n","MALEW","28 Jun 2024"
"24/00730/CON","Registered Building Consent for refurbishment and extension of farm buildings to create a centre for Manx speaking/studies RB 209 (in association with PA 24/00692/GB) Mullinaragher\nMullinaragher Road\nSt Marks\nBallasalla\nIsle Of Man\nIM9 3AQ\n","MALEW","28 Jun 2024"
"24/00731/B","Erection of an extension to existing agricultural building Field 435281\nCrossag Road\nBallasalla\nIsle Of Man\nIM9 3EF\n","MALEW","28 Jun 2024"
"24/00725/B","Installation of replacement windows Kerroocoar\nMain Road\nKirk Michael\nIsle Of Man\nIM6 1ER\n","MICHAEL","27 Jun 2024"
"24/00605/D","Installation of non-illuminated signage to gable wall of clubhouse Onchan AFC Clubhouse\nBlackberry Lane\nOnchan\nIsle Of Man\nIM2 4PD\n","ONCHAN","28 Jun 2024"
"24/00669/B","Re-rendering of a chimney 8 Birchley Terrace\nOnchan\nIsle Of Man\nIM3 4EY\n","ONCHAN","28 Jun 2024"
"24/00723/GB","Installation of replacement windows and doors (in association with 24/00737/CON) 5-7 Queen Street\nPeel\nIsle Of Man\nIM5 1AG\n","PEEL","27 Jun 2024"
"24/00737/CON","Registered Building Consent for Installation of replacement windows and doors (in association with 24/00723/GB) 5-7 Queen Street\nPeel\nIsle Of Man\nIM5 1AG\n","PEEL","27 Jun 2024"
"24/00729/B","Conversion of upper floors from commercial to residential involving creation of additional access, alteration to shop front and formation of rear terrace areas with associated staircase 11 Station Road\nPort Erin\nIsle Of Man\nIM9 6AE\n","PORT ERIN","28 Jun 2024"
"24/00199/B","Conversion of Former Ground Floor Restaurant and First Floor Function Room Into four Apartments, roof alterations for the creation of a second floor terrace for existing apartment. Shipdesign House\nEast Quay\nRamsey\nIsle Of Man\nIM8 1BA\n","RAMSEY","28 Feb 2024"
"24/00474/B","Erection of two detached dwellings with garaging and alterations to existing vehicular access Land To Rear Of The Auburns \nNo 19 Lezayre Road\nRamsey\nIM8 2LP\n\n","RAMSEY","1 May 2024"
