"Application Number","Details","Local Authority","Date"
"24/00857/C","Additional use of land for parking/storage of vehicles associated with Manx Utilities Substation\nRonague Road\nBallabeg\nCastletown\nIsle Of Man\n\n","ARBORY","24 Jul 2024"
"24/00596/C","Additional use of ten parking spaces for overnight parking and occupation by ten motorhomes The Wildlife Park\nThe Curragh\nBallaugh\nIsle Of Man\nIM7 5EA\n","BALLAUGH","28 May 2024"
"24/00854/C","Additional use of land for parking/storage of vehicles associated with Manx Utilities Castletown Primary Sub-Station\nMalew Road\nCastletown\nIsle Of Man\nIM9 4EA\n","CASTLETOWN","23 Jul 2024"
"24/00812/B","Installation of external insulation to include new render finish, removal of chimney stack to rear elevation and widening of gateway 59 Ballabrooie Way\nDouglas\nIsle Of Man\nIM1 4EY\n","DOUGLAS","17 Jul 2024"
"24/00816/GB","Replacement of external protective structure around banking hall dome, relocation of external plant equipment and alteration to fire escape walkway (in association with 24/00837/CON). Isle Of Man Bank\n2 Athol Street\nDouglas\nIsle Of Man\nIM1 1JA\n","DOUGLAS","19 Jul 2024"
"24/00835/B","Installation of replacement windows and patio door 8 Woodburn Square\nDouglas\nIsle Of Man\nIM1 4DB\n","DOUGLAS","18 Jul 2024"
"24/00837/CON","Registered Building Consent for replacement of external protective structure around banking hall dome, relocation of external plant equipment and alteration to fire escape walkway (RB290) Isle Of Man Bank\n2 Athol Street\nDouglas\nIsle Of Man\nIM1 1JA\n","DOUGLAS","19 Jul 2024"
"24/00838/C","Change of use to a dog grooming studio. Unit 7G\nSouth Quay Industrial Estate\nDouglas\nIsle Of Man\nIM1 5AT\n","DOUGLAS","19 Jul 2024"
"24/00849/B","Installation of replacement windows Flat 4\nMarlbrough Court\nAlexander Drive\nDouglas\nIsle Of Man\nIM2 3QH\n","DOUGLAS","22 Jul 2024"
"24/00865/B","Installation of a replacement front door with top light 33 Hildesley Road\nDouglas\nIsle Of Man\nIM2 5AX\n","DOUGLAS","24 Jul 2024"
"24/00756/B","Installation of replacement windows Croit Kilvine\nRencell\nLaxey\nIsle Of Man\nIM4 7BN\n","GARFF","24 Jul 2024"
"24/00853/C","Additional use of land for parking/storage of vehicles associated with Manx Utilities MEA Laxey Primary Sub Station\nMinorca Hill\nLaxey\nIsle Of Man\n\n","GARFF","23 Jul 2024"
"24/00712/B","Replace existing asbestos slate roof with slate tiles Sunnyside\nMain Road\nGreeba\nIsle Of Man\nIM4 3LD\n","GERMAN","17 Jul 2024"
"24/00856/C","Additional use of land for parking/storage of vehicles associated with Manx Utilities Sulby Primary Sub Station\nClenagh Road\nSulby\nIsle Of Man\n\n","LEZAYRE","23 Jul 2024"
"24/00832/B","Creation of first floor extension to dwellinghouse Vaghee Roostey\nTosaby Road\nEairy\nIsle Of Man\nIM4 3JW\n","MALEW","18 Jul 2024"
"24/00785/B","Demolition of existing conservatory. Provision of new single storey extension to provide additional living accommodation. New dormer to rear. Replacement windows throughout. Three Acres\nBallafreer Lane\nUnion Mills\nIsle Of Man\nIM4 4AS\n","MAROWN","18 Jul 2024"
"24/00802/B","Erection of 2 semi-detached dwellings and one commercial building with associated parking and amenity space. Land Adj. Waterfall Hotel\nShore Road\nGlen Maye\nIsle Of Man\nIM5 3BG\n","PATRICK","18 Jul 2024"
"24/00806/D","Erection of non-illuminated signage 7 - 11 Douglas Street\nPeel\nIsle Of Man\nIM5 1BA\n","PEEL","24 Jul 2024"
"24/00764/B","Installation of replacement flat garage roof, installation of replacement first floor glazed structure, door / window alterations to garage, removal of shed structure and creation of off road parking (partial retrospective) Rhenwyllan House\nBeach Road\nPort St Mary\nIsle Of Man\nIM9 5NG\n","PORT ST MARY","24 Jul 2024"
"23/00245/B","Conversion and extension to existing barn to form new dwelling, including associated hard and soft landscaping Existing Barn\nPoylldooey House\nGardeners Lane\nRamsey\nIsle Of Man\n\n","RAMSEY","8 Mar 2023"
"24/00741/A","Approval in Principle for the development of 7.38 hectares of land for a residential-led development Land At Ballachrink\nOff Poylldooey Road\nRamsey\nIsle Of Man\n\n","RAMSEY","9 Jul 2024"
"24/00790/B","Installation of 2 rooflights on south elevation of roof 2 Ballachurry Farm Barn\nDitchfield Lane\nBallafesson\nPort Erin\nIsle Of Man\nIM9 6TW\n","RUSHEN","18 Jul 2024"
"24/00810/B","Conversion of redundant farm outbuilding to form residential unit with single storey extension, replacement of derelict farmhouse with an agricultural building for garaging and storage of domestic and agricultural vehicles with studio/office at first floor Lingague Farm\nBallakilpheric Road\nColby\nIsle Of Man\nIM9 4BR\n","RUSHEN","24 Jul 2024"
