"Application Number","Details","Local Authority","Date"
"24/00224/B","Erection of an extension to an existing agricultural building Balladoole Farm\nBalladoole\nCastletown\nIsle Of Man\nIM9 4PQ\n","ARBORY","26 Feb 2024"
"24/00161/B","The erection of a detached oak-framed and timber clad domestic work shop Ravensdale Castle \nGlen Road\nBallaugh\nIM7 5JB\n","BALLAUGH","28 Feb 2024"
"24/00086/B","Change render of exterior of the house, removal of some black timber from exterior front elevation and removal of a chimney stack Fairholme\n39 Ballanard Road\nDouglas\nIsle Of Man\nIM2 5HB\n","DOUGLAS","26 Feb 2024"
"24/00202/B","Window / door alterations to sun lounge, brick up garage window and enlarge existing patio area 7 Lucerne Court\nDouglas\nIsle Of Man\nIM2 6BJ\n","DOUGLAS","28 Feb 2024"
"24/00222/B","Installation of replacement windows and a door Flat 2\n23 Woodbourne Road\nDouglas\nIsle Of Man\nIM1 3HH\n","DOUGLAS","26 Feb 2024"
"24/00223/B","Installation of replacement windows and a door Flat 3\n23 Woodbourne Road\nDouglas\nIsle Of Man\nIM1 3HH\n","DOUGLAS","26 Feb 2024"
"24/00055/B","Development of 92 dwellings, highways and drainage Infrastructure, and public open space; redevelopment of redundant farm building group at Ballaterson Farm with replacement dwelling and conversion of outbuildings to form tourist accommodation Land Adjacent To Castle View \nNursing Home, Glenfaba Rise And\nPeel Golf Course\nPeel\nIsle Of Man\nIM5 3AB\n","GERMAN","26 Jan 2024"
"24/00154/B","The addition of a fifth container and widened walkway (retrospective) and the variation of Conditions 2 and 4 of PA 22/00757/B, to retain elements of spectator facility on site and in situ Land Adjacent To Glen Moar Mill And \nField 315139, Glen Helen Road\nLaurel Bank\nSt Johns\nIM4 3NN\n","GERMAN","28 Feb 2024"
"24/00163/B","Erection of a single story extension with associated flue Close Ruish\nClenagh Road\nSandygate\nRamsey\nIsle Of Man\nIM7 3AE\n","JURBY","27 Feb 2024"
"24/00191/C","Change use of existing shed from agricultural to domestic storage (retrospective) Braaid Farm\nTop Road\nCrosby\nIsle Of Man\nIM4 4HJ\n","MAROWN","28 Feb 2024"
"24/00133/B","Installation of hardstanding and external plant equipment, upgrading of site services within grounds and widening of drive Bishopscourt\nKirk Michael\nIsle Of Man\nIM6 2EZ\n","MICHAEL","28 Feb 2024"
"24/00168/B","Enclosure of an open porch 49 Faaie-Ny-Cabbal\nKirk Michael\nIsle Of Man\nIM6 2HT\n","MICHAEL","28 Feb 2024"
"23/00958/B","Conversion of existing guest house and apartment to eight apartments with alterations and extensions and new vehicular access Erin House\nAthol Park\nPort Erin\nIsle Of Man\nIM9 6EX","PORT ERIN","24 Aug 2023"
"24/00199/B","Conversion of Former Ground Floor Restaurant and First Floor Function Room In to four Apartments Shipdesign House\nEast Quay\nRamsey\nIsle Of Man\nIM8 1BA\n","RAMSEY","28 Feb 2024"
"24/00203/B","Installation of a replacement front door with associated glazing, installation of pitched roof to front Porch to replace existing flat roof and additional use of dwelling as tourist accommodation 1 Cooil Breryk\nRamsey\nIsle Of Man\nIM8 3HH\n","RAMSEY","28 Feb 2024"
"24/00114/B","Change of rear roof to a flat roof terrace, installation of balustrading, French door in place of window to front elevation and replace garage door with a patio door The Lodge\nThe Level\nColby\nIsle Of Man\nIM9 4AG\n","RUSHEN","27 Feb 2024"
