"Application Number","Details","Local Authority","Date"
"24/00527/GB","Construction of retaining walls and terrace on west elevation (in association with RB consent application 24/00529/CON) Lorne House\nDouglas Street\nCastletown\nIsle Of Man\nIM9 1AZ\n","CASTLETOWN","21 May 2024"
"24/00529/CON","Registered building consent for construction of retaining wall and terrace on west elevation RB 269 (in association with 24/00527/GB) Lorne House\nDouglas Street\nCastletown\nIsle Of Man\nIM9 1AZ\n","CASTLETOWN","21 May 2024"
"24/00239/B","Installation of additional supporting corbel and steel post to underside of balcony and overhanging gable on front elevation. 15 And 16 Queens Terrace\nDouglas\nIsle Of Man\nIM1 4BZ\n","DOUGLAS","9 Apr 2024"
"24/00471/B","Installation of a roof light, replacement roof tiles, removal of a chimney stack, creation of French doors within existing dormer opening and formation of a first floor terrace with associated glazed balustrade The Pantiles\nBallanard Road\nDouglas\nIsle Of Man\nIM2 5HA\n","DOUGLAS","21 May 2024"
"24/00509/B","Reduction in height of existing chimney 9 Brisbane Street\nDouglas\nIsle Of Man\nIM1 3JH\n","DOUGLAS","21 May 2024"
"24/00539/B","Installation of replacement windows and doors 49 Hildesley Road\nDouglas\nIsle Of Man\nIM2 5AX\n","DOUGLAS","22 May 2024"
"24/00557/B","Installation of replacement roof slates, fascia, soffits gutters and down pipes 8-20 Windsor Terrace\nDouglas\nIsle Of Man\nIM1 3LT\n","DOUGLAS","21 May 2024"
"24/00594/B","Installation of a replacement front door with fanlight 1 Cambridge Terrace\nDouglas\nIsle Of Man\nIM1 3LL\n","DOUGLAS","20 May 2024"
"24/00519/B","Alterations, removal of existing extensions, erection of a ground floor rear extension and front porch and landscaping works Gob Ny Creg\nThe Colony\nPort Lewaigue\nRamsey\nIsle Of Man\nIM7 1AL\n","GARFF","21 May 2024"
"24/00546/B","Erection of a rear extension (amendment to PA 21/00357/B) 5 Bay View Terrace\nLaxey\nIsle Of Man\nIM4 7DG\n","GARFF","22 May 2024"
"24/00567/B","Partial removal of Manx sod bank (retrospective) and erection of Manx sod bank to match existing Dhoon School\nGlen Mona\nRamsey\nIsle Of Man\nIM7 1HA\n","GARFF","20 May 2024"
"24/00561/B","Erection of a two storey dwelling with associated groundworks, drainage and site access amendments Balladoyne\nMain Road\nSt Johns\nIsle Of Man\nIM4 3NA\n","GERMAN","22 May 2024"
"24/00593/C","Additional use of two parking spaces for overnight parking and occupation by two motorhomes Saw Mills Car Park\nFoxdale Road\nSt Johns\nIsle Of Man\nIM4 3AS\n","GERMAN","22 May 2024"
"24/00525/B","Alterations and erection an extension to side elevation of dwelling Croit A Curleod\nBallacaley Road\nSulby\nIsle Of Man\nIM7 2HS\n","LEZAYRE","21 May 2024"
"24/00526/B","Erection of a detached garden room Gorsty Knoll\nFoxdale Road\nEairy\nIsle Of Man\nIM4 3HN\n","MALEW","20 May 2024"
"24/00556/B","Creation of a window to side elevation and bi folding doors to rear elevation of garage to provide additional living accommodation 51 King Orry Road\nGlen Vine\nIsle Of Man\nIM4 4FL\n","MAROWN","22 May 2024"
"24/00560/B","Replacement playground equipment Crowes Field Recreation Ground \nMain Road\nKirk Michael\nIM6 1HG\n\n","MICHAEL","21 May 2024"
"24/00493/B","Conversion, alteration and extension of Chain Home Radar Bunker to create a dwelling. Radar Bunker\nCreg Lea Farm\nNiarbyl Road\nDalby\nIsle Of Man\nIM5 3BS\n","PATRICK","30 Apr 2024"
"24/00566/C","Change of use of building for the storage of vehicles (retrospective) Former Milk Depot\nApproach Road\nRamsey\nIsle Of Man\nIM8 1EB\n","RAMSEY","20 May 2024"
