"Application Number","Details","Local Authority","Date"
"24/90964/B","Erection of 20 ground-mounted solar photovoltaic panels Ballamaddrell Farm\nGrenaby Road\nBallabeg\nCastletown\nIsle Of Man\nIM9 4HD\n","ARBORY","27 Aug 2024"
"24/00721/B","Widen existing driveway in matching block paving to create a third external parking space requiring lowering of kerbs. 29 Glebe Aalin\nBallaugh\nIsle Of Man\nIM7 5BX\n","BALLAUGH","28 Aug 2024"
"24/90979/B","Conversion of detached double garage into summer house (retrospective) Thumper Cottage\nStrang Hill\nStrang\nDouglas\nIsle Of Man\nIM4 4NX\n","BRADDAN","27 Aug 2024"
"24/90969/B","Proposed alterations to dwelling including conversion of existing garage to create additional living accommodation Jareal\nBowling Green Road\nCastletown\nIsle Of Man\nIM9 1EB\n","CASTLETOWN","22 Aug 2024"
"24/90947/B","Removal of two low walls underneath the window and replacement with full windows and a new door. Friarsfield\n35 Ballanard Road\nDouglas\nIsle Of Man\nIM2 5HB\n","DOUGLAS","27 Aug 2024"
"24/90972/B","Erection of an extension to South Elevation Albion Cottage\n15 Albion Terrace\nDouglas\nIsle Of Man\nIM1 3LJ\n","DOUGLAS","27 Aug 2024"
"24/90973/CON","Registered Building Consent for demolition elements to PA 24/90972/B Albion Cottage\n15 Albion Terrace\nDouglas\nIsle Of Man\nIM1 3LJ\n","DOUGLAS","27 Aug 2024"
"24/90974/B","Installation of wall cladding, roof window & flue to outlet 57 Woodbourne Road\nDouglas\nIsle Of Man\nIM2 3AF\n","DOUGLAS","27 Aug 2024"
"24/90977/B","Construction of 8no. new 2 storey, lettable units with associated access, parking, drainage, pond and landscaping The Nunnery\nOld Castletown Road\nDouglas\nIsle Of Man\nIM2 1QB\n","DOUGLAS","28 Aug 2024"
"24/90984/B","Erection of 2m high fencing to perimeter of bowling green Pavilion And Bowling Green\nGrosvenor Road\nDouglas\nIsle Of Man\nIM1 3EN\n","DOUGLAS","28 Aug 2024"
"24/90988/B","Enclosure of ground floor entrance to form lobby; over-cladding of spar-dashed render; installation of photovoltaic panel system on the roof Broadcasting House\nDouglas Head\nDouglas\nIsle Of Man\nIM1 5BW\n","DOUGLAS","27 Aug 2024"
"24/90989/B","Rear single storey extension and erection of detached single garage 18 Hampton Grove\nDouglas\nIsle Of Man\nIM2 2NQ\n","DOUGLAS","28 Aug 2024"
