"Application Number","Details","Local Authority","Date"
"24/00015/B","Erection of stable building and additional use of surrounding land for equestrian purposes Part Field 124359\nBride Road\nAndreas\nIsle Of Man\n\n","ANDREAS","25 Jan 2024"
"24/00094/B","Alterations to replace greenhouse polycarbonate sheet roof with a lean-to pitched slate roof and use of the room for storage purposes (retrospective) Croit-E-Volley\nFishers Hill\nCastletown\nIsle Of Man\nIM9 4PN\n","ARBORY","31 Jan 2024"
"24/00093/B","Variation of condition 3 of 21/01234/A to allow a further period of two years to submit the reserved matters (other than means of access which were permitted in the approval in principle) relating to this principle Ballatiki\nShore Road\nBallaugh\nIsle Of Man\nIM7 5AZ\n","BALLAUGH","30 Jan 2024"
"24/00077/B","Replace existing single storey kitchen extension and garden room with new single storey kitchen/living extension to the rear of the dwelling 40 Malew Street\nCastletown\nIsle Of Man\nIM9 1AF\n","CASTLETOWN","31 Jan 2024"
"24/00078/CON","Registered Building consent for demolition elements to PA 24/00077/B 40 Malew Street\nCastletown\nIsle Of Man\nIM9 1AF\n","CASTLETOWN","31 Jan 2024"
"24/00079/GB","Proposed replacement of existing hipped roof and flat roof structures to the existing single storey building at the rear of the property (in association with 24/00081/CON) Crofton\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LW\n","CASTLETOWN","26 Jan 2024"
"24/00081/CON","Registered building consent for replacement of existing hipped roof and flat roof structures to the existing single storey building at the rear of the property RB261 (in association with 24/00079/GB) Crofton\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LW\n","CASTLETOWN","26 Jan 2024"
"24/00087/C","Additional use of the property for tourist accommodation Croft End\n2 The Crofts\nCastletown\nIsle Of Man\nIM9 1LY\n","CASTLETOWN","30 Jan 2024"
"24/00125/B","Installation of a replacement rear back door West Craig\n37 Hope Street\nCastletown\nIsle Of Man\nIM9 1AP\n","CASTLETOWN","31 Jan 2024"
"23/00655/B","Conversion of dwelling into three apartments, installation of rooflight and new render to all elevations 18 Selborne Drive\nDouglas\nIsle Of Man\nIM2 3LP","DOUGLAS","2 Jun 2023"
"23/01186/B","Installation of a wind turbine 10 Beechwood Rise\nDouglas\nIsle Of Man\nIM2 5NE\n","DOUGLAS","25 Oct 2023"
"23/01483/D","Installation of non illuminated signage 1 Summerhill\nFormer L\'Experience\nDouglas\nIsle Of Man\nIM2 4PL\n","DOUGLAS","30 Jan 2024"
"24/00023/B","Restore and repaint the external walls, railings, window frames and door frames and addition of an external table with associated canopy and change the use the from the current Office (Class 1.1) to Sandwich Shop, Food/Drink & Assembly/Leisure (Class 1.1, 1.3 & 4.4) Argyle House \nChurch Road Marina & 2 Harris Prom\nDouglas\nIM1 2HQ\n","DOUGLAS","25 Jan 2024"
"24/00069/B","Alterations and refurbishment to create Director\'s apartment on second and third floor 19 Mount Havelock\nDouglas\nIsle Of Man\nIM1 2QG\n","DOUGLAS","29 Jan 2024"
"24/00070/B","Conversion to create a single four-bedroomed house with balcony 19 Mount Havelock\nDouglas\nIsle Of Man\nIM1 2QG\n","DOUGLAS","30 Jan 2024"
"24/00071/CON","Registered Building Consent for demolition elements to PA 24/00070/B 19 Mount Havelock\nDouglas\nIsle Of Man\nIM1 2QG\n","DOUGLAS","30 Jan 2024"
"24/00072/B","Removal of chimney stack and widening of existing vehicular access onto the highway Whithorn\n5 Second Avenue\nDouglas\nIsle Of Man\nIM2 6AW\n","DOUGLAS","26 Jan 2024"
"24/00073/B","Conversion of office to create a single four bedroomed residential property 19 Mount Havelock\nDouglas\nIsle Of Man\nIM1 2QG\n","DOUGLAS","30 Jan 2024"
"24/00074/B","Single storey front elevation extension 87 Anagh Coar Road\nDouglas\nIsle Of Man\nIM2 2AS\n","DOUGLAS","30 Jan 2024"
"24/00022/B","Removal of existing front walling and storage shed and formation of new garage / workshop adjacent to main dwelling. Existing parking to front of building to be retained Brookside\nGlen Road\nLaxey\nIsle Of Man\nIM4 7AB\n","GARFF","25 Jan 2024"
"24/00046/B","Proposed alterations and extensions to create additional living accommodation and replacement garage comprising of amendments to P.A. No- 20/00267/B Crowcreen\nBallaglass Glen Road\nCornaa\nRamsey\nIsle Of Man\nIM7 1EH\n","GARFF","25 Jan 2024"
