"Application Number","Details","Local Authority","Date"
"24/00277/B","Installation of a 10 meter slimline lattice with multiple mobile panel antennas/dishes/radio kit with associated ground equipment cabinets and boundary fence Transmitter North East Corner Field 114443\nKimmeragh Farm\nBride\nIsle Of Man\nIM7 4AR\n","BRIDE","20 Mar 2024"
"24/00247/B","Installation of replacement roof 33 Reayrt Carnane\nDouglas\nIsle Of Man\nIM2 5LJ\n","DOUGLAS","19 Mar 2024"
"24/00261/C","Change of use from office/hairdressers to yoga/pilates studios Ground Floor Office\n13 St Georges Street\nDouglas\nIsle Of Man\n\n","DOUGLAS","20 Mar 2024"
"24/00278/B","Erection of new sunroom to rear elevation 16 Honeysuckle Lane\nDouglas\nIsle Of Man\nIM2 7DY\n","DOUGLAS","15 Mar 2024"
"24/00286/B","Erection of flower art installation on east side of church tower St Thomas Church\nChurch Road Marina\nDouglas\nIsle Of Man\nIM1 2HQ\n","DOUGLAS","19 Mar 2024"
"24/00288/B","2 Single Storey extensions to South East Elevation 1 Single Storey Extension to South West elevation Ground floor extension under existing canopy roof 1 The Courtyard\nTromode Road\nDouglas\nIsle Of Man\nIM2 5EJ\n","DOUGLAS","19 Mar 2024"
"24/00298/B","Demolition of former nursing home and outbuildings, and the creation of five new four bedroom dwellings with associated parking, amended access, amended drainage and landscaping. Former Eastfield Mansion House \nEastfield\nDouglas\nIM1 4AU\n","DOUGLAS","18 Mar 2024"
"24/00299/CON","Registered Building consent for demolition elements to 24/00298/B Eastfield Mansion House (care Home)\nEastfield\nDouglas\nIsle Of Man\nIM1 4AU\n","DOUGLAS","18 Mar 2024"
"24/00303/B","Replacement extension to front elevation. Annacur Cottage\nAnnacur Lane\nDouglas\nIsle Of Man\nIM2 2EA\n","DOUGLAS","20 Mar 2024"
"24/00311/B","Reinstatement of existing entrances to fields 610513, 614147 and 641954. Fields 614954, 614147 & 610513\nAgneash\nLaxey\nIsle Of Man\nIM4 7NW\n","GARFF","19 Mar 2024"
"24/00344/A","Approval in Principle for conversion of existing stable block into living accommodation Stable Block Knock Dhoo\nMain Road\nGreeba\nIsle Of Man\nIM4 2DU\n","GERMAN","13 Mar 2024"
"24/00317/C","Additional use of paddock adjacent to house as campsite Paddock (Field 132027) Adjacent To Glen Duff House\nLezayre Road\nRamsey\nIsle Of Man IM7 2AT\n\n","LEZAYRE","19 Mar 2024"
"24/00264/CON","Registered building consent for internal alterations and roof vent (retrospective) - RB 184 Church Cottage\nSt Marks\nBallasalla\nIsle Of Man\nIM9 3AH\n","MALEW","20 Mar 2024"
"24/00308/B","Refurbishment of barns to living accommodation with new sunroom extension. New garage door. New roof to external store and covered log store. Ballamoar\nMullinaragher Road\nSt Marks\nBallasalla\nIsle Of Man\nIM9 3AQ\n","MALEW","19 Mar 2024"
"24/00312/C","Additional use as health centre (Class 4.1) to allow small part of the building (approx 50 sq m) to be used for a pharmacy dispensing site and health care service for practicing professionals to deliver care consultations to patients by appointment. There will be no public access to the main storage, packaging areas or dispensing room BMS House\nPort Way\nBalthane Industrial Estate\nBallasalla\nIsle Of Man\nIM9 2AJ\n","MALEW","19 Mar 2024"
"23/01463/B","Alterations and erection of extension to existing garage, alterations to entrance door, installation of dormer to side elevation, and installation of new windows to the side elevations. 3 Kermode Close\nCrosby\nIsle Of Man\nIM4 4BS\n","MAROWN","20 Dec 2023"
"24/00220/B","Erection of extension to front elevation to replace veranda, erection of an extension to side elevation, replace existing garage door with two windows, aperture alterations to front, side and rear elevations and alterations to external finish Upper Garth Farm\nGarth Road\nCrosby\nIsle Of Man\nIM4 2HB\n","MAROWN","15 Mar 2024"
"24/00300/B","Revisions to previously approved scheme (PA 21/00771/B) to raise roof / ridge level slightly to provide additional living space and installation of a flue Ambleside\nMain Road\nGlen Vine\nIsle Of Man\nIM4 4BA\n","MAROWN","20 Mar 2024"
"24/00252/GB","24/00252/GB - Alterations including removal of modern extensions, restoration of historic window and door openings, and alterations to roof (in association with RB consent application 24/00253/CON). Holly Lodge (Refectory)\nBishopscourt\nKirk Michael\nIsle Of Man\nIM6 2EZ\n","MICHAEL","20 Mar 2024"
"24/00253/CON","24/00253/CON - Internal alterations, removal of non-historic extensions, restoration of window and door openings and alterations to roof - RB23 (in association with 24/00252/GB) Holly Lodge (Refectory)\nBishopscourt\nKirk Michael\nIsle Of Man\nIM6 2EZ\n","MICHAEL","20 Mar 2024"
"24/00196/C","Temporary use of fields as a camp site for the duration of the TT Festival (Friday 24th May to Tuesday 11th June) and the IOM Festival of Motorcycling (Thursday 15th August to Thursday 29th August) Fields 534019 & 531866 \nIncluding Onchan AFC & DHS&OB AFC Clubhouses\nBlackberry Lane\nOnchan\nIsle Of Man\n\n","ONCHAN","20 Mar 2024"
"24/00230/B","Replacement of dining room window with single door to the rear of the property (retrospective) Bella Vista\nTynwald Road\nPeel\nIsle Of Man\nIM5 1JP\n","PEEL","19 Mar 2024"
"24/00274/B","Replace existing hardwood door and frame with composite door and frame 8 Lake Lane\nPeel\nIsle Of Man\nIM5 1AU\n","PEEL","14 Mar 2024"
"24/00282/B","Installation of a replacement side door 6 Market Place\nPeel\nIsle Of Man\nIM5 1AB\n","PEEL","15 Mar 2024"
"24/00271/B","Proposed Rear Extension and Patio 58 Claughbane Drive\nRamsey\nIsle Of Man\nIM8 2BJ\n","RAMSEY","15 Mar 2024"
"24/00294/B","Erection of an extension to front elevation Dovedale\n35 Claughbane Drive\nRamsey\nIsle Of Man\nIM8 2BH\n","RAMSEY","15 Mar 2024"
"24/00304/B","Conversion of building from a bakery into Industrial, (Class 2.3), Storage, (Class 2.4) and Office, (Class 1.2 & 2.1) units Former Ramsey Bakery \nStation Road\nRamsey\nIM8 2LF\n","RAMSEY","20 Mar 2024"
"24/00347/C","Change of use from light industrial to sales and storage of building materials (retrospective) Unit 22\nGladstone Park Industrial Estate\nRamsey\nIsle Of Man\nIM8 2LA\n","RAMSEY","20 Mar 2024"
"24/00313/B","Creation of new agricultural access into field including the creation of a hard standing and part demolition of a stone wall. Field 514414\nHarbour Road\nSanton\nIsle Of Man\nIM4 1HF\n","SANTON","14 Mar 2024"
