"Application Number","Details","Local Authority","Date"
"23/01504/B","Creation of a covered loading/unloading and marshalling area Land Between Units 17 And 18A \nSnugborough Trading Estate\nUnion Mills\nIM4 4LH\n","BRADDAN","9 Jan 2024"
"24/00269/D","Tesco Express fascia sign; Tesco Express projecting sign; internally illuminated vinyl signs applied to glazing x 2; Hello/Store Directory sign; Tesco Express box fascia sign; internally illuminated Entrance This Way sign Supermarket\nArbory Street\nCastletown\nIsle Of Man\nIM9 1LH\n","CASTLETOWN","28 Mar 2024"
"24/00355/B","Erection of a Car Port over existing parking apron 16 Brewery Wharf\nCastletown\nIsle Of Man\nIM9 1EU\n","CASTLETOWN","3 Apr 2024"
"23/00979/B","Demolish existing hotel with front facade maintained, erection of 15 apartments (5 no. studio apartments, 5 no. 1 bed apartments & 5 no. 2 bed apartments), creation of a basement car park for 13 cars with associated bicycle storage Trevelyan\n18 - 19 Palace Terrace\nQueens Promenade\nDouglas\nIsle Of Man\nIM2 4NE\n","DOUGLAS","4 Oct 2023"
"23/00980/CON","Registered Building consent for demolition elements to PA 23/00979/B Trevelyan\n18 - 19 Palace Terrace\nQueens Promenade\nDouglas\nIsle Of Man\nIM2 4NE\n","DOUGLAS","4 Oct 2023"
"24/00238/B","Single storey extension to the rear of the property to create a new sunroom. 21 Crovens Close\nDouglas\nIsle Of Man\nIM2 7AH\n","DOUGLAS","29 Feb 2024"
"24/00266/B","Erection of a single storey rear extension 58 Governors Hill\nDouglas\nIsle Of Man\nIM2 7AU\n","DOUGLAS","13 Mar 2024"
"24/00320/A","Approval in Principle for demolition of existing garage and erection of new detached dwelling Garage 2 Rear Of Reayrt Ny Baie Complex\nAlbert Terrace\nDouglas\nIsle Of Man\nIM1 3LQ\n","DOUGLAS","27 Mar 2024"
"24/00343/C","Additional use of detached garden room as a salon (retrospective) 84 Eary Veg\nDouglas\nIsle Of Man\nIM2 5LZ\n","DOUGLAS","2 Apr 2024"
"24/00349/B","Erection of a detached garden room Langdale House\nLower Dukes Road\nDouglas\nIsle Of Man\nIM2 4BQ\n","DOUGLAS","3 Apr 2024"
"24/00353/B","Installation of Solar Panels on top of Garage Flat Roof 23 Ballanard Road\nDouglas\nIsle Of Man\nIM2 5HA\n","DOUGLAS","2 Apr 2024"
"24/00371/B","Installation of replacement windows 7 Woodburn Square\nDouglas\nIsle Of Man\nIM1 4DB\n","DOUGLAS","2 Apr 2024"
"24/00373/B","Erection of raised decking to rear elevation (retrospective) 6 Joseph Hall Avenue\nReayrt Y Sheear\nDouglas\nIsle Of Man\nIM2 6PN\n","DOUGLAS","2 Apr 2024"
"24/00374/B","Installation of replacement windows Flat 2 - Grosvenor Court\n1 Derby Terrace\nCentral Promenade\nDouglas\nIsle Of Man\nIM2 4LN\n","DOUGLAS","2 Apr 2024"
"24/00350/B","Refurbishment and rebuilding of redundant farmhouse and outbuildings including extension to create dwelling and relocation of vehicular access Tower Farm\nMountain Road\nBallure\nMaughold\nIsle Of Man\n\n","GARFF","3 Apr 2024"
"24/00366/B","Installation of a replacement and remodelled pitched roof with a flue and a dormer to front elevation, removal of existing chimney, replacement of windows and doors with alterations to opening sizes, external redecoration of dwelling and garage and external landscaping View Point\nOld Laxey Hill\nLaxey\nIsle Of Man\nIM4 7BT\n","GARFF","3 Apr 2024"
"24/00367/CON","Registered Building Consent for demolition elements to PA 24/00366/B View Point\nOld Laxey Hill\nLaxey\nIsle Of Man\nIM4 7BT\n","GARFF","3 Apr 2024"
"24/00370/B","Installation of replacement windows and doors Laxey Sailing Club\nTent Road\nLaxey\nIsle Of Man\nIM4 7DB\n","GARFF","2 Apr 2024"
