"Application Number","Details","Local Authority","Date"
"24/91167/B","Variation of condition 8 PA 09/00340/B - to extend the hours that the Astroturf training pitch floodlights can be on to 10pm (2200hrs). Colby AFC Clubhouse\nMain Road\nColby\nIsle Of Man\nIM9 4LR\n","ARBORY","29 Oct 2024"
"24/91236/C","Additional use of two-storey annexe as tourist accommodation Cronkould House\nMain Road\nBallaugh\nIsle Of Man\nIM7 5ED\n","BALLAUGH","30 Oct 2024"
"24/91216/B","Alterations to dwelling including: expansion of ground level rear patio, creation of first floor balcony, window / door alterations, removal of conservatory and a flue, realignment of rear boundary. 8 Ashfield Avenue\nUnion Mills\nIsle Of Man\nIM4 4LN\n","BRADDAN","29 Oct 2024"
"24/91226/B","Installation of eight condensers Central Creamery\nBallafletcher Farm Road\nBraddan\nDouglas\nIsle Of Man\nIM4 4QE\n","BRADDAN","30 Oct 2024"
"22/01189/B","Proposed erection of two detached townhouses with associated landscaping and parking Site Adjacent To No.4\nTennis Road \nDouglas","DOUGLAS","18 Oct 2022"
"24/91135/B","Installation of rockfall safety netting on the rock face above yards 3-5 South Quay Industrial Estate. South Quay Industrial Estate\nDouglas\nIsle Of Man\n\n","DOUGLAS","24 Oct 2024"
"24/91137/B","Remove an Existing Chimney. Felsted\nAlexander Drive\nDouglas\nIsle Of Man\nIM2 3QX\n","DOUGLAS","29 Oct 2024"
"24/91207/B","Conversion of offices to 3 no. one bedroom apartments 17A Victoria Street\nDouglas\nIsle Of Man\nIM1 2LW\n","DOUGLAS","29 Oct 2024"
"24/91143/B","Creation of double garage; alterations to kitchen including creation of a window; replacement balcony; terrace area with retaining wall and balustrading at lower ground level, linked with a new external staircase; replacement of the flat roof dormer with pitched roof dormer; removal of stairs to entrance and new pedestrian entrance. Larchwood Lodge\nClay Head Road\nBaldrine\nIsle Of Man\nIM4 6DH\n","GARFF","25 Oct 2024"
"24/91168/B","Construction of detached garage Crofton\nBaldhoon Road\nLaxey\nIsle Of Man\nIM4 7NA\n","GARFF","25 Oct 2024"
"24/91201/B","Demolition of flat-roofed garage; demolition of flat-roofed single-storey structure on south-eastern elevation; the renovation and extension of the remaining existing dwelling; erection of an attached double garage Dreem Aalin\nPort E Vullen\nRamsey\nIsle Of Man\nIM7 1AP\n","GARFF","25 Oct 2024"
"24/91206/B","2 storey extension to south-east elevation. Single storey extension to north-west side of main dwelling. Removal of porch to south-east elevation. External alterations including replacement of roof slates and windows. Dreemskerry Cottage\nDreemskerry Hill\nDreemskerry\nRamsey\nIsle Of Man\nIM7 1BE\n","GARFF","25 Oct 2024"
"24/91205/B","Alterations and refurbishment including creation and replacement of windows and doors, and entrance canopy Sunnyhill\nBallacraine\nSt Johns\nIsle Of Man\nIM4 3LR\n","GERMAN","29 Oct 2024"
"24/91153/B","Creation of commercial units and additional parking Site Adjacent Astrea Bioseparation\nFreeport\nBalthane\nBallasalla\nIsle Of Man\nIM9 2AP\n","MALEW","25 Oct 2024"
"24/91210/C","Change of use to scaffold, construction materials and plant storage yard Unit 7C\nPortway\nBalthane\nBallasalla\nIsle Of Man\nIM9 2AG\n","MALEW","25 Oct 2024"
"24/91223/B","Install bifold door to north elevation 11 The Fairway\nOnchan\nIsle Of Man\nIM3 2EL\n","ONCHAN","30 Oct 2024"
"24/00802/B","Erection of 2 semi-detached dwellings and one commercial building with associated parking and amenity space. Land Adj. Waterfall Hotel\nShore Road\nGlen Maye\nIsle Of Man\nIM5 3BG\n","PATRICK","18 Jul 2024"
"24/91140/B","Installation of replacement windows and doors 5 St Peters Lane\nPeel\nIsle Of Man\nIM5 1AP\n","PEEL","25 Oct 2024"
"24/91215/B","Removal of conservatory; construction of single-storey extension to rear elevation; installation of solar panels to rear roof Glenkarry\n18 Ballafurt Close\nPort Erin\nIsle Of Man\nIM9 6HS\n","PORT ERIN","30 Oct 2024"
"24/91213/B","Replacement of a rooflight and dormer to the front elevation with 2 no. proposed dormers and extension of a rear dormer. The Old Bakehouse\nAthol Street\nPort St Mary\nIsle Of Man\nIM9 5DS\n","PORT ST MARY","29 Oct 2024"
"24/91118/B","Erection of cabin in rear garden; alteration to eastern boundary fencing with pedestrian gated access. Claverdon\n14 Queens Valley\nRamsey\nIsle Of Man\nIM8 1NG\n","RAMSEY","25 Oct 2024"
"24/91154/B","Removal of two chimneys and replacement roofing Captains Cabin\nBridge Lane\nRamsey\nIsle Of Man\nIM8 3DE\n","RAMSEY","29 Oct 2024"
"24/91202/B","Replacement of roof covering, installation of new dormer and replacement of existing conservatory 41 Ormly Road\nRamsey\nIsle Of Man\nIM8 3LN\n","RAMSEY","24 Oct 2024"
"24/91234/C","Additional use of ground floor annexe as tourist accommodation Acharn\nGrove Mount\nRamsey\nIsle Of Man\nIM8 3HP\n","RAMSEY","30 Oct 2024"
"24/91197/B","Erection of a sunroom extension (amendment to PA 23/00256/B) Ashville\nBallakilpheric Road\nColby\nIsle Of Man\nIM9 4BX\n","RUSHEN","25 Oct 2024"
