"Application Number","Details","Local Authority","Date"
"24/00447/B","Additional use of field for equestrian purposes and installation of fenced sand school Field 120259\nSmeale\nRamsey\nIsle Of Man\n\n","ANDREAS","18 Apr 2024"
"23/01285/B","Erection of a new detached dwelling and re-alignment of access road, (part retrospective), at Plot 4, Stable Fields, Station Road, Ballaugh Field 224255\nStation Road\nBallaugh\nIsle Of Man\n\n","BALLAUGH","7 Nov 2023"
"24/00444/B","Form new entrance with entrance canopy. Block up existing entrance door opening. Low Wood\nStrang Road\nUnion Mills\nIsle Of Man\nIM4 4NP\n","BRADDAN","18 Apr 2024"
"24/00411/B","Demolish existing detached garage, erection of a two-storey extension, door/window alteration and installation of a dormer window Meadow View\nCranstal Road\nBride\nIsle Of Man\nIM7 4BN\n","BRIDE","18 Apr 2024"
"24/00420/B","Replacement of existing conservatory, extension over existing family room and rearrangement of existing layout. Bourne Court\nBrookfield Avenue\nCastletown\nIsle Of Man\nIM9 1TL\n","CASTLETOWN","18 Apr 2024"
"24/00409/B","Proposed demolition of existing garage and construction of new enlarged garage Garage In Rear Brunswick Road Lane, \nTo Rear Of 51 Brunswick Road\nDouglas\nIsle Of Man\nIM2 3NW\n","DOUGLAS","18 Apr 2024"
"24/00413/B","Installation of replacement roof tiles. 34 Cronk Y Berry\nDouglas\nIsle Of Man\nIM2 6ES\n","DOUGLAS","19 Apr 2024"
"24/00414/B","Conversion of building to provide four apartments involving replacement roof slates, windows, door, guttering and downpipes and provision of cycle storage 8 Raphael Road\nDouglas\nIsle Of Man\nIM1 3EH\n","DOUGLAS","19 Apr 2024"
"24/00461/B","Erection of single storey extension off rear elevation 15 Farmhill Mews\nDouglas\nIsle Of Man\nIM2 2EJ\n","DOUGLAS","19 Apr 2024"
"24/00479/B","Removal of two chimney stacks and associated roof repairs. Application of external insulation boards and render. Demolition of porch (Partially retrospective) Burnside\nQuarterbridge Road\nDouglas\nIsle Of Man\nIM2 3RQ\n","DOUGLAS","24 Apr 2024"
"24/00487/C","Change of use of former amenity site for: a) storage of plant, materials and vehicles; b) storage on a temporary basis of waste materials which are arisings from operations; c) facilities for staff to manage and operate the above, to include provision for staff vehicle parking Eastern Civic Amenity Site\nMiddle River Industrial Estate\nDouglas\nIsle Of Man\nIM2 1AL\n","DOUGLAS","24 Apr 2024"
"24/00488/B","Erection of two Bay window extensions with roof balconies above to front elevation Deansgate\n8B Lucerne Court\nDouglas\nIsle Of Man\nIM2 6BJ\n","DOUGLAS","24 Apr 2024"
"24/00489/B","Installation of replacement windows and doors 12 Brunswick Road\nDouglas\nIsle Of Man\nIM2 3LQ\n","DOUGLAS","24 Apr 2024"
"24/00490/B","Installation of replacement windows and doors Flat 1\n30 Hawarden Avenue\nDouglas\nIsle Of Man\nIM1 4BN\n","DOUGLAS","24 Apr 2024"
"24/00327/CON","Registered building consent for replacement timber windows and doors to main building and screen house RB337 (in association with 24/00379/GB) Flour Mill\nMill Road\nLaxey\nIsle Of Man\nIM4 7AU\n","GARFF","18 Apr 2024"
"24/00379/GB","Replacement timber windows and doors to main building and screen house (in association with RB consent application 24/00327/CON) Flour Mill\nMill Road\nLaxey\nIsle Of Man\nIM4 7AU\n","GARFF","18 Apr 2024"
"24/00483/B","Erection of two agricultural shelters (retrospective) Fields 622432 And 62235 Adjacent To\nDhoon Loop Road\nDhoon\nRamsey\nIsle Of Man\n\n","GARFF","23 Apr 2024"
"24/00465/B","Erection of timber stables and a steel framed/timber clad agricultural barn Lheeannee Arrick\nBallamoar\nSandygate\nRamsey\nIsle Of Man\nIM7 3AH\n","JURBY","24 Apr 2024"
"24/00456/B","Replacement of garden shed with larger garden store room & erection of green house Wren Cottage\nMain Road\nSulby\nIsle Of Man\nIM7 2HP\n","LEZAYRE","19 Apr 2024"
"24/00432/B","Increase the floor space of the previously approved Plant Room Extension, over two storeys by 72.9m2. Unit 4\nFreeport\nBalthane\nBallasalla\nIsle Of Man\nIM9 2AP\n","MALEW","18 Apr 2024"
"24/00458/B","Proposed gardener\'s store/garage with associated facilities. Billown Mansion\nBillown\nBallasalla\nIsle Of Man\nIM9 3DL\n","MALEW","19 Apr 2024"
"24/00242/B","Single and double storey extensions to rear elevation and general alterations (amendments to PA/23/00001/B) Modena\nMain Road\nGlen Vine\nIsle Of Man\nIM4 4BA\n","MAROWN","24 Apr 2024"
"23/01330/B","Expansion of camping area; installation of 14 electric hook-up points for campervan pitches. Field 234227\nMain Road\nKirk Michael\nIsle Of Man\n\n","MICHAEL","20 Nov 2023"
"24/00341/GB","Demolition of existing attached single storey garage and erection of a replacement single storey garage on south elevation (in association with RB consent application 24/00342/CON) Bishopscourt House\nBishopscourt\nKirk Michael\nIsle Of Man\nIM6 2EZ\n","MICHAEL","19 Apr 2024"
"24/00342/CON","Registered building consent for demolition of existing attached garage and erection of replacement single storey garage RB 1 (in association with 24/00341/GB) Bishopscourt Mansion House\nBishopscourt\nKirk Michael\nIsle Of Man\nIM6 2EZ\n","MICHAEL","19 Apr 2024"
"24/00448/D","Installation of business signage Rose Cottage\nBarregarrow\nKirk Michael\nIsle Of Man\nIM6 1AX\n","MICHAEL","18 Apr 2024"
"24/00453/B","Demolition of existing dwelling and associated buildings and creation of new dwelling with associated drive access. Clypse Beg\nLittle Mill Road\nOnchan\nIsle Of Man\nIM4 5BF\n","ONCHAN","19 Apr 2024"
"24/00459/B","Proposed detached double garage, new driveway and extension to existing residential curtilage The Grange\nClypse Moar Road\nOnchan\nIsle Of Man\nIM4 5BG\n","ONCHAN","16 Apr 2024"
"24/00482/B","Alteration of front elevation windows and change of external wall finish 33 Bemahague Avenue\nOnchan\nIsle Of Man\nIM3 4AP\n","ONCHAN","23 Apr 2024"
"24/00314/B","Erection of a block of 20 light industrial units Land East Of Unit 3\nClock Tower Industrial Estate\nFoxdale\nIsle Of Man\nIM4 3HF\n","PATRICK","21 Mar 2024"
"24/00359/B","Installation of a painted mural The Black Dog Restaurant\nEast Quay\nPeel\nIsle Of Man\nIM5 1AR\n","PEEL","18 Apr 2024"
"24/00387/B","Demolition of existing garage, erection of 1\xc2\xbd storey side extension, with front dormer, demolition of existing rear extension and erection of single storey rear extension and erection of porch and associated alterations. 7 Ballaterson Road\nPeel\nIsle Of Man\nIM5 1BJ\n","PEEL","5 Apr 2024"
"24/00402/C","Additional use of residential dwelling as tourist accommodation 7 Bridge Street\nPeel\nIsle Of Man\nIM5 1NB\n","PEEL","19 Apr 2024"
"24/00467/B","Alterations to the existing vehicular access, to improve access, visibility and create parking within the property curtilage 22 Albany Road\nPeel\nIsle Of Man\nIM5 1JR\n","PEEL","23 Apr 2024"
"24/00449/B","Erection of cabin, housing golf simulator and home office to rear garden Juniper House\n1 Bradda West Lane\nPort Erin\nIsle Of Man\nIM9 6PW\n","PORT ERIN","24 Apr 2024"
"24/00469/B","Replace garage door with doors / windows and existing window with doors to front elevation Hill View\nOcean Castle Drive\nPromenade\nPort Erin\nIsle Of Man\nIM9 6LU\n","PORT ERIN","24 Apr 2024"
"24/00491/B","Installation of three replacement windows Morwenna\nAthol Park\nPort Erin\nIsle Of Man\nIM9 6ES\n","PORT ERIN","24 Apr 2024"
"24/00450/C","Additional Use of Apartment 4, 6, 10, 12 and 15 as Tourist Accommodation 4, 6, 10, 12 And 15 The Elms\nLezayre Road\nRamsey\nIsle Of Man\nIM8 2TA\n","RAMSEY","17 Apr 2024"
