"Application Number","Details","Local Authority","Date"
"24/00185/B","Proposed Scaffold Storage Depot Unit 14A\nThe Old Airfield\nBraust\nAndreas\nIsle Of Man\nIM7 4JB\n","ANDREAS","16 Feb 2024"
"24/00175/B","Replace current monopole with a new 15 meter slimline lattice with multiple mobile panel antennas/dishes/radio kit with associated ground equipment cabinets and boundary fence Part Field Nos. 425066\nSure Mobile Site\nBallaquinney Farm\nRonague Road\nRonague\nCastletown\nIsle Of Man\n\n","ARBORY","21 Feb 2024"
"24/00158/B","Installation of replacement windows and a replacement door Bulrhenny House \nRichmond Hill\nBraddan\nIM4 1JH\n","BRADDAN","16 Feb 2024"
"24/00166/B","Erection of an extension to replace existing sunroom and creation of a first floor terrace 3 River Heights\nBraddan\nDouglas\nIsle Of Man\nIM4 4TG\n","BRADDAN","20 Feb 2024"
"24/00170/B","Vehicular entrance modifications to improve access Ballig Farm\nWest Baldwin\nIsle Of Man\nIM4 5EU\n","BRADDAN","21 Feb 2024"
"24/00187/B","Erection of a field shelter, associated stables, and storage; additional use of agricultural field for equestrian use. Field 524940\nQuines Hill\nPort Soderick\nIsle Of Man\n\n","BRADDAN","19 Feb 2024"
"23/01041/B","Erection of proposed extensions to existing agricultural barn Field 114121\nWest Kimmeragh Road\nBride\nIsle Of Man\n\n","BRIDE","20 Sep 2023"
"24/00149/C","Additional use of residential dwelling as tourist accommodation 2 Douglas Street\nCastletown\nIsle Of Man\nIM9 1AY\n","CASTLETOWN","21 Feb 2024"
"24/00160/B","Install frameless balustrade system to existing balcony 8 The Crofts\nCastletown\nIsle Of Man\nIM9 1LW\n","CASTLETOWN","20 Feb 2024"
"24/00177/B","Erection of extension and door window alteration to dwelling and replace door and window with bi folding door and installation of a flue to detached garage games room Garey Voallit\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LY\n","CASTLETOWN","16 Feb 2024"
"24/00188/CON","Registered Building consent for demolition elements to PA 24/00177/B Garey Voallit\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LY\n","CASTLETOWN","16 Feb 2024"
"24/00172/B","Demolition of existing garage and construction of replacement garage with alterations to boundary wall Cushag\nEleanora Drive\nDouglas\nIsle Of Man\nIM2 3NN\n","DOUGLAS","19 Feb 2024"
"24/00173/CON","Registered Building consent for demolition elements to PA 24/00172/B Cushag\nEleanora Drive\nDouglas\nIsle Of Man\nIM2 3NN\n","DOUGLAS","19 Feb 2024"
"24/00178/CON","Registered Building Consent for demolition elements to PA 24/00179/B Cotleigh\n25 Selborne Drive\nDouglas\nIsle Of Man\nIM2 3NJ\n","DOUGLAS","16 Feb 2024"
"24/00179/B","Proposed off street car parking space with vehicular and pedestrian access Cotleigh\n25 Selborne Drive\nDouglas\nIsle Of Man\nIM2 3NJ\n","DOUGLAS","16 Feb 2024"
"24/00180/B","Proposed plant room extension, new glazing, rooflights, extended decking area and general internal alterations. Ballamilghyn Cottage\nBaldhoon Road\nLaxey\nIsle Of Man\nIM4 7QJ\n","GARFF","20 Feb 2024"
"24/00123/B","Creation of Second Storey level over existing site footprint. Elliott Storage\nJurby Industrial Estate\nJurby\nIsle Of Man\nIM7 3BD\n","JURBY","14 Feb 2024"
"24/00126/B","Netted polytunnels within the Estates Nursery Area for growing nursery trees in association with Manx Wildlife Trust Milntown Mansion\nGlen Auldyn\nRamsey\nIsle Of Man\nIM7 2AB\n","LEZAYRE","19 Feb 2024"
"24/00150/B","Installation of 13 windows in an office building (retrospective). Mountain View Innovation Centre\nJurby Road\nRamsey\nIsle Of Man\nIM7 2DZ\n","LEZAYRE","20 Feb 2024"
"24/00182/B","Replacement of an existing timber garage/workshop with a new double garage complete with first floor studio/workspace. Thie Jeroi\nMullinaragher Road\nSt Marks\nBallasalla\nIsle Of Man\nIM9 3AQ\n","MALEW","15 Feb 2024"
"24/00190/B","Installation of replacement windows and front door of the property 3 Bridge Road\nBallasalla\nIsle Of Man\nIM9 3DA\n","MALEW","19 Feb 2024"
"24/00186/B","Installation of replacement windows and door at the rear of the property 3 Whitehouse Cottages\nMain Road\nKirk Michael\nIsle Of Man\nIM6 2HE\n","MICHAEL","16 Feb 2024"
"24/00067/B","Construction of water Borehole Creg-ny-Baa Hotel\nMountain Road\nOnchan\nIsle Of Man\nIM4 5BP\n","ONCHAN","19 Feb 2024"
"24/00111/B","Erection of an extension to an existing agricultural building Ballaskelly\nMountain Road\nOnchan\nIsle Of Man\nIM4 5BL\n","ONCHAN","20 Feb 2024"
"24/00206/B","Installation of replacement windows to front and side elevations The Manse\n21 Atholl Street\nPeel\nIsle Of Man\nIM5 1HG\n","PEEL","21 Feb 2024"
"24/00169/B","Single storey rear extension. 6 Erin Close\nPort Erin\nIsle Of Man\nIM9 6FH\n","RUSHEN","20 Feb 2024"
"24/00181/B","Demolish existing building and erect new dwelling and garage (including landscaping work) Shenvalley House\nBallnahowe\nPort Erin\nIsle Of Man\nIM9 6JF\n","RUSHEN","19 Feb 2024"
