"Application Number","Details","Local Authority","Date"
"24/00604/B","Conversion and extension of existing redundant agricultural building to provide a residential dwelling with detached garage block Regaby Mooar\nRegaby West Road\nAndreas\nIsle Of Man\nIM7 3HL\n","ANDREAS","4 Jun 2024"
"24/00613/B","Demolish existing conservatory and erection of extension and creation of a terrace area Ballacomaish\nKiondroghad Road\nAndreas\nIsle Of Man\nIM7 3EJ\n","ANDREAS","4 Jun 2024"
"24/00523/B","Installation of bifold doors to rear elevation (retrospective) Hampton Cottage\nQuines Hill\nPort Soderick\nIsle Of Man\nIM4 1BA\n","BRADDAN","4 Jun 2024"
"24/00329/B","Installation of 3 x 9-metre wooden telegraph poles with associated overhead wires. 1-20 Raad Ny Gabbil\nCastletown\nIsle Of Man\n\n","CASTLETOWN","21 Mar 2024"
"24/00637/B","Erection of single storey extension and installation of three air source heat pumps Westham Court\nArbory Road\nCastletown\nIsle Of Man\nIM9 1ND\n","CASTLETOWN","5 Jun 2024"
"24/00656/B","Installation of replacement windows to front elevation 19 Hope Street\nCastletown\nIsle Of Man\nIM9 1AP\n","CASTLETOWN","3 Jun 2024"
"24/00572/B","Conversion of office building with a rooftop extension to create a sixty four bedroom hotel (class 3.1) with restaurant and bar (class 1.3) roof top spa facility and plant room, blocking off existing vehicle access and reinstatement of the pavement, and creation of loading bay and drop off zones Royalty House \nWalpole Avenue\nDouglas, \nIM1 2LT\n","DOUGLAS","3 Jun 2024"
"24/00620/B","Widen existing driveway and vehicular access 21 Norwood Drive\nDouglas\nIsle Of Man\nIM2 5HN\n","DOUGLAS","31 May 2024"
"24/00632/B","Installation of an extractor (retrospective) Unit 30A\nAlder Road\nDouglas\nIsle Of Man\nIM2 1EH\n","DOUGLAS","4 Jun 2024"
"24/00655/B","Installation of six replacement windows 3 Osborne Terrace\nDouglas\nIsle Of Man\n\n","DOUGLAS","3 Jun 2024"
"23/01042/B","Creation of car park Claughbane Quarry\nClaughbane Plantation\nMountain Road\nRamsey\nIsle Of Man\n\n","GARFF","7 Sep 2023"
