"Application Number","Details","Local Authority","Date"
"23/01504/B","Creation of a covered loading/unloading and marshalling area Land Between Units 17 And 18A \nSnugborough Trading Estate\nUnion Mills\nIM4 4LH\n","BRADDAN","9 Jan 2024"
"23/01508/B","Single-storey rear extension to kitchen/dining. Replacement roof and rear timber cladding to improve thermal efficiency. Replacement rear garden lounge. 85 Malew Street\nCastletown\nIsle Of Man\nIM9 1LX\n","CASTLETOWN","10 Jan 2024"
"23/00654/B","Erection of single storey side extension, Loft conversion, associated external remodelling and landscaping 15 Third Avenue\nDouglas\nIsle Of Man\nIM2 6AL","DOUGLAS","1 Jun 2023"
"24/00003/B","Variation of condition 1 of application 19/01325/B for alterations, conversion of garage and erection of a single storey extension, to extend the period of approval for a further 4 years Tudor Lodge\n18 Stanley Terrace\nDouglas\nIsle Of Man\nIM2 4EP\n","DOUGLAS","4 Jan 2024"
"24/00007/B","Dining room extension at rear of property (revision to previously approved PA 17/01087/B) Deansgate\nLucerne Court\nDouglas\nIsle Of Man\nIM2 6BJ\n","DOUGLAS","5 Jan 2024"
"24/00012/C","Additional use as tourist accommodation 1 Laureston Avenue\nDouglas\nIsle Of Man\nIM2 3AE\n","DOUGLAS","8 Jan 2024"
"24/00014/B","Change of roof pitch and height from mono pitch to flat roof, installation of a window in place of roller shutter door and installation of canopy Arrivals Hall\nSea Terminal\nVictoria Pier\nDouglas\nIsle Of Man\nIM1 2RF\n","DOUGLAS","9 Jan 2024"
"24/00024/B","Variation of two of PA 23/01092/B, Replacement of existing 10m high lighting system (4 units) with four 8m units, to change the lighting system usage times Bowling Green\nVilla Marina Gardens\nDouglas\nIsle Of Man\nIM2 3EU","DOUGLAS","10 Jan 2024"
"23/01492/B","Erection of 3No 3kw/h wind turbines Field 616167\nLower Ballabeg \nBallabeg\nLaxey\nIsle Of Man\nIM4 7HB\n","GARFF","5 Jan 2024"
"24/00004/B","Single storey extension to the rear of dwelling Amagary Cottage\nBaldhoon Road\nGlen Roy\nLaxey\nIsle Of Man\nIM4 7QE\n","GARFF","4 Jan 2024"
"24/00011/C","Change of use from Class 2.4 (Storage or Distribution) to Class 2.3 (General Industrial) including car repairs and preparation of cars for scrappage (retrospective) 298A Jurby Industrial Estate\nJurby\nIsle Of Man\nIM7 3BD\n","JURBY","8 Jan 2024"
"23/01498/B","Amendment to PA 18/00197/B - Erection of replacement dwelling and new access drive and associated landscaping incorporating part Field 434112 and associated works to existing access lane. Amendments to provide additional underground clock room area to lower ground floor Gatekeepers Cottage\nDouglas Road\nBallasalla\nIsle Of Man\nIM9 3AB\n","MALEW","8 Jan 2024"
"23/01412/B","Installation of flue for woodburning stove 8 The Crofts\nGlen Vine\nIsle Of Man\nIM4 4FB\n","MAROWN","5 Jan 2024"
"24/00001/B","The erection of a new farmhouse and agricultural barn. Fields 324673, 321756 And 324674\nBraaid Road\nBraaid\nIsle Of Man\n\n","MAROWN","9 Jan 2024"
"23/01474/B","Removal of existing garage door and replace with PVC door, window and block work whose exterior finish will match the existing front of house 19 Fairfield Avenue\nOnchan\nIsle Of Man\nIM3 4BG\n","ONCHAN","5 Jan 2024"
"23/01484/D","Erection of two externally LED illuminated wall mounted Utmost International signs 3860mm x 1110mm x 75mm and one Utmost International fascia sign over main entrance door 1190mm x 350mm King Edward Bay House\nKing Edward Road\nOnchan\nIsle Of Man\nIM3 1DZ\n","ONCHAN","9 Jan 2024"
"23/01406/B","Installation of an external flue for wood burner 21 Archallagan Terrace\nFoxdale\nIsle Of Man\nIM4 3EZ\n","PATRICK","8 Jan 2024"
"23/01501/B","Replace existing clay roof tiles with concrete roof tiles Braeside\n8 Mountain View\nPeel\nIsle Of Man\nIM5 1QD\n","PEEL","4 Jan 2024"
"24/00008/B","Replacement double glazed windows and new front composite door 36 Patrick Street\nPeel\nIsle Of Man\nIM5 1BR\n","PEEL","9 Jan 2024"
"23/01506/B","Variation of Condition 1 to PA 19/01195/B for an extension of time for a further 4 years Stoneleigh\nSt Georges Crescent\nPort Erin\nIsle Of Man\nIM9 6HR\n","PORT ERIN","9 Jan 2024"
"24/00002/D","Installation of two illuminated signs Manxonia House And Overcliffe\nThe Promenade\nPort St Mary\nIsle Of Man\nIM9 5DA\n","PORT ST MARY","5 Jan 2024"
"24/00013/B","Erection of oil tank (retrospective) Dreswick\nLinden Avenue\nPort St Mary\nIsle Of Man\nIM9 5ER\n","PORT ST MARY","8 Jan 2024"
"23/01502/C","Additional use from Class 2.2 (Light Industry) to Classes 2.2 (Light Industry), 2.1 (Office) and 1.1 (Shops) (Retrospective) Unit 5\nThe Shipyard\nShipyard Road\nRamsey\nIsle Of Man\nIM8 3DT\n","RAMSEY","4 Jan 2024"
"24/00025/B","New roof; new first floor window; convert existing first floor loading door into window; install loading beam and reopen gable end aperture at first floor as loading door; new first floor access and steel staircase from ground floor courtyard; small ground floor extension at northern end. 4 Christian Street\nRamsey\nIsle Of Man\nIM8 1DG\n","RAMSEY","10 Jan 2024"
"24/00026/B","Erection of a garden shed and a wall arch for planting 7 Grand Island\nRamsey\nIsle Of Man\nIM8 3UQ\n","RAMSEY","10 Jan 2024"
"23/01494/B","Removal of external render, re-pointing of stonework, application of limewash. The Level Inn\nThe Level\nColby\nIsle Of Man\nIM9 4AG\n","RUSHEN","8 Jan 2024"
"23/01493/B","New cladding and removal of existing door to an existing detached garage. Great Gates\nMain Road\nSanton\nIsle Of Man\nIM4 1HS\n","SANTON","10 Jan 2024"
