"Application Number","Details","Local Authority","Date"
"24/00887/B","Alterations including removal of conservatory, installation of cladding and window alterations Mountain View\nMain Road\nColby\nIsle Of Man\nIM9 4NG\n","ARBORY","5 Aug 2024"
"24/00859/B","Erection of single-storey dwelling Plot Of Land North Of Scrondall\nGlen Road\nBallaugh\nIsle Of Man\n\n","BALLAUGH","1 Aug 2024"
"24/00851/B","Re-roofing of front and rear facing elevations Osborne House\n5 Osborne Terrace\nDouglas\nIsle Of Man\nIM1 3LH\n","DOUGLAS","7 Aug 2024"
"24/00889/B","Removal of a chimney stack, (retrospective) Silver Howe\n44 Ballanard Road\nDouglas\nIsle Of Man\nIM2 5HE\n","DOUGLAS","5 Aug 2024"
"24/90902/B","Change of use from commercial taxi repair garage to single dwelling with courtyard garden and dormer windows to the south 24 Richmond Grove\nDouglas\nIsle Of Man\nIM1 3JZ\n","DOUGLAS","2 Aug 2024"
"24/90916/B","Installation of replacement front and rear doors 6 Thorny Road\nDouglas\nIsle Of Man\nIM2 5ED\n","DOUGLAS","7 Aug 2024"
"24/00833/C","Change of use from residential to tourist accommodation 2 Church Hill\nLaxey\nIsle Of Man\nIM4 7AX\n","GARFF","7 Aug 2024"
"24/90912/B","Variation of condition 3 of 23/01138/B to vary the hours of operation of the catering facilities Conrhenny Carpark\nConrhenny Plantation\nCreg-ny-baa Back Road\nCreg Ny Baa\nOnchan\nIsle Of Man\n\n","GARFF","7 Aug 2024"
"24/90925/B","Installation of twelve replacement windows and two replacement doors Newholme Cottage\nRencell\nLaxey\nIsle Of Man\nIM4 7BW\n","GARFF","7 Aug 2024"
"24/90927/C","Additional use of detached residential building as tourist accommodation Trinity\nCorony Bridge\nCorony\nRamsey\nIsle Of Man\nIM7 1EY\n","GARFF","7 Aug 2024"
"24/90910/B","Variation of condition 3 of 23/01168/C to allow the operation of the catering vehicle from sunrise to sunset South End Of Archallagan Plantation\nArchallagan Road\nEairy\nIsle Of Man\n\n","MAROWN","7 Aug 2024"
"24/90911/B","Variation of condition 3 of 23/01140/C to allow the operation of the catering unit between sunrise and sunset Car Park\nChibbanagh Plantation\nCooil Road\nBraaid\nIsle Of Man\n\n","MAROWN","7 Aug 2024"
"24/00874/B","Installation of window to south west elevation Annandale\n69 Slieau Curn Park\nKirk Michael\nIsle Of Man\nIM6 1EW\n","MICHAEL","1 Aug 2024"
"24/00826/B","Erection of a single storey rear extension and installation of sliding doors 48 Sunningdale Drive\nOnchan\nIsle Of Man\nIM3 1EJ\n","ONCHAN","7 Aug 2024"
"24/00882/B","Alterations, erection of a rear extension, chimney removal, installation of two flues and alterations to the existing vehicle access and on-site parking 30 Howstrake Drive\nOnchan\nIsle Of Man\nIM3 1BW\n","ONCHAN","1 Aug 2024"
"24/00894/B","Installation of flue for wood burner 1 Oak Close\nOnchan\nIsle Of Man\nIM3 3HR\n","ONCHAN","1 Aug 2024"
"24/00800/D","Installation of illuminated and non-illuminated signage Supermarket\nDerby Road\nPeel\nIsle Of Man\nIM5 1HP\n","PEEL","7 Aug 2024"
"24/00827/B","Demolition of existing extension, erection of a rear extension, roofing works including replacement slates, installation of solar panels, roof lights and rear dormer, rendering works, replacement windows, patio and raising of boundary wall to 14 Stanley Street 12 Stanley Road\nPeel\nIsle Of Man\nIM5 1NX\n","PEEL","1 Aug 2024"
"24/00829/CON","Registered Building Consent for demolition aspects to 24/00827/B 12 Stanley Road\nPeel\nIsle Of Man\nIM5 1NX\n","PEEL","1 Aug 2024"
"24/00885/B","Installation of replacement windows, front door and rear patio door 12 Orry Lane\nPeel\nIsle Of Man\nIM5 1NN\n","PEEL","1 Aug 2024"
"24/90909/B","Erection of front porch and rear extension 5 Ballaterson Crescent\nPeel\nIsle Of Man\nIM5 1BL\n","PEEL","7 Aug 2024"
"24/00891/C","Additional use of property as tourist accommodation 22A Church Road\nPort Erin\nIsle Of Man\nIM9 6AQ\n","PORT ERIN","7 Aug 2024"
"24/90915/B","Widening of existing driveway and vehicular access and replacement of existing window with patio doors to rear elevation 9 Erin Way\nPort Erin\nIsle Of Man\nIM9 6EF\n","PORT ERIN","7 Aug 2024"
