"id","lat","lon","name","name:en","name:gv","highway","railway","place","natural"
"4306458595","54.207075","-4.410291","Garwick Glen Halt","","Staad Glion Garwick","","halt","",""
"4306463554","54.207432","-4.406949","Ballagawne Halt","","Staad Balley Gawne","","stop","",""
"4306463555","54.207433","-4.406996","Ballagawne Halt","","Staad Balley Gawne","","halt","",""
"4321786381","54.213481","-4.405792","Ballabeg Station","Ballabeg Station","Stashoon Tram Balley Beg","","stop","",""
"4321786382","54.213471","-4.405755","Ballabeg Station","Ballabeg Station","Stashoon Tram Balley Beg","","stop","",""
"4321786383","54.220548","-4.400092","Lamb's Crossing","Lamb's Crossing","Crossag Eayn","","crossing","",""
"4321786384","54.220607","-4.400118","Lamb's Crossing","Lamb's Crossing","Crossag Eayn","","crossing","",""
"4321786385","54.22111","-4.399131","Fairy Cottage","","Staad Ferrish Bwaane","","stop","",""
"4321786386","54.221135","-4.399163","Fairy Cottage","","Staad Ferrish Bwaane","","halt","",""
"4321950931","54.230322","-4.403819","Laxey Car Sheds","","Carr Bwaag Laksaa","","halt","",""
"4321950932","54.230337","-4.40377","Laxey Car Sheds","","Carr Bwaag Laksaa","","stop","",""
"4342246137","54.23156","-4.378192","Skinscoe Halt","","Staad Skinscoe","","stop","",""
"4342246139","54.232803","-4.377422","Ballamoar Bottom Halt","","Staad Balley Moar (Jerrey)","","stop","",""
"4342246140","54.233823","-4.376808","Ballamoar Top Halt","","Staad Balley Moar (Baare)","","stop","",""
"4342246141","54.241667","-4.373248","Ballaragh Halt","","Staad Balley Ragh","","stop","",""
"4342246161","54.255954","-4.371651","Dhoon Quarry Halt","","Staad Quarral Dhoon","","halt","",""
"4342259530","54.264473","-4.378381","Ballig Halt","","Staad Balley Ligg","","stop","",""
"4342287034","54.274151","-4.375113","Ballagorry","","Staad Balley Gorry","","stop","",""
"4342287042","54.280854","-4.352852","Murray's Road Halt","","Straad Crowcreen","","stop","",""
"4344094329","54.2296","-4.395206","Minorca Halt","Minorca Halt","Staad Minorca","","halt","",""
"4344094361","54.231524","-4.378269","Skinscoe Halt","","Staad Skinscoe","","halt","",""
"4344094364","54.232816","-4.377473","Ballamoar Bottom Halt","","Staad Balley Moar (Jerrey)","","halt","",""
"4344094365","54.233832","-4.376856","Ballamoar Top Halt","","Staad Balley Moar (Baare)","","halt","",""
"4344094381","54.241674","-4.373296","Ballaragh Halt","","Staad Balley Ragh","","halt","",""
"4344094833","54.249847","-4.377087","Dhoon Glen Halt","","Staad Glion Doon","","halt","",""
"4344174868","54.317899","-4.377599","Queen's Drive Halt","Queen's Drive Halt","Staad Bayr Benrein","","halt","",""
"4344214028","54.280856","-4.35278","Murray's Road Halt","","Staad Crowcreen","","halt","",""
"4344276003","54.283222","-4.357287","Cornaa Halt","Cornaa Halt","Staad Cornaa","","halt","",""
"4344276017","54.266937","-4.3775","Ballasholague Halt","","Staad Balley Shellag","","halt","",""
"4344276019","54.262583","-4.375851","Ballellin Halt","","Staad Balley McAleyn","","halt","",""
"4344276022","54.262607","-4.375829","ballellin","","Staad Balley McAleyn","","stop","",""
"4344276023","54.264466","-4.378449","Ballig Halt","","Staad Balley Ligg","","halt","",""
"4344300625","54.25589","-4.371631","Dhoon Quarry Halt","","Staad Quarral Dhoon","","stop","",""
"4344300626","54.254451","-4.37216","Dhoon Farm Halt","","Staad Balley Doon","","halt","",""
"4344300644","54.275459","-4.363155","Cashtal Yn Ard","Castle of the Heights","Cashtal Yn Ard","","","",""
"4344363140","54.213756","-4.405716","Killkellan","","Killkellan","","","",""
"4347823207","54.316671","-4.376336","Walpole Drive Halt","Walpole Drive Halt","Staad Bayr Walpole","","halt","",""
"4347823212","54.317885","-4.377642","Queen's Drive Halt","Queen's Drive Halt","Staad Bayr Benrein","","halt","",""
"4347823258","54.297567","-4.346412","Dreemskerry Farm Halt","","Staad Balley Hallooin Dreemskerry","","site","",""
"4498568404","54.360091","-4.519193","Jurby","","Jorby","","","village",""
"4506345193","54.056855","-4.781346","Spanish Head","","Kione Speeney","","","","cape"
"4900486725","54.069676","-4.76819","Cregneash","Cregneash","Creneash","","","hamlet",""
"5712582248","54.367244","-4.444461","Andreas","Andreas","Andreas","","","village",""
"6936874660","54.170321","-4.709237","Doarlish Cashen","Cashen's Gap","Doarlish Cashen","","","locality",""
"6948694189","54.169534","-4.634924","Foxdale","Foxdale","Forsdal","","","village",""
"6948740313","54.311937","-4.543054","Ballaugh","","Balley ny Loughey","","","village",""
"7711865700","54.093139","-4.781614","Carn Vreid","","Carn Vreid","","","","bay"
"7765716726","54.062811","-4.792251","Cabbyl Ghaw","","Cabbyl Ghaw","","","","bay"
"7774959843","54.16924","-4.425773","Lag Birragh","","Leg Birragh","","","","bay"
"8330279082","54.127409","-4.500755","Purt ny Coan","","Purt ny Coan","","","locality",""
"8349920228","54.212191","-4.514098","Old Tynwald Hill","","Cronk y Keeill Abban","","","",""
"8349920229","54.214672","-4.51216","Cronk Keeill Abban","","Cronk Keeill Abban","","","locality",""
"8355615478","54.090901","-4.604236","Cass ny Hawin Promontary Fort","","Cass ny Hawin","","","",""
"8357248788","54.069925","-4.682391","Close ny Chollag Promontory Fort","","Close ny Chollag","","","",""
"8377085558","54.266634","-4.600111","Cabbal Pherick","","Cabbal Pherick","","","",""
"8381031921","54.2293","-4.406325","St Matthew's Chapel","St Matthew's Chapel","Keeill Vian","","","",""
"8398345460","54.081568","-4.774904","Creg Liauyr","","Greg Liauyr","","","locality",""
"8398345472","54.10126","-4.773029","Purt ny Ding","","Purt ny Ding","","","","bay"
"8398345475","54.108728","-4.755519","Kione Mcanagh","","Kione Mcanagh","","","locality",""
"8494197619","54.16134","-4.650303","Barrule Beg","","Barrule Beg","","","","peak"
"8494401216","54.178103","-4.652431","St Mary's Chapel and Burial Ground","","Keeill Woirrey","","","",""
"8494899656","54.136892","-4.673924","Whallag","","Whallag","","","locality",""
"8494916871","54.122273","-4.71335","St Mary's Chapel and Burial Ground","","Keeill Moirrey","","","",""
"8555436809","54.266627","-4.484784","Cleigh yn Arragh","Bank and Ditch","Cleigh yn Arragh","","","",""
"8563979142","54.282019","-4.323568","Gob ny Garvain Promontory Fort","","Gob ny Garvain","","","",""
"8564215130","54.281469","-4.331964","Keeill Casherick","","Keeill Casherick","","","",""
"8637714865","54.254051","-4.635625","Gob y Deigan","","Gob y Deigan","","","","cape"
"8637714884","54.266912","-4.616417","Gob ny Creggan Glassey","","Gob ny Creggan Glassey","","","","cape"
"8662320149","54.228718","-4.483173","Gob y Greggagh","","Gob y Creggagh","","","locality",""
"8662320150","54.230218","-4.491494","Creg-y-cowin","","Creg-y-cowin","","","locality",""
"8662320151","54.224252","-4.490524","Creg-y-cowin","","Creg-y-cowin","","","locality",""
"8662320152","54.22292","-4.495736","Eary Ween","","Eary Ween","","","farm",""
"8662320153","54.222237","-4.500938","Booiley-vane","","Booiley-vane","","","locality",""
"9197112051","54.297666","-4.346469","Dreemskerry Farm","","Stashoon Laksaa","","halt","",""
"9278544233","54.170583","-4.67219","Rheast Buigh","","Rheast Buigh","","","locality",""
"9285188895","54.218449","-4.40925","Boilley Veen","","Boilley Veen","","","locality",""
"9306730399","54.382077","-4.388857","Bride","Bride","Vreeshey","","","village",""
"10131472250","54.074547","-4.652816","Castletown","Castletown","Balley Chashtal","","","town",""
"10135755255","54.311197","-4.351539","Gob ny Rona","","Gob ny Rona","","","locality",""
"10135755256","54.303958","-4.32266","Traie ny Feeyney","","Traie ny Feeyney","","","locality",""
"10135755257","54.303516","-4.315519","Cor Stack","","Cor Stack","","","locality",""
"10135755258","54.298437","-4.309463","Gob ny Skey","","Gob ny Skey","","","locality",""
"10135755259","54.295648","-4.308824","Gob ny Strona","","Gob ny Strona","","","locality",""
"10135755260","54.290603","-4.318198","Gob ny Portmooar","","Gob ny Portmooar","","","locality",""
"10135755263","54.288847","-4.325868","Cooil ny Marrey","","Cooil ny Marrey","","","locality",""
"10135755264","54.275443","-4.333962","Traie ny Unaig","","Traie ny Unaig","","","locality",""
"10135755265","54.264618","-4.344195","Gob-ny-how","","Gob-ny-how","","","locality",""
"10135755266","54.261018","-4.346543","Gob-ny-Cally","","Gob-ny-Cally","","","locality",""
"10135755267","54.253656","-4.357279","Gian Wooar","","Gian Wooar","","","locality",""
"10135755269","54.364922","-4.381114","Kionlough","","Kionlough","","","farm",""
"10135755270","54.362367","-4.384206","Kionlough","","Kionlough","","","farm",""
"10135755273","54.371929","-4.37733","Cronk ny Arrey Laa","","Cronk ny Arrey Laa","","","","peak"
"10135859517","54.311585","-4.584774","Creggan Dhoo","","Creggan Dhoo","","","","rock"
"10135859518","54.305973","-4.587857","Creg Cruinn","","Creg Cruinn","","","","rock"
"10135859519","54.262185","-4.621734","Ooig Beg","","Ooig Beg","","","locality",""
"10135859520","54.260787","-4.624559","Ooig Mooar","","Ooig Mooar","","","locality",""
"10135859522","54.255","-4.63329","Traie Vane","","Traie Vane","","","locality",""
