"osm_id","osm_type","osm_url","lat","lon","addr:postcode","source:addr:postcode"
"283495156","node","https://osm.org/node/283495156","54.106243","-4.638587","IM9 3DS",""
"449276695","node","https://osm.org/node/449276695","54.097988","-4.630822","IM9 2RQ",""
"455458441","node","https://osm.org/node/455458441","54.148748","-4.481102","IM1 2AG",""
"459976551","node","https://osm.org/node/459976551","54.332103","-4.394921","IM8 3UA",""
"469407676","node","https://osm.org/node/469407676","54.17517","-4.453887","IM3 1AJ",""
"475392777","node","https://osm.org/node/475392777","54.343364","-4.432745","IM7 3HP","Isle of Man Government Land Registry Land Transactions"
"475392828","node","https://osm.org/node/475392828","54.297285","-4.325452","IM7 1AT","Isle of Man Government Land Registry Land Transactions"
"475392866","node","https://osm.org/node/475392866","54.250129","-4.606267","IM6 1HP","Isle of Man Government Planning Applications"
"475392894","node","https://osm.org/node/475392894","54.136753","-4.516379","IM4 1AJ","Isle of Man Government Planning Applications"
"475392931","node","https://osm.org/node/475392931","54.228388","-4.660284","IM5 2AD",""
"475393011","node","https://osm.org/node/475393011","54.381728","-4.468514","IM7 3EG",""
"475393129","node","https://osm.org/node/475393129","54.239594","-4.647594","IM5 2AF",""
"475393209","node","https://osm.org/node/475393209","54.320188","-4.436481","IM7 2AP","Isle of Man Government Land Registry Land Transactions"
"475393234","node","https://osm.org/node/475393234","54.242773","-4.618144","IM5 2AS",""
"475393335","node","https://osm.org/node/475393335","54.35038","-4.386681","IM7 4AB","Isle of Man Government Land Registry Land Transactions"
"475393430","node","https://osm.org/node/475393430","54.106707","-4.578023","IM4 1HF","Isle of Man Government Land Registry Land Transactions"
"475393492","node","https://osm.org/node/475393492","54.119394","-4.720931","IM9 4BP",""
"475393519","node","https://osm.org/node/475393519","54.136884","-4.504062","IM4 1AQ",""
"475393550","node","https://osm.org/node/475393550","54.138451","-4.661637","IM9 3BA",""
"475393564","node","https://osm.org/node/475393564","54.353494","-4.38325","IM7 4AD","Isle of Man Government Land Registry Land Transactions"
"475393580","node","https://osm.org/node/475393580","54.284424","-4.364804","IM7 1ES",""
"475393624","node","https://osm.org/node/475393624","54.396014","-4.367638","IM7 4BR",""
"475393653","node","https://osm.org/node/475393653","54.257919","-4.611893","IM6 1HP",""
"475393675","node","https://osm.org/node/475393675","54.182939","-4.541123","IM4 4HN","Isle of Man Government Planning Applications"
"475393868","node","https://osm.org/node/475393868","54.128591","-4.667902","IM9 3BB","Isle of Man Government Planning Applications"
"475393967","node","https://osm.org/node/475393967","54.234365","-4.589538","IM6 1BB",""
"475393980","node","https://osm.org/node/475393980","54.36812","-4.465","IM7 3EJ",""
"475394136","node","https://osm.org/node/475394136","54.18973","-4.599817","IM4 2DT","Isle of Man Government Planning Applications"
"475394161","node","https://osm.org/node/475394161","54.279588","-4.345771","IM7 1EE",""
"475394232","node","https://osm.org/node/475394232","54.260682","-4.607858","IM6 1HP",""
"475394266","node","https://osm.org/node/475394266","54.294879","-4.361249","IM7 1BJ",""
"475394275","node","https://osm.org/node/475394275","54.250971","-4.624246","IM6 1HP","Isle of Man Government Planning Applications"
"475394396","node","https://osm.org/node/475394396","54.158592","-4.521902","IM4 2AB","Isle of Man Government Land Registry Land Transactions"
"475394408","node","https://osm.org/node/475394408","54.17167","-4.645358","IM4 3BH","Isle of Man Government Land Registry Land Transactions"
"475394707","node","https://osm.org/node/475394707","54.266083","-4.608389","IM6 1HN",""
"475394738","node","https://osm.org/node/475394738","54.184045","-4.709184","IM5 3BG",""
"475394805","node","https://osm.org/node/475394805","54.114199","-4.728195","IM9 4BW",""
"475394944","node","https://osm.org/node/475394944","54.294823","-4.37143","IM7 1EP",""
"475394950","node","https://osm.org/node/475394950","54.244418","-4.640663","IM5 2AQ",""
"475394968","node","https://osm.org/node/475394968","54.115331","-4.703738","IM9 4HN",""
"475394970","node","https://osm.org/node/475394970","54.152709","-4.611386","IM9 3AN","Isle of Man Government Land Registry Land Transactions"
"475394989","node","https://osm.org/node/475394989","54.110367","-4.727915","IM9 4BW",""
"475395140","node","https://osm.org/node/475395140","54.135666","-4.671915","IM9 3BA",""
"475395145","node","https://osm.org/node/475395145","54.14391","-4.646952","IM9 3BA",""
"475395152","node","https://osm.org/node/475395152","54.160709","-4.610731","IM4 3HR","Isle of Man Government Land Registry Land Transactions"
"475395163","node","https://osm.org/node/475395163","54.134258","-4.512591","IM4 1AH","Isle of Man Government Planning Applications"
"476150199","node","https://osm.org/node/476150199","54.103146","-4.713534","IM9 4BU",""
"476150208","node","https://osm.org/node/476150208","54.197399","-4.637245","IM4 3AS",""
"498461703","node","https://osm.org/node/498461703","54.156199","-4.491346","IM2 3LX",""
"498494359","node","https://osm.org/node/498494359","54.222916","-4.691983","IM5 1HE",""
"498494360","node","https://osm.org/node/498494360","54.222727","-4.691865","IM5 1HE",""
"502471206","node","https://osm.org/node/502471206","54.152699","-4.500558","IM1 5ED",""
"502490905","node","https://osm.org/node/502490905","54.16027","-4.479197","IM2 4HW",""
