"SubUnit_Name","House_Number","House_Name","Street_Name","Locality","Town","Postcode","Parish"
"","","Farrants Fort","","St Judes","Andreas","IM7 2EN","Andreas"
"","","Land At Archallagan Terrace","","","Foxdale","IM4 3EZ","Patrick"
"","","Ballaglonney Farm","","","Malew","IM4 1ES","Malew"
"Electrical Substation","","Billown Farm","","","Malew","","Malew"
"","","Clypse And Kerrowdhoo Reservoirs","","","Onchan","","Onchan"
"","","Ballamoar","","","Patrick","IM5 3AW","Patrick"
"","","Knockaloe Beg","","","Patrick","IM5 3AQ","Patrick"
"","","Land At Thie Ny Garee","(Field 614193 And Part Of Field 614194)","Ballaragh","Lonan","IM4 7PL","Lonan"
"","","Land Near Keeill Cottage","(Part Of Field 614237)","Ballaragh","Lonan","IM4 7PL","Lonan"
"","","Access And Parking Area At The Rear Of","1 2 & 3 Harbourside","Tent Road","Laxey","","Lonan"
"","","Cleveland Lodge","1 Albany Road","","Douglas","IM2 3AJ","Onchan"
"Flat 6","","Frankville Court","1 And 2 Woodville Terrace","","Douglas","IM2 4HA","Onchan"
"","","","1 And 3 Farrant Street","","Douglas","IM2 3HF","Onchan"
"","","","1 Costain Close","","Colby","IM9 4NZ","Arbory"
"","","","1 Hillcroft Green","Governors Hill","Douglas","IM2 7EQ","Onchan"
"","","","1 Lower Cronk Orry","","Laxey","IM4 7EG","Lonan"
"Apartment 5","","Walpole House","1 Marine Parade","","Peel","IM5 1PB","German"
"","","","1 Ravens Wharf","South Quay","Douglas","IM1 5BT","Braddan"
"","","Yard Rear Of Somerset House","1 Somerset Road","","Douglas","","Onchan"
"","","","1 Spaldrick","","Port Erin","IM9 6PB","Rushen"
"","","Westlea","1 Springfield Terrace","","Higher Foxdale","IM4 3HG","Patrick"
"","","Casa Mia","1 St Patricks View","","Jurby","IM7 3EX","Jurby"
"","","","1 Summerhill Place","","Douglas","IM2 4PQ","Onchan"
"","","","1 The Millrace","","Sulby","IM7 2HT","Lezayre"
"","","","10 Ballasteen Road","","Andreas","IM7 4HG","Andreas"
"","","","10 Bridge Street","","Castletown","IM9 1AX","Malew"
"","","","10 Chaffinch Close","Ashbourne Park","Douglas","IM2 1QP","Braddan"
"","","","10 Crown Street","","Peel","IM5 1AJ","German"
"","","","101 Saddle Mews","","Douglas","IM2 1HX","Braddan"
"","","","101 Woodbourne Road","","Douglas","IM2 3AR","Onchan"
"","","","105 Saddle Mews","Groves Road","Douglas","IM2 1HX","Braddan"
"","","Shared Area In Relation To","10A And 10B Cronk Y Berry View","","Douglas","IM2 6HH","Onchan"
"","","","11 Christian Road","","Douglas","IM1 2QH","Onchan"
"","","","11 Cronk-Y-Berry Mews","","Douglas","IM2 6HQ","Onchan"
"","","Shared Area In Relation To","11 Cronk-Y-Berry Mews","","Douglas","","Onchan"
"","","","11 Fleshwick Close","Ballakilley","Port St Mary","IM9 5NS","Rushen"
"","","","11 Garages","Off Fairfield Avenue","Onchan","IM3 4BQ","Onchan"
"","","","11 Peveril Street","","Douglas","IM1 1BT","Onchan"
"","","Apartment 1","11/12 Peel Road","","Douglas","IM1 4LR","Onchan"
"","","Silver Creek House","12 Cronk Road","Union Mills","Braddan","IM4 4NJ","Braddan"
"","","","12 Devonshire Road","","Douglas","IM2 3RB","Onchan"
"","","","12 Fleshwick Close","Ballakilley","Port St Mary","IM9 5NS","Rushen"
"","","","12 Harcroft Meadows","","Douglas","IM2 1PB","Braddan"
"","","Caedmon","12 Mountain View","","Peel","IM5 1QF","German"
"","","","12 North Quay And 25/27 Queens Street","","Douglas","","Onchan"
"","","Sekondi","12 Victoria Road","","Castletown","IM9 1EW","Malew"
"Apt 2","","","120 Bucks Road","","Douglas","IM1 3AH","Onchan"
"","","","129 St Pauls Apartments","St Pauls Square","Ramsey","IM8 1LE","Maughold"
"","","Shared Area In Relation To","13 Cronk Y Berry Mews","","Douglas","IM2 6HQ","Onchan"
"","","Showroom And Workshop","13 Peel Road","Mount Vernon","Douglas","IM1 5EW","Onchan"
"","","","13 Sprucewood View","","Foxdale","IM4 3HA","Patrick"
"","","","13 Victoria Road","","Castletown","IM9 1EN","Malew"
"","","Wyverne","13 Victoria Road","","Castletown","IM9 1EN","Malew"
"","","Shared Area Associated With","14 Brewery Wharf","Victoria Road","Castletown","IM9 1EU","Malew"
"","","","14 Fleshwick Close","Ballakilley","Port St Mary","IM9 5NS","Rushen"
"Flat 2","","","14 Mona Street","","Douglas","IM1 2QD","Onchan"
"","","Land Adjacent To ","14 Murrays Lake Drive","Mount Murray","Santon","","Santon"
"","","","14 Woodlands View","Farmhill","Douglas","IM2 2BT","Braddan"
"","","","142 Bucks Road And 2A Windsor Road","","Douglas","IM1 3AJ","Onchan"
"Apartment 2","","","142 Bucks Road And 2A Windsor Road","","Douglas","IM1 3AJ","Onchan"
"Apartment 4","","","142 Bucks Road And 2A Windsor Road","","Douglas","IM1 3AJ","Onchan"
"Flat 3","","","142 Bucks Road And 2A Windsor Road","","Douglas","IM1 3AJ","Onchan"
"","","Shop","142 Bucks Road And 2A Windsor Road","","Douglas","IM1 3AJ","Onchan"
"","","","15 And 17 Arbory Road","","Castletown","IM9 1NA","Malew"
"","","Greenmount","15 Ballagale Avenue","Surby","Rushen","IM9 6QN","Rushen"
"","","Shared Areas In Relation To","15 Cronk Y Berry Mews","","Douglas","IM2 6HQ","Onchan"
"","","Land Adjacent To ","15 Murrays Lake Drive","Mount Murray","Santon","","Santon"
"","","","15 Royal Avenue West","","Onchan","IM3 1HB","Onchan"
"Apartment 4","","Prospect House Apartments","15, 17 And 19 Woodbourne Road","","Douglas","","Onchan"
"Apartment 6","","Prospect House Apartments","15, 17 And 19 Woodbourne Road","","Douglas","","Onchan"
"Apartment 6","","Prospect House Apartments","15-19 Woodbourne Road","","Douglas","","Onchan"
"","","","16 Acres Of Land","","Abbeyfields","","Onchan"
"","","","16 Close Quirk","","Douglas","IM2 2HN","Braddan"
"","","","16 Fleshwick Close","Ballakilley","Port St Mary","IM9 5NS","Rushen"
"Flat 8","","Claymore Apartments","16 Stanley View","","Douglas","IM2 3JA","Onchan"
"","","","16 Wallberry Mews","","Douglas","IM2 2NE","Braddan"
"","","","16, 17 And 18 Port Jack","","Onchan","IM3 1EA","Onchan"
"","","","16A And 16B Cronk Y Berry View","","Douglas","IM2 6HH","Onchan"
"","","Shared Area In Relation To","16A And 16B Cronk Y Berry View","","Douglas","IM2 6HH","Onchan"
"","","","17 Queen Street","","Castletown","IM9 1PB","Malew"
"","","Plot Of Land Between","18 And 22 Victoria Terrace","","Douglas","IM2 4EX","Onchan"
"","","Land Abutting The Rear Of ","18 Ashlar Drive","","Union Mills","IM4 4LL","Braddan"
"","","","18 Bayr Cam","","Douglas","IM2 2HT","Braddan"
"","","","18 Malvern Road","","Douglas","IM2 5AR","Onchan"
"","","","19 Fleshwick Close","Ballakilley","Port Erin","IM9 5NS","Rushen"
"","","","19 King Edward Park","","Onchan","IM3 2AD","Onchan"
"","","","19 Magnus Court","Kings Reach","Ramsey","IM8 3NT","Lezayre"
"","","","2 & 4 Michael Street And 15 & 17 Douglas Street","","Peel","IM5 1BA","German"
"","","Bank Premises","2 Athol Street","","Douglas","IM99 1AN","Onchan"
"","","","2 Ballaughton Villas","","Douglas","IM2 1JF","Braddan"
"","","","2 Garages Off Westbourne Drive","","Douglas","","Onchan"
"","","Ocean Reach","2 Gellings Avenue","","Port St Mary","IM9 5BG","Rushen"
"","","Shared Area In Relation To","2 Hillberry Meadows","Governors Hill","Douglas","IM2 7BJ","Onchan"
"","","","2 Hillcroft","Governors Hill","Douglas","IM2 7DW","Onchan"
"","","","2 Laureys Avenue","","Ramsey","IM8 2HE","Maughold"
"","","","2 Laurys Avenue","","Ramsey","IM8 2HE","Maughold"
"","","Kala","2 Marine Terrace","","Port St Mary","IM9 5EQ","Rushen"
"","","","2 Market Place And 1 Dale Street","","Ramsey","IM8 1BJ","Maughold"
"","","","2 Meayll Drive","Ballakilley","Port St Mary","IM9 5NT","Rushen"
"","","","2 Milner Terrace","","Castletown","IM9 1AJ","Malew"
"","","","2 Riversdale Cottages","Jurby Road","Ramsey","IM7 2EA","Lezayre"
"","","","2 Selborne Drive","","Douglas","IM2 3LS","Onchan"
"","","","2 Speke Farm","Richmond Hill","Braddan","IM4 1JG","Braddan"
"","","","2 St Mary's Glebe","Fistard","Port St Mary","IM9 6PF","Rushen"
"","","Shared Area In Relation To","2 Strawberry Fields","Croit-E-Caley","Colby","IM9 4BZ","Rushen"
"","","Flat 3","2 The Esplande","Central Promenade","Douglas","IM2 4LR","Onchan"
"Apartment 2","","","20 Hampton Villas","","Douglas","IM2 2NH","Braddan"
"","","","20 Hillberry Heights","Governors Hill","Douglas","IM2 7BP","Onchan"
"","","","20 Oxford Street","","Douglas","IM1 3JF","Onchan"
"","","","21 Highcroft Avenue","","Douglas","IM2 5BW","Onchan"
"","","","21 Stanley Road And Garage Premises","","Peel","IM5 1NY","German"
"","","","22 And 24 Broadway","","Douglas","IM2 4EL","Onchan"
"","","","22 St German's Place","","Peel","IM5 1BZ","German"
"","","Woodside","23 Greeba Avenue","","Glen Vine","IM4 4EE","Marown"
"","","Clifton","23 Selborne Drive","","Douglas","IM2 3LR","Onchan"
"","","","24 Birchill Crescent","","Onchan","IM3 3DJ","Onchan"
"Apartment 1","","","24 Palace Terrace","","Douglas","IM2 4NF","Onchan"
"","","","24 Port-E-Chee Avevue","","Douglas","IM2 5EW","Onchan"
"","","","24 Sprucewood View","","Foxdale","IM4 3HA","Patrick"
"","","","25 Greeba Drive","","Onchan","IM3 1ER","Onchan"
"","","","25 Heywood Close","","Onchan","IM3 3AF","Onchan"
"","","","25 Marathon Road","","Douglas","IM2 4HN","Onchan"
"","","","26 Hilltop View","Farmhill","Douglas","IM2 2LB","Braddan"
"","","","26 Keeil Pharick Park","","Glen Vine","IM4 4EW","Marown"
"","","","27 Cronk Drean","","Douglas","IM2 6AU","Onchan"
"","","","27 Lancaster Road","","Douglas","IM2 5BB","Onchan"
"Apartment 3","","Prospect Court","27 Woodbourne Road","","Douglas","","Onchan"
"","","","28 Falcon Street","","Douglas","IM2 3HA","Onchan"
"","","","3 And 4 Cliff Cottages","Pinfold Hill","Laxey","IM4 7HL","Lonan"
"","","","3 Ballakeyll","","Colby","IM9 4AY","Rushen"
"","","","3 Bircham Avenue","","Ramsey","IM8 2LZ","Lezayre"
"","","The Albert Hotel","3 Chapel Row","","Douglas","IM1 2BJ","Onchan"
"","","","3 Fields At Kerrowkeil","","Malew","","Malew"
"","","","3 Garages At Ballaquark","Farmhill","Braddan","","Braddan"
"","","","3 Glen Falcon Terrace","Murrays Road","Douglas","IM2 3HR","Onchan"
"","","Flat 1","3 Kingswood Grove","","Douglas","IM1 3LY","Onchan"
"","","","3 Knock Rushen","","Castletown","IM9 1TQ","Malew"
"","","Bank Premises","3 Market Square","","Castletown","IM9 5TD","Malew"
"Apartment 4","","The Belgravia","3 Mona Drive","","Douglas","IM2 4LG","Onchan"
"Parcel of Land","","Speyr Vooar","3 Mourne View","","Peel","IM5 1UJ","German"
"","","","3 The Quay & 1 Old Post Office Lane","","Ramsey","IM8 1DW","Maughold"
"","","","3, 3A And 5 Douglas Street And Store","","Peel","IM5 1BA","German"
"","","","30 Cronk Avenue","Birch Hill","Onchan","IM3 3DF","Onchan"
"","","","30 Cronk Drean","Second Avenue","Douglas","IM2 6AU","Onchan"
"","","","30 Groudle Road","","Onchan","IM3 2EH","Onchan"
"","","","30 Sunnybank Avenue","","Onchan","IM3 3BP","Onchan"
"","","Lane To The Side And Rear Of","31 All Saints Park","","Lonan","","Lonan"
"","","","31 Harcroft Avenue","Saddlestone","Douglas","IM2 1PE","Braddan"
"","","","33 Cooil Drive","","Douglas","IM2 2HA","Braddan"
"","","Shared Area In Relation To","35 Ashbourne Avenue","","Douglas","IM2 1NR","Braddan"
"","","","35 Groudle Road","","Onchan","IM3 2EF","Onchan"
"","","","35A Auburn Road","","Onchan","IM3 1LP","Onchan"
"Flat 4","","","36 Castlemona Avenue","","Douglas","IM2 4EG","Onchan"
"","","","36 Manor Drive","","Douglas","IM2 2NS","Braddan"
"","","","39 Ard Reayrt","","Laxey","IM4 7QP","Lonan"
"","","","39 Cronk Cullyn","","Colby","IM9 4PS","Arbory"
"","","","39 Reayrt Carnane","Tromode Park","Douglas","IM2 5LJ","Onchan"
"","","Atlantic House","4 - 8 Circular Road","","Douglas","IM1 1AG","Onchan"
"","","","4 And 4A Sartfell Road","","Douglas","IM2 3LZ","Onchan"
"","","Passageway Between","4 And 5 Hillside Terrace","Glen Maye","Patrick","IM5 3BB","Patrick"
"","","A Private Roadway Providing Access To","4 And 5 Lucerne Court","","Douglas","IM2 6BJ","Onchan"
"","","Land Abutting The Rear Of","4 Campion Way","","Douglas","IM2 7DU","Onchan"
"FLAT 4","","Compton Court","4 Clarence Terrace","Central Promenade","Douglas","IM2 4LS","Onchan"
"Flat 3","","Compton Court","4 Clarence Terrace","Central Promenade","Douglas","IM2 4LS","Onchan"
"FLAT 2","","Angel Court","4 Derby Terrace","Central Promenade","Douglas","IM2 4LN","Onchan"
"","","","4 Elm Drive","Ballawattleworth","Peel","IM5 1WA","German"
"","","","4 Garages To Rear Of Central Drive","","Onchan","IM3 1EU","Onchan"
"","","","4 Greyfriars Close","Friary Park","Ballabeg","IM9 4EJ","Arbory"
"","","","4 Hespera Terrace","Lezayre Road","Ramsey","IM8 2LX","Lezayre"
"","","","4 Mount View Terrace","","Onchan","IM3 1AB","Onchan"
"","","","41 Cronk Drean","","Douglas","IM2 6AU","Onchan"
"","","","44 Seafield Close","Birch Hill","Onchan","IM3 3BU","Onchan"
"","","","44 Whitebridge Road","","Onchan","IM3 4HR","Onchan"
"","","Land At The Rear Of ","44, 46 And 48 Broadway","","Douglas","","Onchan"
"","","Shared Area In Relation To","46 Cronk Y Berry Avenue","","Douglas","IM2 6HG","Onchan"
"","","","48 Murrays Road","","Douglas","IM2 3HW","Onchan"
"","","","48 Queen Street","","Castletown","IM9 1NZ","Malew"
"","","Bms House","495 Portway","Balthane Industrial Estate","Ballasalla","IM9 2AJ","Malew"
"","","","5 Acres","Orrisdale Loop Road","Ballaugh","","Ballaugh"
"","","","5 And 5A Windsor Road","","Douglas","IM1 3LD","Onchan"
"","","","5 Farmhill Gardens","Farmhill","Douglas","IM2 2EG","Braddan"
"","","","5 Fleshwick Close","Ballakilley","Port St Mary","IM9 5NS","Rushen"
"","","Parcel Of Land At ","5 Snaefell Crescent","","Onchan","IM3 4NJ","Onchan"
"APARTMENT 2","","","5 The Esplanade","Central Promenade","Douglas","IM2 4LR","Onchan"
"","","Apartment 3","5 The Esplanade","","Douglas","IM2 4LR","Onchan"
"","","Rose Lea","5 Viking Close","Ballakillowey","Colby","IM9 4BH","Rushen"
"","","Parcel Of Land Rear Of","5 West View","","Peel","IM5 1BN","German"
"","","","50 Broadway And 4 Victoria Road","","Douglas","IM2 4EW","Onchan"
"","","Shared Area In Relation To","50 Cronk Y Berry Avenue","","Douglas","IM2 6HG","Onchan"
"","","","53 Ballanard Road","","Douglas","IM2 5HD","Onchan"
"Apartment 10","","Derby House Apartments","53-55 Derby Square","","Douglas","IM1 3LP","Onchan"
"Apartment 1","","Derby House Apartments","53/55 Derby Square","","Douglas","IM1 3LP","Onchan"
"Flat 3","","","55 Royal Avenue West","","Onchan","IM3 1HF","Onchan"
"","","Shared Area In Relation To","56 Cronk Y Berry Avenue","","Douglas","IM2 6HG","Onchan"
"","","Sea View","59 Governors Road","","Onchan","IM3 4AE","Onchan"
"","","The Savoy Hotel","6 Castle Mona Terrace","Central Promenade","Douglas","IM2 4LU","Onchan"
"","","Land To The Rear Of","6 Glebe Aalin Close","","Ballaugh","IM7 5BW","Ballaugh"
"","","Land To The Rear Of","6 Glebe Aalin Close","","Ballaugh","IM7 5BY","Ballaugh"
"","","Centre For Manx Studies","6 Kingswood Grove","","Douglas","IM1 3LX","Onchan"
"","","","6 Lhoan Pibbin Vane","Reayrt Ny Cronk","Peel","IM5 1GR","German"
"","","","6 Maple Avenue","","Onchan","IM3 3HP","Onchan"
"","","","6 Meayll Drive","Ballakilley","Port St Mary","IM9 5NT","Rushen"
"","","","6 Peveril Street","","Douglas","IM1 1BT","Onchan"
"","","","61 King Edward Road","","Onchan","IM3 2AR","Onchan"
"","","Viking House","63 Summerhill Road","","Onchan","IM3 1NS","Onchan"
"","","Holly Cottage","64 Main Road","","Onchan","IM3 1AL","Onchan"
"","","","64 Patrick Street","","Peel","IM5 1BS","German"
"Plot of land to rear of Woodridings","","","65 Ballanard Road","","Douglas","","Onchan"
"Flat 1","","","65 Bucks Road","","Douglas","IM1 3EF","Onchan"
"Plot of land to the rear of Woodbourne Lane","","","7 - 11 Woodbourne Villas","","Douglas","","Onchan"
"","","","7 Church Street","","Peel","IM5 1HN","German"
"","","","7 Fleshwick Close","Ballakilley","Port St Mary","IM9 5NS","Rushen"
"APARTMENT 7","","Fullwood Court","7 Palace Road","","Douglas","IM2 4LD","Onchan"
"","","","7 Roslyn Terrace","","Douglas","IM2 5DE","Onchan"
"","","Land Abutting","7 The Castleward Green","","Douglas","IM2 5PS","Onchan"
"","","","7 The Cherry Walk","","Douglas","IM2 5NS","Onchan"
"","","","7 The Kirkway","","Onchan","IM3 1BH","Onchan"
"","","","7 Upper Dukes Road","","Douglas","IM2 4BA","Onchan"
"","","","71 Friary Park","Ballabeg","Arbory","IM9 4EP","Arbory"
"","","Hazeldene","71 Stanley Mount West","","Ramsey","IM8 1LR","Maughold"
"","","","72 Derby Square","","Douglas","IM1 3LR","Onchan"
"","","","73 Maple Avenue","","Onchan","IM3 3GA","Onchan"
"","","Danescourt","76 King Edward Road","","Onchan","IM3 2AU","Onchan"
"","","Common Areas And Land Attached","7A And 7B Balleigh Park","","Ramsey","IM8 3NL","Lezayre"
"","","","8 Ballagale Avenue","","Surby","IM9 6QN","Rushen"
"","","","8 Brunswick Road","","Douglas","IM2 3LQ","Onchan"
"","","","8 Christian Close","Ballastowell Gardens","Ramsey","IM8 2AU","Maughold"
"","","","8 Crosby Terrace","","Douglas","IM2 5DG","Onchan"
"","","Plot Of Land Abutting Quayles Cottage","8 Hamilton Terrace","Lower Foxdale","Patrick","","Patrick"
"","","","8 Slieau Whallian Park","","St Johns","IM4 3JH","German"
"","","3 The Maples","85 Woodbourne Road","","Douglas","IM2 3AW","Onchan"
"","","","9 And 10 The Promenade","","Castletown","IM9 1BJ","Malew"
"","","","9 Chaffinch Close","Ashbourne Park","Douglas","IM2 1QP","Braddan"
"","","Shared Area In Relation To","9 Cronk Y Berry Avenue","","Douglas","IM2 6HE","Onchan"
"","","Lincluden House","9 Glen View Terrace","","Port Erin","IM9 6HA","Rushen"
"","","","9 Mull View","","Kirk Michael","IM6 1AQ","Michael"
"","","","9 St Paul's Mews","","Ramsey","IM8 1ED","Maughold"
"","","","93 Greenlands Avenue","","Ramsey","IM8 2PF","Lezayre"
"","","","A Field Part Of Upper Ballamenagh","","Kirk Michael","IM6 1AY","Michael"
"","","","A Parcel Of Land At","Ballalona","Patrick","","Patrick"
"","","","A Parcel Of Land At Red Gap","","Castletown","","Malew"
"","","","A Parcel Of Land Part Of","Shen Ville And Slieu Mell","Onchan","","Onchan"
"","","","A Parcel Of Land Situate At","Ballavartyn","Santon","","Santon"
"","","","A Parcel Of Land To The Rear Of Peel Medical Centre","","Peel","","German"
"","","","A Plot Of Land","Scarlett","Malew","","Malew"
"","","","A Section Of Private Road","Off Minorca Hill","Laxey","IM4 7EE","Lonan"
""," 1","","Aalin Lea","","Kirk Michael","IM6 1HZ","Michael"
"Garden at the rear of"," 1","","Aalin Lea","","Kirk Michael","IM6 1HZ","Michael"
""," 2","","Aalin Lea","","Kirk Michael","IM6 1HZ","Michael"
""," 3","","Aalin Lea","","Kirk Michael","IM6 1HZ","Michael"
""," 4","","Aalin Lea","","Kirk Michael","IM6 1HZ","Michael"
""," 5","","Aalin Lea","","Kirk Michael","IM6 1HZ","Michael"
""," 6","","Aalin Lea","","Kirk Michael","IM6 1HZ","Michael"
""," 8","","Aalin Lea","","Kirk Michael","IM6 1HZ","Michael"
"","","Abbey Ford","Abbey Ford Lane","","Ballasalla","IM9 3DE","Malew"
"","","Nookery Hill","Abbey Road","","Ballasalla","IM9 3DF","Malew"
"","","The Orchard","Abbey Road","","Ballasalla","IM9 3DF","Malew"
"","","Lane At Monks Bridge Cottage","Abbey Road Lane","","Ballasalla","IM9 3DE","Malew"
"","","Monks Bridge Cottage","Abbey Road Lane","","Ballasalla","IM9 3DE","Malew"
"","","Middle Ballacashin","Abbeyfields","","Onchan","IM4 5ED","Onchan"
"Plot of land adjoining Brooklands","","","Abbeylands","","Douglas","IM4 5ED","Onchan"
"","","Abbeylands House","Abbeylands","","Douglas","IM4 5ED","Onchan"
"","","Abbeylands Pumping Station","Abbeylands","","Douglas","IM4 5EF","Onchan"
"","","Land At Larkhill","Abbeylands","","Douglas","","Onchan"
"Parcel of riverbank land adjacent to the garden of","","Abbeylands House","Abbeylands","","Onchan","IM4 5ED","Onchan"
"","","Balganey","Abbeylands","","Onchan","IM4 5EG","Onchan"
"","","Ballacashin Farm","Abbeylands","","Onchan","IM4 5EG","Onchan"
"","","Ballacoyne","Abbeylands","","Onchan","IM4 5EF","Onchan"
"","","Brooklands","Abbeylands","","Onchan","IM4 5EH","Onchan"
"","","Coan Ny Glion","Abbeylands","","Onchan","IM4 5EF","Onchan"
"","","Land At Ballacashin","Abbeylands","","Onchan","","Onchan"
"","","Land At Ballacreetch","Abbeylands","","Onchan","","Onchan"
"","","Land At Strenaby","Abbeylands","","Onchan","","Onchan"
"","","Land Part Of Ballacreetch Estate","Abbeylands","","Onchan","","Onchan"
"","","Lanjaghan","Abbeylands","","Onchan","IM4 5EQ","Onchan"
"","","Lower Ballacashin","Abbeylands","","Onchan","IM4 5EG","Onchan"
"","","Strenaby Farm","Abbeylands","","Onchan","IM4 5EF","Onchan"
"","","Waters' Edge Cottage","Abbeylands","","Onchan","IM4 5ED","Onchan"
"","","","Abbeylands Estate","","Onchan","","Onchan"
"Stable 2","","","Abbeylands Estate","","Onchan","","Onchan"
"","","Garage 9","Abbeylands Estate","","Onchan","IM4 5BX","Onchan"
"","","Land At ","Abbeylands Estate","","Onchan","IM4 5BX","Onchan"
"","","Parcel Of Land","Abbeylands Estate","Scollag Road","Onchan","IM4 5BU","Onchan"
"","","Parcel Of Land","Abbeylands Estate","","Onchan","IM4 5BU","Onchan"
"","","Stables 4 And 5E","Abbeylands Estate","","Onchan","IM4 5BX","Onchan"
"","","The Farmhouse","Abbeylands Estate","","Onchan","IM4 5BX","Onchan"
"","","The New Farmhouse","Abbeylands Estate","Abbeylands","Onchan","IM4 5BX","Onchan"
""," 1","","Abbeylands Estate","","Onchan","IM4 5BX","Onchan"
""," 2","","Abbeylands Estate","","Onchan","IM4  5BU","Onchan"
""," 3","Dragonfly Barn","Abbeylands Estate","Abbeylands","Onchan","IM4 5BX","Onchan"
""," 4","","Abbeylands Estate","","Onchan","IM4 5BX","Onchan"
""," 5","","Abbeylands Estate","","Onchan","IM4 5BX","Onchan"
""," 6","","Abbeylands Estate","Off Scollag Road","Onchan","IM4 5BX","Onchan"
"","","Land At","Abbeyville","","Lezayre","","Lezayre"
""," 10","","Abbots Close","","Ballasalla","IM9 3EA","Malew"
""," 11","","Abbots Close","Abbotswood","Ballasalla","IM9 3EA","Malew"
""," 12","","Abbots Close","Abbotswood","Ballasalla","IM9 3EA","Malew"
""," 15","","Abbots Close","","Ballasalla","IM9 3EA","Malew"
""," 16","","Abbots Close","","Ballasalla","IM9 3EA","Malew"
""," 17","","Abbots Close","Abbotswood","Ballasalla","IM9 3EA","Malew"
""," 19","","Abbots Close","Abbotswood","Ballasalla","IM9 3EA","Malew"
""," 22","","Abbots Close","Abbotswood","Ballasalla","IM9 3EA","Malew"
""," 25","","Abbots Close","","Ballasalla","IM9 3EA","Malew"
""," 3","","Abbots Close","Abbotswood","Ballasalla","IM9 3EA","Malew"
""," 5","","Abbots Close","","Ballasalla","IM9 3EA","Malew"
""," 7","","Abbots Close","Abbotswood","Ballasalla","IM9 3EA","Malew"
""," 8","","Abbots Close","","Ballasalla","IM9 3DZ","Malew"
""," 10","","Abbots Drive","Abbotswood","Ballasalla","IM9 3EB","Malew"
""," 13","","Abbots Drive","Abbotswood","Ballasalla","IM9 3EB","Malew"
""," 15","","Abbots Drive","Abbotswood","Ballasalla","IM9 3EB","Malew"
""," 2","","Abbots Drive","Abbotswood","Ballasalla","IM9 3EB","Malew"
""," 3","","Abbots Drive","Abbotswood","Ballasalla","IM9 3EB","Malew"
""," 4","","Abbots Drive","Abbotswood","Ballasalla","IM9 3EB","Malew"
""," 5","","Abbots Drive","Abbotswood","Ballasalla","IM9 3EB","Malew"
""," 6","","Abbots Drive","","Ballasalla","IM9 3EB","Malew"
""," 8","","Abbots Drive","Abbotswood","Ballasalla","IM9 3EB","Malew"
""," 1","","Abbots Way","Abbotswood","Ballasalla","IM9 3EQ","Malew"
""," 10","","Abbots Way","Crossags Road","Ballasalla","IM9 3EQ","Malew"
""," 11","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 12","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 13","","Abbots Way","Abbotswood","Ballasalla","IM9 3EQ","Malew"
""," 14","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 15","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 16","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 17","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 18","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 19","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 2","","Abbots Way","Abbotswood","Ballasalla","IM9 3EQ","Malew"
""," 20","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 20","","Abbots Way","Abbotswood","Ballasalla","IM9 3EQ","Malew"
""," 21","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 21 ","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 22","","Abbots Way","Abbotswood","Ballasalla","IM9 3EQ","Malew"
""," 23","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 25","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 26","","Abbots Way","","Ballasalla","IM9 1EG","Malew"
""," 27","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 28","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 28","","Abbots Way","Abbotswood","Ballasalla","IM9 3EQ","Malew"
""," 29","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 3","","Abbots Way","Abbotswood","Ballasalla","IM9 3EQ","Malew"
""," 30","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 31","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 38","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
""," 5","","Abbots Way","Abbotswood","Ballasalla","IM9 3EQ","Malew"
""," 7","","Abbots Way","Abbotswood","Ballasalla","IM9 3EQ","Malew"
""," 8","","Abbots Way","Abbotswood","Ballasalla","IM9 3EQ","Malew"
""," 9","","Abbots Way","","Ballasalla","IM9 3EQ","Malew"
"","","The Priory","Abbots Way","Ballasalla","Malew","IM9 3EQ","Malew"
""," 15","","Abbots Way","Ballasalla","Malew","IM9 3EQ","Malew"
""," 23","","Abbotsway","","Ballasalla","IM9 3EQ","Malew"
"","","24 Abbots Close","Abbotswood","The Priory","Ballasalla","IM9 3EA","Malew"
"","","Parcel Of Land","Abbotswood","","Ballasalla","IM9 3EQ","Malew"
