Decisions issued under delegated authority 1/1/13 - 31/12/13,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Registered Building Consent for installation of replacement front door (RB no 184 in association with 13/00097/GB),2 Church Cottage St Marks Ballasalla Isle Of Man IM9 3AH ,PER,31-May-13,13/00098/CON
Installation of entrance gates and erection of fencing,Pine View Glen Vine Road Glen Vine Isle Of Man IM4 4HG ,PER,13-Mar-13,13/00100/B
Alterations and erection of extension to detached out building and creation of a rear pedestrian access,Shangri-La Tynwald Road Peel Isle Of Man IM5 1JP,PER,14-May-13,13/00337/B
Widen existing vehicular access and driveway,27 Cooil Breryck Ramsey Isle Of Man IM8 3HL,PER,25-Apr-13,13/00340/B
"Alterations, replacement of garage door with a window and creation of two dormer windows to dwelling",11 Milner Close Port Erin Isle Of Man IM9 6BG,PER,23-Dec-13,13/91306/B
Erection of a dwelling (amendment to dwelling type approved under PA 10/00544/B),Plot B6 Reayrt Ny Cronk Peel Isle Of Man IM5 1GR ,PER,10-Apr-13,13/00272/B
Erection of a sun room extension to replace existing conservatory,Sleepy Hollow The Cronk Ballaugh Isle Of Man IM7 5AY ,PER,30-Aug-13,13/00550/B
Installation of replacement conservatory roof,2 Bradda View Ballakillowey Colby Isle Of Man IM9 4BE,PER,13-Sep-13,13/00870/B
Installation of additional window to side elevation (retrospective),22 Greyfriars Close Ballabeg Castletown Isle Of Man IM9 4EJ,PER,03-Sep-13,13/00872/B
Replace existing conservatory roof with light weight roof tiles,29 Farmhill Lane Douglas Isle Of Man IM2 2EF,PER,04-Nov-13,13/91103/B
Erection of timber staircase to provide access to rear yard (retrospective),34 Queen Street Castletown Isle Of Man IM9 1PA,PER,25-Oct-13,13/91104/B
Erection of a farrowing house,Ballakelly Farm Kiondroghad Road Andreas Isle Of Man IM7 3EJ,PER,26-Feb-13,13/00077/B
"Alterations, erection of extensions and installation of replacement windows to dwelling",Glendown House Truggan Road Port St. Mary Isle Of Man IM9 5LD,PER,28-Feb-13,13/00082/B
Installation of a bifold doors (retrospective) and increase height of an existing window to dwelling,Ballacregga Farm Lhen Road Bride Isle Of Man IM7 4BF,PER,28-Feb-13,13/00084/B
Alterations and erection of extensions to dwelling,4 Truggan Close Port Erin Isle Of Man IM9 6JR,PER,28-Feb-13,13/00085/B
Conversion of property into two apartments,26 Castlemona Avenue Douglas Isle Of Man IM2 4EQ,PER,04-Apr-13,13/00206/B
Additional use of residential property as tourist accommodation,2 Greenfield Cottage Main Road Onchan Isle Of Man IM3 1AS,PER,04-Apr-13,13/00207/C
Alterations and construction of a first floor to dwelling,Braemar Mount Auldyn Ramsey Isle Of Man IM8 3PJ,PER,04-Apr-13,13/00208/B
Installation of a flue to dwelling,4 Mountain View Douglas Isle Of Man IM2 5HU,PER,09-Apr-13,13/00209/B
Erection of a conservatory to replace existing conservatory and porch,25 Park Close Glen Vine Isle Of Man IM4 4HB,PER,27-Mar-13,13/00210/B
Erection of a conservatory to replace existing to dwelling,8 Marina Close Onchan Isle Of Man IM3 4BN,PER,05-Apr-13,13/00211/B
Storage of buildings and containers on site and use of land for camping and events (retrospective),Field 210405 West Loughan Jurby Isle Of Man  ,REF,02-May-13,13/00212/C
Creation of a pedestrian access (retrospective),2 Ballanoa Meadow Santon Isle Of Man IM4 1HQ,PER,27-Mar-13,13/00213/B
Erection of an extension to swimming pool to create a gym,Balliargey Abbeylands Isle Of Man IM4 5EE ,PER,09-Apr-13,13/00214/B
Window alterations to front and side elevations of dwelling,67 Derby Road Douglas Isle Of Man IM2 3EA,PER,05-Apr-13,13/00230/B
Conversion and erection of an extension to dwelling to provide three apartments with associated covered on site parking (In association with PA 13/00232/CON),11 Harris Terrace Douglas Isle Of Man IM1 3LZ,PER,02-May-13,13/00231/GB
Approval in principle for the erection of a dwelling,Field Number 220364 Croit Miggal Dollagh Mooar Road Dollagh Ballaugh Isle Of Man  ,REF,10-Apr-13,13/00240/A
"Erection of two extensions, installation of external stairs and creation of a roof terrace to dwelling",The Cottage Woodland Heights Ashley Road Onchan Isle Of Man IM4 5BB ,PER,10-Apr-13,13/00243/B
Erection of an extension to dwelling,25 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ ,PER,11-Apr-13,13/00244/B
Erection of a first floor extension over garage,Plot 29 Glen Road Colby Isle Of Man IM9 4PP ,PER,24-Apr-13,13/00307/B
Erection of a first floor extension over garage,Plot 28 Glen Road Colby Isle Of Man IM9 4PP ,PER,24-Apr-13,13/00308/B
Erection of an extension to dwelling,Close Taggart The Curragh Ballaugh Isle Of Man IM7 5BH ,PER,14-May-13,13/00309/B
Installation of advertising vinyls to ground floor windows,Isle Of Man Bank 2 - 4 Regent Street Douglas Isle Of Man IM1 2EA ,REF,16-Dec-13,13/01293/D
Installation of a replacement flue to dwelling,Thie Y Chleree Maughold Isle Of Man IM7 1AS ,PER,23-May-13,13/00476/B
Installation of a doorway to dwelling,The Barn Strawberry Fields Croit E Caley Colby Isle Of Man IM9 4AW ,PER,28-May-13,13/00490/B
"Replace existing garage door with a window, extend existing driveway and widen existing vehicular access",Eventide 13 Furman Road Onchan Isle Of Man IM3 1BS,PER,12-Jun-13,13/00491/B
Erection of a dwelling with sunroom extension to rear (amendment to dwelling approved under PA 11/00684/B),Plot 31 Croit Ny Glionney Glen Road Colby Isle Of Man IM9 4PP ,PER,04-Jun-13,13/00492/B
Conversion of former police station to four apartments and a maisonette,Former Police Station 1 & 3 Elm Drive Onchan Isle Of Man IM3 4EH,PER,12-Jun-13,13/00493/B
"Erection of extension to provide garage, general store and utility to dwelling",31 The Park Onchan Isle Of Man IM3 1HR,PER,25-Sep-13,13/00808/B
Erection of a staircase and balustrade to flat roof area on rear of dwelling (retrospective),34 Queen Street Castletown Isle Of Man IM9 1PA,REF,13-Sep-13,13/00887/B
Alterations and extensions to dwelling,3 Shirragh Way Port Erin Isle Of Man IM9 6FB,PER,04-Oct-13,13/90951/B
Erection of a detached dwelling (amendment to dwelling approved under PA 10/01558/B),Plot 29 Springfield Rise Foxdale Isle Of Man IM4 3JX ,PER,30-Apr-13,13/00338/B
Erection of a dwelling with on site parking,Land Abutting Parsonage Road And Summerland Ramsey Isle Of Man  ,PER,18-Nov-13,13/00407/B
Creation of new driveway and vehicular access,Parkland Adjacent To Great Meadow Castletown Isle Of Man ,PER,03-Jun-13,13/00408/B
Change of use of existing retail shop to a deli take-away and diner,5 Wellington Street Douglas Isle Of Man IM1 2AS,PER,16-May-13,13/00410/C
Alterations and roofing works to existing conservatory,Linkside 12 Rheast Lane Peel Isle Of Man IM5 1BE,PER,28-May-13,13/00505/B
Erection of sun room extension to replace existing conservatory,19 Cannan Avenue Kirk Michael Isle Of Man IM6 1HF,PER,21-Oct-13,13/91091/B
Erection of an extension to rear elevation of dwelling,8 Lyndale Avenue Peel Isle Of Man IM5 1JY,PER,20-Nov-13,13/91112/B
Alterations to kitchen doors to rear elevation of dwelling,32 Majestic Drive Onchan Isle Of Man IM3 2JJ,PER,25-Oct-13,13/91113/B
Installation of decking and widen existing driveway and vehicular access,12 Cronk Avenue Onchan Isle Of Man IM3 3DG,PER,25-Oct-13,13/91114/B
Replace existing conservatory roof with new lightweight roof tile,60 Seafield Close Onchan Isle Of Man IM3 3BU,PER,30-Aug-13,13/00894/B
Erection of a front porch,Cottage Ballalonna Farm Dalby Isle Of Man  ,PER,30-Aug-13,13/00895/B
Additional use of dwelling as holiday accommodation,Ballagawne Farm Ballagawne Road Ballabeg Castletown Isle Of Man IM9 4PD,PER,20-Mar-13,13/00156/C
Installation of replacement conservatory roof,22 Clybane Rise Douglas Isle Of Man IM2 2LU,PER,14-Aug-13,13/00468/B
Installation of replacement conservatory roof,Fy Yerrey Glen Rushen Road Glen Maye Isle Of Man IM5 3BA ,PER,28-May-13,13/00469/B
