Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,13/00009/B,Erection of a detached dwelling (comprising amendments to PA 12/00386/B),14-Feb-13,Senior Planning Officer - South (SC),Plot 1 Palm Winds The Vollan Ramsey Isle Of Man IM8 3UG 
Permitted,13/00010/B,Installation of a heat pump to dwelling,07-Feb-13,Senior Planning Officer - North (CB),41 Bray Hill Douglas Isle Of Man IM2 5BD
Permitted,13/00011/B,Installation of replacement windows (retrospective),05-Feb-13,Senior Planning Officer - North (CB),23 Malvern Road Douglas Isle Of Man IM2 5AR
Permitted,13/00012/A,Approval in principle for erection of a replacement farm dwelling,12-Feb-13,Planning Committee,Cammall Farm Douglas Road Kirk Michael Isle Of Man IM6 1AU
Permitted,13/00013/B,"Erection of a two storey extension to side, porch extension to front and a single storey extension to rear elevation",15-Apr-13,Senior Planning Officer - South (SC),49 Cooil Drive Douglas Isle Of Man IM2 2HE
Permitted,13/00014/B,Erection of a timber access bridge to replace existing (retrospective),14-Feb-13,Senior Planning Officer - North (CB),Fo-Glion Glen Rushen Road Glen Maye Isle Of Man IM5 3BA
Permitted,13/00015/B,Alterations and erection of a two storey extension to dwelling,14-Feb-13,Senior Planning Officer - South (SC),51 Selborne Drive Douglas Isle Of Man IM2 3NJ
Permitted,13/00016/C,Change of use of garden room below garage to provide ancillary living accommodation,05-Feb-13,Senior Planning Officer - North (CB),Ffald Y Brenin Gordon Peel Isle Of Man IM5 4PP 
Permitted,13/00017/C,Change of use of part of existing therapy room facilities to provide creche for use by members during their visit to the gym,26-Feb-13,Senior Planning Officer - North (CB),Diamond House Demesne Road Douglas Isle Of Man IM1 3DS
Permitted,13/00018/B,Installation of replacement windows to rear elevation (retrospective),15-Feb-13,Senior Planning Officer - South (SC),37 Hutchinson Square Douglas Isle Of Man IM2 4HW
Refused,13/00019/C,Change of use from agricultural land to domestic garden,27-Mar-13,Planning Committee,Part Of Field 534188 Adjacent To 2 Slegaby Cottages Little Mill Road Onchan Isle Of Man IM4 5BH
Permitted,13/00020/C,Change of use from existing community resource centre to residential,26-Mar-13,Planning Committee,1 Snaefell View Jurby Isle Of Man IM7 3BF
Permitted,13/00021/B,Removal of a chimney stack,15-Feb-13,Senior Planning Officer - South (SC),53 Devonshire Road Douglas Isle Of Man IM2 3RA
Permitted,13/00022/B,Erection of decking in rear garden (retrospective),18-Feb-13,Senior Planning Officer - South (SC),Malvern 7 Third Avenue Douglas Isle Of Man IM2 6AL
Permitted,13/00023/B,Re-rendering of external walls of dwelling,15-Feb-13,Senior Planning Officer - South (SC),Hillbrae Main Road Kirk Michael Isle Of Man IM6 1ED
Certificate of Lawfulness DECLINED,13/00024/LAW,Application for a certificate of lawful use for the parking of works vehicles and storage of equipment,02-May-13,Head of Development Management,West Baldwin Chapel West Baldwin Isle Of Man IM4 5EY 
Permitted,13/00025/B,Conversion of former guest house to provide two apartments,15-Feb-13,Head of Development Management,19 Castlemona Avenue Douglas Isle Of Man IM2 4EA
Permitted,13/00026/B,Alterations to convert existing integral garage to a study,15-Feb-13,Senior Planning Officer - South (SC),Wendover Douglas Road Castletown Isle Of Man IM9 1TJ
Permitted,13/00027/B,Alterations and extensions to dwelling,20-Feb-13,Senior Planning Officer - South (SC),5 Thornhill Close Ramsey Isle Of Man IM8 3LA
Refused,13/00028/B,Erection of fencing (retrospective),20-Feb-13,Senior Planning Officer - South (SC),Balmaha Croit-E-Quill Close Laxey Isle Of Man IM4 7JE
Refused,13/00029/B,Erection of conservatory to front elevation,15-Feb-13,Director Delegation,Cronk-My-Chree Ballafesson Port Erin Isle Of Man IM9 6TS 
Permitted,13/00030/B,Erection of a sunroom extension to rear elevation of dwelling,27-Feb-13,Senior Planning Officer - North (CB),"Plot 6, Croit Ny Glionney  (Former Colby Football Club Ground) Glen Road Colby Isle Of Man IM9 4PP "
Permitted,13/00031/B,Warehouse conversion to provide holiday accommodation with associated parking and alterations to detached garages,26-Feb-13,Planning Committee,Muirs Terrace Glen Road Laxey Isle Of Man IM4 7AR 
Refused,13/00032/B,Erection of a building to provide three apartments,10-May-13,Senior Planning Officer - South (SC),Site Adjacent To Hanley Court North Shore Road Ramsey Isle Of Man  
Permitted,13/00033/B,Erection of a first floor extension over garage,15-Feb-13,Head of Development Management,68 Farmhill Meadows Douglas Isle Of Man IM2 2LQ
Permitted,13/00034/B,Erection of an agricultural building,21-Feb-13,Senior Planning Officer - North (CB),Field 433122 Scarlett Farm  Scarlett Road Castletown Isle Of Man  
Refused,13/00035/B,Re-development of demolished former take-away outlet to provide a coffee/sandwich shop with food for consumption on and off the premises and an apartment on upper floors,04-Mar-13,Senior Planning Officer - North (CB),66 Strand Street Douglas Isle Of Man IM1 2EW
Permitted,13/00036/B,"Alterations, erection of extensions to dwelling and driveway alterations",21-Feb-13,Senior Planning Officer - South (SC),39 Manor Lane Douglas Isle Of Man IM2 2NP
Permitted,13/00037/B,"Erection of a detached garage with roof terrace, including decking and artificial turf, with associated soft landscaping and retaining structures and the creation of new access and hard standing (retrospective)",15-Feb-13,Senior Planning Officer - South (SC),Woodbrae The Crescent Ramsey Isle Of Man IM8 2JN
Refused,13/00038/B,Erection of fencing (part retrospective),12-Mar-13,Planning Committee,North Lodge Cronkbourne Douglas Isle Of Man IM4 4QH 
Permitted,13/00039/B,Erection of a replacement dwelling (Amendments to PA/11/00568/REM),12-Mar-13,Planning Committee,Greenhill Jurby Road Andreas Isle Of Man IM7 2EJ
Permitted,13/00040/B,Widen existing driveway,21-Feb-13,Senior Planning Officer - South (SC),48 Campion Way Douglas Isle Of Man IM2 7DU
Refused,13/00041/B,Erection of a detached 4 car garage to replace approved 3 car garage (PA 11/00568/REM),12-Mar-13,Planning Committee,Greenhill Jurby Road Andreas Isle Of Man IM7 2EJ
Permitted,13/00042/B,Alterations and erection of single storey and two storey extensions to dwelling,21-Mar-13,Senior Planning Officer - South (SC),9 Sandringham Drive Onchan Isle Of Man IM3 4HH
Refused,13/00043/B,"Construction of paved terrace, steps and boundary fencing to rear of dwelling (part retrospective)",28-Feb-13,Senior Planning Officer - South (SC),Plot 23 Manor Park Onchan Isle Of Man IM3 2EW 
Refused,13/00044/B,Approval for works undertaken to secure existing walls of tholtan (retrospective) also to carry out further works to ensure stabilisation of the walls and continued use and extension to adjoining hard-standing area and entrance from highway,31-May-13,Head of Development Management,Tholtan Site  Field 425092 Corlea Road Ronague Castletown Isle Of Man  
Permitted,13/00045/B,Re-instatement of former and creation of new farm lanes and upgrading of existing highway accesses (retrospective),30-Jul-13,Planning Committee,Land At Garey Mooar  Corlea Road Ronague Castletown Isle Of Man  
Permitted,13/00046/B,Installation of replacement entrance doors,22-Feb-13,Senior Planning Officer - South (SC),Ramsey Press Garretts Court Market Place West Ramsey Isle Of Man IM8 1JX
Permitted,13/00047/A,Approval in principle for erection of a dwelling,04-Apr-13,Senior Planning Officer - South (SC),Land Adjacent To The Rectory Ballacrosha Ballaugh Isle Of Man IM7 5AQ
Permitted,13/00048/B,Erection of an extension to dwelling,15-Apr-13,Senior Planning Officer - North (CB),115 Wybourn View Onchan Isle Of Man IM3 4AZ
Permitted,13/00049/B,Erection of a private multi-purpose sports facility with pool (comprising amendments to PA 12/01375/B),21-Feb-13,Senior Planning Officer - South (SC),Land Adjacent To Rockwood Ramsey Road Laxey Isle Of Man  
Permitted,13/00050/B,Installation of door and surround to replace existing window on St Peter's Lane elevation,21-Feb-13,Senior Planning Officer - North (CB),Former Sunset Bistro  Mariner's Wharf   East Quay Peel Isle Of Man IM5 1AR 
Refused,13/00051/B,Erection of sun room extension and detached garage,21-Feb-13,Senior Planning Officer - North (CB),Curpheys  St Marks Road Ballasalla Isle Of Man IM9 3EF 
Permitted,13/00052/D,Erection of advertising signage,22-Feb-13,Senior Planning Officer - South (SC),Shop 3 Compton House 27 Parliament Street Ramsey Isle Of Man IM8 1AS 
Permitted,13/00053/C,Additional use to provide a take-away service to existing restaurant business,28-Feb-13,Senior Planning Officer - South (SC),Shop 11 Clinches Court North Quay  Douglas Isle Of Man IM1 4LH
Refused,13/00054/B,"Residential estate layout of roads, plots and sewers and concrete lining to existing stream",21-Nov-13,Head of Development Management,"Fields 333135,335000,334999 And 334998 Land Opposite Springfield Terrace Foxdale Isle Of Man  "
Permitted,13/00055/B,Erection of a fence and sandstone wall,21-Feb-13,Senior Planning Officer - North (CB),10 Church Lane Peel Isle Of Man IM5 1AW
Permitted,13/00056/B,"Enclosure of lower ground floor patio, erection of link extension to garage and re-cover garage roof",21-Feb-13,Senior Planning Officer - South (SC),60 Majestic Drive Onchan Isle Of Man IM3 2JL
Permitted,13/00057/A,Approval in principle for erection of a dwelling,30-Aug-13,Planning Committee,Land Adjacent To Close Foillan The Colony Port Lewaigue Ramsey Isle Of Man  
Permitted,13/00058/B,Installation of replacement windows and change of use of ground floor from residential to retail showroom,27-Feb-13,Senior Planning Officer - North (CB),6 Patrick Street Peel Isle Of Man IM5 1AZ
Permitted,13/00059/B,Installation of top floor replacement windows to front elevation,21-Feb-13,Senior Planning Officer - North (CB),36A Market Street Peel Isle Of Man IM5 1AE
Permitted,13/00060/B,Erection of dwelling including detached garage and landscaping,21-Feb-13,Senior Planning Officer - North (CB),Plot 16 Ballanard Woods Ballanard Road Douglas Isle Of Man  
Permitted,13/00061/B,Erection of an extension to holiday accommodation,21-Feb-13,Senior Planning Officer - South (SC),Reayrt Ny Marrey Ballakinnag Road Smeale Ramsey Isle Of Man IM7 3ED
Permitted,13/00062/B,Alterations and extensions to dwelling and creation of vehicular access,27-Feb-13,Planning Committee,Kirby View Vicarage Road Douglas Isle Of Man IM4 2AD
Permitted,13/00063/B,Alterations and extensions to dwelling,26-Feb-13,Planning Committee,Close-Ny-Howin Main Road Union Mills Isle Of Man IM4 4AN 
Permitted,13/00064/B,Extension to existing agricultural building,21-Feb-13,Senior Planning Officer - South (SC),Field 134898 Cronkaalin Farm   Narradale Sulby Isle Of Man  
Permitted,13/00065/B,Installation of a steel flue,28-Feb-13,Senior Planning Officer - North (CB),17 Friary Park  Ballabeg Castletown Isle Of Man IM9 4EJ
Permitted,13/00066/B,Alterations and erection of a two storey extension to rear of dwelling,26-Feb-13,Senior Planning Officer - North (CB),48 Douglas Street Peel Isle Of Man IM5 1BD
Refused,13/00067/GB,Change of use from residential to office accommodation,16-Apr-13,Head of Development Management,Balcony House 6 & 6A The Parade Castletown Isle Of Man IM9 1LG 
Permitted,13/00068/B,Erection of a dwelling with integral garage,30-May-13,Planning Committee,Land Adjacent To Riverside Glen Auldyn Ramsey Isle Of Man IM7 2AD 
Permitted,13/00069/D,Erection of advertising signage,26-Feb-13,Senior Planning Officer - North (CB),Hillary House Prospect Hill Douglas Isle Of Man IM1 1EQ 
Permitted,13/00070/B,"Conversion of existing boarding house / dormitory to provide four apartments, including rear external access stairs to replace / extend existing",26-Mar-13,Planning Committee,Marathon House 2 Drury Terrace Douglas Isle Of Man IM2 3HY
Permitted,13/00071/B,Alterations and erection of an extension to dwelling (amendments to PA 12/01035/B),28-Feb-13,Senior Planning Officer - South (SC),47 Maple Avenue Onchan Isle Of Man IM3 3GA
Permitted,13/00072/B,Removal of chimney stack,28-Feb-13,Senior Planning Officer - North (CB),Ballan Field Station Road Port St. Mary Isle Of Man IM9 5AZ 
Permitted,13/00073/B,Alteration to front porch,26-Feb-13,Senior Planning Officer - North (CB),Rosecroft 20 Albany Road Peel Isle Of Man IM5 1JR
Permitted,13/00074/B,Conversion of former guest house into five apartments including installation of dormers and replacement windows (amendment to PA 10/01425/B),27-Feb-13,Senior Planning Officer - North (CB),104 Bucks Road Douglas Isle Of Man IM1 3AQ
Refused,13/00075/A,Approval in principle for erection of a farm worker's dwelling,08-Mar-13,Head of Development Management,Part Of Field 220846  Seafield Farm   Bollyn Road Ballaugh Isle Of Man  
Permitted,13/00076/B,Extension to rear elevation,28-Feb-13,Senior Planning Officer - South (SC),2 Mountain View Ballaugh Isle Of Man IM7 5EW
Permitted,13/00077/B,Erection of a farrowing house,26-Feb-13,Senior Planning Officer - South (SC),Ballakelly Farm Kiondroghad Road Andreas Isle Of Man IM7 3EJ
Permitted,13/00078/B,Demolition of existing rear store and erection of a replacement extension and installation of replacement windows (comprising amendment to PA 12/00290/B),26-Feb-13,Senior Planning Officer - North (CB),7 Whitehouse Cottages Main Road Kirk Michael Isle Of Man IM6 2HE 
Permitted,13/00079/D,Erection of signage,12-Mar-13,Planning Committee,Site Entrance Colby AFC Clubhouse Main Road Colby Isle Of Man IM9 4LR 
Permitted,13/00080/C,Additional use of dwelling as tourist accommodation,28-Feb-13,Head of Development Management,Windways St Georges Crescent Port Erin Isle Of Man IM9 6HR
Deemed withdrawn 4(3) Dev Pro Order 2005,13/00081/C,Change of use from retail to a childrens play facility,08-Oct-13,Withdrawn,Unit 23B The Village Walk Onchan Isle Of Man IM3 4EB 
Permitted,13/00082/B,"Alterations, erection of extensions and installation of replacement windows to dwelling",28-Feb-13,Senior Planning Officer - North (CB),Glendown House Truggan Road Port St. Mary Isle Of Man IM9 5LD
Application Withdrawn,13/00083/B,Extension to existing stables (part retrospective),10-May-13,Withdrawn,Ballaclucas Farm Top Road Crosby Isle Of Man IM4 4HN
Permitted,13/00084/B,Installation of a bifold doors (retrospective) and increase height of an existing window to dwelling,28-Feb-13,Senior Planning Officer - South (SC),Ballacregga Farm Lhen Road Bride Isle Of Man IM7 4BF
Permitted,13/00085/B,Alterations and erection of extensions to dwelling,28-Feb-13,Senior Planning Officer - North (CB),4 Truggan Close Port Erin Isle Of Man IM9 6JR
Permitted,13/00086/B,Creation of a driveway and vehicular access and erection of fencing to rear,26-Feb-13,Senior Planning Officer - South (SC),St Thomas's Vicarage Marathon Avenue Douglas Isle Of Man IM2 4JA
Permitted,13/00087/B,Alterations and extensions to dwelling,13-Mar-13,Senior Planning Officer - South (SC),Ivydene 51 Ballanard Road Douglas Isle Of Man IM2 5HD
Permitted,13/00088/B,Alterations and extensions to dwelling (Amendments to PA 12/01110/B),04-Mar-13,Senior Planning Officer - North (CB),Ballaman Ballnahowe Port Erin Isle Of Man IM9 6JF 
Permitted,13/00089/B,Erection of a single storey extension and roof dormer to rear elevation and porch extension to front elevation,04-Mar-13,Senior Planning Officer - North (CB),12 St Catherines Drive Douglas Isle Of Man IM1 4BQ
Permitted,13/00090/B,"Construction of public footway behind existing garden boundary wall, widening of gate posts and removal of section of wall",23-May-13,Department Application,Public Footway Improvements The Clock Tower  Mines Road Foxdale Isle Of Man  
Permitted,13/00091/B,Creation of hard-standing and vehicular access to rear of property,13-Mar-13,Senior Planning Officer - South (SC),2 Marathon Avenue Douglas Isle Of Man IM2 4HZ
Permitted,13/00092/B,Extension to driveway and widening of vehicular access,18-Mar-13,Senior Planning Officer - North (CB),27 Woodlea Villas Main Road Crosby Isle Of Man IM4 4BJ 
Permitted,13/00093/B,Alterations to dwelling and widening of driveway and access onto highway,04-Mar-13,Senior Planning Officer - North (CB),2 Stowell Place Castletown Isle Of Man IM9 1HF
Permitted,13/00094/B,Removal of a chimney stack,13-Mar-13,Senior Planning Officer - South (SC),28 Farrant Street Douglas Isle Of Man IM2 3HG
Permitted,13/00095/B,Erection of a covered trolley shelter,07-Mar-13,Head of Development Management,Tesco Store Lake Road Douglas Isle Of Man IM1 5AF
Permitted,13/00096/B,Alterations and erection of extensions to dwelling,08-Mar-13,Head of Development Management,Kellaway Kella Road Sulby Isle Of Man IM7 2HG
Permitted,13/00097/GB,Installation of replacement front door (In association with 13/00098/CON),31-May-13,Head of Development Management,2 Church Cottage St Marks Ballasalla Isle Of Man IM9 3AH 
Permitted,13/00098/CON,Registered Building Consent for installation of replacement front door (RB no 184 in association with 13/00097/GB),31-May-13,Head of Development Management,2 Church Cottage St Marks Ballasalla Isle Of Man IM9 3AH 
Permitted,13/00099/B,Alterations and erection of extensions to dwelling,26-Mar-13,Planning Committee,97 King Edward Road Onchan Isle Of Man IM3 2AS
Permitted,13/00100/B,Installation of entrance gates and erection of fencing,13-Mar-13,Senior Planning Officer - North (CB),Pine View Glen Vine Road Glen Vine Isle Of Man IM4 4HG 
Certificate of Lawfulness AGREED,13/00101/LAW,Application for a certificate of lawfulness to confirm the lawfulness of the use of a building as a residential dwelling,18-Mar-13,Head of Development Management,Shee Oil Patrick Road St Johns Isle Of Man IM4 3BR
Permitted,13/00102/B,Erection of extensions to front and rear of existing detached garage to form hobbies rooms,04-Mar-13,Senior Planning Officer - North (CB),Amogarry 37 Ballagarey Road Glen Vine Isle Of Man IM4 4EF
Permitted,13/00103/B,Installation of door to replace existing window (amendment to PA 10/00539/B),04-Mar-13,Senior Planning Officer - North (CB),Ballasalla Place Douglas Road Ballasalla Isle Of Man IM9 2EH 
Permitted,13/00104/GB,Alterations and creation of a ramped access (In association with 13/00105/CON),18-Mar-13,Head of Development Management,Sulby Methodist Church Main Road Sulby Isle Of Man IM7 2HP
Permitted,13/00105/CON,Registered Building consent for alterations and creation of a ramped access (In association with 13/00104/GB) Registered Building Nos. 172,18-Mar-13,Head of Development Management,Sulby Methodist Church Main Road Sulby Isle Of Man IM7 2HP
Permitted,13/00106/B,Alterations and extensions to dwelling,04-Mar-13,Senior Planning Officer - North (CB),41 King Orry Road Glen Vine Isle Of Man IM4 4FL 
Permitted,13/00107/B,"Alterations, erection of an extension to dwelling and creation of an additional driveway and vehicular access",04-Mar-13,Senior Planning Officer - North (CB),101 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2HT 
Refused,13/00108/B,Erection of extensions to dwelling,15-Mar-13,Senior Planning Officer - South (SC),29 Ballakermeen Drive Douglas Isle Of Man IM1 4JE 
Permitted,13/00109/B,Erection of stables,13-Aug-13,Planning Committee,Field 124014 Greenhill Jurby Road Andreas Isle Of Man  
Permitted,13/00110/B,Erection of a detached dwelling with integral garage (comprising amendments to PA 12/00806/B),13-Mar-13,Senior Planning Officer - South (SC),4 Montreux Court Douglas Isle Of Man IM2 6AF 
Permitted,13/00111/B,Roofing works to existing conservatory,08-Mar-13,Head of Development Management,23 Glebe Aalin Ballaugh Isle Of Man IM7 5BW
Permitted,13/00112/B,Replace existing conservatory roof with a tiled roof,13-Mar-13,Senior Planning Officer - South (SC),Sleepy Hollow The Cronk Ballaugh Isle Of Man IM7 5AY 
Permitted,13/00113/B,Replace existing conservatory roof with tile roof,08-Mar-13,Head of Development Management,Glas Choille Glen Auldyn Ramsey Isle Of Man IM7 2AF 
Permitted,13/00114/B,Replace existing conservatory roof with tiled roof,13-Mar-13,Senior Planning Officer - South (SC),9 Thornhill Close Ramsey Isle Of Man IM8 3LA
Permitted,13/00115/B,Roofing works to existing conservatory,08-Mar-13,Head of Development Management,5 Close Oard Ramsey Isle Of Man IM8 3PY 
Permitted,13/00117/B,Erection of a replacement conservatory,13-Mar-13,Senior Planning Officer - South (SC),73 Lezayre Park Ramsey Isle Of Man IM8 2PT
Permitted,13/00118/B,Creation of a vehicular access and parking hard standing (retrospective),13-Mar-13,Senior Planning Officer - North (CB),89 Ballamaddrell Port Erin Isle Of Man IM9 6AU
Permitted,13/00119/B,Erection of a field shelter (retrospective),14-Mar-13,Senior Planning Officer - North (CB),Field 324065 Foxdale Road Garth Crosby Isle Of Man  
Permitted,13/00120/B,Erection of stables with associated access lane and alterations to existing field access,17-May-13,Senior Planning Officer - North (CB),Field 324066 Foxdale Road Garth Crosby Isle Of Man  
Permitted,13/00121/B,Increase height of main door opening,09-May-13,Department Application,Fire Station Station Road Kirk Michael Isle Of Man IM6 1AE
Permitted,13/00122/B,Erection of a replacement barn,14-Mar-13,Senior Planning Officer - South (SC),East Narradale Farm  Narradale Sulby Isle Of Man IM7 2HA 
Application Withdrawn,13/00123/B,"Conversion of former shop and store building to tourist accommodation, comprising renovation and two storey extension",03-Sep-13,Withdrawn,Barn Adjacent To Shore Hotel  Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LZ 
Permitted,13/00124/B,Extension to rear elevation,14-Mar-13,Senior Planning Officer - North (CB),23 Gladstone Avenue Ramsey Isle Of Man IM8 2LE
Permitted,13/00125/B,"Demolition of barn, creation of garaging and erection of replacement dwelling (amendments to PA 12/01057/B)",27-Mar-13,Planning Committee,Ballacaroon West Baldwin Road Mount Rule Isle Of Man IM4 4HS 
Permitted,13/00126/B,Extensions to rear elevation,14-Mar-13,Senior Planning Officer - North (CB),41 Ard Reayrt Laxey Isle Of Man IM4 7QP 
Permitted,13/00127/B,Alterations and erection of a two storey extension to rear elevation of dwelling,14-Mar-13,Senior Planning Officer - North (CB),12 Manor Park Onchan Isle Of Man IM3 2EP 
Permitted,13/00128/B,Installation of patio doors to rear elevation,14-Mar-13,Senior Planning Officer - North (CB),13 Patrick Street Peel Isle Of Man IM5 1BP
Permitted,13/00129/REM,Reserved Matters Application for erection of a dwelling,14-Mar-13,Senior Planning Officer - North (CB),"Land Adjacent To Holly Cottage, The Crofts Ballaughton Meadows Douglas Isle Of Man  "
Permitted,13/00130/B,Installation of additional windows and patio doors,14-Mar-13,Senior Planning Officer - South (SC),Pumpkin Patch Day Nursery  Hailwood Court Douglas Isle Of Man IM2 7EA 
Permitted,13/00131/B,Alterations and erection of extensions to dwelling,25-Apr-13,Senior Planning Officer - South (SC),34 Larivane Meadows Andreas Isle Of Man IM7 4JD 
Permitted,13/00132/B,Alterations and erection of extension to provide retail accommodation and three residential apartments,16-Apr-13,Senior Planning Officer - North (CB),15 - 19 Michael Street Peel Isle Of Man  
Permitted,13/00133/B,Erection of an elevated car park deck and amendment to existing parking layout,23-May-13,Department Application,Car Park The Tongue Douglas Isle Of Man  
Permitted,13/00134/B,Erection of detached dwelling (amended type from that approved under PA 10/00544/B),14-Mar-13,Senior Planning Officer - North (CB),Plot B1 Reayrt Ny Cronk Residential Development  Peel Isle Of Man IM5 1GR 
Refused,13/00135/B,Installation of replacement windows and doors,14-Mar-13,Senior Planning Officer - South (SC),24 Derby Road Douglas Isle Of Man IM2 3ET
Permitted,13/00136/B,Alteration and extension to garage and alteration to vehicular entrance and driveway,14-Mar-13,Senior Planning Officer - South (SC),Keristal 33 Brunswick Road Douglas Isle Of Man IM2 3NW
Permitted,13/00137/B,"Alterations, replacement of existing garage door with a window and door and erection of extension to dwelling",15-Mar-13,Senior Planning Officer - South (SC),22 Sunnybank Avenue Onchan Isle Of Man IM3 3BW
Permitted,13/00138/B,Erection of an extension to dwelling,14-Mar-13,Senior Planning Officer - North (CB),5 Cronk Drine Union Mills Isle Of Man IM4 4NG
Refused,13/00139/B,Ground works (retrospective),10-Apr-13,Planning Committee,Field Number 514177 Old Castletown Road Crogga Santon Isle Of Man  
Permitted,13/00140/B,"Alterations, installation of two roof lights, dormer window and erection of extension to dwelling",18-Mar-13,Senior Planning Officer - North (CB),Barco Maine Road Port Erin Isle Of Man IM9 6LQ 
Permitted,13/00141/B,"Alterations, erection of an extension, replace existing garage door with windows, installation of a solar array and the erection of detached garage with store / study above (amendment to PA 11/01734/B)",18-Mar-13,Senior Planning Officer - North (CB),Horizon House Glen Road Colby Isle Of Man IM9 4HW
Permitted,13/00142/B,Alterations and extensions to dwelling,14-Mar-13,Senior Planning Officer - North (CB),Rushen Vicarage Barracks Road Port St. Mary Isle Of Man IM9 5LP
Permitted,13/00143/B,Creation of an open air equestrian arena,28-May-13,Senior Planning Officer - North (CB),Ballawilleykilley Glen Vine Road Glen Vine Isle Of Man IM4 4HD
Permitted,13/00145/B,Erection of fencing (retrospective),29-Aug-13,Planning Committee,Turning Point Sprucewood Rise Foxdale Isle Of Man  
Permitted,13/00146/B,Erection of a two storey extension to side elevation to replace existing garage extension,14-Mar-13,Senior Planning Officer - North (CB),23 Cronk Avenue Onchan Isle Of Man IM3 3DF
Permitted,13/00147/B,"Installation of a 10,000 litre bunded steel diesel tank",14-Mar-13,Senior Planning Officer - North (CB),Saw Mills Site  Foxdale Road The Hope St Johns Isle Of Man IM4 3AS 
Permitted,13/00148/C,Change of use of existing first floor restaurant accommodation to residential,14-Mar-13,Senior Planning Officer - North (CB),Browns Cafe Dumbells Terrace Laxey Isle Of Man IM4 7NY
Certificate of Lawfulness AGREED,13/00149/LAW,Application for a Certificate of Lawful Development for the installation of replacement windows to front elevation,14-Mar-13,Head of Development Management,22 The Crofts Castletown Isle Of Man IM9 1LZ
Refused,13/00150/B,Installation of replacement wall tiles (retrospective),15-Mar-13,Senior Planning Officer - South (SC),Bridge Inn 8 - 9 North Quay Douglas Isle Of Man IM1 4LH
Refused,13/00151/C,Change of use of agricultural land to residential in order to extend residential curtilage (Retrospective),27-Mar-13,Planning Committee,1 Slegaby Cottages Little Mill Road Onchan Isle Of Man IM4 5BH
Refused,13/00152/B,Conversion of dwelling into four apartments,02-Apr-13,Planning Committee,118 Bucks Road Douglas Isle Of Man IM1 3AH
Permitted,13/00153/B,Installation of replacement doors,02-Apr-13,Planning Committee,Shore Hotel Old Laxey Hill Laxey Isle Of Man IM4 7DA
Permitted,13/00154/B,Installation of replacement windows to front elevation,15-Mar-13,Senior Planning Officer - North (CB),20 Bridge Street Peel Isle Of Man IM5 1NF
Refused,13/00155/B,Installation of replacement windows and door,14-Mar-13,Senior Planning Officer - North (CB),Millers Cottage Charles Street Close Peel Isle Of Man IM5 1DT 
Permitted,13/00156/C,Additional use of dwelling as holiday accommodation,20-Mar-13,Senior Planning Officer - North (CB),Ballagawne Farm Ballagawne Road Ballabeg Castletown Isle Of Man IM9 4PD
Permitted,13/00157/B,Erection of a first floor extension to provide additional workshop accommodation,20-Mar-13,Senior Planning Officer - North (CB),2 Quayside Lane Ramsey Isle Of Man IM8 1BL 
Permitted,13/00158/B,Removal of a chimney stack,20-Mar-13,Senior Planning Officer - North (CB),2 Castle Street Peel Isle Of Man IM5 1AN
Permitted,13/00159/B,Construction of walling and glass below existing tiled canopy to provide enclosed storm porch,20-Mar-13,Senior Planning Officer - North (CB),Yn Fea Peveril Road Peel Isle Of Man IM5 1PJ
Permitted,13/00160/B,Roofing works to existing conservatory,21-Mar-13,Senior Planning Officer - South (SC),Coan Buigh Main Road Ballaugh Isle Of Man IM7 5ED
Permitted,13/00161/CAD,Application for a certificate of alternative development value for the creation of a burial ground or the use/development of the site for agricultural purposes.,15-May-13,Planning Committee,Field 424885 Ballagawne Road Ballabeg Castletown Isle Of Man  
Permitted,13/00162/B,Installation of a flue to replace existing,10-Apr-13,Director Delegation,Peveril Buildings Peveril Square Douglas Isle Of Man IM1 2BS
Permitted,13/00163/B,Erection of a six storey residential development with underground parking and ground floor retail space on the remainder of the Villiers Site (comprising amendments to PA 04/00418/B),11-Apr-13,Planning Committee,Villiers Site  Loch Promenade  Douglas Isle Of Man  
Refused,13/00164/B,Conversion of residential dwelling to provide four apartments,02-Apr-13,Planning Committee,6 Stanley Terrace Douglas Isle Of Man IM2 4EP
Permitted,13/00165/B,Installation of a replacement front door,18-Mar-13,Senior Planning Officer - North (CB),10 Albert Street Douglas Isle Of Man IM1 2QA
Permitted,13/00166/B,Alterations and extension to provide replacement changing facilities (comprising amendment to PA 12/00873/B),18-Mar-13,Senior Planning Officer - North (CB),Castletown Metropolitan Football Stadium Malew Road Castletown Isle Of Man IM9 4EA
Permitted,13/00167/GB,Alterations and erection of shop window extension to gable wall (In association with 13/00168/CON),21-Mar-13,Head of Development Management,24 Church Street Douglas Isle Of Man IM1 2AB
Permitted,13/00168/CON," Registered Building consent for alterations and erection of shop window extension to gable wall, including re rendering of gable wall above proposed shop window  (In association with 13/00167/GB) Registered Building Nos. 20",21-Mar-13,Head of Development Management,24 Church Street Douglas Isle Of Man IM1 2AB
Permitted,13/00169/B,Installation of replacement windows and rear door,20-Mar-13,Senior Planning Officer - North (CB),36 Arbory Street Castletown Isle Of Man IM9 1LN
