PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
"Demolition of existing outbuilding and erection of a building housing swimming pool, gym, spa, staff and office accommodation",Permitted,11-Sep-15,Department Application,17-Feb-15,03-Sep-15,15/00124/B,Meary Voar Arragon Santon Isle Of Man IM4 1HJ ,Department Application Approved
Erection of a detached dwelling with integral garage,Permitted,08-May-15,Planning Committee,26-May-15,14-Oct-15,15/00126/B,Field 434022 Land Behind Derbyhaven House Derbyhaven Isle Of Man  ,Approved at Appeal
Change of use of flats from tourism to residential,Refused,25-Mar-15,Director Delegation,27-Mar-15,25-Jun-15,15/00155/C,15 Hutchinson Square Douglas Isle Of Man IM2 4HT,Approved at Appeal
"Erection of an equestrian building to provide an indoor riding school, stables and feed, tack and equipment store with associated car parking",Permitted,15-Jul-15,Planning Committee,24-Jul-15,10-Dec-15,15/00166/B,Stables Ballaclucas Farm Top Road Crosby Isle Of Man  ,Approved at Appeal
15/00286Installation of external lighting (In association with 15/00179/CON),Permitted,08-Jun-15,Department Application,18-Feb-15,04-Jun-15,15/00178/GB,Isle Of Man Bank & Trustee Savings Bank The Parade Castletown Isle Of Man IM9 1LG,Department Application Approved
Registered Building consent for the installation of external lighting (In association with 15/00178/GB) Registered Buildings Nos. 39 & 40,Permitted,08-Jun-15,Department Application,18-Feb-15,04-Jun-15,15/00179/CON,Isle Of Man Bank & Trustees Savings Bank The Parade Castletown Isle Of Man IM9 1LG,Department Application Approved
Demolition of existing building and erection of a pair of semi-detached dwellings with parking,Refused,26-Jun-15,Head of Development Management,13-Jul-15,16-Dec-15,15/00196/B,Methodist Sunday School Glen Road Laxey Isle Of Man IM4 7AQ,Refused at appeal
"Annual erection of temporary scaffolding viewing platform for spectators during the TT and MGP Races, over stream between road and public house",Permitted,27-May-15,Department Application,25-Feb-15,21-May-15,15/00209/B,The Swan Public House Lezayre Road Ramsey Isle Of Man IM8 2LN,Department Application Approved
Installation of roof dormers to provide additional living accommodation,Refused,13-Apr-15,Director Delegation,29-Apr-15,04-Aug-15,15/00231/B,59 Cronk Ny Greiney Douglas Isle Of Man IM2 5LH,Approved at Appeal
Erection of a conservatory to front elevation of dwelling,Refused,07-Apr-15,Head of Development Management,24-Apr-15,07-Aug-15,15/00234/B,Strathcona Ballakillowey Road Colby Isle Of Man IM9 4BN,Refused at Appeal
Erection of non-illuminated signage,Refused,07-Apr-15,Head of Development Management,20-Apr-15,01-Sep-15,15/00237/D,Entrance To Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH ,Approved at Appeal
Extension to building to provide three apartments including associated parking,Permitted,30-Jul-15,Planning Committee,10-Aug-15,10-Dec-15,15/00240/B,Murdoch House  Showroom Warehouse & Premises North Shore Road Ramsey Isle Of Man IM8 3DY,Approved at Appeal
"Alterations, creation of a first floor extension to dwelling, landscaping works and creation of a pedestrian access",Refused,13-Apr-15,Director Delegation,01-May-15,23-Sep-15,15/00254/B,3 Howe Road Onchan Isle Of Man IM3 2AP,Refused at Appeal
Erection of a detached dwelling with associated parking and access,Refused,21-Sep-15,Planning Committee,07-Oct-15,16-Dec-15,15/00255/B,Land Adjacent To Lingmell Highfield Drive Baldrine Isle Of Man  ,Approved at Appeal
Alterations and erection of a fire escape staircase to premises,Permitted,09-Jun-15,Department Application,06-Mar-15,04-Jun-15,15/00267/B,Part Of Lane Behind 47 Duke Street Douglas Isle Of Man  ,Department Application Approved
Partial conversion of Pavilion to provide a children's nursery,Permitted,21-Oct-15,Department Application,01-Jun-15,15-Oct-15,15/00275/B,Laxey Glen Pavilion New Road Laxey Isle Of Man IM4 7BE,Department Application Approved
Appeal against approval for additional use of residential dwelling as a hair salon,Permitted,08-May-15,Planning Committee,22-May-15,04-Aug-15,15/00278/C,119 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JB ,Approved at Appeal
Installation of signage to approved outside seating area barriers (PA 14/00339/B),Permitted,09-Jun-15,Department Application,13-Mar-15,04-Jun-15,15/00287/D,14 Castle Street Douglas Isle Of Man IM1 2EU,Department Application Approved
Demolition of existing stone barn and erection of two detached dwellings with attached garage and associated services,Permitted,11-Aug-15,Department Application,20-Mar-15,11-Aug-15,15/00308/B,Plot Of Land And Stone Barn Rowany Drive Port Erin Isle Of Man IM9 6LP,Department Application Approved
Erection of a two storey extension to existing building,Permitted,17-Aug-15,Senior Planning Officer - South (SC),04-Jun-15,06-Aug-15,15/00331/B,Castlebay Seafoods Ltd Isle Of Man Food Park Mill Road Peel Isle Of Man IM5 1TD ,Department Application Approved
Creation of a ramp for disabled access outside the shop entrance,Permitted,09-Jun-15,Department Application,26-Mar-15,04-Jun-15,15/00332/B,The Co-Operative Food  18 Duke Street Douglas Isle Of Man IM1 2AY,Department Application Approved
Improvements to flood defences comprising new headwall and penstock arrangement and increase in height of existing retaining wall,Permitted,31-Jul-15,Department Application,01-Apr-15,23-Jul-15,15/00352/B,Retaining Wall Hope Street Castletown Isle Of Man  ,Department Application Approved
Replacement of existing sod hedge with a Manx stone wall,Permitted,03-Aug-15,Department Application,01-Apr-15,23-Jul-15,15/00353/B,Hilltop Nurseries  Stephenson Way Roundabout Vicarage Road Douglas Isle Of Man IM4 2AE,Approved by Council of Ministers
"Alterations to existing dwelling, erection of an extension to create additional dwelling and associated landscaping with extension to the residential curtilage",Permitted,05-Jun-15,Planning Committee,23-Jun-15,11-Nov-15,15/00357/B,Pineview The Level Colby Isle Of Man IM9 4AL,Approved at Appeal
Construction of hard-standing and installation of bark removal machinery with control unit and silo,Permitted,26-Aug-15,Department Application,01-Jun-15,06-Aug-15,15/00378/B,Saw Mills Foxdale Road St Johns Isle Of Man IM4 3AS ,Department Application Approved
Erection of a detached dwelling,Permitted,23-Sep-15,Planning Committee,12-Oct-15,27-Oct-15,15/00383/B,Field 132375 Land Between Ballagarrow Cottage And The Cottage Glen Auldyn Ramsey Isle Of Man  ,Appeal Withdrawn
Use of pavement as an outside seating area,Permitted,08-Jun-15,Department Application,09-Apr-15,04-Jun-15,15/00391/C,The Nags Head  21 - 23 Victoria Street Douglas Isle Of Man IM1 2LW ,Department Application Approved
"Creation of outside seating area including the installation of artificial topiary barriers, patio heaters and canopy (in association with 15/00419/CON)",Permitted,17-Aug-15,Department Application,17-Apr-15,06-Aug-15,15/00418/GB,1 Prospect Hill /Nelson Street  Douglas Isle Of Man IM1 1ES ,Department Application Approved
"Registered Building Consent for creation of outside seating area including the installation of artificial topiary barriers, patio heaters and canopy (R B no 195 in association with 15/00418/GB)",Permitted,17-Aug-15,Department Application,17-Apr-15,06-Aug-15,15/00419/CON,1 Prospect Hill /Nelson Street  Douglas Isle Of Man IM1 1ES ,Department Application Approved
Construction of a facility for the temporary (maximum 5 years) storage of dredgings from Peel Marina,Permitted,26-Aug-15,Department Application,24-Apr-15,13-Aug-15,15/00447/B,Fields 314574 & 314514 Poortown Road Peel Isle Of Man  ,Department Application Approved
Extension to existing car park and creation of picnic area,Permitted,04-Nov-15,Department Application,01-Jun-15,29-Oct-15,15/00462/B,Car Park Chibbanagh Plantation Cooil Road Braaid Isle Of Man  ,Approved by Council of Ministers
Enclosure of yard area to form an attached garage with patio area above,Refused,18-Jun-15,Director Delegation,01-Jul-15,28-Oct-15,15/00508/B,The Craig 16 New Road Laxey Isle Of Man IM4 7BF,Refused at Appeal
Erection of an extension to rear elevation of dwelling,Permitted,18-Jun-15,Director Delegation,01-Jul-15,28-Oct-15,15/00517/B,84 Lakeside Road Douglas Isle Of Man IM2 7DD,Approved at Appeal
Erection of a conservatory to rear elevation,Refused,18-Jun-15,Director Delegation,02-Jul-15,03-Nov-15,15/00527/B,7 Kionslieu Terrace Foxdale Isle Of Man IM4 3JR ,Approved at Appeal
"Approval in principle for a residential development with associated car park, addressing siting, means of access and landscaping",Permitted,13-Aug-15,Planning Committee,27-Aug-15,10-Dec-15,15/00552/A,Land Adjacent To And Chapel Gate Car Park Bay View Road Port St. Mary Isle Of Man  ,Approved at Appeal
Erection of two detached dwellings with integral garages,Refused,13-Aug-15,Planning Committee,19-Aug-15,16-Dec-15,15/00669/B,Plot's 23 & 24 Poachers Pocket Development Bridge Road Ballasalla Isle Of Man IM9 3DD ,Approved at Appeal
"Alterations to building including replacement shop front, windows and roof work, creation of self-contained apartment and removal of chimney stack",Permitted,27-Jul-15,Director Delegation,10-Aug-15,10-Dec-15,15/00699/B,80 Parliament Street Ramsey Isle Of Man IM8 1AQ,Approved at Appeal
