"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","place","wikidata"
"10665811947","node","https://osm.org/node/10665811947","54.115717","-4.705153","Earystane Village","","","locality",""
"10687993263","node","https://osm.org/node/10687993263","54.215046","-4.502112","East Baldwin","","","locality",""
"475392918","node","https://osm.org/node/475392918","54.371685","-4.502212","East Bretney","","","farm",""
"475392840","node","https://osm.org/node/475392840","54.325784","-4.476837","East Kella","","","farm",""
"475393917","node","https://osm.org/node/475393917","54.227322","-4.65121","East Lhergydhoo","","","farm",""
"475393397","node","https://osm.org/node/475393397","54.355938","-4.540628","East Nappin","","","farm",""
"475394109","node","https://osm.org/node/475394109","54.364328","-4.530749","East Sartfield","","","farm",""
"1205089445","way","https://osm.org/way/1205089445","54.15093517115671","-4.536456372401905","Eden Business Park","","","estate",""
"475394195","node","https://osm.org/node/475394195","54.360437","-4.49334","Ellan Farm","","","farm",""
"475394074","node","https://osm.org/node/475394074","54.330046","-4.516005","Ellan Rhennee","","","farm",""
"10145032838","node","https://osm.org/node/10145032838","54.195751","-4.718776","Ellan by Maughol","","Ellan ny Maughol","locality",""
"475393324","node","https://osm.org/node/475393324","54.322256","-4.447885","Ellanbane","","","farm",""
"475393930","node","https://osm.org/node/475393930","54.324413","-4.43969","Ellanbane Farm","","","farm",""
"475394560","node","https://osm.org/node/475394560","54.137143","-4.514101","Ellenbrook","","","locality",""
"475392894","node","https://osm.org/node/475392894","54.136753","-4.516379","Ellenbrook Farm","","","farm",""
"10853252546","node","https://osm.org/node/10853252546","54.173759","-4.560181","Ellerslie","","","locality",""
"475393974","node","https://osm.org/node/475393974","54.175281","-4.569976","Ellerslie Farm","","","farm",""
"475393127","node","https://osm.org/node/475393127","54.185794","-4.561485","Eyreton Farm","","","farm",""
"12034890925","node","https://osm.org/node/12034890925","54.185452","-4.561901","Eyreton Farm Cottages","","","locality",""
"12034890905","node","https://osm.org/node/12034890905","54.18372","-4.562592","Eyreton Lea","","","locality",""
"475393721","node","https://osm.org/node/475393721","54.310261","-4.372239","Farrane","","","locality",""
"475393119","node","https://osm.org/node/475393119","54.339418","-4.451694","Farrants Fort","","","farm",""
"10145032829","node","https://osm.org/node/10145032829","54.153585","-4.730029","Fheustal","","Fheustal","locality",""
"8330279087","node","https://osm.org/node/8330279087","54.138706","-4.472902","Fiddler's Green","","","locality",""
"475393700","node","https://osm.org/node/475393700","54.111378","-4.627547","Fildraw","","","farm",""
