"osm_id","osm_type","osm_url","lat","lon","postal_code","source:postal_code"
"25986103","way","https://osm.org/way/25986103","54.14914943365312","-4.486437389812454","IM1 1AT","Isle of Man Government Land Registry Land Transactions"
"61561701","way","https://osm.org/way/61561701","54.15203110850322","-4.484848158586612","IM1 1BE",""
"61561688","way","https://osm.org/way/61561688","54.15143491159219","-4.4866560008316","IM1 1BJ","Isle of Man Government Land Registry Land Transactions"
"28616208","way","https://osm.org/way/28616208","54.151889000000004","-4.4858505","IM1 1BS","Isle of Man Government Land Registry Land Transactions"
"25986421","way","https://osm.org/way/25986421","54.151966134728","-4.485374905595474","IM1 1BT","Isle of Man Government Land Registry Land Transactions"
"28616212","way","https://osm.org/way/28616212","54.152391","-4.4853545","IM1 1BU","Isle of Man Government Land Registry Land Transactions"
"28616206","way","https://osm.org/way/28616206","54.15160191425504","-4.48602581469103","IM1 1BW","Isle of Man Government Land Registry Land Transactions"
"25986783","way","https://osm.org/way/25986783","54.152246","-4.4851434999999995","IM1 1BX","Isle of Man Government Land Registry Land Transactions"
"385725694","way","https://osm.org/way/385725694","54.15043665045342","-4.482955711844144","IM1 1ED","Isle of Man Government Planning Applications"
"25987460","way","https://osm.org/way/25987460","54.15017798367002","-4.482271366003441","IM1 1EF","Isle of Man Government Planning Applications"
"79141600","way","https://osm.org/way/79141600","54.15023591855454","-4.4812985599179385","IM1 1ET",""
"1140129996","way","https://osm.org/way/1140129996","54.149650315830996","-4.481727080736504","IM1 1JA",""
"79141615","way","https://osm.org/way/79141615","54.14910592805781","-4.482248570052208","IM1 1LB",""
"79141636","way","https://osm.org/way/79141636","54.14919309964287","-4.482058600020814","IM1 1LB",""
"504471756","node","https://osm.org/node/504471756","54.149718","-4.480963","IM1 1LD",""
"10618502535","node","https://osm.org/node/10618502535","54.14939","-4.48162","IM1 1LD",""
"79143125","way","https://osm.org/way/79143125","54.148473209385266","-4.4815667901877765","IM1 1LE",""
"79143392","way","https://osm.org/way/79143392","54.14900039794235","-4.4811383814227685","IM1 2AD",""
"420051245","way","https://osm.org/way/420051245","54.149014770137654","-4.478466898059034","IM1 2AY",""
"455952597","node","https://osm.org/node/455952597","54.148902","-4.475448","IM1 2BT",""
"455952598","node","https://osm.org/node/455952598","54.148874","-4.475331","IM1 2BT",""
"473176891","node","https://osm.org/node/473176891","54.150085","-4.478171","IM1 2EB",""
"62091772","way","https://osm.org/way/62091772","54.15122176896701","-4.479486458457821","IM1 2EF",""
"62091774","way","https://osm.org/way/62091774","54.15112389518377","-4.479268634045585","IM1 2EF",""
"419070482","way","https://osm.org/way/419070482","54.15082067911495","-4.479343006827012","IM1 2EF",""
"419113940","way","https://osm.org/way/419113940","54.15236947600724","-4.479355218786295","IM1 2EF",""
"417401592","way","https://osm.org/way/417401592","54.151120338147265","-4.478886486900653","IM1 2EG",""
"418111624","way","https://osm.org/way/418111624","54.15079276381969","-4.4786617428566275","IM1 2EG",""
"419113939","way","https://osm.org/way/419113939","54.15151472678967","-4.479340284127305","IM1 2EJ",""
"419113941","way","https://osm.org/way/419113941","54.15142178395851","-4.479324804244805","IM1 2EJ",""
"417401597","way","https://osm.org/way/417401597","54.1514999321652","-4.478832988993764","IM1 2EL",""
"417401610","way","https://osm.org/way/417401610","54.15138291852446","-4.478799642071639","IM1 2EL",""
"419113931","way","https://osm.org/way/419113931","54.15189041769034","-4.479405656074855","IM1 2EN",""
"418111622","way","https://osm.org/way/418111622","54.15062018943661","-4.4785557611077405","IM1 2FD",""
"415157514","way","https://osm.org/way/415157514","54.15379047255821","-4.479240284926471","IM1 2HB",""
"498484883","node","https://osm.org/node/498484883","54.154522","-4.478818","IM1 2HH",""
"420028939","way","https://osm.org/way/420028939","54.149131215816595","-4.479117744300312","IM1 2LF",""
"455952594","node","https://osm.org/node/455952594","54.150296","-4.47766","IM1 2LX",""
"81446763","way","https://osm.org/way/81446763","54.152377037376546","-4.4785674758528655","IM1 2LY",""
"81446772","way","https://osm.org/way/81446772","54.15137334727719","-4.478356863170604","IM1 2LY",""
"501847482","node","https://osm.org/node/501847482","54.1539","-4.479244","IM1 2PH",""
"283502151","node","https://osm.org/node/283502151","54.154188","-4.479779","IM1 2PL",""
"61580822","way","https://osm.org/way/61580822","54.15115050000001","-4.480955500000001","IM1 2PT",""
"61580827","way","https://osm.org/way/61580827","54.15148032819437","-4.480855896414373","IM1 2PT",""
"504471758","node","https://osm.org/node/504471758","54.150837","-4.480415","IM1 2PU",""
"28616195","way","https://osm.org/way/28616195","54.1522859227602","-4.482485240829817","IM1 2QE;IM1 2QD","Isle of Man Government Land Registry Land Transactions"
"59276113","way","https://osm.org/way/59276113","54.148293605844984","-4.4731547012901265","IM1 2RF",""
"419113942","way","https://osm.org/way/419113942","54.15176602385079","-4.479379028133134","IM1 2RL",""
"420028936","way","https://osm.org/way/420028936","54.14909952377035","-4.480327762171956","IM1 2RP",""
"59285948","way","https://osm.org/way/59285948","54.154914245283095","-4.478962571478611","IM1 2RW",""
"59384865","way","https://osm.org/way/59384865","54.15244595068135","-4.48011541416143","IM1 2RZ",""
"280860904","way","https://osm.org/way/280860904","54.1519279860745","-4.483099672871871","IM1 3AD",""
"82614425","way","https://osm.org/way/82614425","54.15233650021259","-4.483430109430327","IM1 3AE",""
"1220527326","way","https://osm.org/way/1220527326","54.15271700000001","-4.483749500000001","IM1 3AF",""
