"Application Number","Details","Local Authority","Date"
"23/00589/B","Demolition of existing sun room and replacement with new, re roofing of the existing garage and utility rooms and rendering of stone chimney stack Westfield\nRegaby West Road\nAndreas\nIsle Of Man\nIM7 3HL","ANDREAS","18 May 2023"
"23/00149/B","Installation of a mezzanine floor and additional use as a building management business, an electrician business and storage of domestic vehicles Unit 21\nIndustrial Units Middle Farm\nRichmond Hill\nDouglas\nIsle Of Man\nIM4 1JL\n","BRADDAN","7 Feb 2023"
"23/00611/B","Erection of a single storey extension to existing building Media House\nBallafletcher Road\nCronkbourne\nDouglas\nIsle Of Man\nIM4 4RA\n","BRADDAN","23 May 2023"
"23/00631/B","Variation of condition number one of planning permission 18/01306/B (extension to an existing house 171 Fairway Drive, Mt Murray) to extend Planning Application by two years 171 Fairways Drive\nMount Murray\nDouglas\nIsle Of Man\nIM4 2JG\n","BRADDAN","24 May 2023"
"23/00620/CON","Registered Building consent for demolition elements to PA 22/01080/B 19 Hope Street\nCastletown\nIsle Of Man\nIM9 1AP","CASTLETOWN","19 May 2023"
"23/00622/B","Existing garages to be removed and the installation of boundary treatment Shore Road Garage Block\nShore Road\nCastletown\nIsle Of Man\nIM9 1BF\n","CASTLETOWN","18 May 2023"
"23/00623/B","Demolition of disused Bowling Green Cafe back to the original boundary stone wall Bowling Green Cafe\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LW","CASTLETOWN","18 May 2023"
"23/00624/CON","Registered Building consent for demolition elements to PA 23/00623/B Bowling Green Cafe\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LW","CASTLETOWN","18 May 2023"
"23/00643/B","Erection of single storey extension off rear elevation 13 Raad Ny Gabbil\nCastletown\nIsle Of Man\nIM9 1HH","CASTLETOWN","24 May 2023"
"23/00519/CON","Registered Building consent for demolition elements to PA 23/00519/B 8 Hawarden Avenue\nDouglas\nIsle Of Man\nIM1 4BY","DOUGLAS","23 May 2023"
"23/00520/B","Removal of rear chimney stack 8 Hawarden Avenue\nDouglas\nIsle Of Man\nIM1 4BY","DOUGLAS","23 May 2023"
"23/00586/GB","Replacement roof tiles, hanging wall ties, rainwater goods and associated lead work (in association with RB consent application 23/00587/CON) Woodlands\nAlexander Drive\nDouglas\nIsle Of Man\nIM2 3QU","DOUGLAS","18 May 2023"
"23/00587/CON","Registered building consent for replacement roof tiles, hanging wall ties, rainwater goods and associated lead work - RB 190 (in association with application 23/00586/GB) Woodlands\nAlexander Drive\nDouglas\nIsle Of Man\nIM2 3QU","DOUGLAS","18 May 2023"
"23/00605/B","Erection of rear single garage and store with patio above 73 Woodbourne Road\nDouglas\nIsle Of Man\nIM2 3AQ","DOUGLAS","23 May 2023"
